SUA_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
5000,3257,3821,10245,12078,13134,11853,3527,560,27,58500,2925,1346,3728,3223,3246,6108,10226,5676,1977,38452,753,868,2061,2117,2081,1901,1398,881,413,12471,6931,6036,16031,17415,18455,19866,15145,7115,2421,109415,2058,5358,14364,15600,17973,15286,4223,652,50,75559,3433,2070,5230,7045,7136,7808,3740,814,79,37362,280,383,1478,1368,1484,1790,652,99,12,7548,248,292,577,539,515,449,221,133,32,2999,6014,8106,21653,24553,27111,25332,8841,1689,172,123469,318,458,762,662,691,638,109,3,0,3640,450,200,319,364,342,380,121,16,5,2199,766,665,1083,1023,1041,1014,229,19,7,5843,6778,8772,22731,25578,28150,26343,9071,1711,179,129304,6196,2584,6286,5866,5951,10624,20394,11431,3437,72767,1630,2010,5346,5518,5647,4831,3220,1802,707,30711,14606,13364,34362,36962,39751,41796,32681,14942,4317,232781
5001,666,585,1301,1553,1877,1599,440,45,5,8078,331,141,433,346,377,830,1798,1331,575,6156,40,34,78,88,99,115,121,102,71,758,1035,766,1816,1985,2357,2543,2360,1475,654,14988,323,705,1656,1714,2175,1643,350,29,4,8582,838,399,824,1095,1092,1219,553,77,8,6101,36,36,161,111,167,211,80,17,7,818,24,32,44,31,56,37,14,4,0,247,1217,1174,2689,2952,3486,3107,987,124,18,15751,42,51,66,44,54,42,10,0,0,311,96,32,54,29,37,57,25,0,0,327,137,79,121,75,91,103,29,0,0,638,1352,1252,2811,3033,3573,3205,1021,125,20,16392,727,283,771,612,637,1342,3254,2397,1002,11018,89,78,193,196,214,247,244,175,115,1550,2170,1611,3773,3839,4425,4793,4515,2701,1133,28964
5002,243,247,1003,993,755,533,134,16,0,3921,129,71,189,154,124,159,183,91,22,1120,61,67,230,158,152,105,53,13,10,848,435,374,1424,1310,1024,791,380,123,31,5887,90,287,1206,1254,1106,690,172,12,0,4817,262,115,367,434,289,232,117,17,0,1831,11,20,110,79,45,61,21,0,0,351,14,16,55,39,24,23,5,0,0,182,377,439,1735,1809,1473,1003,315,31,0,7176,32,28,50,34,24,24,0,0,0,189,19,16,21,19,18,11,0,0,0,111,48,46,73,54,46,35,0,0,0,299,426,482,1806,1859,1516,1035,320,31,0,7478,256,126,296,247,231,309,392,168,46,2074,125,139,403,304,329,227,112,36,16,1686,804,748,2504,2413,2075,1573,819,237,63,11236
5003,1533,1473,3415,3972,4121,2965,651,51,3,18189,768,332,1109,940,833,1766,3226,2032,807,11800,84,103,271,202,203,211,191,163,141,1571,2382,1907,4800,5117,5149,4947,4065,2244,957,31553,614,1741,4394,4857,5209,3688,589,24,0,21123,1740,925,1915,2500,2207,1904,826,93,4,12109,110,132,417,320,352,437,111,15,3,1897,45,58,120,114,89,50,21,3,3,505,2503,2853,6853,7792,7862,6085,1544,136,12,35640,124,143,216,174,170,148,21,0,0,994,265,95,140,115,115,94,26,5,0,847,388,239,351,292,282,239,40,5,0,1845,2899,3094,7202,8080,8141,6324,1585,141,12,37482,1677,565,1579,1452,1334,2781,5874,3745,1308,20320,167,224,610,532,530,498,397,279,224,3462,4749,3887,9396,10065,10003,9605,7859,4162,1539,61269
5004,752,530,1465,2195,2399,1791,491,53,5,9686,272,75,366,428,343,908,2194,1331,600,6515,58,37,128,126,112,135,148,126,48,922,1078,651,1957,2746,2849,2833,2834,1509,645,17118,312,612,1738,2326,2704,1772,362,32,5,9858,987,411,926,1517,1523,1447,677,88,4,7580,83,57,198,241,233,270,91,17,0,1191,35,24,42,69,50,35,9,11,7,282,1414,1099,2909,4149,4513,3529,1141,142,15,18915,24,37,67,44,59,33,6,0,0,271,86,23,43,53,44,52,18,0,0,322,115,56,107,98,102,84,24,0,0,592,1530,1155,3019,4245,4618,3616,1168,140,15,19509,639,158,484,578,563,1434,4045,2577,950,11430,99,78,305,319,311,292,282,241,85,2011,2264,1390,3811,5149,5485,5341,5494,2956,1045,32951
5005,185,215,480,521,606,496,130,19,0,2661,116,37,155,120,105,245,466,376,152,1771,30,24,57,87,65,56,66,53,17,462,333,277,692,728,777,803,670,447,168,4895,138,294,615,665,821,620,126,16,0,3298,201,113,284,321,320,332,146,25,0,1736,16,17,81,51,56,84,26,8,0,345,19,13,23,27,18,21,8,3,0,120,373,435,994,1066,1215,1065,303,49,5,5501,15,14,6,19,17,7,0,0,0,81,24,9,4,14,6,14,8,0,0,82,38,19,17,29,28,26,12,0,0,159,405,458,1011,1094,1242,1088,316,49,5,5661,258,51,195,157,170,404,875,697,241,3039,75,69,127,149,167,138,135,116,31,1001,737,578,1333,1398,1582,1627,1322,858,275,9700
5006,756,750,1617,1810,2118,1581,402,30,9,9073,341,179,512,409,410,744,1426,952,385,5360,90,95,210,233,191,160,146,114,86,1320,1188,1027,2340,2456,2710,2485,1980,1088,477,15759,359,840,2050,2229,2558,1931,396,24,5,10399,886,495,930,1039,1102,1012,441,64,3,5981,40,60,215,150,194,198,64,3,0,923,21,22,66,48,63,39,9,11,7,278,1309,1415,3263,3460,3919,3184,915,103,14,17580,56,81,97,92,111,79,9,0,0,523,118,39,59,62,61,74,18,0,0,434,174,119,152,152,167,152,30,0,0,954,1484,1528,3421,3621,4087,3332,941,105,8,18533,765,325,737,644,711,1272,2616,1755,674,9500,215,182,457,499,458,385,278,221,140,2827,2454,2033,4610,4767,5253,4994,3839,2078,828,30859
5007,477,678,1647,1530,1438,1046,230,15,0,7058,224,146,425,363,236,339,478,273,116,2603,71,93,234,195,152,141,82,29,23,1024,772,912,2308,2085,1829,1526,785,322,138,10682,369,1061,2595,2439,2330,1734,353,19,0,10889,478,257,690,687,503,494,199,22,0,3324,26,52,176,110,129,145,26,0,0,661,8,47,77,52,49,32,8,0,0,286,883,1417,3532,3289,3011,2403,582,45,0,15164,42,58,60,64,64,42,3,0,0,333,64,25,33,31,21,25,6,0,0,203,102,78,94,99,87,70,10,0,0,533,988,1491,3625,3389,3099,2471,594,45,0,15702,490,251,615,522,418,580,974,551,168,4577,137,219,499,432,378,341,210,76,30,2319,1616,1961,4745,4344,3889,3399,1770,669,202,22592
5008,248,290,1123,1146,822,367,60,0,0,4060,119,50,265,209,123,97,74,28,5,972,46,68,247,213,148,83,25,9,0,835,417,408,1633,1571,1092,544,164,37,8,5868,147,488,1659,1834,1381,727,119,0,0,6348,307,104,428,539,317,143,37,4,0,1870,23,18,181,140,72,67,9,0,0,508,14,10,54,30,19,9,4,0,0,135,489,619,2315,2536,1792,942,168,4,0,8866,18,15,36,26,30,18,0,0,0,143,40,11,24,12,13,7,3,0,0,106,56,26,59,39,35,22,4,0,0,254,545,645,2377,2578,1829,962,172,4,0,9117,259,81,314,255,172,154,150,54,6,1451,124,163,504,518,346,208,62,12,0,1940,924,890,3195,3353,2357,1328,384,75,11,12514
5009,35131,52006,119056,119468,109027,77945,18914,1634,112,533278,22419,9945,27178,28435,23424,39766,75671,49119,21479,297434,2091,2977,7614,6163,4935,4155,3932,3891,3362,39111,59635,64924,153847,154065,137390,121867,98515,54641,24953,869829,9675,44617,153597,158744,146711,97350,18065,1103,52,629908,44516,47422,63698,69463,58432,50902,22694,3352,209,360690,1862,3102,12113,9463,6930,7753,2354,261,24,43862,872,2117,4749,3330,2563,1671,534,187,58,16079,56923,97253,234162,241001,214639,157679,43646,4896,346,1050544,2302,4316,7004,5728,5646,4434,675,40,3,30146,9386,4043,4368,3786,2955,2833,983,84,8,28453,11685,8364,11366,9513,8607,7272,1658,129,13,58604,68608,105617,245532,250518,223249,164949,45301,5027,358,1109145,49202,19302,38490,38462,35481,62352,135122,90465,35064,503943,4330,6625,17597,15451,12755,10122,7808,6844,5234,86766,122135,131537,301619,304430,271487,237421,188232,102330,40664,1699854
