SUA_CODE_2021,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
5000,11478,378,971,48,841,141,995,4340,134,19341,864,1159,4953,141,652,17,5992,872,231,14879,813,364,1740,139,479,270,847,1450,76,6180,161,86,514,9,193,11,302,226,45,1544,933,191,4028,23,906,51,1622,1585,93,9436,454,231,455,5,382,605,383,196,34,2744,1392,227,587,95,413,4279,243,1041,46,8321,1561,54,1069,1725,431,484,89,2013,54,7475,567,288,304,132,892,178,2320,255,49,4987,46,109,100,12,55,45,6,15,4,383,155,215,14,11,501,35,4,16,19,962,137,42,99,11,229,446,68,85,13,1137,289,1395,593,34,739,34,75,84,34,3274,253,251,543,287,288,43,252,1515,37,3469,885,1110,622,1779,1533,43,548,769,107,7398,904,4649,497,2628,690,13,37,666,48,10142,551,3750,416,4197,1536,74,69,544,83,11222,185,404,165,215,113,29,16,153,20,1298,310,224,2070,487,487,61,67,339,38,4083,552,360,782,267,455,215,502,713,1356,5200
5001,270,47,72,3,43,6,73,177,3,709,12,20,117,3,5,0,166,21,4,363,91,32,247,10,67,36,88,255,15,838,24,11,68,0,28,0,36,17,5,185,150,20,797,4,133,12,168,178,9,1479,52,34,55,0,40,89,72,21,6,365,270,38,134,12,100,1005,59,233,0,1853,203,7,165,333,50,138,25,346,7,1278,66,33,35,7,98,21,288,35,9,584,22,41,14,0,5,18,0,7,0,110,24,83,5,0,107,13,0,0,0,227,28,9,6,0,55,103,10,11,0,209,50,321,72,3,141,5,0,9,0,599,17,41,51,29,34,0,7,228,0,418,102,181,71,323,177,6,13,101,15,997,98,765,53,343,105,3,0,74,11,1450,125,914,102,989,377,15,7,129,19,2675,28,40,25,66,7,13,0,17,0,192,47,49,310,107,74,14,9,62,9,680,45,34,100,42,58,35,54,79,105,543
5002,42,10,16,7,11,4,5,35,3,125,21,12,61,0,7,0,94,5,0,211,19,3,45,8,8,4,6,13,3,107,18,6,32,0,15,0,19,3,3,92,72,8,263,6,64,5,45,70,0,535,25,3,11,0,12,13,3,8,0,75,114,17,49,4,27,309,13,70,0,600,138,11,78,159,53,44,7,144,8,645,60,104,29,44,72,23,106,29,8,470,17,20,14,0,12,0,0,0,0,65,12,4,0,0,39,0,0,0,0,57,19,9,6,0,19,53,0,6,0,105,16,101,24,8,59,0,0,0,5,214,40,21,37,29,23,6,6,109,3,267,100,138,34,187,130,3,8,14,12,620,76,441,29,188,69,3,0,28,3,848,108,635,45,321,222,10,8,35,4,1383,24,42,14,16,3,0,0,7,0,117,30,24,104,34,36,12,0,25,3,273,41,49,55,28,40,17,15,30,93,369
5003,121,28,54,0,43,13,82,190,9,544,189,271,1012,17,132,6,929,152,51,2758,333,248,997,21,218,113,661,664,38,3292,59,68,271,0,87,3,108,89,23,708,315,155,1755,13,388,45,487,679,37,3874,116,44,105,6,94,125,106,36,5,625,479,92,216,32,194,2013,124,468,11,3635,303,9,250,585,77,377,70,675,17,2362,114,63,102,15,268,32,698,92,13,1406,29,70,29,0,21,53,0,11,0,222,45,138,4,0,238,21,0,0,0,453,42,17,30,3,121,193,21,22,0,446,86,532,261,4,267,22,9,33,3,1228,70,97,102,55,74,8,45,470,10,921,150,316,129,384,524,11,24,174,33,1738,184,1566,104,786,221,7,6,168,3,3039,220,1829,211,1956,777,38,43,176,32,5287,49,52,37,112,36,13,3,38,9,354,90,133,664,232,125,25,33,143,7,1445,95,90,249,53,145,62,150,191,246,1294
5004,400,27,47,3,34,11,41,192,15,766,85,140,433,12,42,3,461,78,16,1268,254,96,270,37,86,94,78,176,5,1098,18,14,58,0,30,0,33,15,4,176,212,43,1172,3,210,40,173,267,24,2147,61,32,21,0,38,68,22,23,3,261,335,65,121,17,95,1087,64,198,6,1984,385,12,333,564,138,193,22,548,16,2217,46,37,24,15,98,18,234,21,4,502,19,21,14,0,11,20,0,9,0,97,28,111,0,0,109,12,0,0,8,268,38,31,3,0,78,146,14,13,6,324,50,412,108,5,187,16,7,13,4,814,85,48,104,56,60,12,35,408,7,810,98,148,57,178,121,3,24,47,12,685,106,824,46,371,85,0,0,55,17,1511,107,925,76,819,289,15,7,106,9,2348,29,50,31,74,22,14,0,18,4,241,57,44,344,116,70,13,6,54,4,705,64,76,106,46,63,43,47,83,151,682
5005,194,28,52,0,37,19,62,75,6,482,9,7,64,0,6,0,115,16,3,212,18,11,61,0,15,13,29,13,4,167,11,0,28,0,13,0,10,16,0,79,52,7,200,0,46,0,74,74,6,459,21,22,53,0,33,41,46,13,6,240,80,12,30,0,26,304,23,66,0,547,63,7,46,67,32,32,6,136,0,389,49,31,59,4,74,4,250,41,11,522,0,7,8,0,0,3,0,0,0,22,14,24,0,0,34,5,0,0,0,76,3,7,6,0,19,32,0,4,0,69,14,53,27,0,48,3,4,3,4,160,8,11,15,6,13,0,5,87,0,136,35,49,38,57,43,5,13,22,9,277,45,260,14,125,33,3,0,21,0,506,28,198,25,222,87,0,0,25,0,581,5,11,6,7,9,0,0,0,0,36,21,9,164,32,38,5,12,16,3,299,15,15,33,5,32,17,25,27,68,244
5006,151,72,46,0,44,18,29,195,10,566,92,65,435,4,55,0,440,51,25,1168,63,14,182,0,51,31,47,51,11,458,17,14,57,0,20,0,34,18,8,173,153,34,849,9,167,13,161,228,22,1632,63,36,83,4,69,85,94,29,4,457,229,44,128,18,104,1051,76,240,6,1890,153,3,133,288,49,211,49,345,4,1236,102,90,112,19,168,21,509,85,9,1129,18,35,17,0,15,15,0,4,4,104,28,61,7,0,94,11,0,0,3,206,28,12,7,0,51,57,8,7,0,169,49,271,126,4,151,7,15,29,10,656,31,46,62,16,38,7,27,258,0,481,131,174,64,393,226,3,24,83,23,1112,127,936,68,470,139,8,0,94,7,1849,150,993,94,953,379,21,29,93,15,2735,22,18,12,36,15,5,0,25,6,135,62,38,392,129,89,9,3,52,4,773,67,43,127,39,81,37,61,81,117,656
5007,8,0,3,0,3,0,3,13,0,27,278,582,1199,19,255,15,1447,201,45,4030,79,55,233,0,65,14,180,35,10,652,18,4,56,0,22,6,47,22,9,175,99,27,494,8,146,5,98,147,8,1030,65,30,146,0,60,50,62,9,9,429,157,24,71,6,61,588,49,147,4,1110,141,7,111,199,37,117,19,225,0,852,68,29,63,14,148,21,434,39,9,822,4,16,11,0,8,16,6,0,0,52,7,21,0,3,56,0,0,0,0,90,17,5,53,4,43,99,16,25,0,272,40,144,206,3,106,0,23,30,6,553,21,31,25,10,41,9,16,179,3,331,73,113,55,309,143,7,12,42,10,769,92,550,38,261,85,0,0,45,7,1075,84,521,53,433,223,6,9,68,15,1409,16,7,12,45,8,9,0,15,5,123,58,26,384,62,83,16,17,54,0,703,44,29,167,33,92,25,89,52,132,658
5008,3,0,0,0,0,0,0,3,0,13,147,191,811,14,149,0,363,77,56,1812,39,38,131,4,20,17,18,14,8,287,27,24,54,0,38,7,54,16,9,220,102,30,463,4,117,0,107,166,18,1007,20,11,33,0,20,23,29,3,5,151,85,21,40,11,27,301,16,93,3,591,87,4,76,87,25,83,8,116,4,490,81,56,33,9,93,18,188,35,8,520,5,11,17,0,3,0,0,0,0,40,3,9,0,0,24,0,0,0,0,43,32,9,31,0,39,42,5,20,0,194,24,87,59,4,27,0,4,10,5,219,27,21,93,17,33,3,14,175,0,382,86,94,32,204,133,0,12,26,12,595,56,399,18,185,58,0,0,14,0,739,48,269,22,196,104,9,4,18,3,669,14,7,8,29,7,0,0,4,0,76,35,18,159,52,40,4,6,26,0,339,47,47,129,22,51,9,50,56,60,472
5009,2294,508,619,28,607,219,495,2187,101,7057,9166,17981,16837,571,5686,221,14294,3567,1003,69342,8795,5439,16293,821,5754,2728,7582,7349,637,55403,1865,2763,2111,56,2024,225,1502,843,246,11642,11550,6595,42383,380,10083,1359,6772,12782,1095,93001,5355,3585,3515,93,4153,3612,4310,1728,317,26667,13964,4488,5071,964,5015,49946,4505,9218,460,93615,9975,900,9573,19765,1925,8834,1768,14864,372,67978,4603,3767,2261,1686,9678,1367,21257,2221,516,47362,1381,3192,1620,83,1126,1038,121,316,90,8970,3685,9484,319,194,10582,904,55,100,514,25842,2301,1536,821,144,3115,6319,393,709,210,15560,10816,45819,9782,309,12347,812,846,877,650,82263,3134,4134,3438,2491,3874,513,1262,13692,342,32872,7883,15216,4568,15462,14841,242,828,2643,1131,62809,7145,50984,3131,19997,7500,244,150,3134,403,92696,7884,59439,5793,46683,20843,777,1125,5083,927,148553,2953,3520,1589,6237,1715,897,134,1265,205,18510,3656,3697,16768,7976,4101,627,604,3283,270,40975,6030,6794,7578,2445,6082,2611,4833,5165,7898,49442
