SUA_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
5000,11,35,3,3,8,45,109,123,275,2370,2056,333,4756,223,227,445,5205,3755,197,9156
5001,3,3,0,0,0,3,9,10,21,403,427,48,875,22,26,47,925,539,18,1478
5002,0,7,0,0,0,6,10,20,37,243,117,21,381,10,12,24,404,203,25,633
5003,3,13,0,0,0,13,16,10,39,1113,931,141,2178,74,85,168,2340,1191,21,3556
5004,0,6,0,0,0,6,3,9,17,446,516,54,1015,20,18,40,1050,428,8,1496
5005,0,4,0,0,0,4,0,3,9,140,93,15,252,8,12,17,271,172,13,452
5006,0,3,0,0,0,3,10,17,29,539,418,60,1014,45,51,98,1110,665,32,1809
5007,6,11,0,0,0,11,3,26,41,466,173,39,680,24,17,36,714,304,34,1054
5008,0,0,0,0,0,0,0,5,8,203,64,17,284,5,10,12,301,65,4,371
5009,134,283,17,21,34,315,299,466,1083,28762,20707,2665,52129,2011,2200,4210,56338,28368,831,85539
5010,0,5,0,0,0,5,7,12,22,221,57,23,305,13,10,26,325,152,15,494
