SUA_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
5000,40,664,492,142,1294,19,2645,19,462,342,72,296,13,1198,108,1173,433,607,906,27,3251,406,775,377,822,550,23,2953,427,376,74,841,327,12,2056,944,501,127,1110,387,21,3096,1449,290,90,1230,275,16,3348,1337,81,34,916,144,19,2541,475,20,8,274,59,3,840,179,4,8,114,17,0,326,60,7,0,41,26,0,132,36,0,0,21,4,0,67,12,0,0,17,10,0,37,30,0,0,34,25,0,92,142,328,122,497,845,56,1991,5669,4690,2095,6743,5153,208,24559
5001,0,16,8,3,6,0,24,0,23,5,11,3,0,36,13,189,42,40,8,7,289,14,107,83,71,36,5,320,47,49,20,78,22,0,221,113,77,53,124,28,0,400,534,79,28,349,51,7,1047,642,18,12,211,34,0,917,133,6,0,41,8,0,188,18,0,0,9,0,0,28,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,40,17,37,11,3,123,1533,596,263,973,211,31,3604
5002,4,15,0,0,7,0,22,0,21,3,0,4,0,31,4,139,5,5,34,0,187,7,138,15,19,46,0,225,6,62,6,10,36,3,120,18,105,10,23,58,0,216,89,111,17,49,50,0,308,154,38,9,68,28,0,296,165,10,0,50,23,0,246,120,3,0,35,3,0,168,89,0,0,37,9,0,132,56,3,0,20,4,0,86,26,0,0,13,0,0,48,33,0,0,12,0,0,40,30,60,10,11,43,11,168,801,708,79,347,352,23,2299
5003,4,21,3,8,8,0,40,3,48,11,4,9,0,80,29,319,39,54,9,5,453,52,202,118,82,31,6,492,121,85,42,150,10,4,411,435,105,24,319,37,4,917,1315,50,19,728,54,6,2171,1658,15,24,491,52,6,2245,339,0,0,73,5,0,424,66,0,0,16,4,0,82,16,0,0,11,0,0,24,5,3,0,0,0,0,8,0,0,0,6,0,0,6,7,0,0,0,0,0,7,62,43,22,74,33,20,257,4116,907,298,2011,244,50,7622
5004,5,16,0,19,0,0,31,0,13,0,8,0,0,24,0,176,19,25,21,0,241,19,105,31,33,18,4,212,22,34,6,68,24,0,147,31,57,13,84,31,0,212,240,42,11,199,44,0,534,771,20,0,365,33,4,1193,443,0,0,120,10,4,578,112,0,0,33,0,0,145,30,0,0,9,0,0,42,5,0,0,0,0,0,5,3,0,0,0,0,0,6,4,0,0,3,0,0,13,25,20,3,47,27,3,127,1707,477,92,1015,217,15,3517
5005,0,11,0,4,4,0,21,0,5,0,3,0,0,14,8,65,24,24,11,0,132,34,24,13,44,9,3,128,37,19,4,47,9,0,119,79,43,4,80,22,0,232,134,9,6,141,13,0,304,133,0,0,114,7,0,256,23,0,0,12,3,0,41,4,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,4,18,10,3,55,466,190,49,499,95,18,1314
5006,4,20,0,7,0,0,29,4,27,0,10,7,0,42,45,157,19,75,9,0,303,210,114,39,132,32,10,534,208,37,11,192,35,4,481,385,66,10,256,50,3,762,636,69,22,293,53,0,1074,416,7,0,162,20,0,606,84,3,0,28,6,0,115,17,0,0,6,0,0,25,6,0,0,3,0,0,9,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,4,33,32,8,57,25,6,163,2044,524,107,1230,242,25,4170
5007,0,8,0,4,5,0,15,3,23,0,4,14,0,44,21,126,40,28,55,9,277,22,78,13,43,61,4,226,64,69,0,68,60,0,256,189,117,5,108,78,3,497,538,58,0,165,70,0,832,625,18,0,168,29,0,849,261,6,0,45,8,0,322,119,4,0,19,6,0,145,30,0,0,3,0,0,37,7,0,0,0,3,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,8,29,17,8,32,37,7,137,1922,525,66,692,424,27,3668
5008,11,8,0,0,422,0,442,0,6,0,0,17,0,25,5,55,0,0,74,0,145,8,26,0,3,56,0,104,16,57,0,7,77,0,155,20,86,0,13,122,0,242,66,114,4,15,134,0,328,134,20,6,43,84,0,277,176,7,0,25,52,0,263,179,0,0,12,30,0,227,133,4,0,10,18,0,172,97,6,0,17,16,0,135,73,0,0,6,15,0,97,115,0,0,4,30,0,155,56,33,0,18,166,3,281,1094,422,18,177,1314,5,3035
5009,131,694,82,247,35,14,1198,38,1139,147,178,40,12,1546,434,7211,613,1470,247,73,10043,1399,3357,1386,2197,357,71,8764,2646,1295,378,2631,325,51,7326,9452,1776,551,5357,1104,60,18318,29110,1290,376,12822,1495,146,45243,45782,556,289,15084,1534,163,63412,20123,93,63,5340,429,43,26096,7225,18,11,1749,107,15,9136,3162,21,15,752,52,7,4006,1668,19,4,400,40,0,2143,929,12,5,202,23,0,1171,1505,8,4,352,45,11,1918,1774,1105,292,2333,529,474,6508,125382,18604,4220,51111,6360,1154,206827
