SUA_CODE_2021,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
5000,2969,762,123,63,2665,1094,7675,2066,1160,241,90,2325,1436,7326,4198,3850,953,493,4482,4361,18334,4250,4934,1458,821,3688,4395,19542,4626,5599,1572,842,4475,4172,21290,4764,5738,1869,1097,5192,3268,21931,3026,4239,2051,1553,4643,2016,17536,1100,1552,927,786,2437,1021,7829,236,301,166,131,766,304,1899,27241,28124,9366,5881,30681,22072,123367,2773,1007,171,72,1942,965,6931,1431,1510,472,374,1351,907,6036,2204,4096,2109,2965,2505,2147,16031,1605,4867,3360,3697,1666,2223,17415,1915,6088,3590,2594,2108,2160,18455,1926,5957,3917,3236,2833,1998,19866,1039,3100,3070,3396,3062,1477,15145,504,1138,1140,1425,2006,909,7115,269,312,197,199,1019,425,2421,13664,28072,18019,17959,18490,13210,109415,5747,1766,294,133,4607,2055,14606,3498,2666,711,467,3674,2348,13364,6409,7948,3054,3456,6994,6506,34362,5852,9804,4818,4522,5355,6617,36962,6542,11683,5162,3444,6588,6336,39751,6690,11698,5787,4331,8026,5264,41796,4066,7338,5122,4951,7710,3489,32681,1600,2689,2069,2208,4440,1931,14942,507,612,368,325
5001,521,99,4,0,450,67,1133,290,141,17,7,316,74,842,530,503,122,58,493,256,1961,434,634,178,66,314,228,1856,543,733,176,65,383,161,2067,566,782,206,80,461,153,2247,366,676,275,175,528,138,2155,195,301,134,121,402,77,1229,75,66,40,47,205,54,481,3516,3933,1153,625,3548,1190,13971,478,134,11,4,349,57,1035,187,259,48,38,184,49,766,264,562,276,368,256,87,1816,194,658,457,389,193,87,1985,275,911,495,304,261,114,2357,295,891,568,304,356,120,2543,178,549,515,501,476,148,2360,131,267,248,277,453,108,1475,81,80,62,49,304,73,654,2081,4315,2683,2245,2835,840,14988,999,229,15,3,802,118,2170,480,398,61,47,499,118,1611,791,1066,395,427,749,345,3773,629,1289,636,455,513,318,3839,823,1641,668,366,652,274,4425,860,1678,776,391,814,273,4793,539,1222,791,676,1010,284,4515,323,567,383,395,854,182,2701,156,153,98,101
5002,128,22,3,0,149,71,375,99,40,8,4,130,78,367,267,273,48,24,273,202,1081,267,338,105,43,174,184,1106,221,334,68,31,191,206,1048,176,193,54,24,192,147,783,92,106,43,17,116,61,438,23,31,11,5,34,16,118,5,3,6,0,14,6,33,1276,1328,344,144,1271,977,5349,186,40,3,0,111,87,435,101,86,12,11,100,70,374,272,405,110,118,264,249,1424,149,445,219,170,138,181,1310,123,365,180,68,131,162,1024,95,259,102,63,160,113,791,39,92,62,45,87,60,380,8,28,20,10,37,19,123,0,0,0,0,12,10,31,977,1723,708,496,1043,949,5887,318,65,10,4,259,153,804,202,128,23,12,227,147,748,538,675,155,142,535,459,2504,414,782,326,214,315,364,2413,343,694,250,99,317,363,2075,271,447,160,89,355,258,1573,126,199,100,65,204,117,819,36,60,34,15,66,40,237,5,4,3,0
5003,1061,171,12,6,1003,111,2365,660,346,62,17,723,172,1976,1246,1232,231,114,1240,531,4599,1190,1629,420,196,999,521,4952,1252,1592,422,150,1001,444,4853,1107,1488,384,193,1133,343,4657,678,1066,513,246,1043,255,3798,278,446,247,157,665,133,1919,53,112,44,39,245,98,588,7517,8076,2328,1129,8052,2605,29714,1131,307,35,17,791,105,2382,500,539,138,102,523,111,1907,639,1393,677,979,812,291,4800,407,1594,1085,1175,627,235,5117,595,1939,1024,687,676,223,5149,489,1592,1043,760,834,218,4947,275,934,864,781,989,222,4065,196,434,357,370,698,184,2244,92,137,81,58,418,171,957,4324,8863,5304,4931,6369,1767,31553,2193,478,50,22,1799,214,4749,1158,882,197,123,1241,282,3887,1886,2627,909,1098,2055,823,9396,1596,3222,1502,1367,1623,755,10065,1839,3526,1449,838,1678,667,10003,1601,3079,1428,958,1972,567,9605,951,2002,1371,1025,2036,470,7859,479,881,606,532,1360,312,4162,141,247,124,93
5004,580,81,10,3,444,70,1183,289,123,19,8,262,42,737,562,478,100,55,470,184,1851,598,852,232,93,416,211,2401,695,939,247,103,447,212,2639,643,826,221,111,526,185,2512,510,817,374,205,607,147,2666,242,366,209,125,391,114,1448,64,56,36,31,161,51,404,4182,4540,1448,731,3717,1213,15832,555,106,13,4,323,77,1078,208,190,28,22,161,42,651,314,614,288,360,252,141,1957,238,870,632,664,210,138,2746,336,1121,618,372,290,123,2849,316,999,623,354,394,146,2833,221,634,672,597,548,162,2834,118,279,270,283,431,135,1509,73,87,59,48,324,57,645,2378,4904,3198,2690,2924,1022,17118,1132,191,19,3,764,152,2264,494,316,50,28,426,80,1390,877,1088,386,408,716,320,3811,834,1716,866,761,624,346,5149,1029,2061,867,471,730,334,5485,960,1828,845,466,916,331,5341,729,1449,1052,801,1157,307,5494,361,647,473,404,823,246,2956,136,147,96,75
5005,158,33,4,4,151,55,406,105,52,11,0,87,45,297,226,171,35,11,118,75,636,199,219,50,19,109,68,668,212,231,62,28,160,108,803,224,243,54,40,178,83,822,104,159,67,42,214,66,652,47,86,49,33,126,69,414,24,17,3,5,48,9,103,1307,1207,342,183,1188,588,4811,141,37,7,0,102,47,333,83,83,22,11,57,24,277,109,206,112,143,63,64,692,58,241,160,133,55,86,728,94,305,148,88,69,68,777,77,267,151,125,114,64,803,40,134,144,142,142,64,670,49,72,68,72,135,55,447,20,33,13,15,73,15,168,670,1377,824,717,810,490,4895,298,68,14,4,252,103,737,191,131,28,16,144,68,578,342,374,147,151,179,139,1333,257,462,211,146,160,155,1398,308,539,218,112,227,177,1582,308,506,209,164,293,147,1627,146,292,213,183,356,130,1322,95,158,117,97,266,130,858,36,56,18,15
5006,503,87,7,6,512,142,1269,315,165,31,11,367,113,1006,557,627,126,59,562,336,2270,535,702,199,94,450,329,2309,589,810,213,81,543,306,2540,514,788,229,115,612,250,2516,304,525,223,148,518,137,1860,132,196,95,85,362,108,992,39,41,37,28,152,56,349,3503,3946,1156,631,4089,1787,15104,504,145,15,11,404,112,1188,240,270,85,55,279,98,1027,316,670,340,439,350,224,2340,215,742,462,484,299,245,2456,263,1001,511,348,379,213,2710,236,767,482,359,465,175,2485,141,426,384,396,475,163,1980,94,169,152,181,356,132,1088,43,61,35,35,212,88,477,2049,4256,2457,2299,3223,1465,15759,1012,235,21,14,921,251,2454,555,438,111,66,646,216,2033,876,1299,457,501,918,559,4610,745,1444,658,585,751,580,4767,852,1813,723,422,919,522,5253,753,1555,710,470,1084,429,4994,441,955,607,546,989,300,3839,230,368,249,269,720,242,2078,80,105,67,61
5007,302,71,6,0,381,84,849,269,161,25,10,427,159,1048,609,588,100,52,730,355,2434,555,621,154,83,537,306,2255,455,607,133,52,544,268,2059,420,497,113,57,543,235,1866,158,226,88,65,315,132,980,40,57,26,24,151,50,354,12,6,3,4,31,9,60,2822,2828,655,350,3664,1594,11910,289,105,14,11,272,85,772,220,242,44,47,251,102,912,339,628,291,399,401,246,2308,178,614,386,393,307,208,2085,209,607,331,211,295,175,1829,145,457,246,178,355,147,1526,57,168,132,117,219,90,785,28,38,47,38,132,39,322,7,15,7,5,84,18,138,1479,2869,1506,1401,2319,1110,10682,594,178,20,8,649,164,1616,490,402,67,56,682,259,1961,952,1208,393,455,1131,601,4745,738,1230,535,476,845,511,4344,664,1210,466,266,840,445,3889,564,957,365,236,899,377,3399,216,398,222,178,538,220,1770,77,97,78,57,284,87,669,14,21,7,12
5008,173,47,0,0,209,80,506,138,76,10,5,158,98,485,395,399,67,33,396,265,1557,424,568,122,53,308,309,1780,301,359,82,35,263,213,1266,174,223,50,21,185,132,787,35,51,15,13,63,43,222,7,5,3,5,13,5,41,0,0,0,0,0,0,5,1645,1724,356,173,1597,1145,6644,166,54,5,7,134,57,417,77,119,24,15,93,73,408,202,474,194,267,244,251,1633,108,478,267,324,187,223,1571,129,348,192,113,160,149,1092,69,187,68,50,86,85,544,11,40,25,22,46,23,164,4,4,7,6,14,4,37,0,0,0,0,5,0,8,763,1694,781,797,962,866,5868,336,98,10,3,340,139,924,216,192,40,18,250,171,890,596,870,261,305,635,521,3195,524,1044,383,376,493,528,3353,423,713,279,155,418,359,2357,245,411,120,66,268,217,1328,41,94,42,35,108,63,384,10,5,8,9,29,14,75,0,3,0,0
5009,27939,4691,376,204,26417,2876,62498,23308,9847,1177,514,27332,4434,66618,42729,38157,6543,2910,45435,12003,147770,38219,48970,12179,5261,34885,10856,150366,35019,44628,10399,4380,30828,8849,134098,28769,36962,9359,4177,29625,6668,115557,16606,26712,10813,5412,25843,4335,89720,7274,11510,5642,3425,16559,3275,47690,2039,2544,1183,861,7080,1993,15710,221907,224018,57667,27146,244002,55285,830028,27718,6601,690,292,21643,2695,59635,22765,15155,2784,1716,19023,3482,64924,29360,46566,17699,20460,31101,8666,153847,16757,47039,29862,31028,22384,6995,154065,15910,49182,27768,19097,19784,5643,137390,14136,40811,23871,16278,22055,4714,121867,7857,23828,20734,17465,24212,4409,98515,4736,10385,8904,8392,17991,4241,54641,2667,3404,1854,1376,12075,3572,24953,141911,242964,134167,116110,190272,44411,869829,55652,11288,1062,499,48061,5568,122135,46073,25006,3960,2227,46359,7914,131537,72091,84715,24242,23370,76529,20670,301619,54977,96010,42043,36281,57268,17848,304430,50930,93811,38171,23471,50613,14489,271487,42906,77769,33223,20458,51675,11384,237421,24465,50545,31547,22875,50065,8745,188232,12017,21895,14545,11821,34545,7511,102330,4713,5948,3037,2238
