SUA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
5000,40,7,8,5,7618,7675,338,24,11,8,6941,7326,4814,335,250,32,12906,18334,9730,917,1047,55,7797,19542,11302,1288,2338,141,6221,21290,12585,1308,3647,415,3980,21931,11027,832,3200,834,1641,17536,5192,290,1048,853,443,7829,1061,41,132,583,92,1899,56087,5044,11671,2918,47645,123367,53,3,0,6,6863,6931,399,35,15,5,5587,6036,5359,375,336,48,9918,16031,9522,876,1103,150,5764,17415,10446,1080,2307,355,4264,18455,12134,1009,3338,973,2405,19866,9527,519,2411,1912,778,15145,3622,124,802,2371,191,7115,492,16,170,1694,55,2421,51555,4052,10477,7514,35817,109415,103,7,10,10,14485,14606,732,57,19,19,12530,13364,10173,708,583,75,22821,34362,19258,1792,2147,202,13564,36962,21754,2372,4646,499,10484,39751,24717,2323,6983,1391,6386,41796,20557,1353,5610,2742,2420,32681,8815,415,1850,3229,637,14942,1547,53,295,2274,146,4317,107648,9096,22145,10435,83462,232781
5001,0,0,0,0,1134,1133,45,0,0,0,799,842,616,29,25,0,1294,1961,995,89,84,8,687,1856,1164,105,265,12,519,2067,1381,105,363,44,349,2247,1502,82,346,90,138,2155,896,32,119,138,41,1229,299,3,31,135,11,481,6901,449,1232,424,4967,13971,0,0,0,0,1037,1035,65,6,0,0,698,766,692,46,48,0,1035,1816,1059,131,171,24,596,1985,1307,151,371,47,483,2357,1445,117,539,120,322,2543,1421,83,416,320,128,2360,698,22,199,525,31,1475,155,11,49,438,8,654,6835,566,1787,1476,4322,14988,6,0,0,0,2169,2170,108,3,0,0,1491,1611,1299,75,71,3,2322,3773,2051,221,260,29,1280,3839,2475,260,637,59,1004,4425,2826,221,905,170,670,4793,2926,161,760,408,263,4515,1594,58,317,660,74,2701,449,16,73,574,20,1133,13739,1018,3016,1900,9288,28964
5002,0,0,0,0,375,375,12,0,0,0,356,367,241,12,11,0,815,1081,548,31,56,3,464,1106,527,49,105,11,350,1048,372,31,135,28,225,783,237,33,85,18,70,438,67,0,20,14,17,118,15,5,3,5,6,33,2008,166,415,75,2678,5349,0,0,0,0,435,435,12,0,0,0,367,374,326,22,25,5,1050,1424,600,51,65,15,575,1310,481,48,131,7,353,1024,351,60,159,48,172,791,152,18,87,57,58,380,47,4,24,41,15,123,0,4,8,15,0,31,1966,210,501,187,3019,5887,0,0,0,0,804,804,19,0,0,0,725,748,568,35,34,4,1868,2504,1145,85,125,22,1037,2413,1004,97,242,22,710,2075,726,88,294,74,389,1573,388,56,173,74,127,819,109,6,44,49,29,237,17,3,6,19,13,63,3978,381,919,268,5699,11236
5003,0,0,0,0,2362,2365,57,3,0,0,1913,1976,1345,88,60,3,3105,4599,2778,231,318,12,1611,4952,2913,286,577,22,1050,4853,3029,222,783,73,549,4657,2726,160,551,176,175,3798,1423,54,196,209,44,1919,354,8,27,169,19,588,14626,1053,2526,674,10833,29714,9,3,0,0,2368,2382,95,5,0,5,1808,1907,1810,165,122,13,2684,4800,2970,320,428,35,1361,5117,2978,348,799,103,923,5149,2996,244,1074,218,414,4947,2452,144,772,555,138,4065,1071,39,260,828,52,2244,172,5,51,707,19,957,14542,1269,3505,2458,9773,31553,8,3,4,0,4729,4749,150,8,0,0,3723,3887,3152,255,186,23,5785,9396,5754,554,742,48,2974,10065,5889,634,1377,131,1971,10003,6018,466,1861,293,967,9605,5180,304,1327,732,322,7859,2494,91,456,1034,95,4162,525,18,84,875,37,1539,29177,2326,6034,3133,20604,61269
5004,5,0,0,0,1181,1183,5,5,0,0,732,737,540,16,26,0,1268,1851,1433,87,118,0,757,2401,1636,167,278,13,534,2639,1675,108,372,36,326,2512,1986,66,377,96,132,2666,1096,32,148,138,31,1448,238,4,34,129,3,404,8603,491,1351,418,4966,15832,0,0,0,0,1075,1078,16,3,0,0,631,651,720,46,42,4,1151,1957,1666,152,202,16,715,2746,1671,183,433,49,520,2849,1796,119,538,114,269,2833,1855,69,504,294,112,2834,817,19,177,462,44,1509,136,4,38,454,17,645,8682,590,1933,1384,4527,17118,7,0,0,5,2257,2264,28,7,0,0,1362,1390,1255,65,67,4,2417,3811,3102,240,320,17,1475,5149,3309,350,717,60,1060,5485,3468,227,909,151,594,5341,3837,131,885,394,247,5494,1907,53,328,602,68,2956,377,10,74,574,14,1045,17289,1079,3284,1806,9498,32951
5005,0,0,0,0,406,406,3,0,0,0,295,297,186,8,12,0,436,636,342,19,39,3,271,668,450,44,84,6,228,803,497,41,126,14,138,822,439,41,81,32,63,652,258,17,52,59,22,414,59,5,9,31,0,103,2236,169,405,143,1862,4811,0,0,0,0,334,333,10,0,0,0,261,277,256,13,20,0,400,692,397,47,63,6,212,728,447,48,102,18,170,777,513,29,133,48,82,803,418,29,79,105,32,670,184,17,47,196,9,447,32,0,9,120,3,168,2262,178,464,490,1508,4895,0,0,0,0,735,737,18,4,0,0,557,578,438,18,35,0,840,1333,738,58,103,10,487,1398,890,85,180,25,400,1582,1007,75,261,66,220,1627,858,72,162,133,91,1322,445,32,101,252,32,858,89,5,22,149,10,275,4496,343,867,632,3367,9700
5006,0,0,0,0,1266,1269,23,4,0,0,983,1006,656,35,36,3,1540,2270,1190,93,147,11,872,2309,1441,169,249,21,660,2540,1450,144,367,57,488,2516,1241,91,278,105,142,1860,654,36,113,149,42,992,189,4,27,113,13,349,6842,568,1222,460,6013,15104,0,0,0,0,1188,1188,60,6,0,0,961,1027,836,66,38,6,1393,2340,1296,161,200,12,779,2456,1525,169,384,59,577,2710,1392,138,481,138,332,2485,1145,82,325,339,85,1980,504,21,129,407,30,1088,97,4,16,355,7,477,6853,652,1582,1323,5349,15759,0,0,0,0,2453,2454,79,10,0,0,1947,2033,1494,98,80,6,2933,4610,2490,257,353,24,1653,4767,2963,341,633,81,1237,5253,2842,284,843,193,826,4994,2385,171,605,447,226,3839,1156,54,242,554,66,2078,283,6,44,465,22,828,13696,1216,2801,1779,11364,30859
5007,8,0,0,0,838,849,31,4,0,0,1007,1048,639,43,43,0,1712,2434,1200,107,118,6,828,2255,1089,116,233,16,610,2059,1050,107,296,51,367,1866,532,76,180,57,140,980,180,29,50,44,43,354,31,7,3,23,5,60,4753,494,926,193,5549,11910,0,0,0,0,772,772,39,14,4,5,858,912,808,58,56,5,1387,2308,1202,92,150,14,630,2085,1019,100,254,43,418,1829,915,81,258,83,191,1526,409,35,147,144,54,785,124,11,50,122,15,322,23,3,10,105,0,138,4544,386,925,514,4320,10682,7,0,0,0,1606,1616,68,19,3,4,1869,1961,1444,100,96,10,3104,4745,2405,193,267,19,1459,4344,2111,221,482,51,1027,3889,1961,192,554,137,562,3399,939,109,331,193,191,1770,307,34,103,167,57,669,53,9,13,123,5,202,9293,880,1846,702,9867,22592
5008,0,0,0,0,505,506,11,0,0,0,475,485,441,22,17,0,1074,1557,1074,63,82,6,560,1780,778,72,130,8,280,1266,490,50,133,6,105,787,129,23,41,10,20,222,23,5,7,10,4,41,0,0,0,3,0,5,2941,235,413,41,3023,6644,4,0,0,0,410,417,15,0,0,0,393,408,651,40,35,0,907,1633,1006,59,99,13,392,1571,673,64,128,16,201,1092,322,31,105,23,64,544,76,16,40,20,15,164,12,3,5,12,4,37,0,0,0,7,0,8,2759,220,419,86,2384,5868,5,0,0,0,921,924,27,0,0,0,864,890,1098,63,53,0,1977,3195,2080,121,185,14,949,3353,1446,139,257,18,485,2357,816,80,239,25,168,1328,201,40,87,35,32,384,32,9,3,16,6,75,0,0,0,10,0,11,5701,448,831,126,5403,12514
5009,70,14,16,18,62386,62498,1307,79,43,34,65158,66618,42520,1994,2127,122,101013,147770,90994,5517,7936,214,45706,150366,85533,6669,14049,755,27096,134098,76254,5150,16773,1732,15652,115557,63372,3381,13122,3488,6368,89720,34383,1331,5191,4802,1988,47690,9228,265,965,4772,485,15710,403651,24399,60217,15927,325835,830028,62,21,14,17,59522,59635,2922,212,79,34,61671,64924,59270,3734,3588,205,87053,153847,96476,7405,11337,844,38001,154065,84897,7951,19963,2246,22334,137390,74221,5938,23961,5797,11945,121867,57805,3397,19080,13256,4979,98515,25253,1049,7877,18757,1707,54641,4821,176,1791,17537,631,24953,405740,29868,87682,58688,287847,869829,135,33,28,35,121910,122135,4235,289,123,63,126832,131537,101794,5724,5716,325,188061,301619,187477,12924,19262,1054,83714,304430,170426,14618,34012,2999,49429,271487,150477,11090,40730,7526,27598,237421,121176,6778,32201,16738,11341,188232,59632,2376,13067,23557,3691,102330,14051,441,2748,22309,1112,40664,809388,54265,147895,74612,613687,1699854
