SUA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
5000,42,1517,752,203,1833,0.8,1448,2.4
5001,45,1517,707,300,1741,0.7,1332,2.3
5002,34,2167,1164,330,2623,0.9,2222,2.7
5003,39,1625,770,320,2009,0.7,1605,2.5
5004,45,1755,751,369,1866,0.7,1458,2.5
5005,42,1600,785,270,2017,0.7,1492,2.4
5006,40,1560,783,260,2020,0.7,1553,2.4
5007,34,1600,1204,300,2825,0.8,2325,2.6
5008,32,1972,1570,320,3497,0.9,3194,2.8
5009,37,1907,859,350,2259,0.8,1864,2.6
5010,32,1500,1542,228,3278,0.9,2882,2.7
