SAL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SAL50110,60,55,120,207,157,365,70,57,135,96,65,162,380,285,667,148,135,277,51,69,127,70,85,146,270,285,558,16,12,31,18,23,44,17,12,29,17,39,57,0,0,0,73,90,159,85,113,196,18,24,45,8,13,27,17,24,41,0,0,0,127,174,303,202,261,465,12,15,28,19,20,42,0,0,0,34,37,70,112,101,211,1061,1026,2088
SAL50111,31,47,82,136,104,234,26,28,57,42,38,76,199,172,372,87,78,162,12,16,27,26,23,48,120,119,233,89,42,132,79,69,148,17,17,33,39,37,73,0,0,3,225,167,394,448,401,853,272,173,444,51,43,90,58,44,101,4,0,4,828,664,1495,1055,828,1889,45,36,80,20,28,47,0,3,3,61,69,136,474,681,1155,1944,1913,3864
SAL50112,13,8,18,23,14,42,10,16,25,17,14,35,53,41,94,16,16,35,17,16,35,10,8,16,45,40,86,4,4,6,0,4,6,0,3,9,8,15,23,0,0,0,21,28,43,3,5,3,0,10,8,0,0,0,10,10,16,0,0,0,14,19,32,28,45,76,0,0,0,3,0,5,0,0,0,3,4,6,60,44,107,201,194,388
SAL50113,0,0,0,0,0,3,3,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,8,5,9
SAL50114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50115,70,71,140,346,276,619,52,53,104,51,47,98,445,375,828,135,102,237,47,42,89,87,68,160,279,210,486,15,19,34,18,23,47,25,16,39,14,46,61,0,0,0,74,103,183,40,58,104,15,37,52,13,6,19,19,37,53,0,0,0,90,140,223,165,249,407,13,25,42,20,32,56,0,0,0,38,59,97,147,120,270,1141,1091,2229
SAL50116,9,7,16,22,19,45,3,0,4,0,0,0,28,20,49,10,15,28,4,10,13,0,3,3,18,25,42,0,0,0,0,0,3,0,0,0,0,11,7,0,0,0,7,7,10,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,11,12,23,5,7,7,0,0,0,0,0,0,5,10,12,65,57,117,121,133,253
SAL50117,68,42,110,136,132,272,40,45,81,43,34,77,218,211,423,90,95,186,50,71,119,42,39,78,181,202,387,11,14,22,9,14,20,25,5,38,21,30,46,0,0,0,68,61,128,64,78,139,15,28,43,14,12,22,23,42,64,0,0,0,107,164,278,176,225,403,3,5,9,14,22,39,0,0,0,22,32,53,117,113,226,781,821,1601
SAL50118,0,9,9,22,11,39,3,0,4,15,6,21,40,20,64,10,13,22,12,0,12,14,12,27,29,28,57,0,3,3,0,0,0,3,0,5,0,3,5,0,0,0,11,7,15,3,6,15,0,5,5,4,0,4,0,7,8,0,0,0,8,15,25,18,28,42,0,0,0,0,0,4,0,0,0,0,0,4,10,7,18,96,92,188
SAL50119,57,43,101,173,145,318,70,73,144,20,21,46,270,241,511,44,61,101,116,130,245,42,43,89,201,235,434,6,15,20,5,11,16,23,6,35,19,25,45,0,0,0,51,63,112,105,145,249,27,30,56,17,16,36,33,65,96,0,4,4,188,255,441,238,322,561,3,4,10,12,18,27,0,0,0,16,27,40,166,138,305,944,1005,1949
