SAL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SAL50001,10,20,0,0,0,8,0,0,9,30,5,32,0,7,0,0,3,6,0,14,13,51,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,24,73
SAL50002,158,314,0,6,14,66,4,20,107,421,128,516,7,39,12,35,14,36,29,109,158,625,0,8,3,14,0,5,19,48,29,77,0,4,3,10,18,25,20,33,46,111,4,3,365,1057
SAL50003,8,15,0,0,4,17,0,0,6,21,11,39,0,0,7,5,0,0,7,5,10,45,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,22,74
SAL50004,9,9,0,0,0,0,0,0,5,19,5,19,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,10,39
SAL50005,4,10,0,0,0,0,0,0,7,19,7,19,0,0,0,0,0,0,0,0,7,19,0,0,0,0,0,0,0,5,4,5,0,0,0,0,0,0,0,0,4,5,0,0,8,34
SAL50006,205,410,0,0,11,49,6,13,47,169,61,226,0,6,12,39,16,45,34,93,92,315,0,5,0,11,0,4,15,37,21,56,0,0,3,6,13,26,16,39,37,91,8,18,347,836
SAL50007,3,3,0,0,0,5,0,0,3,21,9,23,0,0,0,0,0,4,0,4,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,29
SAL50008,753,1518,37,206,93,480,27,126,472,1874,628,2681,76,320,89,310,244,794,408,1422,1032,4099,10,40,26,92,10,36,124,349,165,519,26,82,32,82,165,370,225,537,388,1057,34,73,2207,6753
SAL50009,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50010,295,585,3,12,39,175,10,38,211,797,259,1024,26,107,52,191,55,164,134,462,395,1489,0,0,10,37,0,7,38,104,54,147,5,19,13,27,38,74,51,119,105,266,4,11,797,2355
SAL50011,805,1548,21,107,119,530,65,282,1018,3790,1222,4711,49,192,93,288,150,469,292,949,1518,5655,4,24,30,104,12,40,283,716,329,884,29,98,40,80,110,236,185,415,507,1296,34,77,2865,8575
