SAL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SAL51657,0,0,0,0,4,0,0,3,3,18
SAL51658,0,0,0,3,0,0,3,9,0,13
SAL51659,0,0,0,13,4,0,25,102,19,146
SAL51660,191,31,224,448,154,21,629,1723,153,2500
SAL51661,0,0,0,0,0,0,0,0,0,0
SAL51662,0,0,4,24,6,0,32,115,143,287
SAL51663,7,0,7,10,3,0,14,42,10,68
SAL51664,12,0,15,215,76,8,297,603,81,980
SAL51665,0,0,0,50,20,3,75,176,14,265
SAL51666,20,0,20,600,144,38,776,1374,100,2250
SAL51667,120,25,151,2157,563,99,2823,4867,581,8266
SAL51668,0,0,0,3,4,0,12,7,0,22
SAL51669,0,0,0,0,0,0,0,0,0,0
SAL51670,66,3,71,1409,463,58,1931,3797,319,6047
SAL51671,5,0,6,15,0,0,18,99,15,129
SAL51672,0,0,0,0,0,0,0,18,0,15
SAL51673,0,0,0,5,0,0,4,8,3,17
SAL51674,0,0,0,4,5,0,8,29,8,51
SAL51675,9,0,12,78,32,3,115,279,34,434
SAL51676,0,0,0,6,3,0,9,15,4,20
SAL51677,0,0,0,20,4,0,19,43,0,64
SAL51678,3,0,3,16,0,0,13,50,10,79
SAL51679,0,0,0,0,0,0,0,0,0,0
SAL51680,7,0,7,4,0,0,9,60,10,79
SAL51681,0,0,0,0,0,0,0,0,0,0
SAL51682,0,0,0,0,0,0,0,0,0,0
SAL51683,0,0,0,13,8,0,19,35,0,60
SAL51684,0,0,0,3,0,0,4,49,10,57
SAL51685,0,0,0,0,5,0,5,17,9,27
SAL51686,0,0,0,4,0,0,10,27,0,39
SAL51687,0,0,0,6,0,0,4,3,0,6
SAL51688,401,27,445,1963,657,67,2685,7669,509,10865
SAL51689,0,0,0,11,14,0,26,48,3,71
SAL51690,71,16,93,236,125,12,375,1502,197,2072
SAL51691,0,0,0,11,3,0,12,23,0,36
SAL51692,0,0,0,18,5,0,16,41,16,79
SAL51693,0,0,0,11,0,0,10,9,0,15
SAL51694,0,0,0,6,4,0,9,16,0,24
SAL51695,4,0,4,46,14,0,63,183,26,266
SAL51696,0,0,0,4,0,0,4,3,3,10
SAL51697,0,0,0,4,0,0,5,9,15,29
SAL51698,0,0,0,0,0,0,0,0,0,0
SAL51699,0,0,0,0,0,0,0,0,0,0
SAL59494,12,23,30,613,205,45,861,3063,3361,7285
SAL59797,0,0,0,40,5,3,45,248,221,516
