SAL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL51349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51350,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,4,0,0,0,4,4,0,0,6,3,11,4,0,0,36
SAL51351,5,0,3,0,5,6,6,0,0,20,0,0,0,0,5,0,0,0,0,10,43,44,103,115,147,126,44,0,0,621
SAL51352,3,17,27,20,17,8,6,0,0,96,3,6,29,24,12,15,0,0,0,95,70,154,477,439,292,177,43,5,0,1651
SAL51353,0,0,10,3,3,0,0,0,0,27,0,3,3,5,3,6,0,0,0,22,23,47,79,66,70,70,19,5,0,373
SAL51354,7,12,22,17,18,3,0,0,0,76,5,7,19,21,21,14,3,0,0,90,177,183,360,465,495,317,38,5,0,2038
SAL51355,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,20
SAL51356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,7,12,0,0,0,39
SAL51358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51359,15,15,15,24,27,16,6,0,0,112,17,12,11,18,15,10,3,0,0,84,160,204,513,523,497,342,71,3,0,2311
SAL51360,12,12,22,17,25,18,6,0,0,121,0,8,19,38,40,29,17,3,0,150,279,349,415,711,976,823,302,36,0,3898
SAL51361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,0,0,11
SAL51362,9,5,0,4,7,3,0,0,0,31,0,3,0,3,5,6,0,0,0,26,39,49,109,101,121,103,24,0,0,553
SAL51363,5,18,30,28,41,22,14,5,0,163,9,19,28,30,22,15,6,0,0,137,265,310,759,835,959,739,246,31,4,4160
SAL51364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,12
SAL51365,0,0,0,0,4,0,0,0,0,13,0,0,4,0,8,6,4,0,0,20,23,35,63,67,89,82,31,4,0,398
SAL51366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,11
SAL51367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,8,7,8,0,0,0,32
SAL51368,3,3,14,7,5,10,3,0,0,46,4,5,28,20,23,15,10,3,0,91,72,114,346,345,360,383,121,25,0,1754
SAL51369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,8
SAL51370,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,8,6,4,7,17,3,0,0,46
SAL51371,5,9,30,30,14,7,0,0,0,99,6,6,28,27,20,12,3,0,0,99,92,118,467,559,421,309,80,16,0,2059
SAL51372,17,17,50,46,35,22,3,0,0,193,19,33,60,56,45,32,5,0,0,252,278,392,1506,1353,938,703,116,5,0,5295
SAL51373,11,15,35,22,19,8,4,0,0,110,3,13,22,26,12,12,0,0,0,86,146,209,505,477,411,342,105,9,0,2210
SAL51374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,11
SAL51375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,12,4,11,4,0,0,44
SAL51376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6
SAL51377,7,18,25,30,25,23,8,0,0,137,10,18,46,43,37,24,3,0,0,179,161,273,723,610,623,482,102,10,0,2984
SAL51378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,4,0,0,22
SAL51379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,5,10,5,0,0,0,21
SAL51380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,0,8,0,0,23
SAL51381,4,27,54,39,30,25,14,5,0,208,10,20,63,62,44,41,27,11,0,288,270,708,1615,1353,1220,1142,546,91,4,6954
SAL51382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,18,19,26,17,12,0,0,105
SAL51383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,12,4,3,0,34
SAL51384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7
SAL51385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,14,12,15,0,0,0,68
SAL51386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,0,4,0,20
SAL51387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,3,0,0,0,11
SAL51388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12
SAL51389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SAL51390,6,3,22,9,9,3,3,0,0,58,0,5,13,5,13,14,0,3,0,53,108,127,291,285,351,322,94,10,0,1595
SAL51391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,9,7,14,0,0,46
SAL51392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,7,14,4,0,0,45
SAL51393,0,0,0,0,0,0,0,0,0,12,0,0,6,0,6,6,4,0,0,14,8,17,46,56,64,68,25,4,0,275
SAL51394,10,32,58,69,46,41,10,0,0,269,22,44,74,109,69,53,9,0,0,375,412,622,1264,1914,1476,781,166,17,0,6645
SAL51395,3,8,7,8,7,5,0,0,0,32,0,3,8,3,10,3,0,0,3,35,46,72,100,119,138,144,51,3,3,666
SAL51396,12,27,51,47,41,49,13,0,0,239,10,23,75,78,60,42,10,0,0,306,242,550,1236,1111,1080,833,245,23,0,5323
SAL51397,9,8,17,8,6,9,5,0,0,68,3,10,12,8,0,11,3,0,0,55,122,108,267,248,263,282,79,14,0,1386
SAL51398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,22,3,0,0,43
SAL51399,4,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,10,8,9,15,37,39,7,0,0,124
SAL51400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,4
SAL51401,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,3,14,55,47,23,16,5,0,0,171
SAL51402,5,16,34,19,8,3,0,0,0,94,3,22,47,18,19,9,3,0,0,117,133,378,941,578,403,276,77,0,0,2786
