SAL_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SAL50001,39,2219,885,210,1875,0.9,1875,3
SAL50002,42,1742,837,410,2030,0.7,1737,2.7
SAL50003,42,2500,731,150,1958,0.8,1437,2.8
SAL50004,38,2886,1174,0,3625,0.8,3250,2.8
SAL50005,34,0,525,75,1024,0.9,949,2.8
SAL50006,55,1700,883,325,1976,0.7,1363,2
SAL50007,42,0,1312,0,1749,0.9,1916,2.8
SAL50008,39,1733,703,360,1917,0.8,1709,2.9
SAL50009,65,1083,450,0,1375,0.3,474,1.3
SAL50010,41,2400,993,430,2922,0.7,2262,2.6
SAL50011,31,1950,977,360,2247,0.8,2035,2.8
SAL50012,43,437,1125,250,2249,0.6,1875,2.4
SAL50013,45,1733,735,260,2178,0.7,1860,2.6
SAL50014,50,2000,880,195,2250,0.7,1468,2.2
SAL50015,35,0,1031,0,1874,0.7,1625,2.4
SAL50016,42,2167,844,275,2352,0.9,2318,3.1
SAL50017,46,3542,1083,234,2250,0.8,1375,2.3
SAL50018,51,0,537,0,1499,0.3,1499,2.5
SAL50019,44,1950,772,399,1937,0.8,1797,2.7
SAL50020,49,2700,550,225,1375,0.9,1374,2.7
SAL50021,0,0,0,0,0,0,0,0
SAL50022,44,2800,1167,475,3304,0.7,2453,2.5
SAL50023,47,1192,774,100,1187,0.9,1166,2.4
SAL50024,41,2600,1001,470,2961,0.7,2361,2.7
SAL50025,47,2000,831,350,2388,0.8,2147,2.7
SAL50026,39,1300,558,270,1310,0.7,1020,2.2
SAL50027,38,0,725,150,966,0.9,949,2.5
SAL50028,50,0,399,0,2249,1,1375,2.3
SAL50029,37,434,1399,0,3083,0.9,2249,2.5
SAL50030,49,532,985,92,2250,0.8,1812,2.4
SAL50031,46,2167,1035,400,2510,0.7,2072,2.3
SAL50032,39,1863,760,380,1973,0.7,1416,2.4
SAL50033,46,0,0,927,0,0.2,0,1
SAL50034,38,1881,817,300,2324,0.7,1666,2.4
SAL50035,43,2600,1066,425,3326,0.7,2521,2.6
SAL50036,35,1950,939,400,2626,0.8,2404,3
SAL50037,33,2080,1086,420,2714,0.8,2490,3.1
SAL50038,62,1551,541,280,1176,0.7,869,1.9
SAL50039,36,1712,797,350,2104,0.7,1856,2.7
SAL50040,31,1950,1046,390,2325,0.8,2165,2.9
SAL50041,39,0,762,295,1999,1,1375,2.3
SAL50042,40,0,949,150,1375,0.9,1375,3.3
SAL50043,45,542,1124,0,2750,1,2374,3.2
