SAL_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SAL50001,0,0,0,3,5,10,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,45,0,0,0,0,0,0,25,21,49,5,8,11,34,48,83
SAL50002,11,9,21,80,112,192,0,0,0,8,17,23,0,0,0,105,93,194,3,0,4,3,3,7,3,6,11,6,5,9,0,0,4,0,0,0,0,0,0,8,6,10,4,7,9,0,0,0,0,4,3,12,25,36,23,23,50,0,0,0,252,303,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,315,651,0,0,0,4,4,5,349,314,661,37,44,83,650,674,1321
SAL50003,0,0,0,3,6,10,0,0,0,4,0,3,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,7,8,0,0,0,18,21,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,23,51,0,0,0,0,0,0,26,23,51,5,3,9,45,47,92
SAL50004,0,0,0,6,5,8,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,12,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,23,0,0,0,0,0,0,13,7,23,0,0,0,24,23,41
SAL50005,0,0,0,10,6,12,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,20,0,0,0,0,0,0,16,9,20,4,3,7,30,20,51
SAL50006,5,12,13,74,86,164,0,0,0,11,5,14,0,0,0,90,95,187,0,5,4,4,4,8,0,0,4,0,0,7,0,4,4,0,0,0,0,6,6,0,4,8,32,13,43,0,0,0,12,0,12,18,26,41,22,23,42,0,0,0,273,276,550,0,4,3,9,3,8,3,3,3,0,0,0,0,0,0,0,9,13,0,9,13,337,346,682,0,0,3,6,5,10,343,351,696,58,49,108,689,710,1403
SAL50007,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,19,0,0,0,0,0,0,15,9,19,0,0,0,21,14,41
SAL50008,253,311,560,283,322,611,0,0,0,103,96,201,0,0,0,836,988,1820,9,7,21,142,150,290,18,17,38,5,11,18,6,12,18,0,0,0,29,34,63,44,56,100,33,34,67,5,4,9,8,7,19,33,39,73,180,193,376,3,0,4,1754,1982,3732,42,39,83,299,321,623,5,3,5,0,0,0,18,8,25,10,19,24,26,24,50,1238,1053,2296,18,20,36,3,3,10,1258,1076,2340,196,177,371,3837,3933,7772
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3
SAL50010,7,26,29,149,203,348,0,0,0,28,35,67,0,0,0,362,425,790,6,3,9,5,6,13,6,4,8,0,0,0,0,4,9,0,0,0,6,11,14,20,17,34,16,25,43,0,0,0,6,0,8,22,38,60,21,27,53,0,0,0,646,806,1452,11,5,17,9,11,22,0,0,0,0,0,0,0,3,3,0,6,8,0,7,8,599,560,1162,3,8,6,0,0,0,603,567,1166,64,59,124,1342,1488,2830
SAL50011,40,57,95,442,563,1005,0,0,0,82,92,168,0,0,0,717,881,1596,10,15,23,36,31,67,19,17,41,36,26,64,11,4,14,10,12,18,22,26,56,113,142,259,65,54,125,0,0,0,17,24,43,34,39,73,195,257,454,0,8,4,1819,2188,4001,91,83,174,66,48,115,3,5,9,0,0,0,41,24,70,19,14,29,58,39,102,2445,2618,5063,9,3,14,3,18,17,2464,2636,5096,352,259,611,4885,5320,10203
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,16,0,0,0,0,0,0,6,7,16,0,0,0,11,9,19
SAL50013,0,0,0,40,60,98,0,0,0,3,4,14,0,0,0,41,32,71,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,4,3,13,17,0,7,4,0,0,0,100,120,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,5,10,174,153,323,0,3,6,0,0,0,175,155,329,26,9,38,301,291,591
SAL50014,0,0,0,14,13,30,0,0,0,0,0,0,0,0,0,6,7,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,27,28,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,31,15,42,0,0,0,0,0,0,31,15,42,12,8,20,68,44,116
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,7,7,15
SAL50016,0,0,0,42,57,100,0,0,0,0,4,7,0,0,0,41,28,65,8,5,8,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,9,0,0,0,0,0,0,6,3,10,14,4,21,0,0,0,117,115,232,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,141,287,0,0,0,0,0,0,143,141,288,20,18,41,283,276,564
SAL50017,0,0,0,8,3,8,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,5,5,0,0,0,10,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,39,0,0,0,0,0,0,26,19,41,4,0,4,39,29,71
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3
SAL50019,7,8,16,17,12,28,0,0,0,0,6,6,0,0,0,35,23,56,0,0,0,0,0,0,4,6,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,4,4,3,7,10,0,0,0,65,49,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,51,127,0,0,0,0,0,0,74,51,131,11,11,23,156,124,280
SAL50020,0,0,6,3,7,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,17,0,0,0,0,0,0,16,7,17,5,7,10,24,26,53
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,72,117,189,352,478,826,0,0,0,55,62,121,5,8,7,738,874,1614,0,7,11,31,43,75,7,11,19,0,7,13,13,15,27,0,3,5,18,14,28,43,42,83,83,99,185,0,0,0,7,10,16,92,137,226,101,141,245,5,4,8,1557,1949,3510,67,76,140,71,63,132,9,12,15,0,0,0,23,20,42,24,18,41,46,41,87,1420,1312,2729,12,0,14,6,8,12,1434,1321,2759,202,194,394,3462,3766,7228
SAL50023,0,0,0,4,7,8,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,7,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,20,0,0,0,0,0,0,14,7,20,4,3,13,33,21,51
SAL50024,57,88,148,209,272,480,0,0,0,57,75,132,0,0,6,457,510,967,0,4,6,29,34,65,0,0,0,0,0,0,5,8,8,0,0,0,8,7,14,27,42,66,37,38,70,0,0,0,0,0,0,42,63,111,86,104,185,0,4,8,957,1173,2122,38,40,81,34,58,90,9,0,5,0,0,0,3,12,16,15,17,30,21,28,49,960,910,1871,6,4,8,0,0,4,967,916,1882,100,101,207,2176,2401,4578
SAL50025,0,6,6,38,45,86,0,0,0,3,3,5,0,0,0,38,40,75,6,0,5,0,0,0,0,0,0,0,0,0,5,4,9,0,0,0,5,8,16,0,0,3,5,8,9,0,0,0,0,6,7,3,3,12,11,20,29,0,0,0,111,133,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,142,137,284,0,0,0,0,0,0,147,140,288,14,18,31,276,295,575
SAL50026,59,114,174,615,778,1398,0,0,0,136,164,300,3,7,10,761,916,1677,11,11,19,15,18,33,26,48,70,19,28,43,14,15,34,4,0,3,35,34,72,79,108,193,171,223,389,10,12,18,63,67,132,55,91,137,291,324,623,9,15,22,2335,2849,5181,80,79,154,118,117,229,3,0,3,5,3,3,27,17,40,27,58,82,59,72,131,3081,2953,6029,32,22,54,7,17,20,3112,2996,6108,754,672,1427,6514,6900,13415
SAL50027,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,26,0,0,0,0,0,0,17,8,26,9,7,9,26,23,48
SAL50028,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,11,3,17
SAL50029,0,0,0,3,5,9,0,0,0,0,3,5,0,0,0,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,12,11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,30,0,0,0,0,0,0,24,9,28,0,4,8,37,25,61
SAL50030,0,0,0,10,11,19,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,12,18,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,36,0,0,0,0,0,0,17,19,36,0,3,4,32,35,66
SAL50031,35,38,71,157,170,331,0,0,0,12,15,25,0,0,0,325,359,677,0,3,4,5,15,28,5,8,12,0,4,6,4,4,11,6,0,4,8,8,13,10,18,28,26,24,50,3,0,3,0,0,0,22,21,53,45,47,93,3,3,3,636,698,1332,29,34,65,45,44,80,0,0,9,0,0,0,0,0,3,9,13,13,9,8,20,587,534,1123,5,5,6,0,4,4,591,537,1125,180,206,386,1527,1566,3095
