SAL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SAL50001,34,36,65,12,11,25,5,10,16,3,7,7,0,0,0,24,26,51,4,4,11,0,3.8,2,76.7,74.3,75.4,76.7,71.4,73.8,0,0,0,0,0,0,5,8,13,5,3,4,12,3,13,0,0,0,0,0,0,12,5,17,33,41,75,0,4,5,20,30,51,10,19,32
SAL50002,504,523,1026,222,112,335,70,169,235,29,22,52,9,9,17,329,311,640,148,182,330,2.4,2.3,2.3,65.6,59.3,62.4,64,57.9,60.9,10,13,25,13,21,33,61,93,155,34,56,88,173,95,264,6,14,23,3,15,18,184,120,304,521,531,1052,92,99,194,344,342,683,234,263,500
SAL50003,40,41,76,16,8,19,6,13,18,0,0,0,0,0,0,23,16,46,9,14,22,0,0,0,63.2,51.4,57.3,63.2,51.4,57.3,0,0,0,0,0,0,0,7,6,3,4,7,9,0,15,0,4,4,0,0,0,9,4,20,38,35,71,8,8,16,31,41,72,11,0,12
SAL50004,17,15,33,16,5,17,0,4,5,5,0,3,0,0,0,19,10,28,4,4,7,0,0,0,88.9,78.6,84.4,88.9,78.6,84.4,0,0,0,0,0,0,7,6,9,0,0,3,0,3,6,0,0,0,0,0,0,0,3,6,24,19,44,3,0,5,18,18,33,3,4,5
SAL50005,23,13,33,7,4,11,0,0,4,0,0,0,4,0,0,13,10,18,4,4,10,27.3,12.5,21.1,52.4,57.1,54.3,38.1,50,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,3,4,5,22,17,37,5,5,7,14,13,24,10,3,13
SAL50006,626,633,1257,207,141,350,94,183,274,22,21,43,15,11,25,335,350,683,240,253,496,4.2,2,3.1,53.8,55.2,54.5,51.5,54.1,52.8,37,45,88,22,34,57,108,159,270,55,75,125,107,57,161,7,12,17,4,8,15,118,77,199,502,556,1058,138,115,249,330,364,690,290,292,583
SAL50007,19,12,32,13,0,15,0,4,6,0,0,0,0,0,0,13,11,25,0,0,0,0,11.1,4.2,93.8,69.2,82.8,93.8,61.5,79.3,0,0,0,0,0,0,0,5,5,3,0,6,3,3,8,0,0,0,0,0,0,3,3,8,20,11,35,0,0,0,18,11,31,0,0,0
SAL50008,3095,3205,6301,1493,842,2334,468,906,1371,110,107,220,148,126,267,2218,1979,4191,777,1142,1916,6.6,6.3,6.5,71.5,61.7,66.6,66.8,57.8,62.2,75,76,148,17,72,96,284,386,669,251,319,567,782,424,1200,50,65,119,37,81,114,863,567,1440,3382,3486,6867,296,310,602,2576,2608,5183,910,993,1908
SAL50009,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,100,33.3,50,100,33.3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0
SAL50010,1068,1213,2279,542,332,872,159,369,534,27,40,64,40,30,67,767,773,1543,266,400,668,5.2,3.6,4.4,71.8,63.8,67.6,68.1,61.5,64.6,93,92,186,34,68,102,266,348,618,106,124,232,203,100,307,10,13,21,22,35,55,235,146,384,1153,1241,2392,137,186,326,748,828,1577,477,529,1012
