SAL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SAL50001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,3,8,5,4,15,0,3,8,5,48
SAL50002,3,4,5,3,4,4,3,0,0,20,0,4,4,3,5,0,7,0,0,21,42,98,79,55,90,111,52,85,3,625
SAL50003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,8,4,3,4,11,0,46
SAL50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,12,0,28
SAL50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,14
SAL50006,4,3,5,0,5,4,0,3,0,20,0,3,3,0,0,0,0,0,3,19,37,120,88,63,88,111,42,102,6,665
SAL50007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,5,0,12,0,25
SAL50008,4,28,23,19,33,41,15,22,6,188,9,28,22,16,38,30,7,29,41,218,137,588,442,341,871,766,206,489,82,3922
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50010,0,8,10,4,12,3,3,8,0,49,0,12,6,4,9,18,8,5,3,64,55,239,177,111,236,307,114,219,9,1471
SAL50011,11,42,37,24,63,56,14,25,0,258,3,30,14,15,35,55,10,30,23,217,255,672,594,413,1133,1095,323,799,73,5356
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,3,15
SAL50013,0,8,0,3,0,0,0,0,0,20,0,0,0,0,5,0,0,0,0,8,21,45,31,18,47,61,20,49,5,303
SAL50014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,0,9,3,24,4,54
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9
SAL50016,0,8,3,5,0,5,0,0,0,16,0,0,0,0,0,0,0,0,3,18,15,54,44,33,39,43,14,62,9,315
