SAL_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SAL50001,9,0,0,0,0,0,0,13
SAL50002,127,21,9,4,0,0,0,158
SAL50003,10,0,0,0,0,0,0,10
SAL50004,3,0,0,0,0,0,0,3
SAL50005,0,0,0,0,0,0,0,7
SAL50006,76,16,0,0,0,0,0,92
SAL50007,6,0,0,0,0,0,0,6
SAL50008,867,100,40,12,0,0,13,1032
SAL50009,0,0,0,0,0,0,0,0
SAL50010,353,30,9,3,0,0,3,395
SAL50011,1120,280,97,8,3,0,0,1518
SAL50012,3,0,0,0,0,0,0,3
SAL50013,55,11,0,0,0,0,0,66
SAL50014,7,0,0,0,0,0,0,8
SAL50015,0,0,0,0,0,0,0,0
SAL50016,65,13,0,0,0,0,0,74
SAL50017,8,0,0,0,0,0,0,9
SAL50018,0,0,0,0,0,0,0,0
SAL50019,27,3,3,0,0,0,0,37
SAL50020,8,0,0,0,0,0,0,5
SAL50021,0,0,0,0,0,0,0,0
SAL50022,797,97,17,4,0,0,0,917
SAL50023,4,0,0,0,0,0,0,3
SAL50024,578,69,8,3,0,0,0,658
SAL50025,60,7,0,4,0,0,0,67
SAL50026,694,178,73,27,9,3,15,993
SAL50027,4,0,0,0,0,0,0,5
SAL50028,0,0,0,0,0,0,0,0
SAL50029,9,0,0,0,0,0,0,9
SAL50030,5,0,0,0,0,0,0,9
SAL50031,231,39,11,0,0,0,0,284
SAL50032,280,55,9,5,0,0,0,351
SAL50033,0,0,0,0,0,0,0,0
SAL50034,102,24,6,3,0,0,0,142
SAL50035,810,93,21,6,0,0,0,928
SAL50036,1244,196,49,6,0,0,3,1505
SAL50037,988,137,35,3,0,0,0,1161
SAL50038,77,14,0,0,0,0,5,93
SAL50039,1506,344,107,13,5,3,9,1995
SAL50040,1664,300,99,20,0,5,8,2095
SAL50041,0,0,0,0,0,0,0,0
SAL50042,6,0,0,0,0,0,0,6
SAL50043,3,0,0,0,0,0,0,3
SAL50044,0,0,0,0,0,0,0,0
SAL50045,0,0,0,0,0,0,0,6
SAL50046,0,0,0,0,0,0,0,8
SAL50047,0,0,0,0,0,0,0,0
SAL50048,9,0,0,0,0,0,0,12
SAL50049,0,0,0,0,0,0,0,0
SAL50050,4,0,0,0,0,0,0,4
SAL50051,93,36,8,0,0,0,0,140
SAL50052,18,3,0,0,0,0,0,20
SAL50053,1003,101,31,8,0,0,9,1137
SAL50054,3938,1076,353,38,8,6,25,5444
SAL50055,1096,134,42,18,3,0,5,1302
SAL50056,27,8,3,0,0,0,0,41
