SAL_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SAL51333,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,3,17,0,28
SAL51334,0,0,0,0,0,0,0,13,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,14,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,4,18,0,30
SAL51335,0,0,0,0,0,0,0,21,0,25,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,4,6,0,11,3,23,0,46
SAL51336,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,6,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,5,0,22
SAL51337,20,27,44,35,143,207,91,200,8,768,46,100,108,92,216,294,87,160,8,1101,63,63,58,47,226,321,108,386,14,1291,43,247,180,114,131,150,40,60,11,972,26,101,116,83,200,154,25,61,11,773,22,283,107,50,60,40,10,26,8,615,39,31,23,16,49,59,42,210,4,466,38,154,70,39,72,75,20,87,8,554,7,13,9,6,12,16,3,24,29,115,312,1013,709,473,1109,1318,425,1212,92,6664
SAL51338,7,0,0,0,0,0,0,0,0,6,0,4,4,3,4,0,0,0,0,14,0,0,0,4,5,4,0,4,0,18,4,0,4,5,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,8,0,0,3,0,3,0,0,0,0,10,0,0,0,0,0,4,3,5,0,6,0,3,5,0,0,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,12,15,14,7,15,16,4,16,0,97
SAL51339,5,3,11,7,20,30,8,43,3,142,8,16,23,13,27,32,11,27,3,155,22,13,25,17,41,55,19,85,9,284,7,20,24,22,14,18,3,10,0,118,12,22,47,9,28,34,5,9,0,167,5,33,15,11,10,9,0,6,0,90,14,11,4,7,13,21,16,48,4,133,3,20,11,7,16,24,0,11,8,110,9,3,3,0,3,10,3,7,10,50,84,149,161,104,173,233,66,246,36,1254
SAL51340,7,15,17,16,69,109,34,80,3,359,30,53,62,51,134,119,39,63,5,545,27,57,58,56,198,237,94,206,9,956,33,140,143,105,142,76,25,60,15,737,30,52,98,49,193,160,35,32,11,655,18,133,104,43,70,50,7,25,0,449,36,48,41,40,142,146,75,184,16,733,30,147,103,77,135,108,28,67,12,708,3,5,0,4,14,16,4,12,27,82,217,672,634,436,1101,1010,337,730,96,5230
SAL51341,0,0,0,0,0,0,3,13,0,14,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,9,6,12,0,39
SAL51342,4,9,4,4,11,15,5,18,0,65,0,10,9,12,10,18,5,13,0,77,5,4,5,0,6,6,0,15,0,47,0,10,0,0,4,3,0,3,0,28,0,9,0,3,6,7,0,0,0,27,0,7,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,4,0,11,4,7,3,5,5,0,0,4,0,26,0,0,0,0,0,0,0,0,0,7,18,56,38,23,32,48,10,56,0,281
