SAL_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
SAL50001,4,5,0,0,0,0,0,6,3,0,3,45,3,67,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,11,0,0,3,0,0,6,3,0,3,55,7,83,6,8,0,0
SAL50002,90,93,34,3,30,25,7,14,87,3,81,668,36,1036,9,3,3,0,0,5,0,0,3,0,0,12,0,27,13,10,6,0,10,3,0,5,12,5,14,61,3,108,5,3,3,0,5,0,0,0,0,0,3,11,0,27,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,10,0,17,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,9,3,8,0,3,0,0,0,0,0,0,4,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,6,13,0,20,32,16,10,0,15,14,0,4,15,5,27,127,8,224,0,0,0,0,0,0,0,0,0,0,0,0,61,60,116,115,49,8,38,41,7,22,104,11,107,800,97,1321,36,57,9,0
SAL50003,0,4,3,0,4,0,0,0,4,0,0,47,3,68,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,18,3,0,0,0,0,0,0,0,0,0,0,0,10,13,3,7,3,0,3,0,0,0,8,0,5,56,8,92,0,5,0,0
SAL50004,0,12,0,0,0,0,0,0,0,0,11,21,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,3,0,0,0,0,0,11,22,0,41,8,6,0,0
SAL50005,3,4,0,0,0,0,0,0,3,0,0,31,4,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,0,0,0,0,0,0,3,0,0,31,3,51,3,0,0,0
SAL50006,124,79,54,4,36,42,4,18,88,10,67,498,50,909,0,4,0,0,0,0,0,0,4,0,0,58,0,66,30,7,14,0,9,17,4,4,12,4,14,75,8,171,7,0,0,0,0,4,0,0,6,0,8,19,0,34,4,0,0,0,5,4,0,0,0,0,4,7,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,0,0,0,0,0,0,0,0,0,6,30,0,36,0,0,0,0,0,0,0,0,0,0,0,18,0,23,0,6,0,0,0,4,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,13,0,15,6,0,0,0,0,0,0,0,6,0,3,14,4,30,48,19,20,0,16,32,6,9,26,7,32,247,13,411,0,0,0,0,0,0,0,0,0,0,0,9,70,84,169,96,73,7,54,68,10,26,116,17,97,754,140,1403,59,58,28,0
SAL50007,0,3,0,0,0,0,0,0,0,0,0,20,6,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,20,7,41,0,6,0,0
SAL50008,277,441,99,9,185,126,32,84,417,31,399,2883,174,4475,15,17,5,0,4,13,0,3,12,0,15,102,5,165,75,43,30,7,50,32,5,13,48,15,44,202,6,418,16,8,0,0,6,6,4,4,10,0,13,65,3,104,53,17,26,3,43,42,8,10,30,12,38,239,18,427,20,14,0,0,13,5,0,3,7,0,12,130,11,189,43,35,24,5,85,23,5,9,33,12,68,761,30,1048,0,0,0,0,4,0,0,0,0,0,7,75,3,90,33,6,6,3,26,23,0,7,10,0,28,260,14,361,4,8,0,0,4,5,0,0,5,0,5,36,0,55,18,10,4,0,11,6,5,0,11,0,17,172,10,220,278,160,93,29,247,152,31,58,161,40,246,2039,105,3084,7,5,0,0,0,0,0,0,6,0,5,17,177,208,560,604,193,34,434,279,61,137,583,76,651,4941,463,7772,180,286,83,0
SAL50009,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
SAL50010,125,133,41,8,40,60,9,16,167,11,148,1278,88,1918,9,6,4,0,0,4,0,0,4,0,0,24,3,46,28,19,16,0,14,15,0,0,24,3,25,141,9,249,5,4,4,0,0,7,0,0,0,0,5,34,6,59,3,0,6,0,3,5,0,0,0,0,3,45,0,72,0,0,0,0,0,0,0,0,4,0,4,22,0,31,8,5,0,0,4,4,0,0,3,0,5,81,0,110,6,0,0,0,4,0,0,0,3,0,5,42,0,62,0,3,0,0,6,4,0,3,0,0,0,29,0,44,4,3,0,0,0,0,0,0,3,0,6,29,4,46,7,7,4,0,6,7,0,4,7,0,14,51,0,92,69,47,31,3,45,46,3,10,46,7,78,514,26,816,0,0,0,0,0,3,0,0,0,0,0,11,81,96,190,185,79,11,83,107,12,28,213,14,228,1802,185,2830,61,115,28,0
