SAL_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL50001,7,0,3,0,35
SAL50002,115,113,32,14,694
SAL50003,8,5,0,0,40
SAL50004,0,5,0,0,17
SAL50005,0,0,0,0,18
SAL50006,188,202,67,20,848
SAL50007,0,0,0,0,15
SAL50008,602,339,105,31,3272
SAL50009,0,0,0,0,3
SAL50010,263,189,105,28,1649
SAL50011,441,202,65,12,4906
SAL50012,4,3,0,0,6
SAL50013,62,38,8,0,290
SAL50014,5,6,0,0,42
SAL50015,0,0,0,0,6
SAL50016,59,34,9,0,281
SAL50017,0,5,0,0,37
SAL50018,0,0,0,0,0
SAL50019,30,17,8,0,139
SAL50020,7,4,0,0,24
SAL50021,0,0,0,0,0
SAL50022,775,680,307,82,4418
SAL50023,0,0,0,0,26
SAL50024,436,363,167,55,2707
SAL50025,72,42,11,5,312
SAL50026,790,655,385,131,5690
SAL50027,3,5,3,0,25
SAL50028,0,3,0,0,11
SAL50029,3,0,0,0,23
SAL50030,4,3,0,0,30
SAL50031,333,209,122,90,1886
SAL50032,163,124,106,37,1316
SAL50033,0,0,0,0,0
SAL50034,80,61,38,14,742
SAL50035,702,428,275,112,3773
SAL50036,565,245,91,11,4558
SAL50037,242,146,58,57,3318
SAL50038,147,202,114,41,771
SAL50039,1143,786,335,71,7384
SAL50040,567,293,113,10,6595
SAL50041,0,3,0,0,0
SAL50042,0,0,0,0,8
SAL50043,8,0,0,0,25
SAL50044,3,0,0,0,5
SAL50045,9,0,0,0,24
SAL50046,0,0,0,0,5
SAL50047,0,0,0,0,4
SAL50048,17,13,4,0,88
SAL50049,0,3,0,0,14
SAL50050,5,3,4,0,28
SAL50051,92,105,27,0,583
SAL50052,9,7,0,0,53
SAL50053,634,434,300,172,5646
SAL50054,1758,939,518,67,17154
SAL50055,560,396,210,54,6554
SAL50056,71,91,35,7,350
SAL50057,3,7,0,0,11
SAL50058,0,0,0,0,3
SAL50059,11,11,0,0,49
SAL50060,0,0,0,0,0
SAL50061,1544,724,281,61,7920
SAL50062,0,6,3,0,16
SAL50063,4,0,0,0,14
SAL50064,12,8,0,0,33
SAL50065,13,5,0,0,27
SAL50066,24,17,13,0,179
SAL50067,34,3,0,0,223
SAL50068,161,86,30,10,765
SAL50069,415,173,46,7,5081
SAL50070,0,0,0,0,0
SAL50071,0,5,0,0,35
SAL50072,4,0,0,0,7
SAL50073,0,0,0,0,14
SAL50074,6,9,0,0,31
SAL50075,80,42,32,0,432
SAL50076,10,0,0,0,44
SAL50077,33,24,7,0,144
SAL50078,939,617,267,89,5905
SAL50079,342,287,159,35,2226
SAL50080,0,0,0,0,0
SAL50081,187,38,4,0,2269
SAL50082,257,216,133,25,1578
SAL50083,1223,792,358,178,8651
SAL50084,133,78,39,23,744
SAL50085,8,0,0,4,47
SAL50086,505,337,140,33,2994
SAL50087,0,0,0,0,0
SAL50088,5,3,0,0,27
SAL50089,0,0,0,0,24
SAL50090,381,306,147,39,4648
SAL50091,448,274,126,32,3091
SAL50092,301,163,86,9,1530
SAL50093,622,402,136,31,3870
SAL50094,10,6,0,0,61
SAL50095,6,3,0,0,47
SAL50096,8,3,8,0,29
SAL50097,11,6,0,0,48
SAL50098,503,245,67,17,4249
SAL50099,9,0,0,0,21
SAL50100,4,3,6,0,42
SAL50101,9,12,6,0,78
SAL50102,293,218,56,10,2067
SAL50103,40,27,9,0,137
SAL50104,126,72,24,13,714
SAL50105,415,268,105,45,3760
SAL50106,20,5,3,0,84
SAL50107,12,0,4,0,82
SAL50108,0,0,0,0,11
SAL50109,12,9,6,0,65
SAL50110,281,125,44,3,2448
SAL50111,277,307,421,449,5423
SAL50112,141,103,34,17,768
SAL50113,9,0,0,0,22
SAL50114,0,0,0,0,0
SAL50115,218,107,27,8,2791
SAL50116,83,116,51,22,504
SAL50117,566,387,189,84,3170
SAL50118,104,65,26,7,427
SAL50119,746,613,283,132,4140
SAL50120,0,4,0,0,7
SAL50121,21,43,9,0,120
SAL50122,0,0,0,0,7
SAL50123,92,34,10,0,854
SAL50124,0,0,0,0,0
SAL50125,6,0,0,0,26
SAL50126,129,95,48,8,574
SAL50127,0,0,0,0,0
SAL50128,0,0,0,0,3
SAL50129,132,100,30,4,659
SAL50130,12,3,0,0,33
SAL50131,6,12,3,0,35
SAL50132,127,114,80,42,738
SAL50133,11,8,3,0,34
SAL50134,7,3,0,0,23
SAL50135,9,0,0,0,18
SAL50136,7,3,0,0,24
SAL50137,106,72,22,3,512
SAL50138,6,0,0,0,12
SAL50139,3,0,0,0,9
SAL50140,11,14,0,0,51
SAL50141,0,3,0,0,18
SAL50142,31,22,7,0,109
SAL50143,12,0,0,0,94
SAL50144,0,0,0,0,0
SAL50145,10,9,9,0,69
SAL50146,9,0,0,0,16
SAL50147,3,0,0,0,37
SAL50148,546,400,242,144,3261
SAL50149,4,0,0,0,5
SAL50150,0,0,0,0,0
SAL50151,12,14,7,0,66
SAL50152,4,4,0,0,27
SAL50153,0,3,0,0,16
SAL50154,4,0,0,0,0
SAL50155,0,0,0,0,3
SAL50156,0,0,0,0,8
SAL50157,16,15,6,0,64
SAL50158,4,12,0,0,35
SAL50159,355,168,50,4,2128
SAL50160,3,5,0,0,27
SAL50161,111,104,33,8,476
SAL50162,56,35,16,0,237
SAL50163,4,0,6,0,23
SAL50164,6,0,0,0,33
SAL50165,11,17,0,0,51
SAL50166,3,3,0,0,8
SAL50167,9,3,0,0,32
SAL50168,58,48,33,9,394
SAL50169,146,101,38,6,663
SAL50170,0,0,0,0,14
SAL50171,3,4,0,0,18
SAL50172,84,67,36,9,427
SAL50173,185,52,15,0,4301
SAL50174,12,8,4,0,68
SAL50175,5,7,0,0,22
SAL50176,3,3,0,0,17
SAL50177,46,25,18,3,198
SAL50178,153,116,36,29,1132
SAL50179,0,0,0,0,0
SAL50180,328,382,141,30,1685
SAL50181,110,79,17,6,550
SAL50182,5,6,0,0,12
SAL50183,291,365,271,157,2089
SAL50184,53,15,0,0,336
SAL50185,77,52,19,3,492
SAL50186,0,0,3,0,10
SAL50187,124,84,18,0,1133
SAL50188,27,17,4,0,131
SAL50189,57,35,15,9,291
SAL50190,315,155,51,15,1984
SAL50191,6,6,4,0,44
SAL50192,24,18,10,0,90
SAL50193,14,8,3,0,87
SAL50194,0,0,0,0,0
SAL50195,12,6,4,0,53
SAL50196,54,51,30,9,311
SAL50197,98,61,29,7,526
SAL50198,3,0,4,0,15
SAL50199,6,6,0,0,22
SAL50200,195,56,6,0,1571
SAL50201,668,710,411,176,4556
SAL50202,0,0,0,0,0
SAL50203,3,5,0,0,32
SAL50204,20,10,6,0,75
SAL50205,0,4,0,0,14
SAL50206,0,0,0,0,4
SAL50207,436,268,84,17,2627
SAL50208,0,0,0,0,0
SAL50209,6,0,0,0,21
SAL50210,463,361,162,88,2362
SAL50211,0,0,0,0,7
SAL50212,4,0,0,0,17
SAL50213,0,3,0,0,26
SAL50214,3,3,0,3,21
SAL50215,7,5,0,0,16
SAL50216,0,0,0,0,0
SAL50217,60,39,19,0,369
SAL50218,0,0,5,0,6
SAL50219,18,13,8,0,320
SAL50220,0,0,0,0,3
SAL50221,433,191,43,10,2209
SAL50222,20,24,12,0,178
SAL50223,6,7,0,0,51
SAL50224,0,0,0,0,9
