SAL_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SAL50001,..,0,0,11,0,11,4,0,4,6,0,6,3,0,3,0,0,0,26,0,29
SAL50002,..,79,79,178,7,183,45,0,44,97,0,97,29,0,29,4,0,4,361,88,453
SAL50003,..,13,13,9,0,9,4,0,4,4,0,4,6,0,6,0,0,0,15,11,33
SAL50004,..,3,3,8,0,8,3,0,3,4,0,4,4,0,4,0,0,0,9,3,15
SAL50005,..,6,6,4,0,4,0,0,0,0,0,0,3,0,3,0,0,0,7,6,10
SAL50006,..,219,219,225,17,241,69,0,72,42,5,42,17,0,17,8,0,8,346,242,587
SAL50007,..,7,7,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10,7,15
SAL50008,..,480,480,804,37,838,486,3,492,460,0,464,224,0,229,138,0,141,2122,529,2649
SAL50009,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50010,..,254,254,344,14,358,171,9,180,194,0,197,74,0,73,12,0,12,792,281,1078
SAL50011,..,648,648,958,53,1009,742,8,752,741,0,736,280,0,280,92,0,92,2816,710,3521
SAL50012,..,0,0,4,0,4,6,0,6,0,0,0,0,0,0,0,0,0,8,0,9
SAL50013,..,47,47,73,9,82,29,0,30,29,0,29,20,0,20,10,0,10,157,58,213
SAL50014,..,9,9,23,0,28,5,0,5,5,0,5,0,0,0,0,0,0,34,13,46
SAL50015,..,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
SAL50016,..,19,19,55,0,55,24,0,26,32,0,32,23,0,23,10,0,10,148,20,167
SAL50017,..,9,9,11,0,11,7,0,7,3,0,3,3,0,3,0,0,0,14,9,29
SAL50018,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50019,..,18,18,28,4,38,17,0,17,16,0,16,4,0,4,10,0,10,76,23,96
SAL50020,..,0,0,10,0,11,0,0,0,3,0,3,0,0,0,0,0,0,12,6,11
SAL50021,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,..,689,689,971,43,1015,394,22,419,448,7,452,166,0,169,49,0,49,2028,765,2790
SAL50023,..,3,3,10,0,10,0,0,5,0,0,0,0,0,0,0,0,0,19,9,24
SAL50024,..,341,341,518,31,548,295,3,302,315,0,321,121,0,127,35,0,35,1290,383,1668
SAL50025,..,27,27,102,0,103,21,0,21,33,0,33,16,0,16,10,0,10,176,24,202
SAL50026,..,2058,2058,1594,202,1801,701,20,725,503,9,515,225,0,229,168,7,168,3189,2294,5489
SAL50027,..,3,3,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,10,3,14
SAL50028,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
SAL50029,..,6,6,5,0,5,0,0,0,10,0,10,0,0,0,0,0,0,18,6,28
SAL50030,..,5,5,9,0,6,5,0,5,5,0,5,4,0,4,0,0,0,20,9,28
SAL50031,..,301,301,457,42,501,164,13,174,127,6,129,47,0,48,15,0,15,811,349,1162
SAL50032,..,354,354,338,13,354,175,0,179,178,0,178,59,0,59,27,0,27,777,372,1148
