SAL_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SAL50001,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,3,0,3,0,0,6,0,30
SAL50002,0,0,12,13,0,0,0,5,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,13,67,100,86,69,41,17,20,35,7,441
SAL50003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,5,0,0,0,0,0,28
SAL50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,0,0,0,0,12
SAL50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
SAL50006,7,0,9,8,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,79,200,57,55,50,9,13,35,3,497
SAL50007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,12
SAL50008,20,3,45,27,27,15,8,20,0,160,0,0,0,0,0,0,0,0,0,0,3,0,5,6,4,0,0,4,0,25,3,7,11,16,3,6,13,15,14,86,209,440,488,359,327,144,158,162,32,2317
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50010,5,0,14,6,0,5,0,4,0,36,0,0,0,0,0,0,4,0,0,4,4,0,0,5,0,0,0,0,0,14,0,0,0,0,3,0,4,0,0,10,192,485,127,96,122,55,25,32,23,1156
SAL50011,31,9,105,53,39,28,20,17,3,310,0,0,4,0,0,0,0,4,0,8,3,7,7,11,13,3,10,4,0,62,3,8,19,14,15,3,10,8,16,99,377,865,801,642,412,201,204,221,49,3768
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6
SAL50013,0,0,9,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,32,62,20,22,3,28,10,0,198
SAL50014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,3,4,0,0,0,0,21
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10
SAL50016,0,0,8,6,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,41,28,46,23,24,13,18,10,4,217
SAL50017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,6,0,4,4,0,26
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50019,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,14,18,7,15,5,6,9,5,87
SAL50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,4,0,0,3,0,19
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,9,3,27,18,6,8,0,4,0,75,0,0,0,0,0,0,0,0,0,0,16,15,0,0,0,0,6,0,0,36,8,0,9,7,0,6,0,0,12,45,615,1296,191,166,307,145,45,61,41,2859
SAL50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,16
SAL50024,9,0,18,9,8,9,0,0,0,52,0,0,0,0,0,0,0,0,0,0,5,6,0,5,6,0,4,0,3,26,6,5,3,4,3,4,0,7,6,27,334,854,159,132,192,93,21,41,21,1843
SAL50025,0,0,4,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,4,0,0,0,0,0,0,4,8,25,58,57,20,15,3,12,0,9,212
SAL50026,11,0,47,36,15,20,21,28,0,188,0,0,0,0,0,0,0,0,4,8,0,3,7,4,4,0,12,5,0,32,9,0,16,11,15,10,23,19,32,134,147,392,557,535,289,178,273,285,59,2707
SAL50027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,13
SAL50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
SAL50029,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,4,0,0,3,0,23
SAL50030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,19
SAL50031,9,0,15,13,5,4,0,7,0,52,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,4,0,0,0,20,3,4,9,10,8,6,0,0,0,45,211,397,178,117,143,61,46,32,9,1184
SAL50032,3,3,9,9,9,3,7,6,0,42,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,7,0,19,7,0,9,5,3,5,0,3,10,34,94,217,179,128,104,46,47,51,16,878
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50034,0,0,12,0,0,4,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,58,164,81,57,40,19,19,22,3,464
SAL50035,10,0,17,12,8,6,4,9,0,61,0,0,0,0,0,0,0,0,0,0,5,9,3,3,3,0,0,4,0,30,5,6,8,3,5,11,0,0,0,42,552,1030,229,167,317,147,50,54,25,2572
SAL50036,28,10,53,30,38,18,11,18,0,207,0,3,0,0,0,0,0,0,0,0,0,5,10,5,3,0,10,3,4,45,9,5,17,9,0,5,8,9,15,88,467,1070,596,441,460,172,149,184,61,3608
SAL50037,9,3,46,22,20,10,6,10,0,123,0,0,0,0,0,0,0,0,0,3,3,8,0,6,5,0,4,3,0,32,5,0,13,0,4,5,0,5,11,58,325,904,440,284,318,112,107,111,31,2632
SAL50038,0,0,14,0,4,0,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,3,0,0,3,0,18,57,44,71,38,26,31,9,26,4,314
SAL50039,29,12,92,57,43,51,38,37,0,362,0,0,0,0,0,0,0,0,0,0,14,14,14,12,13,0,21,10,0,102,9,8,25,12,12,9,21,19,18,137,420,992,1272,685,547,284,415,353,71,5037
SAL50040,43,16,115,73,63,34,37,28,0,414,0,0,0,0,5,0,0,0,0,11,9,15,14,19,13,4,15,11,0,94,15,11,20,21,16,10,12,10,25,142,574,1086,1003,849,673,309,370,271,65,5194
SAL50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
