SAL_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SAL51086,50,22,9,10,11,9,14,18,3,144
SAL51087,0,0,0,0,3,0,0,0,0,9
SAL51088,33,16,26,17,18,17,19,29,0,165
SAL51089,5,3,3,5,0,4,4,0,0,26
SAL51090,12,3,4,0,11,0,10,0,0,48
SAL51091,10,0,0,0,3,0,3,0,0,20
SAL51092,85,37,26,13,31,17,21,38,9,287
SAL51093,192,275,276,223,169,140,133,247,23,1687
SAL51094,10,15,11,0,9,0,4,6,0,62
SAL51095,12,8,8,0,4,6,0,11,0,51
SAL51096,0,0,4,0,0,0,4,0,0,9
SAL51097,0,0,0,0,0,0,0,0,0,0
SAL51098,873,2520,249,429,499,298,75,184,78,5211
SAL51099,39,5,0,0,5,0,0,10,0,58
SAL51100,7,0,0,0,0,0,0,0,0,12
SAL51101,6,7,8,7,8,0,0,9,4,44
SAL51102,52,3,13,3,8,3,13,54,3,155
SAL51103,6,0,0,0,0,0,0,0,0,3
SAL51104,32,0,4,0,12,3,9,8,0,58
SAL51105,4,0,0,0,0,0,0,0,0,4
SAL51106,0,0,0,0,0,0,0,0,0,0
SAL51107,7,0,0,0,0,0,0,5,0,23
SAL51108,9,0,0,0,0,0,0,0,0,13
SAL51109,20,4,11,8,3,8,12,20,3,85
SAL51110,22,10,3,3,7,0,3,8,0,50
SAL51111,223,339,961,232,253,132,873,393,78,3476
SAL51112,0,3,6,5,3,0,0,0,0,16
SAL51113,221,411,664,220,295,132,237,195,52,2419
SAL51114,12,12,22,9,13,7,23,19,0,101
SAL51115,11,0,6,3,0,4,0,8,0,34
SAL51116,0,0,5,0,0,0,0,0,0,3
SAL51117,7,0,0,0,4,0,0,0,0,17
SAL51118,13,0,10,10,3,6,4,8,0,51
SAL51119,10,12,6,0,0,0,9,7,0,39
SAL51120,14,5,0,0,0,0,0,0,0,25
SAL51121,10,0,0,0,0,0,0,3,0,18
SAL51122,575,1395,988,960,853,507,522,711,121,6635
SAL51123,15,0,0,4,3,0,0,0,0,28
SAL51124,442,848,583,413,600,360,246,329,46,3869
SAL51125,10,0,7,4,3,4,5,10,0,42
SAL51126,10,0,0,0,0,0,0,0,0,13
SAL51127,24,28,20,23,27,18,26,33,0,202
SAL51128,7,0,0,0,0,0,0,0,0,18
SAL51129,0,0,0,0,0,0,0,0,0,0
SAL51130,337,606,231,205,231,143,33,95,27,1914
SAL51131,6,0,0,0,0,0,0,0,0,7
SAL51132,27,32,33,13,20,16,21,17,3,184
SAL51133,5,0,0,0,0,0,0,0,0,13
SAL51134,3,0,0,0,0,0,0,0,0,5
SAL51135,446,626,245,196,269,139,86,90,35,2134
SAL51136,58,40,92,48,46,27,45,36,8,403
SAL51137,5,0,0,0,0,0,0,0,0,6
SAL51138,418,914,133,194,167,87,35,85,40,2073
SAL51139,7,12,26,3,3,0,14,20,0,87
SAL51140,15,7,0,0,3,0,0,5,0,40
SAL51141,11,3,0,0,0,5,0,0,0,21
SAL51142,16,0,0,6,0,0,0,0,0,35
SAL51143,5,0,0,0,0,0,0,0,0,10
SAL51144,100,243,95,69,99,51,24,48,11,739
SAL51145,7,0,0,0,0,0,0,0,0,11
SAL51146,10,0,0,0,4,0,0,0,0,14
SAL51147,911,2247,502,536,589,351,129,264,70,5591
SAL51148,106,6,13,11,7,6,9,65,6,222
SAL51149,4,0,0,0,0,0,0,0,0,10
SAL51150,32,6,6,5,10,0,5,5,0,62
SAL51151,12,0,0,0,0,0,0,0,0,9
SAL51152,12,12,3,6,0,8,4,16,3,50
SAL51153,15,10,20,9,16,9,9,7,5,84
SAL51154,4,0,0,0,0,0,0,0,0,5
SAL51155,8,0,0,0,0,0,0,0,0,11
SAL51156,18,35,86,34,25,23,61,44,9,327
SAL51157,277,344,397,344,344,269,248,385,47,2652
SAL51158,26,29,33,33,10,10,50,46,5,236
SAL51159,110,251,138,128,87,49,47,98,13,911
SAL51160,20,11,13,14,7,5,12,20,0,105
SAL51161,0,4,0,3,0,0,0,3,0,4
SAL51162,12,21,15,11,14,8,4,25,4,113
SAL51163,3,0,0,0,0,4,0,0,0,5
SAL51164,10,0,0,0,10,0,0,0,0,20
SAL51165,25,57,190,22,20,0,182,52,4,570
SAL51166,0,3,0,0,0,0,0,0,0,7
SAL51167,19,27,56,46,38,40,51,74,10,361
SAL51168,18,3,6,6,6,0,8,3,0,50
SAL51169,0,0,0,0,0,0,0,8,0,14
SAL51170,21,8,6,12,11,5,5,5,6,81
SAL51171,56,11,4,9,8,6,25,22,6,137
SAL51172,32,72,46,22,21,21,9,11,0,246
SAL51173,0,0,0,0,0,0,0,0,0,0
SAL51174,209,215,308,133,240,104,137,121,26,1499
SAL51175,75,94,88,54,36,32,26,52,20,470
SAL51176,651,1027,645,493,580,375,167,306,67,4308
SAL51177,17,0,0,0,3,0,0,0,0,28
SAL51178,12,0,4,0,0,0,0,5,0,17
SAL51179,34,16,19,20,24,12,17,14,8,164
SAL51180,9,3,4,5,3,0,8,19,0,54
SAL51181,53,60,73,42,47,13,44,41,4,379
SAL51182,3,0,0,0,0,0,0,0,0,6
SAL51183,0,0,0,0,0,0,4,0,0,6
SAL51184,46,74,161,142,63,101,83,156,13,841
SAL51185,40,55,72,20,49,17,58,36,15,360
SAL51186,10,0,0,0,5,0,3,15,0,29
SAL51187,18,0,0,0,3,0,0,0,0,22
SAL51188,10,6,18,14,0,0,7,7,3,65
SAL51189,126,180,349,273,199,185,284,302,34,1922
SAL51190,237,616,345,359,290,192,199,406,35,2677
SAL51191,22,14,13,12,4,8,4,5,0,77
SAL51192,532,1097,853,570,548,307,202,309,69,4481
SAL51193,13,4,5,8,4,7,13,14,3,75
SAL51194,26,5,3,0,4,0,11,10,0,58
SAL51195,9,0,0,0,0,0,0,0,0,12
SAL51196,9,0,7,0,4,0,4,3,0,34
SAL51197,579,1308,503,462,527,289,125,234,46,4061
SAL51198,17,26,106,28,21,5,118,18,5,352
SAL51199,10,0,0,0,0,0,0,3,0,18
SAL51200,6,10,4,5,6,0,0,3,0,34
SAL51201,31,35,144,34,44,24,259,66,20,669
SAL51202,24,11,7,5,7,0,10,11,0,73
SAL51203,4,3,4,0,0,0,0,0,0,18
SAL51204,0,0,0,0,0,0,0,0,0,0
SAL51205,187,272,218,171,187,110,79,84,21,1323
SAL51206,0,0,0,0,0,0,0,0,0,0
SAL51207,4,4,4,0,3,4,5,7,4,28
SAL51208,33,44,56,35,38,31,29,28,7,302
SAL51209,255,680,477,371,409,211,236,326,39,2998
SAL51210,139,240,499,322,259,244,370,413,35,2530
SAL51211,9,5,5,0,0,0,0,7,0,30
SAL51212,0,0,0,0,0,0,0,0,0,3
SAL51213,9,11,10,5,4,5,3,3,0,51
SAL51214,5,7,6,0,5,4,9,7,0,29
SAL51215,3,3,0,0,0,0,0,0,0,10
SAL51216,0,0,0,0,0,0,0,0,0,0
SAL51217,3,0,6,0,0,4,0,3,0,18
SAL51218,11,9,3,0,0,0,12,8,0,52
SAL51219,266,453,424,276,380,200,169,201,36,2403
SAL51220,0,0,0,0,0,0,0,0,5,0
SAL51221,3,0,0,0,0,0,0,0,0,4
SAL51222,127,145,273,91,128,77,127,143,16,1130
SAL51223,54,86,76,47,65,44,25,39,12,438
SAL51224,75,45,40,51,38,32,40,89,3,420
SAL51225,184,280,28,78,65,51,10,21,17,737
SAL51226,36,64,43,44,29,10,20,22,0,268
SAL51227,48,6,11,15,19,3,15,10,0,115
SAL51228,13,0,0,0,0,0,0,9,0,23
SAL51229,0,0,0,3,0,0,0,0,0,7
SAL51230,1163,3021,873,932,902,445,292,584,152,8356
SAL51231,0,0,0,0,0,0,0,0,0,0
SAL51232,31,14,10,0,12,3,3,10,0,94
SAL51233,8,0,0,0,0,0,0,5,0,9
SAL51234,822,2140,1220,969,1095,545,598,540,116,8045
SAL51235,11,4,3,3,0,0,4,0,0,27
SAL51236,92,270,248,125,153,79,192,100,25,1282
SAL51237,78,36,53,19,39,13,25,24,10,294
SAL51238,0,0,3,0,0,3,0,7,0,23
SAL51239,10,7,6,0,7,3,5,9,0,50
SAL51240,18,29,11,9,13,5,3,6,0,94
SAL51241,13,3,0,0,3,0,0,0,0,20
SAL51242,11,0,0,0,0,0,0,0,0,10
SAL51243,21,0,5,0,0,0,5,3,0,36
SAL51244,24,24,41,28,20,12,24,32,10,210
SAL51245,66,11,8,3,7,0,13,22,0,122
SAL51246,0,5,7,5,0,4,0,3,0,36
SAL51247,114,188,361,245,151,167,294,253,22,1805
SAL51248,59,62,93,36,61,49,64,63,12,498
SAL51249,8,0,0,0,0,0,0,0,0,14
SAL51250,4,0,9,0,5,6,0,5,0,37
SAL51251,4,3,0,0,0,0,3,0,0,18
SAL51252,29,10,5,4,0,0,5,5,0,61
SAL51253,12,17,41,4,4,0,39,16,3,135
SAL51254,25,17,20,21,20,0,18,21,0,142
SAL51255,25,10,7,9,11,7,6,19,3,94
SAL51256,48,24,18,23,15,8,5,31,8,178
SAL51257,7,23,12,9,13,5,0,9,0,74
SAL51258,74,68,91,51,46,38,50,78,22,523
SAL51259,327,403,569,125,301,94,236,167,47,2276
SAL51260,542,744,1255,869,687,654,660,733,131,6278
SAL51261,0,0,0,0,0,0,0,0,0,0
SAL51262,6,10,20,10,0,4,11,11,0,71
SAL51263,3,3,18,8,6,0,10,6,4,50
SAL51264,17,28,15,10,7,14,8,10,6,101
SAL51265,0,0,0,0,0,0,0,0,0,0
SAL51266,7,0,0,0,5,0,6,0,0,14
SAL51267,0,0,0,0,0,0,0,0,0,4
SAL51268,41,11,18,20,7,15,19,29,0,159
SAL51269,20,0,0,0,5,3,0,12,0,44
SAL51270,24,57,37,21,20,11,7,24,0,193
SAL51271,270,706,520,533,420,267,398,469,82,3668
SAL51272,8,5,0,5,4,0,6,3,0,45
SAL51273,8,5,0,0,0,0,0,4,0,17
SAL51274,4,3,3,0,0,3,0,0,0,16
SAL51275,122,131,121,63,75,68,37,95,12,723
SAL51276,8,0,4,0,0,0,3,3,0,21
SAL51277,16,12,11,14,7,3,5,10,0,73
SAL51278,509,863,882,650,588,395,296,444,68,4689
