SAL_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SAL50001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,26,0,29
SAL50002,3,0,3,0,0,5,5,3,3,0,3,9,5,17,28,9,4,14,18,10,27,11,8,20,32,13,38,32,4,32,22,8,33,23,4,22,42,6,48,35,0,37,30,4,32,15,0,15,44,0,46,34,0,37,5,0,7,361,88,453
SAL50003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,4,4,3,0,3,0,0,0,0,0,0,3,0,5,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,15,11,33
SAL50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,9,3,15
SAL50005,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,10
SAL50006,0,0,5,4,4,10,0,10,12,0,20,21,8,33,41,10,31,40,14,21,31,21,29,50,22,19,40,39,14,50,16,8,24,17,17,30,40,18,52,28,0,28,19,4,19,16,0,19,49,10,55,40,4,46,5,8,9,346,242,587
SAL50007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,10,7,15
SAL50008,22,16,37,3,3,11,13,24,43,8,40,51,38,106,151,48,43,91,117,30,147,98,36,138,141,52,188,165,33,201,160,33,193,132,23,153,321,28,350,224,4,230,152,10,165,103,0,103,178,12,190,162,6,171,24,13,37,2122,529,2649
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50010,8,4,14,10,3,9,3,10,17,0,15,21,8,52,61,11,20,35,36,14,49,28,29,60,37,22,60,41,9,47,16,18,32,33,9,49,65,30,95,74,3,80,77,4,83,56,0,58,230,12,240,47,5,53,5,5,13,792,281,1078
SAL50011,23,17,42,4,7,9,10,7,22,14,28,42,27,47,71,47,37,87,97,33,132,100,71,165,128,94,219,184,92,274,176,66,248,153,47,206,400,85,486,344,7,353,284,15,298,143,3,144,292,16,300,365,12,381,22,20,35,2816,710,3521
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9
SAL50013,0,0,0,0,0,0,0,0,4,6,4,6,0,8,14,8,5,7,6,6,8,6,6,16,7,9,15,8,4,12,9,0,11,10,5,16,25,6,35,16,0,16,19,0,19,4,0,4,14,0,13,14,0,18,0,0,0,157,58,213
SAL50014,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,4,4,4,0,4,6,0,6,4,0,4,0,0,0,0,0,0,3,0,3,5,0,5,0,0,0,8,0,8,0,0,0,0,0,0,34,13,46
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
SAL50016,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,6,3,3,8,3,3,4,14,0,17,3,0,3,9,0,9,6,0,10,22,0,20,12,0,12,11,0,11,14,0,14,25,0,25,18,0,19,0,0,0,148,20,167
SAL50017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,14,9,29
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50019,0,0,0,0,0,0,4,0,3,0,0,3,0,3,3,0,0,0,3,0,3,3,3,7,5,5,9,0,5,9,4,3,4,4,5,12,3,0,0,9,0,9,3,0,10,6,0,6,10,3,9,11,0,11,0,0,0,76,23,96
SAL50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,11
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,36,34,65,11,13,21,12,20,26,7,29,35,12,70,84,12,66,75,51,42,94,61,58,122,73,70,138,90,59,144,79,45,129,85,46,130,162,86,246,126,11,136,148,25,173,101,3,106,788,64,853,157,16,170,21,10,25,2028,765,2790
SAL50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,4,5,0,5,0,0,0,19,9,24
SAL50024,13,11,22,12,10,20,7,10,18,0,16,20,14,46,63,14,36,52,31,40,70,35,32,68,55,36,90,73,31,106,51,27,80,64,14,80,115,24,140,90,0,92,109,6,121,67,0,73,439,24,457,87,3,92,6,9,19,1290,383,1668
SAL50025,0,0,0,0,0,0,0,5,9,0,0,0,5,0,6,4,3,7,6,3,13,7,0,11,11,0,15,8,0,8,3,0,3,3,8,8,15,0,15,20,0,20,9,0,9,15,0,15,24,0,24,19,0,19,3,0,9,176,24,202
SAL50026,33,74,103,13,26,36,21,82,103,31,197,230,104,478,584,152,288,439,318,160,477,264,216,484,306,202,510,343,164,505,241,101,341,198,65,264,344,82,428,222,4,226,96,12,111,46,5,53,87,18,100,300,37,336,78,92,171,3189,2294,5489
SAL50027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,14
SAL50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
SAL50029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,4,0,4,0,0,0,18,6,28
SAL50030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,3,0,3,5,0,5,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,20,9,28
SAL50031,9,6,14,0,0,6,4,5,7,8,13,18,15,34,50,15,17,28,25,21,53,25,32,60,31,33,60,51,31,81,41,28,68,43,26,72,86,52,138,63,7,74,53,10,62,53,3,56,203,22,228,68,14,83,5,4,7,811,349,1162
SAL50032,10,11,22,3,0,3,0,8,10,3,25,24,8,55,61,7,108,120,63,34,97,50,22,69,41,33,76,63,17,81,40,20,55,49,16,60,83,14,102,94,0,95,51,3,55,39,0,39,85,5,93,71,0,69,14,16,32,777,372,1148
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50034,0,11,13,0,6,6,0,9,9,0,15,21,5,32,45,4,17,22,24,17,42,19,9,26,21,16,37,18,12,25,17,4,20,14,9,24,37,18,52,32,3,42,39,5,44,23,0,25,48,8,62,30,9,37,0,9,7,351,201,550
SAL50035,28,24,54,17,9,26,4,19,16,3,28,29,28,57,80,25,61,83,38,45,88,47,41,95,79,44,119,60,31,92,45,41,95,72,40,112,149,65,215,122,3,127,133,22,146,94,0,95,703,33,732,152,6,156,13,5,24,1803,578,2386
SAL50036,7,16,22,3,4,9,4,11,12,13,18,24,28,54,81,19,32,50,89,37,124,95,31,126,96,54,145,137,35,171,79,41,123,115,42,158,321,57,376,282,4,283,293,14,303,194,3,193,498,19,516,254,6,263,3,5,19,2533,485,3017
SAL50037,15,12,20,6,3,14,7,7,16,0,7,11,15,22,42,20,17,40,22,19,43,67,19,85,71,38,104,74,27,95,81,29,114,88,16,103,233,54,286,202,0,203,220,16,236,165,0,165,346,10,350,161,7,169,7,7,18,1805,306,2109
SAL50038,8,7,18,4,3,8,5,14,12,4,20,23,14,57,75,11,41,55,63,21,86,39,17,51,36,13,51,40,14,55,20,7,30,20,6,28,28,13,41,12,0,12,11,4,14,7,0,7,13,5,19,46,3,46,6,13,22,394,265,652
SAL50039,34,32,65,10,9,22,18,31,51,21,76,97,80,219,298,88,118,203,266,82,347,210,87,292,260,103,356,278,82,361,195,68,264,274,64,332,599,124,721,456,4,464,386,32,417,221,3,229,448,30,482,506,30,532,43,25,71,4383,1215,5598
SAL50040,22,26,45,9,4,13,7,7,12,12,21,29,27,68,92,41,35,80,125,39,158,100,54,150,179,122,293,207,126,339,228,93,324,244,68,312,638,103,748,494,17,508,367,24,394,234,9,242,441,11,457,430,26,462,34,16,53,3822,880,4701
SAL50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
