SAL_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
SAL50001,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,3,3,75,9,0,9,3,83
SAL50002,0,0,0,0,..,3,0,7,0,7,..,0,0,0,0,0,..,0,0,3,0,3,..,14,0,14,0,14,..,62,3,64,0,66,..,5,0,4,58,64,1191,67,9,65,65,1321
SAL50003,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,10,10,87,0,0,0,10,92
SAL50004,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,4,..,0,0,0,0,0,43,5,0,5,0,41
SAL50005,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,6,0,6,0,6,..,0,0,0,0,0,44,6,0,6,0,51
SAL50006,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,36,7,45,0,45,..,121,15,136,0,136,..,3,0,3,82,90,1175,128,19,139,82,1403
SAL50007,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,37,0,0,0,0,41
SAL50008,0,26,0,26,..,14,3,17,0,17,..,8,0,11,0,11,..,507,275,779,5,790,..,566,158,725,9,732,..,2220,581,2808,23,2827,..,63,19,83,203,287,4655,2284,606,2891,226,7772
SAL50009,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,3,0,0,0,0,3
SAL50010,0,7,0,7,..,10,0,10,0,10,..,0,0,0,0,0,..,4,0,4,0,4,..,19,4,19,0,19,..,350,26,378,4,384,..,6,3,11,77,87,2352,357,31,390,87,2830
SAL50011,0,21,0,21,..,28,0,29,0,29,..,8,0,8,0,8,..,8,5,8,0,8,..,305,18,325,7,327,..,1492,95,1593,16,1608,..,42,9,46,379,428,8164,1540,105,1639,392,10203
SAL50012,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,19,0,0,0,0,19
SAL50013,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,11,0,16,0,16,..,0,0,0,12,16,564,13,0,13,12,591
SAL50014,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,16,16,98,0,0,0,16,116
SAL50015,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,15,0,0,0,0,15
SAL50016,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,0,0,0,..,0,0,0,0,0,..,10,0,13,0,13,..,0,0,0,28,28,525,10,0,13,28,564
SAL50017,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,4,4,60,0,0,0,4,71
SAL50018,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,3,0,0,0,0,3
SAL50019,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,11,0,11,..,3,0,3,0,3,..,43,7,46,0,46,..,0,0,0,10,10,224,43,7,46,10,280
SAL50020,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,7,7,45,0,0,0,7,53
SAL50021,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
SAL50022,0,25,0,25,..,12,6,18,0,18,..,0,0,0,0,0,..,28,4,34,0,34,..,130,5,142,4,144,..,1479,148,1625,6,1635,..,31,0,31,221,252,5335,1509,148,1657,235,7228
SAL50023,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,3,50,0,0,0,3,51
SAL50024,0,17,0,17,..,11,3,10,0,10,..,8,0,8,0,8,..,25,0,25,0,25,..,62,4,67,0,69,..,1038,95,1135,3,1143,..,16,5,21,120,140,3299,1056,103,1156,129,4578
SAL50025,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,17,0,21,0,24,..,3,0,3,29,28,521,20,0,22,32,575
SAL50026,5,49,0,50,..,35,9,41,0,44,..,9,0,12,0,12,..,18,4,21,0,21,..,508,78,589,3,592,..,1440,202,1647,14,1668,..,94,18,111,1165,1270,10477,1535,222,1758,1177,13415
SAL50027,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,12,12,39,0,0,0,12,48
SAL50028,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,4,4,13,0,0,0,4,17
SAL50029,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,8,8,51,4,0,4,8,61
SAL50030,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,67,0,0,0,0,66
SAL50031,0,8,0,8,..,6,3,8,0,8,..,0,0,0,0,0,..,29,10,43,3,45,..,76,3,78,0,86,..,507,56,567,4,574,..,10,0,19,335,353,2170,522,58,579,346,3095
SAL50032,0,0,0,0,..,5,3,5,0,5,..,0,0,0,0,0,..,9,9,19,0,19,..,59,8,62,0,66,..,368,46,416,4,419,..,15,0,19,91,103,2328,383,52,432,95,2850
SAL50033,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,3
SAL50034,0,0,0,0,..,5,0,6,0,6,..,0,0,0,0,0,..,11,3,8,0,8,..,41,9,49,0,49,..,165,29,195,4,201,..,5,5,10,90,103,1093,174,30,200,98,1395
SAL50035,0,3,0,3,..,21,0,22,0,22,..,4,0,4,0,4,..,0,0,0,0,0,..,57,8,66,0,68,..,663,54,718,7,725,..,11,0,13,174,187,5724,675,56,735,178,6638
SAL50036,0,27,0,27,..,24,9,36,0,36,..,3,0,3,0,3,..,11,4,17,0,17,..,144,11,157,3,165,..,1538,261,1798,15,1814,..,41,3,38,224,268,7210,1574,259,1842,242,9287
SAL50037,5,29,0,36,..,3,0,3,0,3,..,0,0,0,0,0,..,20,10,22,0,20,..,156,20,176,3,173,..,1443,163,1608,19,1625,..,30,0,29,158,190,4971,1472,167,1638,179,6786
SAL50038,0,0,0,0,..,0,0,4,0,4,..,0,0,0,0,0,..,4,0,4,0,4,..,3,4,0,0,0,..,35,3,35,0,35,..,0,0,0,110,107,1317,31,3,37,110,1463
SAL50039,0,13,0,13,..,23,4,27,0,27,..,4,0,4,0,4,..,13,3,21,0,19,..,153,23,181,11,194,..,961,128,1088,21,1110,..,60,0,66,678,739,14133,1020,131,1154,701,15988
