SAL_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SAL50001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,5,0,11,11,15,11,8,4,0,61
SAL50002,0,0,0,0,0,0,3,0,4,14,0,0,0,0,0,0,0,0,0,0,3,0,5,8,8,7,9,7,3,59,28,50,101,177,185,169,184,63,26,978
SAL50003,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,10,0,0,7,15,8,15,9,5,0,63
SAL50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,7,4,9,0,0,33
SAL50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,12,4,3,0,0,37
SAL50006,0,0,4,5,0,0,4,7,4,27,0,0,0,0,0,0,3,0,0,3,3,4,10,3,14,14,25,7,3,83,22,61,149,107,178,258,298,116,40,1221
SAL50007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,7,5,5,0,0,32
SAL50008,0,3,10,31,51,39,48,42,25,258,0,0,16,49,38,37,29,8,5,182,5,7,34,33,32,35,33,26,8,220,200,539,948,999,1031,1175,703,311,100,5994
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SAL50010,0,0,0,0,0,0,11,10,16,39,0,0,0,0,0,0,0,0,0,9,0,6,17,15,17,8,3,5,6,72,61,152,289,404,420,337,280,174,65,2176
SAL50011,0,0,3,3,6,8,15,11,3,67,0,0,0,9,3,9,0,6,0,24,19,28,85,80,67,42,12,12,6,352,258,611,2032,1734,1238,704,415,147,35,7175
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,3,4,0,0,17
SAL50013,0,0,0,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,6,3,0,18,26,28,43,73,98,107,70,18,3,467
SAL50014,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,13,0,5,3,17,21,23,16,13,0,94
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11
SAL50016,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,4,0,3,7,8,0,5,3,0,28,15,19,35,79,90,83,68,15,3,413
SAL50017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,3,0,7,13,12,9,8,3,0,53
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
