SAL_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SAL50001,20,30,51,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,19,22,0,0,0,0,0,0,0,0,0,0,0,0,13,15,26,0,0,0,0,0,0,10,19,32,0,0,3,35,47,84
SAL50002,344,342,683,64,86,151,0,4,3,0,0,8,0,0,0,0,0,0,151,160,306,0,0,0,0,0,0,0,0,0,0,0,0,155,167,316,8,17,27,3,5,10,234,263,500,25,39,60,605,644,1245
SAL50003,31,41,72,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,4,7,0,0,0,0,0,0,0,0,0,0,0,0,6,4,7,0,0,0,0,0,0,11,0,12,4,3,10,44,45,93
SAL50004,18,18,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,3,4,5,0,0,0,23,17,40
SAL50005,14,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,15,0,0,0,0,0,0,0,0,0,0,0,0,11,3,15,0,0,0,0,0,0,10,3,13,3,0,8,29,19,46
SAL50006,330,364,690,46,73,116,4,6,12,3,0,9,9,4,11,0,0,0,161,172,331,0,0,5,0,4,4,0,0,0,0,0,0,181,191,371,60,24,86,3,9,13,290,292,583,52,39,88,670,688,1363
SAL50007,18,11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,34
SAL50008,2576,2608,5183,90,77,172,9,15,26,9,16,20,4,7,4,3,3,12,672,729,1402,0,0,0,4,5,7,0,0,6,0,0,0,707,769,1475,89,132,231,23,14,39,910,993,1908,116,96,220,3611,3701,7311
SAL50009,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SAL50010,748,828,1577,98,89,181,11,6,17,15,18,32,10,12,23,0,0,0,289,339,630,0,0,3,0,0,0,5,3,5,0,0,0,332,376,716,44,59,103,5,5,7,477,529,1012,39,48,84,1267,1408,2675
SAL50011,1693,1774,3468,255,317,573,52,62,116,48,58,107,56,62,117,12,13,29,1677,1975,3652,10,15,19,17,16,33,3,3,8,0,0,0,1885,2194,4084,269,310,584,36,36,73,2448,2863,5312,246,161,405,4384,4796,9184
