SAL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SAL50001,0,0,0,17,18,12,7,6,5,65
SAL50002,4,4,26,201,290,188,115,177,58,1026
SAL50003,0,0,0,16,18,8,7,12,10,76
SAL50004,0,0,0,6,14,3,0,3,0,33
SAL50005,0,0,0,5,11,6,3,11,0,33
SAL50006,14,4,40,257,397,163,96,268,76,1257
SAL50007,0,0,0,9,3,4,6,3,0,32
SAL50008,51,8,100,1379,1580,656,479,1978,229,6301
SAL50009,0,0,0,0,3,0,0,0,0,3
SAL50010,23,3,65,565,725,293,203,430,70,2279
SAL50011,28,0,35,1576,2080,781,673,2010,369,7482
SAL50012,0,0,0,0,0,6,3,0,0,17
SAL50013,0,0,3,105,128,81,71,90,16,490
SAL50014,0,0,0,16,23,10,20,10,10,94
SAL50015,0,0,0,3,8,0,0,0,0,11
SAL50016,0,0,3,100,120,78,48,64,30,437
SAL50017,0,0,0,16,22,6,5,9,5,60
SAL50018,0,0,0,0,0,0,0,3,0,3
SAL50019,0,0,0,44,57,22,30,56,22,232
SAL50020,0,0,0,12,15,7,4,0,3,43
SAL50021,0,0,0,0,0,0,0,0,0,0
SAL50022,69,5,169,1420,1796,801,572,1182,261,6039
SAL50023,0,0,0,4,13,9,4,14,3,46
SAL50024,37,6,96,891,1126,527,364,685,123,3709
SAL50025,0,0,4,89,136,98,50,64,23,469
SAL50026,183,53,347,1891,2354,1050,967,3591,1094,10948
SAL50027,0,0,0,3,8,3,8,4,9,39
SAL50028,0,0,0,0,4,0,0,6,4,13
SAL50029,0,0,0,12,14,7,8,3,4,49
SAL50030,0,0,0,10,11,4,17,11,0,54
SAL50031,18,78,112,572,732,263,171,664,328,2739
SAL50032,33,13,93,460,624,271,201,621,105,2282
SAL50033,0,0,0,0,0,0,0,0,0,3
SAL50034,9,5,26,225,331,128,90,290,96,1168
SAL50035,72,14,200,1323,1588,727,510,1035,185,5371
SAL50036,19,0,42,1795,2084,844,604,1677,243,7244
SAL50037,72,4,84,1040,1420,598,420,1150,161,4791
SAL50038,43,16,100,200,330,233,164,283,110,1321
SAL50039,74,18,184,2415,3567,1551,1338,2736,657,12258
SAL50040,21,0,49,2239,2946,1046,908,2686,479,10298
SAL50041,0,0,0,0,3,6,0,0,0,9
SAL50042,0,0,0,3,0,0,4,0,0,8
SAL50043,0,0,0,7,6,0,3,10,9,45
SAL50044,0,0,0,4,6,0,0,0,6,19
SAL50045,0,0,0,6,14,5,6,9,0,34
SAL50046,0,0,0,3,7,0,5,0,0,13
SAL50047,0,0,0,0,0,0,0,4,4,6
SAL50048,0,0,0,31,32,11,9,38,26,150
SAL50049,0,0,0,4,0,4,0,5,3,22
SAL50050,0,0,0,5,10,7,5,7,6,42
SAL50051,4,0,9,156,257,167,130,209,111,1023
SAL50052,0,0,0,23,50,12,8,23,6,126
SAL50053,220,42,436,1913,2480,975,712,2518,540,9133
SAL50054,71,12,169,5716,7499,3063,2556,7099,1644,27574
SAL50055,62,13,129,1912,2304,796,756,4069,1112,10943
SAL50056,4,0,16,72,151,110,64,71,31,499
SAL50057,0,0,0,0,6,3,4,4,0,18
SAL50058,0,0,0,0,0,0,0,3,0,8
SAL50059,0,0,0,14,21,10,10,13,10,76
SAL50060,0,0,0,0,0,0,0,0,0,0
SAL50061,97,11,198,3092,3654,1533,1196,4725,712,14916
SAL50062,0,0,0,4,7,4,5,8,3,26
SAL50063,0,0,0,5,14,3,7,25,0,58
SAL50064,0,0,0,0,16,10,6,6,10,45
SAL50065,0,0,0,12,13,6,10,17,0,52
SAL50066,0,0,0,54,86,29,36,49,31,291
SAL50067,0,0,0,24,16,4,0,74,152,275
SAL50068,10,0,18,242,304,145,117,315,48,1174
SAL50069,13,0,19,1827,2183,789,656,2388,380,8221
SAL50070,0,0,0,0,0,0,0,0,0,0
SAL50071,0,0,0,13,19,5,9,10,6,51
SAL50072,0,0,0,7,0,0,3,3,0,17
SAL50073,0,0,0,3,4,6,0,7,0,14
SAL50074,0,0,0,3,11,7,4,10,7,40
SAL50075,6,0,12,148,188,116,88,206,54,798
SAL50076,0,0,0,0,0,0,0,3,42,45
SAL50077,0,0,3,55,76,45,23,51,6,257
SAL50078,144,27,267,1915,2820,1133,715,1868,496,8938
SAL50079,73,0,101,671,914,436,273,728,108,3128
SAL50080,0,0,0,0,0,0,0,0,0,0
SAL50081,0,0,0,637,934,316,242,589,397,3115
SAL50082,20,3,73,531,821,380,256,511,129,2628
SAL50083,234,53,428,2850,4007,1445,937,2819,611,12668
SAL50084,20,13,41,217,306,135,94,328,128,1202
SAL50085,3,0,3,23,28,13,18,15,13,98
SAL50086,64,8,147,976,1354,591,379,837,240,4381
SAL50087,0,0,0,0,0,0,0,0,0,0
SAL50088,0,0,0,8,13,10,4,7,4,48
