POW_LGA_CODE_2021,TYP_lthc_arth_A_15_24,TYP_ltch_arth_A_25_34,TYP_lthc_arth_A_35_34,TYP_lthc_arth_A_45_54,TYP_lthc_arth_A_55_64,TYP_lthc_arth_A_65_74,TYP_lthc_arth_A_75ov,TYP_lthc_arth_A_tot,TYP_lthc_asth_A_15_24,TYP_lthc_asth_A_25_34,TYP_lthc_asth_A_35_34,TYP_lthc_asth_A_45_54,TYP_lthc_asth_A_55_64,TYP_lthc_asth_A_65_74,TYP_lthc_asth_A_75ov,TYP_lthc_asth_A_tot,TYP_lthc_canc_A_15_24,TYP_lthc_canc_A_25_34,TYP_lthc_canc_A_35_34,TYP_lthc_canc_A_45_54,TYP_lthc_canc_A_55_64,TYP_lthc_canc_A_65_74,TYP_lthc_canc_A_75ov,TYP_lthc_canc_A_tot,TYP_lthc_demen_A_15_24,TYP_lthc_demen_A_25_34,TYP_lthc_demen_A_35_34,TYP_lthc_demen_A_45_54,TYP_lthc_demen_A_55_64,TYP_lthc_demen_A_65_74,TYP_lthc_demen_A_75ov,TYP_lthc_demen_A_tot,TYP_lthc_diab_A_15_24,TYP_lthc_diab_A_25_34,TYP_lthc_diab_A_35_34,TYP_lthc_diab_A_45_54,TYP_lthc_diab_A_55_64,TYP_lthc_diab_A_65_74,TYP_lthc_diab_A_75ov,TYP_lthc_diab_A_tot,TYP_lthc_hear_A_15_24,TYP_lthc_hear_A_25_34,TYP_lthc_hear_A_35_34,TYP_lthc_hear_A_45_54,TYP_lthc_hear_A_55_64,TYP_lthc_hear_A_65_74,TYP_lthc_hear_A_75ov,TYP_lthc_hear_A_tot,TYP_lthc_kidn_A_15_24,TYP_lthc_kidn_A_25_34,TYP_lthc_kidn_A_35_34,TYP_lthc_kidn_A_45_54,TYP_lthc_kidn_A_55_64,TYP_lthc_kidn_A_65_74,TYP_lthc_kidn_A_75ov,TYP_lthc_kidn_A_tot,TYP_lthc_lung_A_15_24,TYP_lthc_lung_A_25_34,TYP_lthc_lung_A_35_34,TYP_lthc_lung_A_45_54,TYP_lthc_lung_A_55_64,TYP_lthc_lung_A_65_74,TYP_lthc_lung_A_75ov,TYP_lthc_lung_A_tot,TYP_lthc_ment_A_15_24,TYP_lthc_ment_A_25_34,TYP_lthc_ment_A_35_34,TYP_lthc_ment_A_45_54,TYP_lthc_ment_A_55_64,TYP_lthc_ment_A_65_74,TYP_lthc_ment_A_75ov,TYP_lthc_ment_A_tot,TYP_lthc_stro_A_15_24,TYP_lthc_stro_A_25_34,TYP_lthc_stro_A_35_34,TYP_lthc_stro_A_45_54,TYP_lthc_stro_A_55_64,TYP_lthc_stro_A_65_74,TYP_lthc_stro_A_75ov,TYP_lthc_stro_A_tot,TYP_lthc_AO_lthc_A_15_24,TYP_lthc_AO_lthc_A_25_34,TYP_lthc_AO_lthc_A_35_34,TYP_lthc_AO_lthc_A_45_54,TYP_lthc_AO_lthc_A_55_64,TYP_lthc_AO_lthc_A_65_74,TYP_lthc_AO_lthc_A_75ov,TYP_lthc_AO_lthc_A_tot,TYP_lthc_NO_lthc_A_15_24,TYP_lthc_NO_lthc_A_25_34,TYP_lthc_NO_lthc_A_35_34,TYP_lthc_NO_lthc_A_45_54,TYP_lthc_NO_lthc_A_55_64,TYP_lthc_NO_lthc_A_65_74,TYP_lthc_NO_lthc_A_75ov,TYP_lthc_NO_lthc_A_tot,TYP_lthc_NS_A_15_24,TYP_lthc_NS_A_25_34,TYP_lthc_NS_A_35_34,TYP_lthc_NS_A_45_54,TYP_lthc_NS_A_55_64,TYP_lthc_NS_A_65_74,TYP_lthc_NS_A_75ov,TYP_lthc_NS_A_tot,TYP_lthc_Tot_A_15_24,TYP_lthc_Tot_A_25_34,TYP_lthc_Tot_A_35_34,TYP_lthc_Tot_A_45_54,TYP_lthc_Tot_A_55_64,TYP_lthc_Tot_A_65_74,TYP_lthc_Tot_A_75ov,TYP_lthc_Tot_A_tot,CNT_lthc_NONE_A_15_24,CNT_lthc_NONE_A_25_34,CNT_lthc_NONE_A_35_34,CNT_lthc_NONE_A_45_54,CNT_lthc_NONE_A_55_64,CNT_lthc_NONE_A_65_74,CNT_lthc_NONE_A_75ov,CNT_lthc_NONE_A_tot,CNT_lthc_ONE_A_15_24,CNT_lthc_ONE_A_25_34,CNT_lthc_ONE_A_35_34,CNT_lthc_ONE_A_45_54,CNT_lthc_ONE_A_55_64,CNT_lthc_ONE_A_65_74,CNT_lthc_ONE_A_75ov,CNT_lthc_ONE_A_tot,CNT_lthc_TWO_A_15_24,CNT_lthc_TWO_A_25_34,CNT_lthc_TWO_A_35_34,CNT_lthc_TWO_A_45_54,CNT_lthc_TWO_A_55_64,CNT_lthc_TWO_A_65_74,CNT_lthc_TWO_A_75ov,CNT_lthc_TWO_A_tot,CNT_lthc_THREEmo_A_15_24,CNT_lthc_THREEmo_A_25_34,CNT_lthc_THREEmo_A_35_34,CNT_lthc_THREEmo_A_45_54,CNT_lthc_THREEmo_A_55_64,CNT_lthc_THREEmo_A_65_74,CNT_lthc_THREEmo_A_75ov,CNT_lthc_THREEmo_A_tot,CNT_lthc_ONEmo_Tot_A_15_24,CNT_lthc_ONEmo_Tot_A_25_34,CNT_lthc_ONEmo_Tot_A_35_34,CNT_lthc_ONEmo_Tot_A_45_54,CNT_lthc_ONEmo_Tot_A_55_64,CNT_lthc_ONEmo_Tot_A_65_74,CNT_lthc_ONEmo_Tot_A_75ov,CNT_lthc_ONEmo_Tot_A_tot,CNT_lthc_NS_A_15_24,CNT_lthc_NS_Tot_A_25_34,CNT_lthc_NS_Tot_A_35_34,CNT_lthc_NS_Tot_A_45_54,CNT_lthc_NS_Tot_A_55_64,CNT_lthc_NS_Tot_A_65_74,CNT_lthc_NS_Tot_A_75ov,CNT_lthc_NS_Tot_A_tot,CNT_lthc_Tot_A_15_24,CNT_lthc_Tot_A_25_34,CNT_lthc_Tot_A_35_34,CNT_lthc_Tot_A_45_54,CNT_lthc_Tot_A_55_64,CNT_lthc_Tot_A_65_74,CNT_lthc_Tot_A_75ov,CNT_lthc_Tot_A_tot
LGA50080,13,48,126,274,492,197,49,1208,248,325,322,314,242,83,10,1552,3,11,27,87,153,99,23,409,0,0,6,0,0,0,4,4,14,29,61,149,225,93,20,589,12,6,21,64,168,114,33,410,0,5,7,14,18,13,0,58,3,4,3,22,61,41,9,145,315,411,413,410,279,73,3,1901,0,0,5,13,16,24,4,65,106,170,202,291,282,87,13,1156,1723,1779,2013,2264,1808,495,60,10149,103,83,108,139,149,35,8,623,2415,2650,3044,3591,3309,1055,170,16248,1781,1859,2136,2429,1969,541,63,10791,451,593,634,747,836,314,59,3628,70,106,137,228,267,111,30,955,6,12,25,48,93,58,9,249,529,712,797,1020,1192,483,101,4834,103,83,108,139,149,35,8,623,2415,2650,3044,3591,3309,1055,170,16248
LGA50210,17,65,151,314,463,202,32,1241,338,428,417,320,257,70,8,1855,9,20,43,104,118,60,14,372,0,0,0,4,0,0,4,7,23,52,95,222,272,102,16,784,8,13,23,83,181,108,11,428,9,12,15,21,20,11,6,93,6,8,13,39,82,46,6,195,416,601,494,395,263,38,0,2206,4,6,7,13,15,8,0,63,184,302,289,341,265,74,7,1467,2845,3375,3331,2517,1544,409,42,14059,151,129,144,138,122,29,3,712,3830,4675,4680,3998,2982,913,103,21189,2954,3545,3511,2723,1671,449,43,14894,634,841,820,850,820,297,27,4285,89,152,175,228,283,92,24,1045,3,18,29,63,87,45,8,261,724,1010,1028,1140,1188,436,63,5592,151,129,144,138,122,29,3,712,3830,4675,4680,3998,2982,913,103,21189
LGA50250,6,35,84,146,205,51,9,534,62,262,283,211,138,13,0,973,0,13,33,52,80,29,6,217,0,0,3,0,0,0,0,7,4,34,66,151,158,31,4,452,0,7,23,80,98,24,3,228,5,3,10,12,14,0,0,44,0,10,9,23,41,12,0,83,52,240,235,169,89,17,0,797,0,3,4,7,9,3,3,33,29,96,139,146,135,20,0,564,758,2673,2802,2385,1383,186,5,10197,36,86,90,112,74,13,0,400,929,3353,3619,3286,2194,331,20,13727,783,2736,2890,2485,1472,202,5,10576,105,462,540,557,518,80,4,2269,11,64,80,113,110,21,4,395,0,6,17,22,29,14,3,85,118,530,633,688,647,122,11,2749,36,86,90,112,74,13,0,400,929,3353,3619,3286,2194,331,20,13727
LGA50280,0,13,49,81,142,89,15,390,51,81,128,94,71,38,4,467,4,0,11,45,53,38,8,157,0,0,0,0,4,0,0,4,8,6,9,28,33,32,3,118,0,0,0,24,46,42,19,130,0,0,11,6,9,9,0,27,0,0,4,3,25,17,5,51,65,99,149,116,92,19,0,541,0,0,0,3,11,3,0,22,34,46,81,81,84,34,3,367,570,799,1139,999,732,254,40,4523,24,23,56,39,49,14,3,212,747,1031,1534,1408,1198,474,77,6483,597,830,1192,1050,788,262,38,4767,117,155,228,251,273,134,22,1173,10,26,53,58,70,40,11,269,0,0,8,11,19,17,0,56,123,181,284,313,362,196,35,1500,24,23,56,39,49,14,3,212,747,1031,1534,1408,1198,474,77,6483
LGA50350,4,8,35,89,111,57,9,316,76,104,122,97,72,26,0,501,3,4,12,30,43,22,5,131,0,0,0,0,0,0,0,0,6,16,29,58,80,25,3,220,0,0,0,24,46,23,8,110,0,3,4,8,3,6,0,21,0,9,0,13,19,16,4,50,96,139,135,106,67,16,0,562,0,0,5,3,9,4,0,23,45,69,91,112,109,35,3,453,668,920,1058,920,639,157,11,4369,44,25,59,42,54,15,0,236,908,1225,1471,1371,1095,329,25,6420,697,965,1119,992,696,176,10,4659,145,196,246,255,259,97,4,1200,21,37,38,63,67,34,3,272,0,0,9,20,23,7,4,59,166,233,296,335,347,143,13,1532,44,25,59,42,54,15,0,236,908,1225,1471,1371,1095,329,25,6420
LGA50420,23,54,124,218,406,181,30,1030,330,355,348,327,255,72,14,1713,0,16,43,87,130,75,15,374,0,0,0,0,0,0,4,4,19,45,99,203,251,138,23,783,5,8,26,75,166,109,31,413,7,17,19,14,27,16,0,96,4,10,9,26,55,27,4,129,424,477,428,345,232,41,7,1945,0,0,11,19,25,19,14,88,182,219,270,328,287,92,11,1391,2907,3398,3215,2787,1916,529,57,14818,131,104,128,145,150,53,4,704,3859,4469,4442,4176,3377,1124,144,21593,3022,3533,3389,2991,2077,584,63,15652,618,703,769,815,851,345,38,4145,81,123,136,188,238,105,22,898,8,13,21,34,66,32,14,193,714,835,927,1042,1157,488,81,5235,131,104,128,145,150,53,4,704,3859,4469,4442,4176,3377,1124,144,21593
LGA50490,38,113,245,465,714,256,25,1855,428,871,828,702,447,95,10,3378,13,42,100,170,292,111,17,745,0,0,0,3,0,0,0,4,27,92,232,518,625,182,20,1691,14,16,60,205,351,157,28,836,6,19,29,34,50,13,4,155,3,10,22,54,128,49,13,277,574,1005,829,679,415,55,3,3561,0,3,16,24,41,24,0,114,235,503,601,666,517,131,5,2664,4300,8712,8646,6374,3805,769,73,32686,207,292,304,320,248,52,8,1429,5611,11203,11367,9416,6660,1575,154,45984,4438,9002,9047,6802,4115,846,71,34319,836,1675,1726,1838,1693,479,38,8279,119,218,250,369,466,142,22,1579,4,29,42,92,137,58,5,365,968,1908,2015,2298,2296,672,69,10231,207,292,304,320,248,52,8,1429,5611,11203,11367,9416,6660,1575,154,45984
LGA50560,0,3,0,7,20,19,0,55,5,6,10,10,16,12,0,60,0,0,0,0,10,3,5,22,0,0,0,0,0,0,0,0,0,0,0,0,9,8,3,17,0,0,0,6,0,8,4,18,0,0,0,0,0,0,0,6,0,0,0,3,5,0,0,7,3,12,5,10,6,6,0,39,0,0,0,0,0,0,0,0,0,8,5,10,10,8,0,39,22,31,61,67,60,34,5,284,0,0,0,6,7,5,0,12,30,51,82,107,115,82,18,490,23,33,65,77,67,37,6,310,5,18,16,19,31,28,9,125,0,3,0,4,6,3,0,26,0,0,0,0,6,4,0,12,3,19,20,26,40,43,9,171,0,0,0,6,7,5,0,12,30,51,82,107,115,82,18,490
LGA50630,0,5,16,33,51,19,0,126,15,30,68,43,28,7,4,196,0,0,5,8,22,3,3,44,0,0,0,0,0,0,0,0,0,4,6,30,36,3,3,87,0,3,3,13,24,4,0,52,0,0,0,0,4,0,0,8,0,0,0,4,11,4,0,15,9,45,68,48,29,3,0,205,0,0,0,6,9,3,0,12,9,24,30,29,35,10,0,138,126,363,438,429,240,45,9,1640,6,17,29,25,14,3,0,90,161,469,628,618,429,88,14,2411,128,374,452,448,272,50,9,1729,26,70,127,123,105,23,5,477,0,9,20,20,31,10,4,94,0,3,0,6,11,7,5,22,27,82,147,148,149,35,11,598,6,17,29,25,14,3,0,90,161,469,628,618,429,88,14,2411
LGA50770,0,0,11,8,28,15,17,79,3,3,9,6,4,6,0,32,0,0,3,3,4,8,16,26,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,21,0,0,0,0,10,9,9,36,0,0,0,0,0,0,4,3,0,0,0,0,0,5,3,15,12,4,11,16,11,0,0,56,0,0,0,0,0,0,0,0,3,4,3,8,11,5,4,35,54,53,76,105,82,33,13,415,5,0,5,9,8,0,0,28,78,65,112,149,150,70,44,666,55,54,78,109,92,38,9,433,11,12,24,25,45,23,15,151,0,0,5,4,8,8,11,34,0,0,0,4,3,5,6,15,13,11,25,33,56,39,32,204,5,0,5,9,8,0,0,28,78,65,112,149,150,70,44,666
