POW_LGA_CODE_2021,Pro_500_649_A_25_34,Pro_500_649_A_35_44,Pro_500_649_A_45_54,Pro_500_649_A_55_64,Pro_500_649_A_65_74,Pro_500_649_A_75ov,Pro_500_649_Tot,Pro_650_799_A_15_19,Pro_650_799_A_20_24,Pro_650_799_A_25_34,Pro_650_799_A_35_44,Pro_650_799_A_45_54,Pro_650_799_A_55_64,Pro_650_799_A_65_74,Pro_650_799_A_75ov,Pro_650_799_Tot,Pro_800_999_A_15_19,Pro_800_999_A_20_24,Pro_800_999_A_25_34,Pro_800_999_A_35_44,Pro_800_999_A_45_54,Pro_800_999_A_55_64,Pro_800_999_A_65_74,Pro_800_999_A_75ov,Pro_800_999_Tot,Pro_1000_1249_A_15_19,Pro_1000_1249_A_20_24,Pro_1000_1249_A_25_34,Pro_1000_1249_A_35_44,Pro_1000_1249_A_45_54,Pro_1000_1249_A_55_64,Pro_1000_1249_A_65_74,Pro_1000_1249_A_75ov,Pro_1000_1249_Tot,Pro_1250_1499_A_15_19,Pro_1250_1499_A_20_24,Pro_1250_1499_A_25_34,Pro_1250_1499_A_35_44,Pro_1250_1499_A_45_54,Pro_1250_1499_A_55_64,Pro_1250_1499_A_65_74,Pro_1250_1499_A_75ov,Pro_1250_1499_Tot,Pro_1500_1749_A_15_19,Pro_1500_1749_A_20_24,Pro_1500_1749_A_25_34,Pro_1500_1749_A_35_44,Pro_1500_1749_A_45_54,Pro_1500_1749_A_55_64,Pro_1500_1749_A_65_74,Pro_1500_1749_A_75ov,Pro_1500_1749_Tot,Pro_1750_1999_A_15_19,Pro_1750_1999_A_20_24,Pro_1750_1999_A_25_34,Pro_1750_1999_A_35_44,Pro_1750_1999_A_45_54,Pro_1750_1999_A_55_64,Pro_1750_1999_A_65_74,Pro_1750_1999_A_75ov,Pro_1750_1999_Tot,Pro_2000_2999_A_15_19,Pro_2000_2999_A_20_24,Pro_2000_2999_A_25_34,Pro_2000_2999_A_35_44,Pro_2000_2999_A_45_54,Pro_2000_2999_A_55_64,Pro_2000_2999_A_65_74,Pro_2000_2999_A_75ov,Pro_2000_2999_Tot,Pro_3000_3499_A_15_19,Pro_3000_3499_A_20_24,Pro_3000_3499_A_25_34,Pro_3000_3499_A_35_44,Pro_3000_3499_A_45_54,Pro_3000_3499_A_55_64,Pro_3000_3499_A_65_74,Pro_3000_3499_A_75ov,Pro_3000_3499_Tot,Pro_3500mo_A_15_19,Pro_3500mo_A_20_24,Pro_3500mo_A_25_34,Pro_3500mo_A_35_44,Pro_3500mo_A_45_54,Pro_3500mo_A_55_64,Pro_3500mo_A_65_74,Pro_3500mo_A_75ov,Pro_3500mo_Tot,Pro_PINS_A_15_19,Pro_PINS_A_20_24,Pro_PINS_A_25_34,Pro_PINS_A_35_44,Pro_PINS_A_45_54,Pro_PINS_A_55_64,Pro_PINS_A_65_74,Pro_PINS_A_75ov,Pro_PINS_Tot,Pro_Tot_A_15_19,Pro_Tot_A_20_24,Pro_Tot_A_25_34,Pro_Tot_A_35_44,Pro_Tot_A_45_54,Pro_Tot_A_55_64,Pro_Tot_A_65_74,Pro_Tot_A_75ov,Pro_Tot_Tot,TaTW_NNI_A_15_19,TaTW_NNI_A_20_24,TaTW_NNI_A_25_34,TaTW_NNI_A_35_44,TaTW_NNI_A_45_54,TaTW_NNI_A_55_64,TaTW_NNI_A_65_74,TaTW_NNI_A_75ov,TaTW_NNI_Tot,TaTW_1_149_A_15_19,TaTW_1_149_A_20_24,TaTW_1_149_A_25_34,TaTW_1_149_A_35_44,TaTW_1_149_A_45_54,TaTW_1_149_A_55_64,TaTW_1_149_A_65_74,TaTW_1_149_A_75ov,TaTW_1_149_Tot,TaTW_150_299_A_15_19,TaTW_150_299_A_20_24,TaTW_150_299_A_25_34,TaTW_150_299_A_35_44,TaTW_150_299_A_45_54,TaTW_150_299_A_55_64,TaTW_150_299_A_65_74,TaTW_150_299_A_75ov,TaTW_150_299_Tot,TaTW_300_399_A_15_19,TaTW_300_399_A_20_24,TaTW_300_399_A_25_34,TaTW_300_399_A_35_44,TaTW_300_399_A_45_54,TaTW_300_399_A_55_64,TaTW_300_399_A_65_74,TaTW_300_399_A_75ov,TaTW_300_399_Tot,TaTW_400_499_A_15_19,TaTW_400_499_A_20_24,TaTW_400_499_A_25_34,TaTW_400_499_A_35_44,TaTW_400_499_A_45_54,TaTW_400_499_A_55_64,TaTW_400_499_A_65_74,TaTW_400_499_A_75ov,TaTW_400_499_Tot,TaTW_500_649_A_15_19,TaTW_500_649_A_20_24,TaTW_500_649_A_25_34,TaTW_500_649_A_35_44,TaTW_500_649_A_45_54,TaTW_500_649_A_55_64,TaTW_500_649_A_65_74,TaTW_500_649_A_75ov,TaTW_500_649_Tot,TaTW_650_799_A_15_19,TaTW_650_799_A_20_24,TaTW_650_799_A_25_34,TaTW_650_799_A_35_44,TaTW_650_799_A_45_54,TaTW_650_799_A_55_64,TaTW_650_799_A_65_74,TaTW_650_799_A_75ov,TaTW_650_799_Tot,TaTW_800_999_A_15_19,TaTW_800_999_A_20_24,TaTW_800_999_A_25_34,TaTW_800_999_A_35_44,TaTW_800_999_A_45_54,TaTW_800_999_A_55_64,TaTW_800_999_A_65_74,TaTW_800_999_A_75ov,TaTW_800_999_Tot,TaTW_1000_1249_A_15_19,TaTW_1000_1249_A_20_24,TaTW_1000_1249_A_25_34,TaTW_1000_1249_A_35_44,TaTW_1000_1249_A_45_54,TaTW_1000_1249_A_55_64,TaTW_1000_1249_A_65_74,TaTW_1000_1249_A_75ov,TaTW_1000_1249_Tot,TaTW_1250_1499_A_15_19,TaTW_1250_1499_A_20_24,TaTW_1250_1499_A_25_34,TaTW_1250_1499_A_35_44,TaTW_1250_1499_A_45_54,TaTW_1250_1499_A_55_64,TaTW_1250_1499_A_65_74,TaTW_1250_1499_A_75ov,TaTW_1250_1499_Tot,TaTW_1500_1749_A_15_19,TaTW_1500_1749_A_20_24,TaTW_1500_1749_A_25_34,TaTW_1500_1749_A_35_44
LGA50080,19,26,22,18,13,5,105,3,10,29,42,35,32,21,4,169,0,16,43,48,41,39,18,5,210,0,26,86,73,82,77,30,4,379,0,28,84,78,91,70,10,0,363,0,15,110,100,119,122,20,0,483,0,3,78,94,130,88,30,0,422,0,5,72,128,191,140,23,9,564,0,0,8,16,18,14,3,0,64,0,0,20,50,45,41,7,0,167,0,0,0,0,6,4,0,0,10,17,105,577,703,794,680,195,25,3091,0,0,0,3,0,3,0,0,6,0,0,0,0,0,3,0,0,14,5,3,3,4,9,5,0,0,33,16,3,9,7,10,9,8,4,59,40,10,9,10,10,18,8,0,115,64,34,32,16,30,22,14,0,207,30,57,37,29,24,38,14,0,223,11,78,81,56,57,46,14,0,348,5,51,123,94,57,66,12,0,407,0,20,81,62,71,48,11,0,294,0,10,69,61
LGA50210,33,31,17,19,10,0,129,0,9,48,42,19,13,11,3,152,4,22,79,91,52,28,16,0,291,3,30,134,125,80,55,24,5,447,0,57,214,137,99,51,16,4,584,0,35,277,214,126,78,23,0,755,0,7,191,177,159,85,22,0,651,0,14,174,279,242,178,34,0,912,0,0,25,33,31,9,10,0,109,0,0,15,70,77,49,12,0,221,0,5,8,11,7,7,0,0,32,17,227,1269,1268,945,606,190,20,4553,0,0,0,4,0,0,0,0,12,11,0,3,3,3,3,5,0,22,7,3,10,17,8,10,7,0,60,8,10,21,12,15,16,8,0,90,32,20,22,15,20,20,3,0,128,55,43,37,27,30,23,15,4,237,23,59,64,66,34,20,14,3,285,13,97,114,79,50,43,13,0,411,5,82,154,104,73,60,16,0,490,4,35,109,94,71,44,12,0,370,0,14,108,99
LGA50250,0,3,0,0,0,0,10,0,0,3,0,3,0,0,0,13,0,5,6,4,0,0,0,0,14,0,7,11,7,6,0,4,0,36,0,11,19,8,4,11,0,0,57,0,7,37,16,9,11,6,0,78,0,6,47,31,17,12,0,0,113,0,28,165,94,83,58,14,0,446,0,8,101,84,63,34,6,0,297,0,0,75,117,85,51,6,0,330,0,0,3,0,0,0,0,0,4,4,80,479,374,278,169,41,0,1428,0,0,4,6,0,0,0,0,5,3,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,6,0,0,4,0,0,0,0,0,12,5,0,3,4,4,0,0,0,22,0,0,7,0,0,3,0,0,14,8,0,8,13,4,7,0,0,33,0,12,21,26,21,3,0,0,85,4,29,34,24,24,17,3,0,136,0,23,74,48
LGA50280,5,26,9,8,6,3,61,0,0,11,25,11,15,4,0,69,0,3,8,30,19,17,5,3,85,0,0,16,37,36,22,12,0,126,0,0,26,32,29,23,9,0,114,0,6,29,51,22,20,8,0,135,0,0,16,28,43,23,7,0,124,0,0,23,37,43,37,16,0,154,0,0,5,8,5,10,0,0,26,0,0,5,12,23,10,11,0,55,0,0,0,0,0,5,0,0,5,0,17,152,323,256,202,83,5,1040,0,0,0,0,4,0,0,0,4,0,0,0,4,5,8,0,0,9,0,0,0,10,0,0,0,0,22,4,5,4,7,8,8,5,0,34,24,0,3,8,14,10,3,0,62,8,11,11,9,21,7,0,0,75,8,7,27,20,19,20,8,0,106,5,15,37,34,24,24,9,4,146,4,16,43,57,33,17,6,0,175,0,6,38,44,20,16,6,0,130,0,3,16,26
LGA50350,4,4,8,0,0,0,30,0,3,10,11,4,4,0,0,41,0,3,11,16,20,7,5,0,59,0,10,26,18,22,15,8,0,100,0,11,38,32,22,13,7,0,125,0,8,34,21,23,22,8,0,108,0,0,28,33,25,16,5,0,107,0,0,31,48,40,26,15,0,163,0,0,6,9,3,3,3,0,28,0,0,4,9,3,4,4,0,20,0,0,0,5,4,0,0,0,8,4,42,209,222,181,126,60,5,850,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,4,6,0,0,3,3,0,0,0,21,18,4,0,4,6,0,0,0,38,23,20,3,6,6,6,0,0,64,9,36,24,16,11,10,0,0,118,3,33,33,35,33,26,10,0,175,0,18,83,70,47,39,3,0,264,0,13,49,63,44,46,5,0,222,0,4,41,49
LGA50420,37,43,33,25,22,7,172,0,15,62,63,38,25,21,0,226,0,26,83,66,52,31,18,0,282,0,39,123,104,70,47,16,0,405,0,49,180,121,80,54,18,0,507,0,24,176,133,114,72,19,3,541,0,3,128,121,106,64,9,0,432,0,8,130,177,156,132,39,4,641,0,0,12,30,33,21,15,0,118,0,0,20,57,65,46,29,0,213,0,4,4,8,5,3,0,0,30,34,224,1022,981,794,577,228,29,3876,0,3,6,5,0,3,4,0,21,8,0,0,7,0,5,3,0,21,10,6,6,8,3,7,3,0,46,16,8,21,15,13,19,10,9,111,36,22,18,11,26,28,9,0,156,46,68,33,26,33,20,12,0,252,22,87,76,55,46,57,19,0,359,14,92,126,71,70,49,23,0,451,3,64,158,133,105,115,20,0,606,0,32,129,124,108,76,19,0,488,0,9,120,92
LGA50490,38,24,16,13,4,0,119,0,20,33,55,18,23,7,0,164,0,37,103,71,43,33,15,4,304,0,93,228,148,73,61,15,0,629,0,87,321,173,132,58,28,0,795,0,43,349,256,171,97,24,4,949,0,19,259,282,172,91,22,3,851,0,12,534,739,449,239,53,3,2034,0,3,110,220,163,68,19,0,589,0,3,113,305,315,172,24,9,940,0,4,16,4,6,4,0,0,38,23,394,2160,2336,1592,888,228,31,7640,3,0,6,0,0,5,0,0,18,15,5,0,0,0,6,0,0,26,8,3,7,4,3,9,0,0,34,11,10,17,8,16,10,3,0,73,35,10,20,17,12,12,10,0,112,41,52,29,34,14,14,8,4,198,33,86,84,44,26,26,14,0,311,24,100,120,78,47,62,18,3,441,8,88,247,164,115,95,23,0,749,4,66,239,191,162,120,20,0,797,0,42,214,236
LGA50560,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,8,0,0,0,5,0,0,0,0,6,0,0,0,8,0,0,0,0,8,0,0,0,0,5,0,0,0,11,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,20,10,9,9,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,6,0,0,0,8,0,0,0,3,0,6,0,0,16,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,5,0,0,10,0,0,0,5,0,0,4,0,8,0,0,4,0,0,0,0,0,5,0,0,4,6,0,0,0,0,16,0,3,7,8,10,10,0,0,29,0,4,24,26,22,7,0,0,85,0,0,6,12,10,4,0,0,38,0,0,3,11,14,12,0,0,40,0,0,0,0,0,0,0,0,0,0,6,56,68,61,36,9,0,245,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,9,3,0,0,0,7,3,0,0,12,0,0,3,4,0,0,0,0,16,0,5,0,0,4,3,0,0,16,0,3,7,0,4,5,0,0,20,0,7,14,17
LGA50770,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,7,0,0,0,0,9,0,0,0,0,5,0,0,0,9,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,17,12,5,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,7,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,0,6,0
