POW_LGA_CODE_2021,TaTW_650_799_H_0,TaTW_650_799_H_1_19,TaTW_650_799_H_20_29,TaTW_650_799_H_30_34,TaTW_650_799_H_35_39,TaTW_650_799_H_40_44,TaTW_650_799_H_45_49,TaTW_650_799_H_50ov,TaTW_650_799_H_NS,TaTW_650_799_H_Tot,TaTW_800_999_H_0,TaTW_800_999_H_1_19,TaTW_800_999_H_20_29,TaTW_800_999_H_30_34,TaTW_800_999_H_35_39,TaTW_800_999_H_40_44,TaTW_800_999_H_45_49,TaTW_800_999_H_50ov,TaTW_800_999_H_NS,TaTW_800_999_H_Tot,TaTW_1000_1249_H_0,TaTW_1000_1249_H_1_19,TaTW_1000_1249_H_20_29,TaTW_1000_1249_H_30_34,TaTW_1000_1249_H_35_39,TaTW_1000_1249_H_40_44,TaTW_1000_1249_H_45_49,TaTW_1000_1249_H_50ov,TaTW_1000_1249_H_NS,TaTW_1000_1249_H_Tot,TaTW_1250_1499_H_0,TaTW_1250_1499_H_1_19,TaTW_1250_1499_H_20_29,TaTW_1250_1499_H_30_34,TaTW_1250_1499_H_35_39,TaTW_1250_1499_H_40_44,TaTW_1250_1499_H_45_49,TaTW_1250_1499_H_50ov,TaTW_1250_1499_H_NS,TaTW_1250_1499_H_Tot,TaTW_1500_1749_H_0,TaTW_1500_1749_H_1_19,TaTW_1500_1749_H_20_29,TaTW_1500_1749_H_30_34,TaTW_1500_1749_H_35_39,TaTW_1500_1749_H_40_44,TaTW_1500_1749_H_45_49,TaTW_1500_1749_H_50ov,TaTW_1500_1749_H_NS,TaTW_1500_1749_H_Tot,TaTW_1750_1999_H_0,TaTW_1750_1999_H_1_19,TaTW_1750_1999_H_20_29,TaTW_1750_1999_H_30_34,TaTW_1750_1999_H_35_39,TaTW_1750_1999_H_40_44,TaTW_1750_1999_H_45_49,TaTW_1750_1999_H_50ov,TaTW_1750_1999_H_NS,TaTW_1750_1999_H_Tot,TaTW_2000_2999_H_0,TaTW_2000_2999_H_1_19,TaTW_2000_2999_H_20_29,TaTW_2000_2999_H_30_34,TaTW_2000_2999_H_35_39,TaTW_2000_2999_H_40_44,TaTW_2000_2999_H_45_49,TaTW_2000_2999_H_50ov,TaTW_2000_2999_H_NS,TaTW_2000_2999_H_Tot,TaTW_3000_3499_H_0,TaTW_3000_3499_H_1_19,TaTW_3000_3499_H_20_29,TaTW_3000_3499_H_30_34,TaTW_3000_3499_H_35_39,TaTW_3000_3499_H_40_44,TaTW_3000_3499_H_45_49,TaTW_3000_3499_H_50ov,TaTW_3000_3499_H_NS,TaTW_3000_3499_H_Tot,TaTW_3500mo_H_0,TaTW_3500mo_H_1_19,TaTW_3500mo_H_20_29,TaTW_3500mo_H_30_34,TaTW_3500mo_H_35_39,TaTW_3500mo_H_40_44,TaTW_3500mo_H_45_49,TaTW_3500mo_H_50ov,TaTW_3500mo_H_NS,TaTW_3500mo_H_Tot,TaTW_PINS_H_0,TaTW_PINS_H_1_19,TaTW_PINS_H_20_29,TaTW_PINS_H_30_34,TaTW_PINS_H_35_39,TaTW_PINS_H_40_44,TaTW_PINS_H_45_49,TaTW_PINS_H_50ov,TaTW_PINS_H_NS,TaTW_PINS_H_Tot,TaTW_Tot_H_0,TaTW_Tot_H_1_19,TaTW_Tot_H_20_29,TaTW_Tot_H_30_34,TaTW_Tot_H_35_39,TaTW_Tot_H_40_44,TaTW_Tot_H_45_49,TaTW_Tot_H_50ov,TaTW_Tot_H_NS,TaTW_Tot_H_Tot,CoPSW_NNI_H_0,CoPSW_NNI_H_1_19,CoPSW_NNI_H_20_29,CoPSW_NNI_H_30_34,CoPSW_NNI_H_35_39,CoPSW_NNI_H_40_44,CoPSW_NNI_H_45_49,CoPSW_NNI_H_50ov,CoPSW_NNI_H_NS,CoPSW_NNI_H_Tot,CoPSW_1_149_H_0,CoPSW_1_149_H_1_19,CoPSW_1_149_H_20_29,CoPSW_1_149_H_30_34,CoPSW_1_149_H_35_39,CoPSW_1_149_H_40_44,CoPSW_1_149_H_45_49,CoPSW_1_149_H_50ov,CoPSW_1_149_H_NS,CoPSW_1_149_H_Tot,CoPSW_150_299_H_0,CoPSW_150_299_H_1_19,CoPSW_150_299_H_20_29,CoPSW_150_299_H_30_34,CoPSW_150_299_H_35_39,CoPSW_150_299_H_40_44,CoPSW_150_299_H_45_49,CoPSW_150_299_H_50ov,CoPSW_150_299_H_NS,CoPSW_150_299_H_Tot,CoPSW_300_399_H_0,CoPSW_300_399_H_1_19,CoPSW_300_399_H_20_29,CoPSW_300_399_H_30_34,CoPSW_300_399_H_35_39,CoPSW_300_399_H_40_44,CoPSW_300_399_H_45_49,CoPSW_300_399_H_50ov,CoPSW_300_399_H_NS,CoPSW_300_399_H_Tot,CoPSW_400_499_H_0,CoPSW_400_499_H_1_19,CoPSW_400_499_H_20_29,CoPSW_400_499_H_30_34,CoPSW_400_499_H_35_39,CoPSW_400_499_H_40_44,CoPSW_400_499_H_45_49,CoPSW_400_499_H_50ov,CoPSW_400_499_H_NS,CoPSW_400_499_H_Tot,CoPSW_500_649_H_0,CoPSW_500_649_H_1_19,CoPSW_500_649_H_20_29,CoPSW_500_649_H_30_34,CoPSW_500_649_H_35_39,CoPSW_500_649_H_40_44,CoPSW_500_649_H_45_49,CoPSW_500_649_H_50ov,CoPSW_500_649_H_NS,CoPSW_500_649_H_Tot,CoPSW_650_799_H_0,CoPSW_650_799_H_1_19,CoPSW_650_799_H_20_29,CoPSW_650_799_H_30_34,CoPSW_650_799_H_35_39,CoPSW_650_799_H_40_44,CoPSW_650_799_H_45_49,CoPSW_650_799_H_50ov,CoPSW_650_799_H_NS,CoPSW_650_799_H_Tot,CoPSW_800_999_H_0,CoPSW_800_999_H_1_19,CoPSW_800_999_H_20_29,CoPSW_800_999_H_30_34,CoPSW_800_999_H_35_39,CoPSW_800_999_H_40_44,CoPSW_800_999_H_45_49,CoPSW_800_999_H_50ov,CoPSW_800_999_H_NS,CoPSW_800_999_H_Tot,CoPSW_1000_1249_H_0,CoPSW_1000_1249_H_1_19,CoPSW_1000_1249_H_20_29,CoPSW_1000_1249_H_30_34,CoPSW_1000_1249_H_35_39,CoPSW_1000_1249_H_40_44,CoPSW_1000_1249_H_45_49,CoPSW_1000_1249_H_50ov,CoPSW_1000_1249_H_NS,CoPSW_1000_1249_H_Tot
LGA50080,4,16,33,29,50,57,20,10,0,223,9,13,27,48,133,68,27,24,9,348,11,14,18,25,118,146,35,42,6,407,22,3,8,8,78,99,39,42,5,294,5,3,6,10,38,66,31,49,4,224,9,5,0,4,15,27,25,38,0,118,6,0,4,5,20,33,18,43,6,147,0,0,0,0,3,0,0,15,0,26,4,0,0,0,0,4,5,8,0,19,0,0,0,0,0,5,0,0,4,14,87,158,182,165,526,584,225,304,28,2267,3,5,0,0,0,0,0,0,0,15,8,89,0,0,0,0,0,0,0,98,6,87,13,0,0,0,0,0,0,106,6,58,20,5,0,0,0,6,0,97,9,77,32,20,9,3,4,0,6,155,13,80,119,39,9,8,7,0,3,279,17,54,119,73,43,20,0,12,5,348,11,31,109,79,93,34,7,12,3,379,14,14,46,63,89,56,9,35,10,334
LGA50210,3,19,56,36,69,64,12,21,4,285,11,17,33,35,140,101,28,38,3,411,12,15,23,29,145,154,52,55,4,490,14,11,10,22,92,114,44,56,8,370,8,4,4,13,69,125,43,88,6,350,6,0,8,5,35,67,19,64,4,204,5,0,4,3,22,53,35,90,6,227,0,0,0,0,0,11,7,23,0,41,0,0,0,0,0,3,3,17,0,30,3,3,0,3,5,5,0,4,11,28,74,256,264,183,639,755,270,494,52,2990,6,5,0,0,0,0,0,0,0,21,5,121,8,0,0,0,0,0,3,140,7,136,22,7,3,0,0,0,0,178,5,110,34,3,0,0,0,3,0,173,15,114,83,21,6,4,3,3,0,248,17,107,149,51,11,21,0,8,8,371,24,54,170,107,81,21,4,7,3,479,20,60,108,119,148,52,11,19,0,539,17,16,39,113,149,76,9,35,9,464
LGA50250,0,0,0,0,0,0,0,0,0,14,3,4,0,4,0,6,3,10,4,33,8,4,0,0,12,9,5,43,3,85,18,0,0,3,9,19,10,72,6,136,32,4,3,4,12,18,10,149,0,234,43,3,3,5,8,19,12,210,5,320,202,38,54,12,49,71,111,1053,25,1614,118,25,19,5,21,33,83,624,8,941,219,32,25,6,20,42,47,753,14,1167,7,0,5,0,0,0,3,14,10,39,656,126,122,46,142,220,292,2954,74,4630,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,14,6,10,9,0,0,0,0,0,0,21,3,3,4,0,0,0,0,0,0,14,0,8,5,0,0,0,0,0,4,25,0,6,12,7,0,0,3,0,0,26,5,3,8,0,5,3,0,0,0,24,0,6,0,10,22,3,3,7,0,52,5,0,5,5,12,7,4,7,4,43
LGA50280,4,14,23,12,16,18,7,15,0,106,11,9,20,27,24,34,7,17,0,146,8,6,9,7,44,55,16,27,8,175,9,0,7,6,22,41,18,22,3,130,3,0,3,3,11,33,3,18,0,88,0,0,0,3,10,15,7,3,0,50,0,0,0,0,10,21,6,12,0,46,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,0,0,4,4,9,40,98,118,85,161,241,70,130,22,959,0,8,0,0,0,0,0,0,0,7,14,66,0,0,0,0,0,4,0,79,4,25,3,0,0,0,0,0,0,33,4,33,9,6,0,0,0,0,0,55,7,25,20,6,0,0,0,0,0,68,9,24,33,11,4,5,0,0,0,97,10,20,39,27,21,8,0,3,0,123,6,10,32,26,24,14,0,4,0,127,3,7,14,19,20,23,4,5,0,95
LGA50350,0,8,18,8,32,33,5,12,0,118,0,0,11,6,70,53,6,22,0,175,4,10,9,13,77,90,30,36,6,264,0,3,9,7,59,75,29,34,0,222,5,5,0,4,40,61,20,36,6,177,0,0,0,3,28,41,23,44,0,137,5,0,0,6,10,36,36,95,0,204,0,0,0,0,0,8,3,14,0,29,0,0,0,0,0,3,0,8,0,10,0,0,0,0,0,3,0,0,0,13,30,58,79,64,336,430,155,321,17,1482,0,0,0,0,0,0,0,0,0,6,0,28,0,0,0,0,0,0,0,28,0,19,0,0,0,0,0,0,0,24,0,21,7,4,0,0,0,0,0,38,0,29,8,0,6,4,0,0,0,41,0,22,39,11,5,6,0,0,0,82,7,15,32,13,21,4,0,4,0,93,0,10,23,24,36,16,4,4,0,118,3,7,19,18,37,15,3,15,0,114
LGA50420,7,38,63,51,89,70,27,23,4,359,7,23,41,50,137,124,14,34,7,451,15,16,36,32,186,192,58,69,9,606,11,15,18,25,140,149,51,72,6,488,9,0,4,14,66,147,45,90,5,389,3,7,11,5,26,86,38,72,0,250,9,8,6,11,28,61,47,95,0,270,0,0,3,0,0,10,4,19,0,38,0,4,0,0,0,3,6,18,0,34,0,0,3,0,7,6,0,6,7,35,87,277,309,238,770,955,317,526,57,3527,5,6,4,0,0,0,0,0,0,13,7,145,7,0,0,0,0,0,0,161,11,160,25,0,5,5,0,0,6,208,7,123,38,9,3,6,0,0,0,187,8,94,95,14,10,4,4,5,3,237,13,120,159,37,27,10,0,8,3,379,14,78,163,75,60,16,8,5,6,420,16,47,102,109,135,45,14,16,5,493,15,28,66,86,123,73,11,36,10,454
LGA50490,7,25,47,31,80,75,13,27,9,311,6,20,41,42,126,129,35,34,10,441,14,32,28,28,248,234,65,86,9,749,37,19,17,31,215,251,84,131,7,797,34,13,13,21,194,277,101,166,4,827,31,11,12,9,114,214,70,198,5,661,93,24,23,24,177,335,147,579,7,1416,33,11,0,4,31,79,50,197,6,413,41,4,3,8,19,39,40,185,0,347,0,0,0,0,8,20,4,10,17,61,315,307,294,220,1261,1728,630,1625,99,6489,8,3,3,0,0,0,0,0,4,14,0,83,3,0,4,0,0,0,0,99,8,111,22,3,0,0,0,0,4,148,7,124,45,12,4,3,0,0,0,195,14,119,81,17,16,4,0,4,0,264,25,144,182,44,19,12,3,3,0,436,47,101,178,88,92,29,7,17,8,563,55,71,133,140,212,107,17,29,17,783,51,41,91,115,230,125,49,51,17,776
LGA50560,0,0,0,0,3,0,0,0,0,8,4,0,5,4,0,0,0,0,0,16,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,4,8,16,3,5,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3
LGA50630,0,0,4,0,0,0,0,4,0,12,0,4,7,0,4,4,0,0,0,16,4,0,3,0,0,5,0,10,0,16,0,0,0,0,0,3,0,11,0,20,5,5,3,3,0,0,3,25,0,46,10,4,0,0,7,10,8,40,4,71,55,4,3,3,19,40,25,193,5,344,8,0,0,0,7,11,13,53,0,94,10,0,3,0,0,6,9,29,0,56,0,0,0,0,0,6,0,8,0,11,85,22,20,6,37,86,69,361,18,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,4,0,0,4,0,3,0,0,6,0,10,5,3,0,0,3,0,0,0,0,15
LGA50770,0,0,0,0,0,6,0,0,0,3,0,3,0,0,0,4,0,0,0,7,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,6,11,10,12,5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,4,0,0,7,0,0,0,3,0,0,0,0,0,5
