POW_LGA_CODE_2021,CL_nfd_650_799_Mng,CL_nfd_650_799_Pro,CL_nfd_650_799_TecTW,CL_nfd_650_799_CoPSW,CL_nfd_650_799_ClAW,CL_nfd_650_799_SWks,CL_nfd_650_799_MaOpDv,CL_nfd_650_799_Lab,CL_nfd_650_799_IDNS,CL_nfd_650_799_Tot,CL_nfd_800_999_Mng,CL_nfd_800_999_Pro,CL_nfd_800_999_TecTW,CL_nfd_800_999_CoPSW,CL_nfd_800_999_ClAW,CL_nfd_800_999_SWks,CL_nfd_800_999_MaOpDv,CL_nfd_800_999_Lab,CL_nfd_800_999_IDNS,CL_nfd_800_999_Tot,CL_nfd_1000_1249_Mng,CL_nfd_1000_1249_Pro,CL_nfd_1000_1249_TecTW,CL_nfd_1000_1249_CoPSW,CL_nfd_1000_1249_ClAW,CL_nfd_1000_1249_SWks,CL_nfd_1000_1249_MaOpDv,CL_nfd_1000_1249_Lab,CL_nfd_1000_1249_IDNS,CL_nfd_1000_1249_Tot,CL_nfd_1250_1499_Mng,CL_nfd_1250_1499_Pro,CL_nfd_1250_1499_TecTW,CL_nfd_1250_1499_CoPSW,CL_nfd_1250_1499_ClAW,CL_nfd_1250_1499_SWks,CL_nfd_1250_1499_MaOpDv,CL_nfd_1250_1499_Lab,CL_nfd_1250_1499_IDNS,CL_nfd_1250_1499_Tot,CL_nfd_1500_1749_Mng,CL_nfd_1500_1749_Pro,CL_nfd_1500_1749_TecTW,CL_nfd_1500_1749_CoPSW,CL_nfd_1500_1749_ClAW,CL_nfd_1500_1749_SWks,CL_nfd_1500_1749_MaOpDv,CL_nfd_1500_1749_Lab,CL_nfd_1500_1749_IDNS,CL_nfd_1500_1749_Tot,CL_nfd_1750_1999_Mng,CL_nfd_1750_1999_Pro,CL_nfd_1750_1999_TecTW,CL_nfd_1750_1999_CoPSW,CL_nfd_1750_1999_ClAW,CL_nfd_1750_1999_SWks,CL_nfd_1750_1999_MaOpDv,CL_nfd_1750_1999_Lab,CL_nfd_1750_1999_IDNS,CL_nfd_1750_1999_Tot,CL_nfd_2000_2999_Mng,CL_nfd_2000_2999_Pro,CL_nfd_2000_2999_TecTW,CL_nfd_2000_2999_CoPSW,CL_nfd_2000_2999_ClAW,CL_nfd_2000_2999_SWks,CL_nfd_2000_2999_MaOpDv,CL_nfd_2000_2999_Lab,CL_nfd_2000_2999_IDNS,CL_nfd_2000_2999_Tot,CL_nfd_3000_3499_Mng,CL_nfd_3000_3499_Pro,CL_nfd_3000_3499_TecTW,CL_nfd_3000_3499_CoPSW,CL_nfd_3000_3499_ClAW,CL_nfd_3000_3499_SWks,CL_nfd_3000_3499_MaOpDv,CL_nfd_3000_3499_Lab,CL_nfd_3000_3499_IDNS,CL_nfd_3000_3499_Tot,CL_nfd_3500mo_Mng,CL_nfd_3500mo_Pro,CL_nfd_3500mo_TecTW,CL_nfd_3500mo_CoPSW,CL_nfd_3500mo_ClAW,CL_nfd_3500mo_SWks,CL_nfd_3500mo_MaOpDv,CL_nfd_3500mo_Lab,CL_nfd_3500mo_IDNS,CL_nfd_3500mo_Tot,CL_nfd_PINS_Mng,CL_nfd_PINS_Pro,CL_nfd_PINS_TecTW,CL_nfd_PINS_CoPSW,CL_nfd_PINS_ClAW,CL_nfd_PINS_SWks,CL_nfd_PINS_MaOpDv,CL_nfd_PINS_Lab,CL_nfd_PINS_IDNS,CL_nfd_PINS_Tot,CL_nfd_Tot_Mng,CL_nfd_Tot_Pro,CL_nfd_Tot_TecTW,CL_nfd_Tot_CoPSW,CL_nfd_Tot_ClAW,CL_nfd_Tot_SWks,CL_nfd_Tot_MaOpDv,CL_nfd_Tot_Lab,CL_nfd_Tot_IDNS,CL_nfd_Tot_Tot,CIII_IV_NNI_Mng,CIII_IV_NNI_Pro,CIII_IV_NNI_TecTW,CIII_IV_NNI_CoPSW,CIII_IV_NNI_ClAW,CIII_IV_NNI_SWks,CIII_IV_NNI_MaOpDv,CIII_IV_NNI_Lab,CIII_IV_NNI_IDNS,CIII_IV_NNI_Tot,CIII_IV_1_149_Mng,CIII_IV_1_149_Pro,CIII_IV_1_149_TecTW,CIII_IV_1_149_CoPSW,CIII_IV_1_149_ClAW,CIII_IV_1_149_SWks,CIII_IV_1_149_MaOpDv,CIII_IV_1_149_Lab,CIII_IV_1_149_IDNS,CIII_IV_1_149_Tot,CIII_IV_150_299_Mng,CIII_IV_150_299_Pro,CIII_IV_150_299_TecTW,CIII_IV_150_299_CoPSW,CIII_IV_150_299_ClAW,CIII_IV_150_299_SWks,CIII_IV_150_299_MaOpDv,CIII_IV_150_299_Lab,CIII_IV_150_299_IDNS,CIII_IV_150_299_Tot,CIII_IV_300_399_Mng,CIII_IV_300_399_Pro,CIII_IV_300_399_TecTW,CIII_IV_300_399_CoPSW,CIII_IV_300_399_ClAW,CIII_IV_300_399_SWks,CIII_IV_300_399_MaOpDv,CIII_IV_300_399_Lab,CIII_IV_300_399_IDNS,CIII_IV_300_399_Tot,CIII_IV_400_499_Mng,CIII_IV_400_499_Pro,CIII_IV_400_499_TecTW,CIII_IV_400_499_CoPSW,CIII_IV_400_499_ClAW,CIII_IV_400_499_SWks,CIII_IV_400_499_MaOpDv,CIII_IV_400_499_Lab,CIII_IV_400_499_IDNS,CIII_IV_400_499_Tot,CIII_IV_500_649_Mng,CIII_IV_500_649_Pro,CIII_IV_500_649_TecTW,CIII_IV_500_649_CoPSW,CIII_IV_500_649_ClAW,CIII_IV_500_649_SWks,CIII_IV_500_649_MaOpDv,CIII_IV_500_649_Lab,CIII_IV_500_649_IDNS,CIII_IV_500_649_Tot,CIII_IV_650_799_Mng,CIII_IV_650_799_Pro,CIII_IV_650_799_TecTW,CIII_IV_650_799_CoPSW,CIII_IV_650_799_ClAW,CIII_IV_650_799_SWks,CIII_IV_650_799_MaOpDv,CIII_IV_650_799_Lab,CIII_IV_650_799_IDNS,CIII_IV_650_799_Tot,CIII_IV_800_999_Mng,CIII_IV_800_999_Pro,CIII_IV_800_999_TecTW,CIII_IV_800_999_CoPSW,CIII_IV_800_999_ClAW,CIII_IV_800_999_SWks,CIII_IV_800_999_MaOpDv,CIII_IV_800_999_Lab,CIII_IV_800_999_IDNS,CIII_IV_800_999_Tot,CIII_IV_1000_1249_Mng,CIII_IV_1000_1249_Pro,CIII_IV_1000_1249_TecTW,CIII_IV_1000_1249_CoPSW,CIII_IV_1000_1249_ClAW,CIII_IV_1000_1249_SWks,CIII_IV_1000_1249_MaOpDv,CIII_IV_1000_1249_Lab,CIII_IV_1000_1249_IDNS,CIII_IV_1000_1249_Tot
LGA50080,10,3,0,12,7,7,0,3,0,41,3,0,0,14,13,3,0,7,0,45,5,4,5,11,11,8,4,5,0,56,0,0,0,0,12,3,6,0,0,31,4,4,0,3,8,0,3,0,0,27,0,0,0,6,4,0,0,0,0,12,3,0,0,8,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,39,22,25,75,77,41,15,39,4,333,5,0,3,5,4,0,0,3,0,18,3,3,3,3,0,13,0,14,0,43,3,3,20,25,7,12,3,23,0,100,9,0,21,32,14,20,4,20,3,119,12,8,45,53,23,19,12,22,3,193,18,12,63,111,24,48,16,65,4,360,26,14,107,130,52,45,22,51,3,447,54,26,200,131,55,54,30,72,4,620,58,41,279,108,98,45,63,64,5,769
LGA50210,3,0,3,17,12,7,5,5,0,49,0,0,6,15,16,4,0,4,0,52,4,0,8,5,10,3,7,3,0,50,5,6,5,0,9,3,0,4,0,33,3,0,3,3,7,0,0,0,0,20,0,5,6,0,9,0,3,0,0,19,6,0,0,12,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,30,20,44,93,83,48,18,38,5,384,4,0,7,5,4,0,0,3,0,23,0,0,8,15,3,11,3,15,0,74,3,8,22,37,13,37,5,21,0,152,3,10,40,53,16,32,3,23,0,179,14,3,46,85,32,21,8,24,0,237,14,11,79,107,43,49,16,39,0,359,20,16,109,179,69,38,24,36,3,505,35,23,200,209,85,45,30,63,8,694,53,28,282,160,105,34,58,51,5,781
LGA50250,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,3,0,10,0,0,0,0,0,0,0,3,0,9,3,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,6,7,0,14,0,0,0,0,0,0,8,0,0,10,0,6,15,0,4,0,29,4,0,60,0,6,7,0,0,0,14,4,0,28,6,3,15,0,0,0,3,0,0,27,0,0,0,0,0,0,0,0,0,0,19,12,36,10,10,3,62,25,5,187,0,4,0,0,3,0,0,0,5,14,0,0,0,0,0,0,5,0,0,11,0,0,0,4,5,0,0,3,0,18,0,0,4,9,0,0,0,0,0,19,0,0,4,8,5,0,6,3,0,24,0,3,4,13,3,5,3,5,0,37,7,0,4,12,6,3,0,9,0,37,0,4,17,13,6,3,5,10,0,62,4,4,44,10,15,3,29,20,3,131
LGA50280,0,0,0,4,0,0,0,0,0,10,8,0,0,3,3,0,0,3,0,16,7,0,4,0,4,4,0,3,0,21,0,0,0,4,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,24,3,16,26,28,23,10,15,0,142,3,0,0,3,0,0,0,0,0,5,3,5,0,8,0,0,0,4,0,13,0,0,8,6,7,0,0,6,0,39,3,0,7,12,7,4,0,11,0,46,12,0,20,13,13,13,4,12,0,88,9,6,31,27,14,17,5,24,3,134,10,4,38,40,19,25,7,21,0,165,29,3,72,42,7,14,5,25,6,207,40,11,111,32,24,19,15,20,3,266
LGA50350,0,0,4,4,0,0,0,3,0,11,3,0,0,4,4,0,5,0,0,19,5,3,4,4,3,0,0,0,0,24,0,0,3,0,0,0,0,0,0,5,3,0,0,0,0,0,5,0,0,13,0,0,5,0,0,0,0,0,0,0,5,0,3,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,16,3,17,21,22,8,11,12,6,116,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,3,3,0,0,8,4,3,4,0,11,0,27,0,5,9,11,6,3,3,4,0,39,0,0,11,8,6,5,0,0,0,39,0,3,18,27,5,5,6,13,0,78,3,4,33,46,14,12,13,7,4,128,3,4,64,37,19,3,25,26,3,191,16,6,139,27,33,5,30,34,0,290
LGA50420,0,0,0,17,5,3,4,5,0,37,5,0,3,13,10,9,7,9,3,62,14,3,11,17,13,3,7,0,0,66,4,0,10,12,4,8,0,5,0,47,0,7,8,4,4,4,4,4,0,30,4,0,0,4,4,3,0,0,0,19,3,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,36,21,46,108,74,56,33,34,6,408,0,5,12,3,0,3,0,0,3,24,0,0,7,8,4,5,5,10,0,41,5,9,18,34,10,23,3,17,0,117,3,9,35,21,12,32,0,13,0,136,7,8,54,51,16,36,11,20,0,208,14,13,83,104,34,52,10,42,7,359,23,12,127,104,34,56,26,25,0,402,37,15,189,153,60,42,47,55,7,599,70,20,300,127,80,43,51,58,8,744
LGA50490,3,4,5,14,22,12,7,4,0,78,9,0,0,28,21,9,14,14,0,93,3,0,12,14,35,14,16,14,0,110,10,11,11,9,33,10,9,6,0,100,9,7,7,5,25,9,14,0,0,73,7,5,10,8,14,0,11,0,0,57,27,13,18,7,15,4,16,6,0,105,8,0,5,0,0,0,8,0,0,22,10,10,7,0,0,0,3,0,0,36,0,0,0,3,5,3,0,0,0,12,92,58,95,123,176,77,101,65,8,789,0,3,3,0,3,5,6,0,0,27,0,7,5,11,5,10,3,10,4,52,4,4,7,31,9,29,11,13,0,105,3,3,17,40,8,32,18,25,4,150,4,3,32,47,16,41,13,23,0,182,9,8,56,98,45,53,40,36,4,349,12,14,91,166,70,59,74,51,10,553,44,28,152,244,127,63,168,94,10,938,66,64,333,206,215,68,253,109,26,1345
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,3,0,13,0,0,0,0,3,0,0,0,0,7,0,0,3,0,0,0,0,0,0,11,3,0,9,0,0,0,0,0,0,13,0,0,3,0,0,0,0,4,0,9
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,3,0,0,5,0,0,4,0,0,0,4,0,0,18,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,4,5,0,16,9,0,42,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,8,0,0,3,0,4,0,3,0,0,14,3,0,8,3,5,0,0,0,0,16,0,0,6,8,7,0,4,0,0,24,6,0,8,4,4,0,7,6,0,35
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,4,0,21,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,12,3,0,5,3,3,3,0,3,0,16,6,0,4,0,0,0,0,0,0,18,9,0,4,0,9,0,3,0,0,26
