POW_LGA_CODE_2021,SW_300_399_Tot,SW_400_499_A_15_19,SW_400_499_A_20_24,SW_400_499_A_25_34,SW_400_499_A_35_44,SW_400_499_A_45_54,SW_400_499_A_55_64,SW_400_499_A_65_74,SW_400_499_A_75ov,SW_400_499_Tot,SW_500_649_A_15_19,SW_500_649_A_20_24,SW_500_649_A_25_34,SW_500_649_A_35_44,SW_500_649_A_45_54,SW_500_649_A_55_64,SW_500_649_A_65_74,SW_500_649_A_75ov,SW_500_649_Tot,SW_650_799_A_15_19,SW_650_799_A_20_24,SW_650_799_A_25_34,SW_650_799_A_35_44,SW_650_799_A_45_54,SW_650_799_A_55_64,SW_650_799_A_65_74,SW_650_799_A_75ov,SW_650_799_Tot,SW_800_999_A_15_19,SW_800_999_A_20_24,SW_800_999_A_25_34,SW_800_999_A_35_44,SW_800_999_A_45_54,SW_800_999_A_55_64,SW_800_999_A_65_74,SW_800_999_A_75ov,SW_800_999_Tot,SW_1000_1249_A_15_19,SW_1000_1249_A_20_24,SW_1000_1249_A_25_34,SW_1000_1249_A_35_44,SW_1000_1249_A_45_54,SW_1000_1249_A_55_64,SW_1000_1249_A_65_74,SW_1000_1249_A_75ov,SW_1000_1249_Tot,SW_1250_1499_A_15_19,SW_1250_1499_A_20_24,SW_1250_1499_A_25_34,SW_1250_1499_A_35_44,SW_1250_1499_A_45_54,SW_1250_1499_A_55_64,SW_1250_1499_A_65_74,SW_1250_1499_A_75ov,SW_1250_1499_Tot,SW_1500_1749_A_15_19,SW_1500_1749_A_20_24,SW_1500_1749_A_25_34,SW_1500_1749_A_35_44,SW_1500_1749_A_45_54,SW_1500_1749_A_55_64,SW_1500_1749_A_65_74,SW_1500_1749_A_75ov,SW_1500_1749_Tot,SW_1750_1999_A_15_19,SW_1750_1999_A_20_24,SW_1750_1999_A_25_34,SW_1750_1999_A_35_44,SW_1750_1999_A_45_54,SW_1750_1999_A_55_64,SW_1750_1999_A_65_74,SW_1750_1999_A_75ov,SW_1750_1999_Tot,SW_2000_2999_A_15_19,SW_2000_2999_A_20_24,SW_2000_2999_A_25_34,SW_2000_2999_A_35_44,SW_2000_2999_A_45_54,SW_2000_2999_A_55_64,SW_2000_2999_A_65_74,SW_2000_2999_A_75ov,SW_2000_2999_Tot,SW_3000_3499_A_15_19,SW_3000_3499_A_20_24,SW_3000_3499_A_25_34,SW_3000_3499_A_35_44,SW_3000_3499_A_45_54,SW_3000_3499_A_55_64,SW_3000_3499_A_65_74,SW_3000_3499_A_75ov,SW_3000_3499_Tot,SW_3500mo_A_15_19,SW_3500mo_A_20_24,SW_3500mo_A_25_34,SW_3500mo_A_35_44,SW_3500mo_A_45_54,SW_3500mo_A_55_64,SW_3500mo_A_65_74,SW_3500mo_A_75ov,SW_3500mo_Tot,SW_PINS_A_15_19,SW_PINS_A_20_24,SW_PINS_A_25_34,SW_PINS_A_35_44,SW_PINS_A_45_54,SW_PINS_A_55_64,SW_PINS_A_65_74,SW_PINS_A_75ov,SW_PINS_Tot,SW_Tot_A_15_19,SW_Tot_A_20_24,SW_Tot_A_25_34,SW_Tot_A_35_44,SW_Tot_A_45_54,SW_Tot_A_55_64,SW_Tot_A_65_74,SW_Tot_A_75ov,SW_Tot_Tot,MaOpD_NNI_A_15_19,MaOpD_NNI_A_20_24,MaOpD_NNI_A_25_34,MaOpD_NNI_A_35_44,MaOpD_NNI_A_45_54,MaOpD_NNI_A_55_64,MaOpD_NNI_A_65_74,MaOpD_NNI_A_75ov,MaOpD_NNI_Tot,MaOpD_1_149_A_15_19,MaOpD_1_149_A_20_24,MaOpD_1_149_A_25_34,MaOpD_1_149_A_35_44,MaOpD_1_149_A_45_54,MaOpD_1_149_A_55_64,MaOpD_1_149_A_65_74,MaOpD_1_149_A_75ov,MaOpD_1_149_Tot,MaOpD_150_299_A_15_19,MaOpD_150_299_A_20_24,MaOpD_150_299_A_25_34,MaOpD_150_299_A_35_44,MaOpD_150_299_A_45_54,MaOpD_150_299_A_55_64,MaOpD_150_299_A_65_74,MaOpD_150_299_A_75ov,MaOpD_150_299_Tot,MaOpD_300_399_A_15_19,MaOpD_300_399_A_20_24,MaOpD_300_399_A_25_34,MaOpD_300_399_A_35_44,MaOpD_300_399_A_45_54,MaOpD_300_399_A_55_64,MaOpD_300_399_A_65_74,MaOpD_300_399_A_75ov,MaOpD_300_399_Tot,MaOpD_400_499_A_15_19,MaOpD_400_499_A_20_24,MaOpD_400_499_A_25_34,MaOpD_400_499_A_35_44,MaOpD_400_499_A_45_54,MaOpD_400_499_A_55_64,MaOpD_400_499_A_65_74,MaOpD_400_499_A_75ov,MaOpD_400_499_Tot,MaOpD_500_649_A_15_19,MaOpD_500_649_A_20_24,MaOpD_500_649_A_25_34,MaOpD_500_649_A_35_44,MaOpD_500_649_A_45_54,MaOpD_500_649_A_55_64,MaOpD_500_649_A_65_74,MaOpD_500_649_A_75ov,MaOpD_500_649_Tot,MaOpD_650_799_A_15_19,MaOpD_650_799_A_20_24,MaOpD_650_799_A_25_34,MaOpD_650_799_A_35_44,MaOpD_650_799_A_45_54,MaOpD_650_799_A_55_64,MaOpD_650_799_A_65_74,MaOpD_650_799_A_75ov,MaOpD_650_799_Tot,MaOpD_800_999_A_15_19,MaOpD_800_999_A_20_24,MaOpD_800_999_A_25_34,MaOpD_800_999_A_35_44,MaOpD_800_999_A_45_54,MaOpD_800_999_A_55_64,MaOpD_800_999_A_65_74,MaOpD_800_999_A_75ov,MaOpD_800_999_Tot,MaOpD_1000_1249_A_15_19,MaOpD_1000_1249_A_20_24,MaOpD_1000_1249_A_25_34,MaOpD_1000_1249_A_35_44,MaOpD_1000_1249_A_45_54,MaOpD_1000_1249_A_55_64,MaOpD_1000_1249_A_65_74,MaOpD_1000_1249_A_75ov,MaOpD_1000_1249_Tot,MaOpD_1250_1499_A_15_19
LGA50080,102,24,13,25,15,21,22,5,0,119,29,27,36,28,40,32,8,0,205,24,36,39,20,39,34,11,0,203,7,32,52,43,37,41,13,0,215,4,21,37,36,41,32,7,0,182,0,0,13,22,24,17,5,0,87,0,8,10,13,9,16,0,0,52,0,0,4,0,5,3,4,0,20,0,0,4,6,10,12,0,0,42,0,0,3,0,4,5,0,0,10,0,0,0,5,8,10,4,0,24,0,0,3,0,4,0,0,0,14,413,155,251,227,266,243,70,11,1632,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,3,5,4,0,0,0,0,0,0,14,0,0,0,5,0,5,0,0,22,3,6,6,6,4,9,4,0,37,3,6,5,9,4,15,16,0,57,4,14,7,12,7,24,9,0,76,0,6,26,21,20,17,15,0,102,5,11,31,34,41,60,16,0,198,0
LGA50210,213,37,61,34,28,20,22,15,0,216,35,64,63,43,34,41,11,0,291,11,60,42,35,52,37,20,0,260,7,47,65,40,43,31,8,0,241,3,27,36,31,29,17,5,0,147,0,4,19,24,30,14,0,4,100,0,3,7,11,12,5,6,0,51,0,0,0,5,12,8,3,0,27,0,0,4,10,6,17,4,0,36,0,0,5,5,0,0,0,0,6,0,0,3,3,0,0,3,0,14,5,0,3,0,4,8,0,0,20,730,396,332,277,270,221,84,5,2319,3,0,0,0,0,0,0,0,6,16,0,3,0,0,3,0,0,27,16,9,6,11,4,4,3,0,49,11,5,12,4,5,0,0,0,36,6,9,7,11,8,4,8,0,55,0,7,12,16,17,8,3,0,71,5,13,17,20,16,17,7,0,99,6,20,40,46,37,31,8,0,187,4,18,60,58,51,59,15,0,265,7
LGA50250,11,0,0,0,0,0,4,0,0,7,0,0,0,7,0,3,0,0,15,0,0,4,4,4,5,0,0,12,0,0,3,0,5,7,0,0,22,0,0,0,9,0,7,0,0,16,0,5,0,4,6,3,0,0,17,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,3,5,7,0,0,0,15,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,11,28,26,28,25,4,0,156,0,0,7,0,5,0,0,0,14,3,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,5,0,0,0,8,0,0,3,6,0,4,0,0,20,0,0,13,5,10,4,3,0,43,0,7,19,21,24,31,6,0,120,0
LGA50280,30,8,3,6,8,11,13,0,0,58,4,8,11,12,13,18,7,0,73,3,9,20,20,27,19,7,0,109,0,10,18,20,19,12,0,0,87,0,4,4,14,20,19,0,0,55,0,0,0,0,6,12,0,0,25,0,0,0,4,7,4,6,0,22,0,0,0,0,6,0,0,0,5,0,0,0,0,3,9,4,0,12,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,4,124,38,74,97,133,109,39,3,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,4,0,19,0,3,0,5,0,3,0,0,18,0,4,0,3,6,10,4,0,27,0,0,5,3,13,4,8,0,33,0,0,9,6,23,12,5,0,53,0
LGA50350,33,4,3,5,11,0,7,0,0,29,8,13,3,6,9,0,0,0,41,0,10,9,4,11,5,0,0,36,0,5,9,5,6,6,4,0,39,0,0,7,13,10,13,0,0,40,0,0,8,12,13,14,0,0,42,0,0,10,10,6,8,3,0,36,0,0,4,4,3,4,0,0,7,0,0,3,8,5,9,0,0,25,0,0,0,4,0,0,0,0,3,0,0,0,0,8,4,0,0,10,0,0,0,0,0,0,0,0,5,52,58,60,72,74,63,14,4,404,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,3,0,4,0,0,0,4,0,0,6,0,0,0,0,0,3,0,0,5,0,4,3,5,0,0,4,0,14,0,3,9,3,3,0,0,0,30,11,7,11,7,6,5,3,0,59,4,21,44,20,23,28,3,0,148,0,13,22,28,22,24,9,0,115,0
LGA50420,236,36,62,42,15,19,39,9,0,222,38,87,63,41,46,45,16,0,335,12,75,66,57,39,24,14,0,288,0,56,72,49,43,45,11,0,272,5,20,56,28,41,22,11,3,179,0,4,39,23,29,22,9,0,132,0,3,9,14,28,19,8,0,79,0,4,14,8,17,10,3,0,47,0,0,11,26,15,9,4,0,62,0,0,0,0,4,4,0,0,8,0,0,0,5,5,4,0,0,21,8,3,0,6,0,0,3,0,19,601,485,426,312,321,289,102,8,2536,0,0,0,0,0,0,0,0,0,16,0,0,3,0,0,0,0,26,9,6,6,7,3,3,0,0,39,3,14,3,5,0,7,10,0,43,9,11,13,6,7,12,11,5,56,0,16,18,8,9,14,3,3,74,0,14,23,18,20,22,9,0,109,11,17,51,43,56,27,10,3,221,5,24,42,53,61,52,14,0,254,3
LGA50490,226,41,95,52,27,28,24,9,0,275,29,103,80,50,50,40,8,0,359,20,91,99,53,44,53,16,0,376,0,86,112,60,65,38,10,0,370,6,54,103,93,72,59,11,0,407,0,19,91,72,66,50,9,5,317,0,14,43,53,55,29,8,0,203,0,3,14,40,34,23,8,0,121,0,5,16,66,34,37,6,0,170,0,0,0,6,11,3,0,0,23,0,0,5,11,22,4,3,0,40,10,8,3,0,5,9,0,0,35,512,680,700,564,519,398,97,7,3486,0,0,4,9,6,4,0,0,21,14,9,4,0,4,9,0,0,40,16,15,8,10,8,9,0,0,66,12,19,22,16,7,10,9,0,99,14,29,25,23,16,13,13,0,128,21,45,47,40,26,29,27,3,236,18,73,95,82,58,44,23,3,389,18,143,242,193,167,138,35,3,939,16,102,369,309,249,250,52,5,1361,3
LGA50560,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,6,0
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,9,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,6,10,0,0,16,0,4,8,7,6,3,4,0,30,4
LGA50770,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,8,8,10,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0
