POW_LGA_CODE_2021,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
LGA50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,5,8,3,3,0,40,13,8,5,11,3,3,0,44,16,94,198,225,257,194,62,1049,369,324,293,308,411,152,26,1881,18,5,12,14,17,13,8,85,2415,2650,3044,3591,3309,1055,170,16248
LGA50210,13,5,4,7,0,0,0,30,4,0,0,0,0,0,0,4,37,18,18,3,3,0,0,80,49,32,22,7,9,0,0,118,46,265,395,333,258,127,29,1458,717,540,416,355,338,122,9,2487,21,22,20,25,5,8,4,98,3830,4675,4680,3998,2982,913,103,21189
LGA50250,4,4,3,0,3,0,0,14,10,46,52,34,23,0,0,162,11,36,55,37,11,0,0,153,22,85,113,71,40,4,0,329,14,56,73,40,29,6,6,229,195,875,999,944,654,108,0,3779,9,34,21,31,17,0,6,114,929,3353,3619,3286,2194,331,20,13727
LGA50280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,5,0,0,0,6,12,93,229,198,178,150,37,894,156,115,147,121,172,72,7,797,9,8,9,5,6,8,3,45,747,1031,1534,1408,1198,474,77,6483
LGA50350,9,0,4,0,3,0,0,19,0,0,0,0,0,0,0,6,3,6,4,0,0,0,0,23,14,9,10,3,0,0,0,47,7,57,108,110,75,36,3,401,113,96,85,62,75,46,5,484,3,7,3,11,5,6,0,25,908,1225,1471,1371,1095,329,25,6420
LGA50420,13,17,10,5,6,0,0,49,13,0,0,0,0,0,0,19,38,39,24,8,8,0,0,110,62,54,29,13,11,3,5,180,43,208,377,353,253,150,31,1408,710,428,337,305,304,125,12,2218,14,30,17,9,7,6,0,94,3859,4469,4442,4176,3377,1124,144,21593
LGA50490,21,20,9,6,9,0,0,70,10,0,4,9,0,0,0,21,43,113,69,44,19,8,0,289,72,134,82,57,29,8,0,384,64,351,581,459,292,115,22,1888,858,1326,1196,855,741,199,27,5201,37,56,28,35,19,4,3,178,5611,11203,11367,9416,6660,1575,154,45984
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,12,25,26,21,0,93,8,0,9,15,10,11,4,58,0,0,0,3,0,5,0,9,30,51,82,107,115,82,18,490
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,17,11,10,8,5,64,34,136,168,143,105,17,3,606,7,0,8,0,0,0,0,17,161,469,628,618,429,88,14,2411
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,39,44,49,43,24,210,15,8,4,12,20,4,6,66,0,0,0,0,5,0,0,9,78,65,112,149,150,70,44,666
