POW_LGA_CODE_2021,M_EWFT_15_19_E,M_EWFT_15_19_OM_IE,M_EWFT_15_19_OM_UIE,M_EWFT_15_19_CFW,M_EWFT_15_19_ES_NS,M_EWFT_15_19_Tot,M_EWFT_20_24_E,M_EWFT_20_24_OM_IE,M_EWFT_20_24_OM_UIE,M_EWFT_20_24_CFW,M_EWFT_20_24_ES_NS,M_EWFT_20_24_Tot,M_EWFT_25_29_E,M_EWFT_25_29_OM_IE,M_EWFT_25_29_OM_UIE,M_EWFT_25_29_CFW,M_EWFT_25_29_ES_NS,M_EWFT_25_29_Tot,M_EWFT_30_34_E,M_EWFT_30_34_OM_IE,M_EWFT_30_34_OM_UIE,M_EWFT_30_34_CFW,M_EWFT_30_34_ES_NS,M_EWFT_30_34_Tot,M_EWFT_35_39_E,M_EWFT_35_39_OM_IE,M_EWFT_35_39_OM_UIE,M_EWFT_35_39_CFW,M_EWFT_35_39_ES_NS,M_EWFT_35_39_Tot,M_EWFT_40_44_E,M_EWFT_40_44_OM_IE,M_EWFT_40_44_OM_UIE,M_EWFT_40_44_CFW,M_EWFT_40_44_ES_NS,M_EWFT_40_44_Tot,M_EWFT_45_49_E,M_EWFT_45_49_OM_IE,M_EWFT_45_49_OM_UIE,M_EWFT_45_49_CFW,M_EWFT_45_49_ES_NS,M_EWFT_45_49_Tot,M_EWFT_50_54_E,M_EWFT_50_54_OM_IE,M_EWFT_50_54_OM_UIE,M_EWFT_50_54_CFW,M_EWFT_50_54_ES_NS,M_EWFT_50_54_Tot,M_EWFT_55_59_E,M_EWFT_55_59_OM_IE,M_EWFT_55_59_OM_UIE,M_EWFT_55_59_CFW,M_EWFT_55_59_ES_NS,M_EWFT_55_59_Tot,M_EWFT_60_64_E,M_EWFT_60_64_OM_IE,M_EWFT_60_64_OM_UIE,M_EWFT_60_64_CFW,M_EWFT_60_64_ES_NS,M_EWFT_60_64_Tot,M_EWFT_65_69_E,M_EWFT_65_69_OM_IE,M_EWFT_65_69_OM_UIE,M_EWFT_65_69_CFW,M_EWFT_65_69_ES_NS,M_EWFT_65_69_Tot,M_EWFT_70_74_E,M_EWFT_70_74_OM_IE,M_EWFT_70_74_OM_UIE,M_EWFT_70_74_CFW,M_EWFT_70_74_ES_NS,M_EWFT_70_74_Tot,M_EWFT_75ov_E,M_EWFT_75ov_OM_IE,M_EWFT_75ov_OM_UIE,M_EWFT_75ov_CFW,M_EWFT_75ov_ES_NS,M_EWFT_75ov_Tot,M_EWFT_Tot_E,M_EWFT_Tot_OM_IE,M_EWFT_Tot_OM_UIE,M_EWFT_Tot_CFW,M_EWFT_Tot_ES_NS,M_EWFT_Tot_Tot,M_EWPT_15_19_E,M_EWPT_15_19_OM_IE,M_EWPT_15_19_OM_UIE,M_EWPT_15_19_CFW,M_EWPT_15_19_ES_NS,M_EWPT_15_19_Tot,M_EWPT_20_24_E,M_EWPT_20_24_OM_IE,M_EWPT_20_24_OM_UIE,M_EWPT_20_24_CFW,M_EWPT_20_24_ES_NS,M_EWPT_20_24_Tot,M_EWPT_25_29_E,M_EWPT_25_29_OM_IE,M_EWPT_25_29_OM_UIE,M_EWPT_25_29_CFW,M_EWPT_25_29_ES_NS,M_EWPT_25_29_Tot,M_EWPT_30_34_E,M_EWPT_30_34_OM_IE,M_EWPT_30_34_OM_UIE,M_EWPT_30_34_CFW,M_EWPT_30_34_ES_NS,M_EWPT_30_34_Tot,M_EWPT_35_39_E,M_EWPT_35_39_OM_IE,M_EWPT_35_39_OM_UIE,M_EWPT_35_39_CFW,M_EWPT_35_39_ES_NS,M_EWPT_35_39_Tot,M_EWPT_40_44_E,M_EWPT_40_44_OM_IE,M_EWPT_40_44_OM_UIE,M_EWPT_40_44_CFW,M_EWPT_40_44_ES_NS,M_EWPT_40_44_Tot,M_EWPT_45_49_E,M_EWPT_45_49_OM_IE,M_EWPT_45_49_OM_UIE,M_EWPT_45_49_CFW,M_EWPT_45_49_ES_NS,M_EWPT_45_49_Tot,M_EWPT_50_54_E,M_EWPT_50_54_OM_IE,M_EWPT_50_54_OM_UIE,M_EWPT_50_54_CFW,M_EWPT_50_54_ES_NS,M_EWPT_50_54_Tot,M_EWPT_55_59_E,M_EWPT_55_59_OM_IE,M_EWPT_55_59_OM_UIE,M_EWPT_55_59_CFW,M_EWPT_55_59_ES_NS,M_EWPT_55_59_Tot,M_EWPT_60_64_E,M_EWPT_60_64_OM_IE,M_EWPT_60_64_OM_UIE,M_EWPT_60_64_CFW,M_EWPT_60_64_ES_NS,M_EWPT_60_64_Tot,M_EWPT_65_69_E,M_EWPT_65_69_OM_IE,M_EWPT_65_69_OM_UIE,M_EWPT_65_69_CFW,M_EWPT_65_69_ES_NS,M_EWPT_65_69_Tot,M_EWPT_70_74_E,M_EWPT_70_74_OM_IE,M_EWPT_70_74_OM_UIE,M_EWPT_70_74_CFW,M_EWPT_70_74_ES_NS,M_EWPT_70_74_Tot,M_EWPT_75ov_E,M_EWPT_75ov_OM_IE,M_EWPT_75ov_OM_UIE,M_EWPT_75ov_CFW,M_EWPT_75ov_ES_NS,M_EWPT_75ov_Tot,M_EWPT_Tot_E,M_EWPT_Tot_OM_IE,M_EWPT_Tot_OM_UIE,M_EWPT_Tot_CFW,M_EWPT_Tot_ES_NS,M_EWPT_Tot_Tot,M_EAFW_E,M_EAFW_OM_IE,M_EAFW_OM_UIE,M_EAFW_CFW,M_EAFW_ES_NS,M_EAFW_Tot,M_H_NS_E,M_H_NS_OM_IE,M_H_NS_OM_UIE,M_H_NS_CFW,M_H_NS_ES_NS,M_H_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_EWFT_15_19_E,F_EWFT_15_19_OM_IE,F_EWFT_15_19_OM_UIE,F_EWFT_15_19_CFW,F_EWFT_15_19_ES_NS,F_EWFT_15_19_Tot,F_EWFT_20_24_E,F_EWFT_20_24_OM_IE,F_EWFT_20_24_OM_UIE,F_EWFT_20_24_CFW,F_EWFT_20_24_ES_NS,F_EWFT_20_24_Tot,F_EWFT_25_29_E,F_EWFT_25_29_OM_IE
LGA50080,217,0,0,0,0,217,370,0,8,0,0,382,393,4,34,0,0,437,451,39,56,4,5,545,413,48,51,5,5,517,416,51,63,4,5,533,456,57,69,11,8,600,484,60,67,0,9,621,405,84,78,12,7,576,325,52,71,16,3,472,93,28,39,9,0,185,30,12,24,16,4,86,12,7,19,0,0,34,4059,440,567,87,42,5192,364,0,4,6,5,375,150,0,3,0,4,160,111,0,3,0,0,117,105,0,13,0,0,118,90,8,25,0,0,123,87,10,11,0,0,115,78,9,16,0,0,105,92,10,33,3,0,138,114,7,29,8,0,156,141,16,54,9,10,220,82,22,36,11,0,155,52,13,28,16,0,102,25,8,18,16,0,67,1483,105,275,68,20,1949,278,20,34,14,11,355,112,4,23,7,9,156,5933,567,895,172,84,7649,109,0,0,0,0,109,293,0,4,0,0,292,288,0
LGA50210,183,0,0,0,0,183,488,10,14,3,0,515,599,39,37,0,4,682,711,77,65,4,4,856,641,104,78,5,0,828,576,105,80,5,0,770,444,104,66,0,0,617,454,94,81,6,3,640,390,72,76,5,0,541,278,57,49,8,3,390,102,22,25,4,5,165,24,13,13,4,0,61,7,7,6,0,4,27,4897,709,601,44,22,6278,588,0,0,5,4,594,337,5,15,0,0,360,185,12,22,0,0,218,111,17,28,3,0,172,102,12,27,4,0,151,77,19,27,3,0,120,78,19,35,4,0,146,85,17,39,0,0,144,68,17,44,3,0,142,86,18,45,3,3,156,82,23,29,6,0,133,38,12,22,5,0,80,16,6,17,6,4,50,1854,184,360,51,19,2468,223,21,19,4,0,260,130,15,15,4,17,176,7106,928,990,106,53,9185,99,0,0,0,0,99,400,0,10,0,0,411,666,9
LGA50250,60,0,0,0,0,60,349,0,0,0,0,355,812,3,0,0,0,815,1146,17,10,0,0,1177,1206,32,0,0,3,1240,1075,11,8,0,0,1097,1114,15,8,0,3,1139,998,15,8,0,3,1020,815,12,14,0,0,843,514,10,7,0,0,527,157,7,4,0,0,167,26,3,0,0,0,31,9,0,0,0,0,6,8275,112,61,6,13,8471,41,0,0,0,0,40,43,0,0,0,0,47,51,0,0,0,0,56,96,0,0,0,0,100,88,0,0,0,0,95,84,0,0,0,0,85,69,0,0,0,0,69,72,0,0,0,0,73,47,0,0,0,0,53,46,0,3,0,0,53,6,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,651,4,9,3,3,677,1367,6,6,0,5,1386,217,5,4,0,11,232,10508,130,77,9,38,10760,28,0,0,0,0,28,202,0,0,0,0,202,283,0
LGA50280,57,0,0,0,0,57,105,0,5,0,0,112,135,4,13,0,0,158,156,19,13,0,4,191,159,28,41,4,3,233,157,43,45,4,0,251,149,47,50,7,4,254,119,40,42,6,0,204,101,34,45,0,0,180,62,37,30,5,3,135,28,17,21,8,0,78,12,14,9,15,3,44,6,8,7,7,0,19,1239,282,317,56,20,1918,133,0,0,5,0,137,62,0,4,0,0,65,55,0,8,0,0,65,53,0,12,0,0,69,30,12,14,0,0,53,36,9,23,8,0,68,30,9,19,3,0,65,43,7,28,0,0,81,33,6,26,4,0,76,60,10,38,7,0,120,41,10,21,12,6,84,18,5,19,10,0,48,6,4,9,8,0,24,585,76,226,52,13,952,84,9,32,5,5,134,32,4,8,7,4,52,1942,365,585,120,45,3057,23,0,0,0,0,23,57,0,0,0,0,55,98,0
LGA50350,87,0,0,0,0,87,250,0,6,0,3,257,287,5,11,0,0,307,301,19,9,0,0,328,341,27,23,0,5,394,345,29,9,0,0,384,270,33,19,0,3,331,308,30,16,3,0,359,280,29,21,0,0,329,170,19,20,0,5,216,77,13,5,0,0,95,15,5,3,0,0,26,0,0,0,0,0,3,2734,213,149,5,16,3118,87,0,0,0,0,87,107,0,0,0,0,114,52,0,4,0,0,61,47,5,9,0,0,59,50,3,13,0,0,67,36,3,12,0,0,52,29,4,8,0,0,42,27,11,11,0,0,49,47,10,12,0,0,69,30,10,11,0,0,48,23,8,7,0,0,44,9,5,7,0,3,25,3,4,5,5,0,13,556,60,100,7,9,725,55,3,3,0,3,67,48,4,3,0,4,63,3389,279,253,16,27,3978,17,0,0,0,0,17,95,0,0,0,0,95,108,0
LGA50420,173,0,0,0,5,175,527,9,13,3,0,552,659,32,42,0,4,741,735,78,52,3,0,872,684,127,86,8,8,903,637,133,65,7,5,850,547,136,75,10,10,779,569,161,96,3,0,838,485,122,104,9,5,729,335,97,90,0,0,529,117,53,48,6,4,230,34,23,20,3,0,75,4,6,11,5,0,26,5516,983,696,51,39,7289,513,7,9,3,0,526,497,0,26,6,0,524,271,11,29,0,0,319,138,9,33,4,0,182,134,23,39,0,4,196,96,27,38,4,0,165,107,25,41,3,0,177,104,22,44,4,0,168,87,20,48,7,3,174,106,28,71,8,0,209,75,32,56,7,0,176,57,22,34,8,0,128,22,15,13,8,3,65,2213,239,482,59,17,3009,231,19,13,6,4,274,158,13,12,6,13,200,8122,1249,1206,126,79,10771,57,0,0,0,0,59,357,4,7,0,0,367,511,15
LGA50490,270,0,0,0,0,270,1225,8,8,5,0,1250,2142,37,43,0,4,2228,2931,116,77,3,8,3134,3138,161,87,3,13,3396,2674,130,58,5,9,2874,2472,129,72,5,3,2675,2252,144,67,0,11,2472,1891,139,61,0,6,2101,1222,95,68,7,4,1392,423,55,34,0,0,521,89,14,16,0,0,123,15,10,7,3,0,34,20746,1043,597,40,52,22476,483,0,5,7,4,500,814,4,21,3,5,843,554,13,29,0,0,600,435,16,39,0,3,490,391,25,27,0,0,451,309,17,23,0,0,357,255,15,25,5,0,296,238,19,32,3,3,295,228,32,33,8,0,294,236,23,35,4,0,301,176,18,30,3,0,229,76,15,24,9,0,117,32,7,18,6,5,65,4231,195,338,52,28,4846,1156,22,23,6,9,1216,376,27,26,9,36,473,26513,1289,984,105,126,29015,91,0,0,0,0,91,760,3,7,0,0,774,1214,9
LGA50560,9,0,0,0,0,7,3,0,0,0,0,3,7,5,0,0,0,13,11,3,0,0,0,12,5,7,5,0,0,10,10,4,0,0,0,20,7,3,3,0,0,22,8,9,4,0,0,22,6,7,11,5,0,22,6,4,4,0,0,18,0,3,11,0,0,13,0,0,4,0,0,5,0,0,0,0,0,5,74,38,41,14,9,178,4,0,0,0,0,4,3,0,0,0,0,3,4,0,0,0,0,4,3,0,0,0,0,3,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,4,4,0,3,0,0,14,4,0,4,0,0,8,4,0,0,4,0,9,0,0,3,3,0,3,35,3,18,6,0,60,3,0,9,0,0,13,3,3,0,3,3,10,115,47,62,25,9,262,0,0,0,0,0,0,4,0,0,0,0,4,3,0
LGA50630,18,0,0,0,0,18,46,0,0,0,0,51,118,5,4,0,0,127,169,0,0,0,0,167,204,4,4,0,0,210,182,4,0,0,0,190,180,8,6,0,0,186,203,3,4,0,0,206,130,0,3,0,0,140,94,0,9,0,0,104,34,0,0,0,0,38,0,0,0,0,0,5,0,0,0,0,0,5,1378,33,29,6,3,1449,3,0,0,3,0,3,6,0,0,0,0,6,12,0,0,0,0,12,5,0,0,0,0,5,12,0,0,0,0,10,7,0,0,0,0,11,11,0,0,0,0,11,13,0,0,0,0,17,18,0,0,0,0,20,16,0,0,0,0,18,5,0,0,0,0,5,4,0,0,0,0,4,0,0,0,4,0,7,115,5,9,8,3,132,198,3,0,0,4,207,43,0,4,0,3,47,1736,41,43,12,11,1840,8,0,0,0,0,8,24,0,0,0,0,24,37,0
LGA50770,4,0,0,0,0,4,13,0,0,0,0,17,9,0,3,0,0,16,9,0,4,0,0,15,10,5,6,3,0,23,6,6,8,0,0,24,17,4,14,3,0,42,10,5,4,4,0,18,7,5,10,5,0,34,12,7,0,4,0,21,3,0,4,5,0,17,0,0,4,5,0,11,0,0,8,9,0,19,108,37,73,43,0,261,10,0,0,0,0,13,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,3,0,3,0,0,11,4,0,0,0,0,5,3,0,0,0,0,6,3,0,0,7,0,8,0,0,5,4,0,14,31,3,11,15,3,64,7,0,3,5,0,19,6,0,3,4,4,7,149,39,95,64,8,355,3,0,0,0,0,3,4,0,0,0,0,4,9,0
