POW_LGA_CODE_2021,MaOpD_1250_1499_A_20_24,MaOpD_1250_1499_A_25_34,MaOpD_1250_1499_A_35_44,MaOpD_1250_1499_A_45_54,MaOpD_1250_1499_A_55_64,MaOpD_1250_1499_A_65_74,MaOpD_1250_1499_A_75ov,MaOpD_1250_1499_Tot,MaOpD_1500_1749_A_15_19,MaOpD_1500_1749_A_20_24,MaOpD_1500_1749_A_25_34,MaOpD_1500_1749_A_35_44,MaOpD_1500_1749_A_45_54,MaOpD_1500_1749_A_55_64,MaOpD_1500_1749_A_65_74,MaOpD_1500_1749_A_75ov,MaOpD_1500_1749_Tot,MaOpD_1750_1999_A_15_19,MaOpD_1750_1999_A_20_24,MaOpD_1750_1999_A_25_34,MaOpD_1750_1999_A_35_44,MaOpD_1750_1999_A_45_54,MaOpD_1750_1999_A_55_64,MaOpD_1750_1999_A_65_74,MaOpD_1750_1999_A_75ov,MaOpD_1750_1999_Tot,MaOpD_2000_2999_A_15_19,MaOpD_2000_2999_A_20_24,MaOpD_2000_2999_A_25_34,MaOpD_2000_2999_A_35_44,MaOpD_2000_2999_A_45_54,MaOpD_2000_2999_A_55_64,MaOpD_2000_2999_A_65_74,MaOpD_2000_2999_A_75ov,MaOpD_2000_2999_Tot,MaOpD_3000_3499_A_15_19,MaOpD_3000_3499_A_20_24,MaOpD_3000_3499_A_25_34,MaOpD_3000_3499_A_35_44,MaOpD_3000_3499_A_45_54,MaOpD_3000_3499_A_55_64,MaOpD_3000_3499_A_65_74,MaOpD_3000_3499_A_75ov,MaOpD_3000_3499_Tot,MaOpD_3500mo_A_15_19,MaOpD_3500mo_A_20_24,MaOpD_3500mo_A_25_34,MaOpD_3500mo_A_35_44,MaOpD_3500mo_A_45_54,MaOpD_3500mo_A_55_64,MaOpD_3500mo_A_65_74,MaOpD_3500mo_A_75ov,MaOpD_3500mo_Tot,MaOpD_PINS_A_15_19,MaOpD_PINS_A_20_24,MaOpD_PINS_A_25_34,MaOpD_PINS_A_35_44,MaOpD_PINS_A_45_54,MaOpD_PINS_A_55_64,MaOpD_PINS_A_65_74,MaOpD_PINS_A_75ov,MaOpD_PINS_Tot,MaOpD_Tot_A_15_19,MaOpD_Tot_A_20_24,MaOpD_Tot_A_25_34,MaOpD_Tot_A_35_44,MaOpD_Tot_A_45_54,MaOpD_Tot_A_55_64,MaOpD_Tot_A_65_74,MaOpD_Tot_A_75ov,MaOpD_Tot_Tot,Lab_NNI_A_15_19,Lab_NNI_A_20_24,Lab_NNI_A_25_34,Lab_NNI_A_35_44,Lab_NNI_A_45_54,Lab_NNI_A_55_64,Lab_NNI_A_65_74,Lab_NNI_A_75ov,Lab_NNI_Tot,Lab_1_149_A_15_19,Lab_1_149_A_20_24,Lab_1_149_A_25_34,Lab_1_149_A_35_44,Lab_1_149_A_45_54,Lab_1_149_A_55_64,Lab_1_149_A_65_74,Lab_1_149_A_75ov,Lab_1_149_Tot,Lab_150_299_A_15_19,Lab_150_299_A_20_24,Lab_150_299_A_25_34,Lab_150_299_A_35_44,Lab_150_299_A_45_54,Lab_150_299_A_55_64,Lab_150_299_A_65_74,Lab_150_299_A_75ov,Lab_150_299_Tot,Lab_300_399_A_15_19,Lab_300_399_A_20_24,Lab_300_399_A_25_34,Lab_300_399_A_35_44,Lab_300_399_A_45_54,Lab_300_399_A_55_64,Lab_300_399_A_65_74,Lab_300_399_A_75ov,Lab_300_399_Tot,Lab_400_499_A_15_19,Lab_400_499_A_20_24,Lab_400_499_A_25_34,Lab_400_499_A_35_44,Lab_400_499_A_45_54,Lab_400_499_A_55_64,Lab_400_499_A_65_74,Lab_400_499_A_75ov,Lab_400_499_Tot,Lab_500_649_A_15_19,Lab_500_649_A_20_24,Lab_500_649_A_25_34,Lab_500_649_A_35_44,Lab_500_649_A_45_54,Lab_500_649_A_55_64,Lab_500_649_A_65_74,Lab_500_649_A_75ov,Lab_500_649_Tot,Lab_650_799_A_15_19,Lab_650_799_A_20_24,Lab_650_799_A_25_34,Lab_650_799_A_35_44,Lab_650_799_A_45_54,Lab_650_799_A_55_64,Lab_650_799_A_65_74,Lab_650_799_A_75ov,Lab_650_799_Tot,Lab_800_999_A_15_19,Lab_800_999_A_20_24,Lab_800_999_A_25_34,Lab_800_999_A_35_44,Lab_800_999_A_45_54,Lab_800_999_A_55_64,Lab_800_999_A_65_74,Lab_800_999_A_75ov,Lab_800_999_Tot,Lab_1000_1249_A_15_19,Lab_1000_1249_A_20_24,Lab_1000_1249_A_25_34,Lab_1000_1249_A_35_44,Lab_1000_1249_A_45_54,Lab_1000_1249_A_55_64,Lab_1000_1249_A_65_74,Lab_1000_1249_A_75ov,Lab_1000_1249_Tot,Lab_1250_1499_A_15_19,Lab_1250_1499_A_20_24,Lab_1250_1499_A_25_34,Lab_1250_1499_A_35_44,Lab_1250_1499_A_45_54,Lab_1250_1499_A_55_64,Lab_1250_1499_A_65_74,Lab_1250_1499_A_75ov,Lab_1250_1499_Tot,Lab_1500_1749_A_15_19,Lab_1500_1749_A_20_24,Lab_1500_1749_A_25_34,Lab_1500_1749_A_35_44,Lab_1500_1749_A_45_54,Lab_1500_1749_A_55_64,Lab_1500_1749_A_65_74,Lab_1500_1749_A_75ov,Lab_1500_1749_Tot,Lab_1750_1999_A_15_19,Lab_1750_1999_A_20_24,Lab_1750_1999_A_25_34,Lab_1750_1999_A_35_44,Lab_1750_1999_A_45_54,Lab_1750_1999_A_55_64,Lab_1750_1999_A_65_74,Lab_1750_1999_A_75ov,Lab_1750_1999_Tot,Lab_2000_2999_A_15_19,Lab_2000_2999_A_20_24,Lab_2000_2999_A_25_34,Lab_2000_2999_A_35_44,Lab_2000_2999_A_45_54,Lab_2000_2999_A_55_64,Lab_2000_2999_A_65_74,Lab_2000_2999_A_75ov,Lab_2000_2999_Tot,Lab_3000_3499_A_15_19,Lab_3000_3499_A_20_24,Lab_3000_3499_A_25_34,Lab_3000_3499_A_35_44,Lab_3000_3499_A_45_54,Lab_3000_3499_A_55_64,Lab_3000_3499_A_65_74,Lab_3000_3499_A_75ov,Lab_3000_3499_Tot,Lab_3500mo_A_15_19,Lab_3500mo_A_20_24,Lab_3500mo_A_25_34
LGA50080,5,29,22,31,31,3,0,131,0,5,15,23,33,22,5,0,109,0,0,10,13,14,12,4,0,56,0,0,12,13,33,20,0,0,78,0,0,0,0,0,4,0,0,3,0,0,0,4,6,0,0,3,11,0,0,0,0,3,5,0,0,11,29,62,147,162,204,233,75,8,915,8,0,0,0,0,3,4,0,14,135,3,3,5,8,6,7,0,168,52,14,11,16,17,20,13,4,136,24,21,21,13,20,27,8,0,141,14,19,27,21,22,34,15,8,155,19,25,39,37,49,40,31,9,240,19,35,32,52,47,47,13,0,255,11,38,56,39,57,52,12,0,276,4,20,38,40,34,56,9,4,199,0,0,13,23,17,22,4,0,91,0,5,7,18,23,7,3,0,66,0,3,9,11,14,0,0,0,35,0,0,4,7,0,4,8,0,28,0,0,0,3,0,0,0,0,3,0,0,0
LGA50210,0,48,34,37,41,14,0,187,0,7,31,16,27,31,5,0,106,0,4,12,24,20,18,13,0,90,0,0,18,22,20,20,0,0,85,0,0,7,6,3,0,0,0,18,0,0,0,3,0,3,0,0,10,0,0,0,0,4,3,0,0,12,64,93,281,275,244,247,72,8,1289,9,0,0,4,3,3,0,0,23,204,3,3,8,9,3,6,0,241,111,32,6,18,25,19,8,0,213,36,32,28,29,34,17,4,0,188,24,26,24,23,35,28,14,0,173,20,45,51,36,54,53,18,0,282,13,37,49,51,41,47,20,0,257,13,47,64,61,68,52,17,3,326,10,23,44,59,50,42,8,4,245,0,4,38,21,32,25,3,0,126,0,3,14,15,20,16,6,0,70,0,3,3,10,5,6,4,0,33,0,0,11,8,9,8,0,0,33,0,0,5,4,0,0,0,0,9,0,0,4
LGA50250,12,19,41,44,44,13,0,179,3,20,68,75,73,80,8,0,328,3,29,83,111,113,101,17,0,459,3,60,366,498,512,390,59,0,1893,0,10,71,128,170,113,16,0,511,0,5,37,65,72,43,9,0,235,0,0,4,8,7,11,4,0,33,26,149,709,962,1039,834,137,0,3852,0,0,0,3,0,0,0,0,7,7,0,0,3,0,0,0,0,14,8,3,7,3,0,0,0,0,19,0,0,7,3,3,0,0,0,18,5,10,4,3,0,0,0,0,22,3,0,4,10,4,0,0,0,32,3,9,12,5,7,8,0,0,35,3,17,19,13,7,14,4,0,72,7,26,41,29,23,15,7,0,142,8,34,48,37,49,35,3,0,224,6,24,50,40,38,34,4,0,203,3,17,35,32,26,12,0,0,130,11,33,121,98,95,48,6,0,409,5,3,24,20,17,4,0,0,80,5,4,15
LGA50280,0,0,10,4,15,0,0,34,0,0,4,9,9,7,0,0,27,0,0,5,4,0,3,0,0,9,0,0,3,5,4,6,0,0,20,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,7,26,49,62,71,27,0,250,3,0,0,0,0,3,0,0,11,47,0,0,3,5,3,4,0,64,15,7,3,5,4,3,5,6,53,12,3,5,16,10,23,7,0,70,14,8,8,12,16,12,0,0,81,6,17,25,13,19,28,4,0,116,5,22,30,30,7,36,8,0,136,6,21,24,25,33,14,7,0,131,0,11,52,42,32,10,4,0,160,0,3,12,20,11,10,4,0,59,0,0,6,10,9,3,0,0,28,0,0,6,0,3,3,0,0,13,0,0,3,6,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
LGA50350,0,11,27,21,20,3,0,80,0,5,11,15,6,16,4,0,54,0,3,4,14,3,6,5,0,36,0,0,5,11,17,6,6,0,48,0,0,5,4,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,23,63,122,128,125,115,42,0,612,0,0,0,0,0,4,0,0,5,33,8,4,0,3,0,0,0,43,21,13,6,4,7,7,3,0,55,10,4,3,8,4,6,0,0,38,8,9,8,4,6,7,5,0,42,8,10,18,11,15,16,9,0,79,11,17,11,23,14,19,5,0,101,5,24,20,31,25,17,11,0,133,3,20,24,34,19,21,3,0,118,0,10,20,18,15,9,4,0,74,0,4,12,6,10,7,0,0,38,0,0,0,13,4,0,0,0,20,0,3,3,5,3,4,0,0,17,0,0,0,0,0,0,0,0,4,0,0,0
LGA50420,8,27,31,45,38,8,0,156,0,5,13,28,31,24,4,0,115,0,0,10,19,12,9,0,0,58,0,0,10,22,7,17,5,0,69,0,0,0,4,4,0,0,0,7,0,0,4,0,10,0,0,0,15,0,0,7,3,3,0,0,0,11,62,113,237,240,272,236,77,9,1248,11,0,0,0,0,4,0,0,15,141,15,8,3,7,7,5,0,186,77,35,12,15,17,20,5,0,181,31,42,25,23,20,21,4,0,158,27,34,31,17,22,26,15,5,189,17,41,42,39,37,47,27,3,250,16,32,60,35,51,52,19,0,266,9,47,88,65,58,55,23,0,342,5,21,59,49,33,53,15,0,233,0,6,25,33,34,20,6,3,141,0,7,16,21,13,7,6,0,73,0,0,12,19,9,7,0,0,48,0,5,10,10,10,0,0,0,24,0,0,0,0,3,0,0,0,6,0,0,0
LGA50490,41,233,214,178,173,33,0,880,4,23,161,197,146,136,20,0,684,0,15,120,131,112,79,16,0,470,0,32,224,276,198,127,26,0,886,0,3,40,44,43,23,3,0,164,0,0,27,45,22,19,4,0,115,0,6,5,8,17,13,0,0,50,139,551,1623,1603,1248,1071,265,25,6525,6,0,5,3,0,7,0,0,22,129,5,14,8,5,8,9,0,179,86,40,14,16,19,4,7,0,188,32,47,27,25,25,21,7,0,186,25,40,49,27,39,24,14,0,219,31,50,86,50,60,53,17,0,345,29,65,89,69,60,56,9,0,386,24,86,130,109,94,95,17,0,555,22,42,128,133,79,79,11,3,505,3,26,87,48,49,34,15,4,267,3,18,65,46,38,26,11,0,208,0,13,45,34,27,28,0,0,142,0,12,53,44,33,24,0,0,176,0,0,12,3,8,0,0,0,27,0,0,9
LGA50560,0,0,3,0,4,0,0,5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,6,5,0,32,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,4,0,0,0,0,0,5,0,0,5,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,3,0,7,0,0,0,13,0,0,0,0,0,4,0,0,13,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,3,8,9,14,10,0,0,48,0,5,16,15,15,15,0,0,77,0,8,32,32,45,32,6,0,157,0,8,53,98,129,87,11,0,384,0,0,3,17,27,17,0,0,65,0,0,0,5,10,3,0,0,25,0,0,0,0,0,0,0,0,8,12,31,122,208,247,185,26,0,821,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,0,0,7,0,0,0,3,3,0,0,0,6,5,0,0,0,0,3,4,0,11,0,3,4,0,5,0,0,0,12,0,4,4,3,8,4,0,0,27,0,0,6,0,3,0,6,0,20,0,4,13,3,9,6,0,0,30,0,3,10,4,10,0,0,0,27,0,0,11,8,4,3,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
LGA50770,0,0,0,0,3,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,18,5,0,41,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,6,3,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,12,5,0,0,0,0,0,0,0,5,3,0,0,0,0,5,0,0,3,0,4,6,0,0,4,0,0,17,0,3,0,3,5,4,0,0,11,0,0,0,0,6,0,0,0,9,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
