POW_LGA_CODE_2021,NS_2000_2999_Mng,NS_2000_2999_Pro,NS_2000_2999_TecTW,NS_2000_2999_CoPSW,NS_2000_2999_ClAW,NS_2000_2999_SWks,NS_2000_2999_MaOpDv,NS_2000_2999_Lab,NS_2000_2999_IDNS,NS_2000_2999_Tot,NS_3000_3499_Mng,NS_3000_3499_Pro,NS_3000_3499_TecTW,NS_3000_3499_CoPSW,NS_3000_3499_ClAW,NS_3000_3499_SWks,NS_3000_3499_MaOpDv,NS_3000_3499_Lab,NS_3000_3499_IDNS,NS_3000_3499_Tot,NS_3500mo_Mng,NS_3500mo_Pro,NS_3500mo_TecTW,NS_3500mo_CoPSW,NS_3500mo_ClAW,NS_3500mo_SWks,NS_3500mo_MaOpDv,NS_3500mo_Lab,NS_3500mo_IDNS,NS_3500mo_Tot,NS_PINS_Mng,NS_PINS_Pro,NS_PINS_TecTW,NS_PINS_CoPSW,NS_PINS_ClAW,NS_PINS_SWks,NS_PINS_MaOpDv,NS_PINS_Lab,NS_PINS_IDNS,NS_PINS_Tot,NS_Tot_Mng,NS_Tot_Pro,NS_Tot_TecTW,NS_Tot_CoPSW,NS_Tot_ClAW,NS_Tot_SWks,NS_Tot_MaOpDv,NS_Tot_Lab,NS_Tot_IDNS,NS_Tot_Tot,Tot_NNI_Mng,Tot_NNI_Pro,Tot_NNI_TecTW,Tot_NNI_CoPSW,Tot_NNI_ClAW,Tot_NNI_SWks,Tot_NNI_MaOpDv,Tot_NNI_Lab,Tot_NNI_IDNS,Tot_NNI_Tot,Tot_1_149_Mng,Tot_1_149_Pro,Tot_1_149_TecTW,Tot_1_149_CoPSW,Tot_1_149_ClAW,Tot_1_149_SWks,Tot_1_149_MaOpDv,Tot_1_149_Lab,Tot_1_149_IDNS,Tot_1_149_Tot,Tot_150_299_Mng,Tot_150_299_Pro,Tot_150_299_TecTW,Tot_150_299_CoPSW,Tot_150_299_ClAW,Tot_150_299_SWks,Tot_150_299_MaOpDv,Tot_150_299_Lab,Tot_150_299_IDNS,Tot_150_299_Tot,Tot_300_399_Mng,Tot_300_399_Pro,Tot_300_399_TecTW,Tot_300_399_CoPSW,Tot_300_399_ClAW,Tot_300_399_SWks,Tot_300_399_MaOpDv,Tot_300_399_Lab,Tot_300_399_IDNS,Tot_300_399_Tot,Tot_400_499_Mng,Tot_400_499_Pro,Tot_400_499_TecTW,Tot_400_499_CoPSW,Tot_400_499_ClAW,Tot_400_499_SWks,Tot_400_499_MaOpDv,Tot_400_499_Lab,Tot_400_499_IDNS,Tot_400_499_Tot,Tot_500_649_Mng,Tot_500_649_Pro,Tot_500_649_TecTW,Tot_500_649_CoPSW,Tot_500_649_ClAW,Tot_500_649_SWks,Tot_500_649_MaOpDv,Tot_500_649_Lab,Tot_500_649_IDNS,Tot_500_649_Tot,Tot_650_799_Mng,Tot_650_799_Pro,Tot_650_799_TecTW,Tot_650_799_CoPSW,Tot_650_799_ClAW,Tot_650_799_SWks,Tot_650_799_MaOpDv,Tot_650_799_Lab,Tot_650_799_IDNS,Tot_650_799_Tot,Tot_800_999_Mng,Tot_800_999_Pro,Tot_800_999_TecTW,Tot_800_999_CoPSW,Tot_800_999_ClAW,Tot_800_999_SWks,Tot_800_999_MaOpDv,Tot_800_999_Lab,Tot_800_999_IDNS,Tot_800_999_Tot,Tot_1000_1249_Mng,Tot_1000_1249_Pro,Tot_1000_1249_TecTW,Tot_1000_1249_CoPSW,Tot_1000_1249_ClAW,Tot_1000_1249_SWks,Tot_1000_1249_MaOpDv,Tot_1000_1249_Lab,Tot_1000_1249_IDNS,Tot_1000_1249_Tot,Tot_1250_1499_Mng,Tot_1250_1499_Pro,Tot_1250_1499_TecTW,Tot_1250_1499_CoPSW,Tot_1250_1499_ClAW,Tot_1250_1499_SWks,Tot_1250_1499_MaOpDv,Tot_1250_1499_Lab,Tot_1250_1499_IDNS,Tot_1250_1499_Tot,Tot_1500_1749_Mng,Tot_1500_1749_Pro,Tot_1500_1749_TecTW,Tot_1500_1749_CoPSW,Tot_1500_1749_ClAW,Tot_1500_1749_SWks,Tot_1500_1749_MaOpDv,Tot_1500_1749_Lab,Tot_1500_1749_IDNS,Tot_1500_1749_Tot,Tot_1750_1999_Mng,Tot_1750_1999_Pro,Tot_1750_1999_TecTW,Tot_1750_1999_CoPSW,Tot_1750_1999_ClAW,Tot_1750_1999_SWks,Tot_1750_1999_MaOpDv,Tot_1750_1999_Lab,Tot_1750_1999_IDNS,Tot_1750_1999_Tot,Tot_2000_2999_Mng,Tot_2000_2999_Pro,Tot_2000_2999_TecTW,Tot_2000_2999_CoPSW,Tot_2000_2999_ClAW,Tot_2000_2999_SWks,Tot_2000_2999_MaOpDv,Tot_2000_2999_Lab,Tot_2000_2999_IDNS,Tot_2000_2999_Tot,Tot_3000_3499_Mng,Tot_3000_3499_Pro,Tot_3000_3499_TecTW,Tot_3000_3499_CoPSW,Tot_3000_3499_ClAW,Tot_3000_3499_SWks,Tot_3000_3499_MaOpDv,Tot_3000_3499_Lab,Tot_3000_3499_IDNS,Tot_3000_3499_Tot,Tot_3500mo_Mng,Tot_3500mo_Pro,Tot_3500mo_TecTW,Tot_3500mo_CoPSW,Tot_3500mo_ClAW,Tot_3500mo_SWks,Tot_3500mo_MaOpDv,Tot_3500mo_Lab,Tot_3500mo_IDNS,Tot_3500mo_Tot
LGA50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,26,7,4,16,12,8,3,9,18,89,166,26,6,6,15,7,8,4,14,12,109,27,29,14,98,29,206,3,168,9,572,43,35,33,106,50,141,14,136,10,567,47,42,59,97,69,102,22,141,12,577,53,51,115,155,93,119,37,155,16,785,112,105,207,279,166,205,57,240,15,1398,142,169,223,348,206,203,76,255,14,1628,188,210,348,379,278,215,102,276,27,2021,237,379,407,334,385,182,198,199,36,2360,217,363,294,187,237,87,131,91,28,1634,195,483,224,182,135,52,109,66,13,1466,149,422,118,110,67,20,56,35,6,979,375,564,147,112,78,42,78,28,6,1426,78,64,26,8,14,10,3,3,0,205,115,167,19,5,15,24,11,7,9,364
LGA50210,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,6,0,0,0,0,0,39,56,8,15,38,27,16,3,10,20,137,277,16,20,12,21,17,18,6,23,9,141,11,47,22,140,32,360,27,241,13,889,39,56,60,178,81,315,49,213,9,1007,38,65,90,173,88,213,36,188,16,900,55,84,128,248,100,216,55,173,9,1064,70,129,237,371,208,291,71,282,27,1693,122,152,285,479,276,260,99,257,19,1949,161,291,411,539,355,241,187,326,29,2551,243,447,490,464,430,147,265,245,34,2767,240,584,370,219,290,100,187,126,29,2145,240,755,350,135,160,51,106,70,24,1883,159,651,204,114,91,27,90,33,8,1373,357,912,227,147,77,36,85,33,21,1902,101,109,41,4,16,6,18,9,3,300,108,221,30,8,24,14,10,8,13,441
LGA50250,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,9,10,0,0,5,0,3,0,0,3,25,40,3,4,15,5,3,0,8,14,78,141,0,6,5,0,5,4,14,7,8,49,0,5,4,14,3,20,6,14,0,76,7,3,3,21,7,12,4,19,3,73,3,6,6,14,4,11,0,18,3,63,4,5,12,25,13,7,6,22,3,96,0,10,22,26,11,15,8,32,9,133,13,13,14,24,24,12,20,35,3,149,15,14,33,52,32,22,43,72,12,289,22,36,85,43,51,16,120,142,17,541,31,57,136,56,83,17,179,224,22,801,38,78,234,48,87,10,328,203,23,1044,47,113,320,26,63,4,459,130,18,1176,144,446,1614,86,173,15,1893,409,85,4855,100,297,941,17,40,8,511,80,42,2033,310,330,1167,3,44,0,235,61,53,2208
LGA50280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,7,11,8,0,4,4,10,29,75,15,4,4,7,9,7,0,11,4,59,15,11,9,79,7,86,7,64,8,284,26,22,22,33,15,45,5,53,0,217,34,30,34,55,27,30,6,70,6,278,47,37,62,68,44,58,19,81,7,412,70,61,75,97,81,73,18,116,9,588,72,69,106,123,95,109,27,136,9,745,160,85,146,127,87,87,33,131,11,857,194,126,175,95,103,55,53,160,9,963,131,114,130,42,64,25,34,59,8,600,120,135,88,25,41,22,27,28,6,492,77,124,50,17,13,5,9,13,0,309,126,154,46,22,13,12,20,18,6,420,31,26,8,0,8,5,4,0,0,74,46,55,4,0,6,9,5,5,4,129
LGA50350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,18,19,4,4,14,9,3,3,0,9,36,81,3,10,10,6,0,6,0,5,3,45,0,11,6,28,4,25,3,43,3,122,3,13,4,24,8,39,6,55,5,159,6,17,21,38,21,33,5,38,0,179,5,17,38,41,42,29,14,42,3,227,11,30,64,82,46,41,30,79,8,386,21,41,118,93,67,36,59,101,9,541,34,59,175,118,140,39,148,133,13,864,66,100,264,114,185,40,115,118,15,1013,70,125,222,43,123,42,80,74,6,785,84,108,177,36,65,36,54,38,14,609,62,107,137,12,37,7,36,20,7,423,196,163,204,5,52,25,48,17,6,721,51,28,29,0,0,3,7,4,0,124,88,20,10,0,6,10,4,0,3,147
LGA50420,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,0,0,0,0,3,42,58,11,12,28,18,15,4,11,31,132,255,19,9,21,13,6,15,0,15,11,120,15,46,21,161,37,321,26,186,7,818,30,63,46,208,66,293,39,181,10,938,47,96,111,187,90,236,43,158,13,979,56,88,156,237,114,222,56,189,14,1128,75,172,252,379,204,335,74,250,20,1766,158,226,359,420,257,288,109,266,18,2103,235,282,451,493,345,272,221,342,29,2670,322,405,606,454,404,179,254,233,39,2903,280,507,488,213,298,132,156,141,35,2253,249,541,389,132,183,79,115,73,20,1771,198,432,250,94,96,47,58,48,14,1237,429,641,270,211,96,62,69,24,16,1817,140,118,38,25,21,8,7,6,4,363,189,213,34,13,28,21,15,11,6,519
LGA50490,6,6,4,0,0,0,0,0,16,34,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,9,0,4,5,7,6,0,3,3,89,123,17,34,42,42,19,15,22,35,286,510,23,18,18,14,17,20,21,22,16,172,17,46,26,99,47,266,40,179,15,731,22,40,34,148,72,280,66,188,23,875,26,59,73,195,85,226,99,186,28,974,40,74,112,264,134,275,128,219,19,1259,77,119,198,436,284,359,236,345,53,2107,128,164,311,563,457,376,389,386,47,2818,280,304,441,783,822,370,939,555,79,4569,444,629,749,776,1365,407,1361,505,113,6342,513,795,797,496,1225,317,880,267,78,5363,538,949,827,350,869,203,684,208,67,4699,531,851,661,264,450,121,470,142,49,3535,1551,2034,1416,400,542,170,886,176,86,7250,606,589,413,34,108,23,164,27,16,1983,1262,940,347,17,119,40,115,22,22,2887
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,8,12,9,0,0,0,0,0,0,0,0,10,3,0,3,5,0,0,0,4,0,16,5,4,0,0,0,4,0,4,0,15,7,0,0,0,6,0,0,5,0,25,9,3,0,0,0,5,0,12,0,34,12,3,3,8,7,3,6,7,0,50,9,4,8,9,4,0,0,5,0,36,18,6,16,3,9,0,7,13,0,63,19,4,3,3,15,0,6,13,0,61,19,8,3,3,0,0,5,3,0,52,19,6,6,0,0,0,5,3,0,33,13,8,0,0,0,0,0,0,0,15,28,11,6,6,0,3,0,0,0,44,3,3,0,0,0,0,0,0,0,8,7,3,0,0,0,0,0,0,0,8
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,6,0,0,0,0,3,3,13,33,8,0,3,0,0,0,0,5,0,12,0,0,0,7,0,0,0,0,3,18,0,0,0,5,0,0,3,4,0,15,5,0,5,0,5,0,0,4,0,17,0,0,3,5,6,0,4,7,0,27,9,0,9,5,8,0,4,6,0,49,9,4,12,4,11,7,4,11,0,54,10,10,16,10,9,3,16,12,0,87,10,8,16,15,10,4,30,27,3,120,9,5,20,9,11,0,48,20,12,129,8,16,46,8,15,0,77,30,11,201,9,29,71,6,12,0,157,27,0,325,28,85,344,16,17,0,384,32,7,902,15,38,94,0,3,0,65,0,4,220,48,40,56,0,9,0,25,0,0,176
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,13,0,0,0,0,0,0,0,0,18,3,0,0,0,0,3,0,3,0,22,17,0,0,0,5,6,0,6,0,27,3,0,6,0,10,0,0,4,0,27,14,5,3,3,8,5,0,12,0,45,17,3,3,7,7,0,6,5,0,45,24,0,3,9,9,4,5,3,0,64,29,4,7,7,3,7,8,17,0,87,47,0,7,5,12,6,8,11,0,97,21,7,8,4,4,0,9,9,0,53,20,9,5,5,3,0,0,5,0,48,27,9,6,4,3,0,6,3,0,57,16,10,0,3,0,0,0,4,0,37,8,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,21
