POW_LGA_CODE_2021,TaTW_1500_1749_A_45_54,TaTW_1500_1749_A_55_64,TaTW_1500_1749_A_65_74,TaTW_1500_1749_A_75ov,TaTW_1500_1749_Tot,TaTW_1750_1999_A_15_19,TaTW_1750_1999_A_20_24,TaTW_1750_1999_A_25_34,TaTW_1750_1999_A_35_44,TaTW_1750_1999_A_45_54,TaTW_1750_1999_A_55_64,TaTW_1750_1999_A_65_74,TaTW_1750_1999_A_75ov,TaTW_1750_1999_Tot,TaTW_2000_2999_A_15_19,TaTW_2000_2999_A_20_24,TaTW_2000_2999_A_25_34,TaTW_2000_2999_A_35_44,TaTW_2000_2999_A_45_54,TaTW_2000_2999_A_55_64,TaTW_2000_2999_A_65_74,TaTW_2000_2999_A_75ov,TaTW_2000_2999_Tot,TaTW_3000_3499_A_15_19,TaTW_3000_3499_A_20_24,TaTW_3000_3499_A_25_34,TaTW_3000_3499_A_35_44,TaTW_3000_3499_A_45_54,TaTW_3000_3499_A_55_64,TaTW_3000_3499_A_65_74,TaTW_3000_3499_A_75ov,TaTW_3000_3499_Tot,TaTW_3500mo_A_15_19,TaTW_3500mo_A_20_24,TaTW_3500mo_A_25_34,TaTW_3500mo_A_35_44,TaTW_3500mo_A_45_54,TaTW_3500mo_A_55_64,TaTW_3500mo_A_65_74,TaTW_3500mo_A_75ov,TaTW_3500mo_Tot,TaTW_PINS_A_15_19,TaTW_PINS_A_20_24,TaTW_PINS_A_25_34,TaTW_PINS_A_35_44,TaTW_PINS_A_45_54,TaTW_PINS_A_55_64,TaTW_PINS_A_65_74,TaTW_PINS_A_75ov,TaTW_PINS_Tot,TaTW_Tot_A_15_19,TaTW_Tot_A_20_24,TaTW_Tot_A_25_34,TaTW_Tot_A_35_44,TaTW_Tot_A_45_54,TaTW_Tot_A_55_64,TaTW_Tot_A_65_74,TaTW_Tot_A_75ov,TaTW_Tot_Tot,CoPSW_NNI_A_15_19,CoPSW_NNI_A_20_24,CoPSW_NNI_A_25_34,CoPSW_NNI_A_35_44,CoPSW_NNI_A_45_54,CoPSW_NNI_A_55_64,CoPSW_NNI_A_65_74,CoPSW_NNI_A_75ov,CoPSW_NNI_Tot,CoPSW_1_149_A_15_19,CoPSW_1_149_A_20_24,CoPSW_1_149_A_25_34,CoPSW_1_149_A_35_44,CoPSW_1_149_A_45_54,CoPSW_1_149_A_55_64,CoPSW_1_149_A_65_74,CoPSW_1_149_A_75ov,CoPSW_1_149_Tot,CoPSW_150_299_A_15_19,CoPSW_150_299_A_20_24,CoPSW_150_299_A_25_34,CoPSW_150_299_A_35_44,CoPSW_150_299_A_45_54,CoPSW_150_299_A_55_64,CoPSW_150_299_A_65_74,CoPSW_150_299_A_75ov,CoPSW_150_299_Tot,CoPSW_300_399_A_15_19,CoPSW_300_399_A_20_24,CoPSW_300_399_A_25_34,CoPSW_300_399_A_35_44,CoPSW_300_399_A_45_54,CoPSW_300_399_A_55_64,CoPSW_300_399_A_65_74,CoPSW_300_399_A_75ov,CoPSW_300_399_Tot,CoPSW_400_499_A_15_19,CoPSW_400_499_A_20_24,CoPSW_400_499_A_25_34,CoPSW_400_499_A_35_44,CoPSW_400_499_A_45_54,CoPSW_400_499_A_55_64,CoPSW_400_499_A_65_74,CoPSW_400_499_A_75ov,CoPSW_400_499_Tot,CoPSW_500_649_A_15_19,CoPSW_500_649_A_20_24,CoPSW_500_649_A_25_34,CoPSW_500_649_A_35_44,CoPSW_500_649_A_45_54,CoPSW_500_649_A_55_64,CoPSW_500_649_A_65_74,CoPSW_500_649_A_75ov,CoPSW_500_649_Tot,CoPSW_650_799_A_15_19,CoPSW_650_799_A_20_24,CoPSW_650_799_A_25_34,CoPSW_650_799_A_35_44,CoPSW_650_799_A_45_54,CoPSW_650_799_A_55_64,CoPSW_650_799_A_65_74,CoPSW_650_799_A_75ov,CoPSW_650_799_Tot,CoPSW_800_999_A_15_19,CoPSW_800_999_A_20_24,CoPSW_800_999_A_25_34,CoPSW_800_999_A_35_44,CoPSW_800_999_A_45_54,CoPSW_800_999_A_55_64,CoPSW_800_999_A_65_74,CoPSW_800_999_A_75ov,CoPSW_800_999_Tot,CoPSW_1000_1249_A_15_19,CoPSW_1000_1249_A_20_24,CoPSW_1000_1249_A_25_34,CoPSW_1000_1249_A_35_44,CoPSW_1000_1249_A_45_54,CoPSW_1000_1249_A_55_64,CoPSW_1000_1249_A_65_74,CoPSW_1000_1249_A_75ov,CoPSW_1000_1249_Tot,CoPSW_1250_1499_A_15_19,CoPSW_1250_1499_A_20_24,CoPSW_1250_1499_A_25_34,CoPSW_1250_1499_A_35_44,CoPSW_1250_1499_A_45_54,CoPSW_1250_1499_A_55_64,CoPSW_1250_1499_A_65_74,CoPSW_1250_1499_A_75ov,CoPSW_1250_1499_Tot,CoPSW_1500_1749_A_15_19,CoPSW_1500_1749_A_20_24,CoPSW_1500_1749_A_25_34,CoPSW_1500_1749_A_35_44,CoPSW_1500_1749_A_45_54,CoPSW_1500_1749_A_55_64,CoPSW_1500_1749_A_65_74,CoPSW_1500_1749_A_75ov,CoPSW_1500_1749_Tot,CoPSW_1750_1999_A_15_19,CoPSW_1750_1999_A_20_24,CoPSW_1750_1999_A_25_34,CoPSW_1750_1999_A_35_44,CoPSW_1750_1999_A_45_54,CoPSW_1750_1999_A_55_64,CoPSW_1750_1999_A_65_74,CoPSW_1750_1999_A_75ov,CoPSW_1750_1999_Tot,CoPSW_2000_2999_A_15_19,CoPSW_2000_2999_A_20_24,CoPSW_2000_2999_A_25_34,CoPSW_2000_2999_A_35_44,CoPSW_2000_2999_A_45_54,CoPSW_2000_2999_A_55_64,CoPSW_2000_2999_A_65_74,CoPSW_2000_2999_A_75ov,CoPSW_2000_2999_Tot,CoPSW_3000_3499_A_15_19,CoPSW_3000_3499_A_20_24,CoPSW_3000_3499_A_25_34,CoPSW_3000_3499_A_35_44,CoPSW_3000_3499_A_45_54,CoPSW_3000_3499_A_55_64,CoPSW_3000_3499_A_65_74,CoPSW_3000_3499_A_75ov,CoPSW_3000_3499_Tot,CoPSW_3500mo_A_15_19,CoPSW_3500mo_A_20_24,CoPSW_3500mo_A_25_34,CoPSW_3500mo_A_35_44,CoPSW_3500mo_A_45_54,CoPSW_3500mo_A_55_64,CoPSW_3500mo_A_65_74,CoPSW_3500mo_A_75ov,CoPSW_3500mo_Tot,CoPSW_PINS_A_15_19,CoPSW_PINS_A_20_24,CoPSW_PINS_A_25_34,CoPSW_PINS_A_35_44,CoPSW_PINS_A_45_54,CoPSW_PINS_A_55_64
LGA50080,55,31,6,0,224,0,3,39,29,31,8,8,0,118,0,6,33,41,41,31,7,0,147,0,0,4,9,5,3,0,0,26,0,0,4,5,0,7,0,0,19,3,0,0,0,4,0,0,0,14,180,280,526,421,405,343,108,6,2267,7,0,0,0,0,0,0,0,15,85,0,6,0,4,4,0,0,98,49,8,15,14,15,5,6,0,106,8,7,16,20,15,17,9,0,97,30,20,17,22,25,23,12,0,155,27,34,43,52,55,63,11,0,279,27,37,72,63,78,59,13,4,348,13,49,50,64,97,94,12,0,379,5,48,52,73,80,58,14,0,334,0,9,39,33,55,39,11,0,187,0,7,27,48,56,48,0,0,182,0,0,11,22,35,33,3,0,110,0,0,9,35,39,27,0,0,112,0,0,0,0,4,8,0,0,8,0,0,0,0,0,3,0,0,5,0,3,9,3,0,0
LGA50210,62,49,4,6,350,0,5,73,70,26,25,4,0,204,0,9,79,60,46,27,7,0,227,0,0,9,15,6,7,0,0,41,0,3,4,13,0,4,0,0,30,3,7,7,3,6,7,0,0,28,158,394,830,682,459,347,110,16,2990,9,3,0,3,0,0,0,0,21,85,8,12,13,8,9,6,0,140,53,29,33,27,26,20,3,0,178,25,38,23,41,20,17,7,0,173,20,49,48,52,36,24,15,0,248,26,57,81,78,64,54,15,0,371,27,82,102,106,86,64,13,0,479,14,72,142,117,120,69,19,0,539,0,49,98,113,110,76,16,0,464,0,18,68,49,50,29,9,0,219,0,9,47,32,26,19,4,0,135,0,3,21,37,36,9,4,0,114,0,0,24,46,38,32,0,0,147,0,0,0,4,0,4,0,0,4,0,0,0,3,0,0,0,0,8,0,4,3,0,3,0
LGA50250,53,33,4,0,234,0,20,77,79,68,57,9,0,320,0,59,483,434,371,243,29,0,1614,0,26,249,311,235,107,6,0,941,0,17,271,373,335,155,12,0,1167,0,3,7,11,11,8,4,0,39,29,198,1246,1334,1124,633,71,0,4630,0,0,0,0,0,0,0,0,0,9,0,4,4,0,0,0,0,14,10,0,7,6,3,0,0,0,21,0,0,4,0,3,0,0,0,14,0,6,6,9,0,0,0,0,25,0,3,13,12,3,0,0,0,26,0,0,3,9,3,0,0,0,24,4,7,12,15,7,6,0,0,52,0,8,13,11,10,6,4,0,43,0,9,25,12,8,6,0,0,56,0,0,15,9,13,5,0,0,48,0,6,9,3,8,4,0,0,26,0,0,37,21,21,3,0,0,86,0,0,4,9,5,3,0,0,17,0,0,0,3,0,0,0,0,3,0,0,0,5,3,0
LGA50280,18,10,3,0,88,0,0,8,20,10,9,0,0,50,0,0,10,17,15,0,0,0,46,0,0,0,4,5,0,0,0,8,0,0,0,3,0,0,0,0,4,0,0,0,4,0,0,0,0,9,49,76,208,266,188,134,35,3,959,0,0,0,9,0,0,0,0,7,69,0,4,6,5,0,0,0,79,10,0,7,10,3,0,0,0,33,7,7,9,12,9,5,0,0,55,12,5,17,11,6,17,0,0,68,7,11,15,31,9,17,0,0,97,5,10,31,34,27,18,3,0,123,6,9,40,26,31,15,0,0,127,0,6,23,21,23,26,0,0,95,0,5,9,12,8,8,4,0,42,0,3,4,9,7,4,0,0,25,0,0,7,4,7,0,0,0,17,0,0,6,3,7,5,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3
LGA50350,45,35,6,0,177,0,8,27,36,31,29,7,0,137,0,7,36,60,72,27,6,0,204,0,0,7,12,8,4,0,0,29,0,0,0,4,5,3,0,0,10,0,0,3,3,4,0,0,0,13,63,160,306,360,313,239,42,6,1482,0,0,0,0,4,0,0,0,6,27,0,0,0,0,0,0,0,28,13,5,0,5,0,0,0,0,24,8,8,3,11,3,4,3,0,38,6,7,6,6,11,4,0,0,41,7,16,14,14,14,18,9,0,82,0,16,22,18,15,11,9,0,93,0,20,31,17,23,16,5,0,118,0,11,31,37,15,26,7,0,114,0,0,8,12,15,15,0,0,43,0,4,5,6,10,8,0,0,36,0,0,0,3,4,3,0,0,12,0,0,0,4,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
LGA50420,84,65,15,0,389,0,7,54,77,59,41,8,0,250,0,10,51,79,69,51,12,0,270,0,0,8,13,10,4,3,0,38,0,0,4,11,14,4,0,0,34,0,0,10,6,8,4,5,0,35,164,410,826,740,647,545,173,22,3527,4,0,0,3,0,0,0,0,13,115,29,3,10,5,3,0,0,161,67,57,27,23,18,7,0,0,208,46,45,25,32,24,11,13,0,187,20,73,46,33,26,25,9,0,237,19,68,87,66,79,43,14,3,379,9,52,99,86,94,65,22,0,420,4,66,136,105,111,60,12,0,493,3,37,122,90,102,82,14,0,454,0,8,54,53,41,40,10,0,213,0,4,35,32,25,20,8,0,132,0,3,22,29,25,14,5,0,94,0,3,33,62,72,37,0,0,211,0,0,0,8,7,8,0,0,25,0,0,3,0,6,6,0,0,13,0,3,0,4,3,0
LGA50490,159,139,26,0,827,0,28,179,191,154,100,13,0,661,0,39,368,421,343,210,34,0,1416,0,17,119,128,87,57,4,0,413,0,13,94,92,101,41,3,3,347,4,6,9,11,11,6,0,0,61,184,570,1754,1626,1255,917,175,12,6489,3,0,4,10,3,0,0,0,14,58,18,7,8,5,4,0,0,99,35,32,29,25,19,6,7,0,148,16,50,44,23,21,26,9,0,195,22,55,55,52,37,29,12,0,264,23,92,108,77,67,52,20,0,436,13,116,157,101,88,67,21,0,563,12,136,222,159,136,93,18,0,783,7,91,235,189,133,96,17,0,776,0,40,153,106,119,61,13,0,496,0,18,111,96,67,48,8,0,350,0,7,89,92,49,28,5,0,264,0,3,94,108,126,52,9,0,400,0,0,6,12,10,10,0,0,34,0,3,8,0,8,3,0,0,17,0,10,8,9,6,5
LGA50560,3,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,13,10,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,3,4,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,10,4,0,0,46,0,0,24,14,19,12,0,0,71,0,10,105,111,74,40,4,0,344,0,4,26,33,20,16,0,0,94,0,0,7,22,13,13,0,0,56,0,0,0,3,0,0,0,0,11,11,39,182,207,154,100,9,0,703,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,4,6,0,0,10,0,0,0,3,0,5,0,0,15,0,0,0,3,5,0,0,0,9,0,0,0,0,0,0,0,0,8,0,0,5,5,0,0,0,0,6,0,0,3,7,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50770,0,0,0,0,5,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,4,16,7,6,4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,3,0,6,0,0,9,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,5,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
