POW_LGA_CODE_2021,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_NegNilInc_E,P_NegNilInc_OM_IE,P_NegNilInc_OM_UIE,P_NegNilInc_CFW,P_NegNilInc_ES_NS,P_NegNilInc_Tot,P_1_149_E,P_1_149_OM_IE,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000_3499_E,P_3000_3499_OM_IE,P_3000_3499_OM_UIE,P_3000_3499_CFW,P_3000_3499_ES_NS,P_3000_3499_Tot,P_3500mo_E,P_3500mo_OM_IE,P_3500mo_OM_UIE,P_3500mo_CFW,P_3500mo_ES_NS,P_3500mo_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA50080,670,197,71,8591,43,0,14,44,6,109,503,10,32,29,4,572,454,8,69,29,11,567,449,9,80,33,11,577,624,24,90,36,14,785,1179,41,134,35,11,1398,1366,61,158,26,18,1628,1737,57,175,28,20,2021,2031,87,199,22,22,2360,1367,89,153,20,10,1634,1211,95,136,15,13,1466,803,78,78,11,3,979,1164,129,112,15,5,1426,132,34,31,5,3,205,152,115,86,11,5,364,94,4,13,7,16,136,13314,834,1566,372,154,16248
LGA50210,844,146,61,12008,73,10,9,43,7,141,785,5,76,18,3,889,833,22,120,27,4,1007,729,25,107,26,10,900,855,39,144,9,3,1064,1413,68,180,17,13,1693,1660,91,176,11,12,1949,2160,125,236,21,17,2551,2349,174,217,17,13,2767,1841,150,131,15,5,2145,1559,170,134,5,6,1883,1148,133,82,7,6,1373,1626,154,106,14,5,1902,204,62,27,0,3,300,231,130,65,5,4,441,158,9,16,8,14,203,17628,1366,1832,247,122,21189
LGA50250,71,19,18,2967,41,0,3,0,0,49,66,0,9,0,0,76,63,0,8,4,4,73,54,0,9,0,0,63,77,4,8,0,3,96,123,4,7,4,5,133,127,4,8,5,0,149,261,7,13,5,4,289,510,13,19,0,5,541,775,8,4,4,5,801,1012,24,6,0,0,1044,1151,6,8,0,4,1176,4792,37,15,0,11,4855,2005,14,5,0,3,2033,2146,39,19,0,5,2208,134,6,0,0,6,146,13330,165,153,30,51,13727
LGA50280,483,120,32,3428,13,0,12,34,0,59,228,0,33,20,0,284,160,6,42,11,0,217,180,14,72,15,6,278,293,14,82,27,6,412,421,23,114,22,7,588,580,37,98,23,7,745,637,70,127,22,6,857,716,72,138,19,9,963,436,54,96,16,4,600,306,85,86,6,8,492,203,40,56,7,0,309,262,86,51,9,12,420,33,18,13,6,0,74,45,37,29,9,0,129,29,13,9,3,3,56,4539,560,1062,244,77,6483
LGA50350,188,34,15,2444,23,4,7,11,0,45,103,0,13,4,0,122,131,0,28,0,0,159,140,9,25,0,4,179,194,8,22,0,0,227,329,14,32,7,6,386,457,26,50,6,5,541,794,24,40,9,0,864,900,45,67,0,9,1013,700,39,43,0,3,785,544,32,30,0,3,609,368,28,20,3,5,423,588,74,47,5,8,721,83,28,14,0,0,124,79,57,7,0,0,147,47,9,4,0,10,63,5497,381,441,50,45,6420
LGA50420,783,143,60,10823,53,7,12,47,0,120,748,5,49,21,0,818,799,27,84,15,12,938,779,38,126,22,9,979,894,53,150,17,14,1128,1483,62,177,26,13,1766,1746,120,206,24,7,2103,2280,124,224,23,21,2670,2432,207,239,20,11,2903,1858,190,174,16,8,2253,1389,214,147,11,7,1771,993,143,97,7,4,1237,1434,227,143,5,10,1817,218,97,49,3,0,363,227,201,90,0,4,519,153,16,17,8,16,214,17480,1725,1989,263,134,21593
LGA50490,413,95,67,16965,105,5,8,46,3,172,664,4,42,8,3,731,796,14,42,9,4,875,840,23,74,30,12,974,1134,33,62,12,19,1259,1935,57,100,15,10,2107,2572,87,128,19,15,2818,4243,116,168,12,20,4569,5918,201,203,16,7,6342,5072,127,139,12,15,5363,4390,171,117,4,14,4699,3333,124,68,3,7,3535,6902,227,109,3,10,7250,1832,108,41,0,0,1983,2501,293,85,3,10,2887,332,27,11,6,36,419,42566,1623,1396,202,198,45984
LGA50560,37,26,7,225,0,0,0,3,0,10,11,0,0,0,4,16,9,0,6,3,0,15,7,4,9,5,0,25,16,0,4,12,0,34,33,3,12,0,0,50,23,3,10,4,0,36,43,3,14,5,0,63,41,5,13,0,0,61,23,8,12,5,0,52,14,8,7,5,0,33,9,5,6,0,0,15,19,13,10,7,0,44,5,0,0,0,0,8,0,4,3,0,0,8,3,0,0,0,0,8,261,63,103,50,18,490
LGA50630,20,18,4,574,4,0,0,9,0,12,11,0,3,0,0,18,9,0,3,0,0,15,14,0,0,0,0,17,20,0,3,0,0,27,37,0,3,5,0,49,39,6,6,5,0,54,85,0,6,0,0,87,106,10,6,4,0,120,117,3,4,0,0,129,190,3,3,3,0,201,320,0,4,0,4,325,884,9,5,0,3,902,211,3,0,0,0,220,173,3,0,0,0,176,32,0,0,0,4,36,2257,43,65,32,16,2411
LGA50770,53,38,8,313,5,0,0,9,0,18,16,0,0,7,0,22,11,0,0,17,0,27,10,4,3,4,0,27,20,0,11,15,0,45,28,0,13,10,0,45,33,3,19,0,0,64,48,9,15,10,4,87,50,13,18,13,0,97,41,4,8,4,0,53,29,4,9,3,0,48,25,8,17,0,0,57,19,0,10,4,0,37,5,0,0,0,0,10,5,5,8,4,0,21,0,0,0,7,0,8,341,61,144,103,15,666
