POW_LGA_CODE_2021,Tot_150_299_A_55_64,Tot_150_299_A_65_74,Tot_150_299_A_75ov,Tot_150_299_Tot,Tot_300_399_A_15_19,Tot_300_399_A_20_24,Tot_300_399_A_25_34,Tot_300_399_A_35_44,Tot_300_399_A_45_54,Tot_300_399_A_55_64,Tot_300_399_A_65_74,Tot_300_399_A_75ov,Tot_300_399_Tot,Tot_400_499_A_15_19,Tot_400_499_A_20_24,Tot_400_499_A_25_34,Tot_400_499_A_35_44,Tot_400_499_A_45_54,Tot_400_499_A_55_64,Tot_400_499_A_65_74,Tot_400_499_A_75ov,Tot_400_499_Tot,Tot_500_649_A_15_19,Tot_500_649_A_20_24,Tot_500_649_A_25_34,Tot_500_649_A_35_44,Tot_500_649_A_45_54,Tot_500_649_A_55_64,Tot_500_649_A_65_74,Tot_500_649_A_75ov,Tot_500_649_Tot,Tot_650_799_A_15_19,Tot_650_799_A_20_24,Tot_650_799_A_25_34,Tot_650_799_A_35_44,Tot_650_799_A_45_54,Tot_650_799_A_55_64,Tot_650_799_A_65_74,Tot_650_799_A_75ov,Tot_650_799_Tot,Tot_800_999_A_15_19,Tot_800_999_A_20_24,Tot_800_999_A_25_34,Tot_800_999_A_35_44,Tot_800_999_A_45_54,Tot_800_999_A_55_64,Tot_800_999_A_65_74,Tot_800_999_A_75ov,Tot_800_999_Tot,Tot_1000_1249_A_15_19,Tot_1000_1249_A_20_24,Tot_1000_1249_A_25_34,Tot_1000_1249_A_35_44,Tot_1000_1249_A_45_54,Tot_1000_1249_A_55_64,Tot_1000_1249_A_65_74,Tot_1000_1249_A_75ov,Tot_1000_1249_Tot,Tot_1250_1499_A_15_19,Tot_1250_1499_A_20_24,Tot_1250_1499_A_25_34,Tot_1250_1499_A_35_44,Tot_1250_1499_A_45_54,Tot_1250_1499_A_55_64,Tot_1250_1499_A_65_74,Tot_1250_1499_A_75ov,Tot_1250_1499_Tot,Tot_1500_1749_A_15_19,Tot_1500_1749_A_20_24,Tot_1500_1749_A_25_34,Tot_1500_1749_A_35_44,Tot_1500_1749_A_45_54,Tot_1500_1749_A_55_64,Tot_1500_1749_A_65_74,Tot_1500_1749_A_75ov,Tot_1500_1749_Tot,Tot_1750_1999_A_15_19,Tot_1750_1999_A_20_24,Tot_1750_1999_A_25_34,Tot_1750_1999_A_35_44,Tot_1750_1999_A_45_54,Tot_1750_1999_A_55_64,Tot_1750_1999_A_65_74,Tot_1750_1999_A_75ov,Tot_1750_1999_Tot,Tot_2000_2999_A_15_19,Tot_2000_2999_A_20_24,Tot_2000_2999_A_25_34,Tot_2000_2999_A_35_44,Tot_2000_2999_A_45_54,Tot_2000_2999_A_55_64,Tot_2000_2999_A_65_74,Tot_2000_2999_A_75ov,Tot_2000_2999_Tot,Tot_3000_3499_A_15_19,Tot_3000_3499_A_20_24,Tot_3000_3499_A_25_34,Tot_3000_3499_A_35_44,Tot_3000_3499_A_45_54,Tot_3000_3499_A_55_64,Tot_3000_3499_A_65_74,Tot_3000_3499_A_75ov,Tot_3000_3499_Tot,Tot_3500mo_A_15_19,Tot_3500mo_A_20_24,Tot_3500mo_A_25_34,Tot_3500mo_A_35_44,Tot_3500mo_A_45_54,Tot_3500mo_A_55_64,Tot_3500mo_A_65_74,Tot_3500mo_A_75ov,Tot_3500mo_Tot,Tot_PINS_A_15_19,Tot_PINS_A_20_24,Tot_PINS_A_25_34,Tot_PINS_A_35_44,Tot_PINS_A_45_54,Tot_PINS_A_55_64,Tot_PINS_A_65_74,Tot_PINS_A_75ov,Tot_PINS_Tot,Tot_Tot_A_15_19,Tot_Tot_A_20_24,Tot_Tot_A_25_34,Tot_Tot_A_35_44,Tot_Tot_A_45_54,Tot_Tot_A_55_64,Tot_Tot_A_65_74,Tot_Tot_A_75ov,Tot_Tot_Tot
LGA50080,75,51,12,567,94,47,85,91,83,114,53,20,577,127,75,102,126,123,152,79,8,785,158,146,212,220,251,239,141,27,1398,106,214,274,287,310,310,110,23,1628,53,249,385,361,411,403,137,15,2021,30,196,494,472,491,507,146,15,2360,4,85,331,349,436,342,81,7,1634,3,41,278,327,405,345,54,5,1466,0,14,166,213,295,226,59,8,979,0,6,157,352,477,358,60,12,1426,0,0,28,44,63,62,11,0,205,0,4,37,76,108,102,36,6,364,16,10,20,10,37,20,10,6,136,1266,1149,2650,3044,3591,3309,1055,170,16248
LGA50210,79,36,0,1007,170,176,143,156,110,99,34,7,900,133,176,192,196,163,130,72,8,1064,154,260,344,300,266,258,99,13,1693,96,294,400,427,326,278,99,12,1949,58,345,636,559,487,335,115,9,2551,28,281,694,658,572,426,101,14,2767,8,148,646,496,454,296,85,8,2145,3,71,553,499,395,275,70,7,1883,0,37,358,390,322,210,59,0,1373,0,23,391,563,492,361,66,0,1902,0,0,63,86,76,53,9,3,300,0,4,41,122,134,104,27,9,441,13,29,36,35,42,34,7,8,203,1780,2055,4675,4680,3998,2982,913,103,21189
LGA50250,8,5,5,73,7,5,10,22,14,7,9,0,63,11,18,16,21,9,9,7,0,96,11,7,35,41,19,14,6,0,133,3,12,39,39,26,19,0,4,149,16,40,74,62,43,44,13,0,289,20,71,129,121,93,86,24,3,541,14,111,196,153,167,132,28,4,801,13,89,291,220,221,190,24,0,1044,6,84,279,295,279,204,33,0,1176,16,199,1249,1266,1186,816,112,0,4855,5,50,488,597,545,308,38,0,2033,3,26,467,720,633,319,43,0,2208,7,13,25,30,40,26,7,0,146,197,734,3353,3619,3286,2194,331,20,13727
LGA50280,30,18,5,217,24,19,35,61,48,58,26,11,278,55,23,52,72,75,92,39,0,412,31,56,86,127,120,116,46,8,588,24,57,132,176,139,162,55,0,745,9,60,179,199,197,144,54,10,857,8,50,202,248,234,164,60,7,963,0,28,110,165,134,118,33,5,600,0,12,71,151,126,90,38,3,492,0,4,40,84,98,58,22,4,309,0,6,55,116,105,101,30,5,420,0,0,8,23,32,12,3,0,74,0,0,3,27,40,29,25,0,129,3,4,7,12,13,17,0,4,56,419,331,1031,1534,1408,1198,474,77,6483
LGA50350,17,3,0,159,26,32,21,38,26,24,13,0,179,35,40,41,37,34,27,16,0,227,39,68,59,69,65,54,23,0,386,38,98,110,106,85,73,29,0,541,22,125,191,172,167,136,44,6,864,3,91,238,243,209,179,48,3,1013,6,40,173,207,185,146,32,0,785,0,24,121,162,144,125,24,3,609,0,17,79,131,97,81,19,4,423,0,9,107,201,219,136,57,0,721,0,0,23,33,29,32,6,0,124,0,0,12,33,52,35,10,7,147,0,7,18,13,19,13,0,0,63,310,590,1225,1471,1371,1095,329,25,6420
LGA50420,74,27,10,938,174,228,138,145,96,126,63,11,979,136,233,208,125,168,181,66,15,1128,136,326,335,289,290,234,133,22,1766,74,321,470,416,359,307,140,12,2103,44,378,684,507,514,393,139,15,2670,24,260,735,623,574,537,136,10,2903,7,124,593,552,503,372,91,9,2253,6,54,445,452,412,307,83,8,1771,0,20,291,343,303,226,43,3,1237,0,22,307,544,493,368,86,4,1817,0,0,40,103,117,80,21,6,363,0,4,40,123,192,107,45,9,519,18,27,47,42,35,26,19,3,214,1567,2294,4469,4442,4176,3377,1124,144,21593
LGA50490,46,29,9,875,130,246,183,131,124,104,61,3,974,140,269,269,193,156,149,79,12,1259,156,423,489,354,287,266,115,20,2107,138,524,692,557,412,360,126,16,2818,95,743,1293,896,746,614,164,18,4569,73,648,1877,1479,1102,943,200,18,6342,17,353,1615,1279,1102,823,174,11,5363,15,200,1281,1279,1004,756,161,6,4699,4,88,914,1047,858,535,92,4,3535,0,116,1622,2358,1842,1114,192,6,7250,0,30,363,671,567,301,55,0,1983,0,18,326,878,1025,539,86,21,2887,28,66,90,69,88,65,17,5,419,1590,4019,11203,11367,9416,6660,1575,154,45984
LGA50560,5,9,0,15,0,0,0,5,0,6,7,3,25,0,0,3,4,5,7,12,3,34,0,3,4,3,11,15,8,4,50,4,7,0,5,7,0,9,0,36,0,3,13,14,15,9,11,0,63,0,0,9,15,21,9,10,0,61,0,0,5,8,10,16,9,3,52,0,0,7,9,3,10,3,0,33,0,0,0,8,6,7,3,0,15,0,0,4,8,15,13,5,0,44,0,0,0,0,3,0,0,0,8,0,0,0,3,3,3,0,0,8,0,0,3,5,0,0,0,0,8,15,17,51,82,107,115,82,18,490
LGA50630,0,0,0,15,0,0,3,3,0,6,6,0,17,6,0,0,4,13,9,0,0,27,0,3,5,8,6,12,4,0,49,6,8,9,7,12,11,6,0,54,3,3,14,16,18,22,4,0,87,8,15,22,25,23,21,8,5,120,3,13,33,22,26,24,8,0,129,3,13,52,48,49,28,8,0,201,4,14,79,73,81,55,16,0,325,0,26,205,271,242,151,15,0,902,0,4,37,72,63,39,0,0,220,0,0,13,69,57,36,5,0,176,3,5,3,9,13,8,0,0,36,54,110,469,628,618,429,88,14,2411
LGA50770,4,6,0,27,3,0,0,4,4,6,4,0,27,0,3,4,6,11,5,0,11,45,8,3,3,3,9,12,4,3,45,5,0,4,10,12,12,10,3,64,0,9,7,12,18,21,13,6,87,0,7,11,14,23,19,8,7,97,0,3,9,6,12,14,3,0,53,0,8,8,10,12,5,0,5,48,0,0,8,10,13,15,8,3,57,0,0,3,15,13,4,4,0,37,0,0,0,5,0,8,0,0,10,0,0,0,6,7,4,3,0,21,0,3,0,0,3,0,0,0,8,26,44,65,112,149,150,70,44,666
