POW_LGA_CODE_2021,AgFF_AgFF_nfd_M,AgFF_AgFF_nfd_F,AgFF_AgFF_nfd_P,AgFF_Agriculture_M,AgFF_Agriculture_F,AgFF_Agriculture_P,AgFF_Aquaculture_M,AgFF_Aquaculture_F,AgFF_Aquaculture_P,AgFF_Forestry_logging_M,AgFF_Forestry_logging_F,AgFF_Forestry_logging_P,AgFF_Fishing_hunt_trap_M,AgFF_Fishing_hunt_trap_F,AgFF_Fishing_hunt_trap_P,AgFF_AgFF_support_Svs_M,AgFF_AgFF_support_Svs_F,AgFF_AgFF_support_Svs_P,AgFF_Tot_M,AgFF_Tot_F,AgFF_Tot_P,Min_Min_nfd_M,Min_Min_nfd_F,Min_Min_nfd_P,Min_Coal_min_M,Min_Coal_min_F,Min_Coal_min_P,Min_Oil_gas_extrac_M,Min_Oil_gas_extrac_F,Min_Oil_gas_extrac_P,Min_Metal_ore_min_M,Min_Metal_ore_min_F,Min_Metal_ore_min_P,Min_NonMet_minral_min_quar_M,Min_NonMet_minral_min_quar_F,Min_NonMet_minral_min_quar_P,Min_Expl_oth_min_supt_Svs_M,Min_Expl_oth_min_supt_Svs_F,Min_Expl_oth_min_supt_Svs_P,Min_Tot_M,Min_Tot_F,Min_Tot_P,Mnf_Mnf_nfd_M,Mnf_Mnf_nfd_F,Mnf_Mnf_nfd_P,Mnf_Food_pdt_mnf_M,Mnf_Food_pdt_mnf_F,Mnf_Food_pdt_mnf_P,Mnf_Beverag_tobac_pdt_mnf_M,Mnf_Beverag_tobac_pdt_mnf_F,Mnf_Beverag_tobac_pdt_mnf_P,Mnf_Tex_leath_clo_footw_mnf_M,Mnf_Tex_leath_clo_footw_mnf_F,Mnf_Tex_leath_clo_footw_mnf_P,Mnf_Wood_pdt_mnf_M,Mnf_Wood_pdt_mnf_F,Mnf_Wood_pdt_mnf_P,Mnf_Pul_pap_cvertd_pap_mnf_M,Mnf_Pul_pap_cvertd_pap_mnf_F,Mnf_Pul_pap_cvertd_pap_mnf_P,Mnf_Print_inc_repdtn_RM_mnf_M,Mnf_Print_inc_repdtn_RM_mnf_F,Mnf_Print_inc_repdtn_RM_mnf_P,Mnf_Petroleum_coal_pdt_mnf_M,Mnf_Petroleum_coal_pdt_mnf_F,Mnf_Petroleum_coal_pdt_mnf_P,Mnf_Bas_che_and_chem_pr_mnf_M,Mnf_Bas_che_and_chem_pr_mnf_F,Mnf_Bas_che_and_chem_pr_mnf_P,Mnf_Polym_pd_rubber_pd_mnf_M,Mnf_Polym_pd_rubber_pd_mnf_F,Mnf_Polym_pd_rubber_pd_mnf_P,Mnf_NonMet_mineral_pdt_mnf_M,Mnf_NonMet_mineral_pdt_mnf_F,Mnf_NonMet_mineral_pdt_mnf_P,Mnf_Pri_met_and_met_pr_mnf_M,Mnf_Pri_met_and_met_pr_mnf_F,Mnf_Pri_met_and_met_pr_mnf_P,Mnf_Fab_metal_pdt_mnf_M,Mnf_Fab_metal_pdt_mnf_F,Mnf_Fab_metal_pdt_mnf_P,Mnf_Transpt_equip_mnf_M,Mnf_Transpt_equip_mnf_F,Mnf_Transpt_equip_mnf_P,Mnf_Machin_and_equip_mnf_M,Mnf_Machin_and_equip_mnf_F,Mnf_Machin_and_equip_mnf_P,Mnf_Furnitur_and_oth_mnf_M,Mnf_Furnitur_and_oth_mnf_F,Mnf_Furnitur_and_oth_mnf_P,Mnf_Tot_M,Mnf_Tot_F,Mnf_Tot_P,EGWWS_EGWWS_nfd_M,EGWWS_EGWWS_nfd_F,EGWWS_EGWWS_nfd_P,EGWWS_ElecSup_M,EGWWS_ElecSup_F,EGWWS_ElecSup_P,EGWWS_GasSup_M,EGWWS_GasSup_F,EGWWS_GasSup_P,EGWWS_WatSup_SDS_M,EGWWS_WatSup_SDS_F,EGWWS_WatSup_SDS_P,EGWWS_WasteCTDS_M,EGWWS_WasteCTDS_F,EGWWS_WasteCTDS_P,EGWWS_Tot_M,EGWWS_Tot_F,EGWWS_Tot_P,Const_Const_nfd_M,Const_Const_nfd_F,Const_Const_nfd_P,Const_Blding_Const_M,Const_Blding_Const_F,Const_Blding_Const_P,Const_HeavyCivl_eng_Const_M,Const_HeavyCivl_eng_Const_F,Const_HeavyCivl_eng_Const_P,Const_Const_Svs_M,Const_Const_Svs_F,Const_Const_Svs_P,Const_Tot_M,Const_Tot_F,Const_Tot_P,WST_WST_nfd_M,WST_WST_nfd_F,WST_WST_nfd_P,WST_Basic_matl_W_M,WST_Basic_matl_W_F,WST_Basic_matl_W_P,WST_Machin_and_equip_W_M,WST_Machin_and_equip_W_F,WST_Machin_and_equip_W_P,WST_MotV_and_motV_partsW_M,WST_MotV_and_motV_partsW_F,WST_MotV_and_motV_partsW_P,WST_GrocLiq_and_tob_pdtW_M,WST_GrocLiq_and_tob_pdtW_F,WST_GrocLiq_and_tob_pdtW_P,WST_Oth_gds_W_M,WST_Oth_gds_W_F,WST_Oth_gds_W_P,WST_Comm_based_W_M,WST_Comm_based_W_F,WST_Comm_based_W_P,WST_Tot_M,WST_Tot_F,WST_Tot_P,RetT_RetT_nfd_M,RetT_RetT_nfd_F,RetT_RetT_nfd_P,RetT_MotV_and_motV_partsR_M,RetT_MotV_and_motV_partsR_F,RetT_MotV_and_motV_partsR_P,RetT_Fuel_ret_M,RetT_Fuel_ret_F,RetT_Fuel_ret_P,RetT_Food_ret_M,RetT_Food_ret_F,RetT_Food_ret_P,RetT_Oth_store_based_ret_M,RetT_Oth_store_based_ret_F,RetT_Oth_store_based_ret_P,RetT_NonSR_and_RCB_buy_sell_M,RetT_NonSR_and_RCB_buy_sell_F,RetT_NonSR_and_RCB_buy_sell_P,RetT_Tot_M,RetT_Tot_F,RetT_Tot_P,AcFd_AcFd_nfd_M,AcFd_AcFd_nfd_F,AcFd_AcFd_nfd_P,AcFd_Accomm_M,AcFd_Accomm_F,AcFd_Accomm_P,AcFd_FoodBev_Svs_M,AcFd_FoodBev_Svs_F,AcFd_FoodBev_Svs_P,AcFd_Tot_M,AcFd_Tot_F,AcFd_Tot_P,TPW_TPW_nfd_M,TPW_TPW_nfd_F,TPW_TPW_nfd_P,TPW_RoadTspt_M,TPW_RoadTspt_F,TPW_RoadTspt_P,TPW_RailTspt_M,TPW_RailTspt_F,TPW_RailTspt_P,TPW_WaterTspt_M,TPW_WaterTspt_F,TPW_WaterTspt_P,TPW_Air_space_tspt_M,TPW_Air_space_tspt_F,TPW_Air_space_tspt_P,TPW_Oth_tspt_M,TPW_Oth_tspt_F
LGA50080,12,3,16,449,248,692,16,5,18,108,20,134,23,3,28,57,12,67,666,294,954,5,0,10,0,0,0,0,0,0,19,3,23,9,3,14,0,0,5,37,7,45,45,12,57,55,39,93,25,17,38,4,20,21,70,13,82,0,4,4,8,9,20,0,0,0,12,9,16,0,0,0,16,7,28,50,10,53,20,3,27,40,5,49,57,15,79,33,8,39,440,157,598,6,0,6,69,7,71,6,0,7,47,23,72,29,12,50,160,46,201,37,8,47,246,63,313,95,30,120,683,106,787,1066,209,1273,0,8,12,119,38,164,83,20,97,24,0,29,24,11,35,32,8,39,9,7,16,290,96,389,24,31,53,148,40,186,39,58,98,265,378,637,355,681,1035,0,3,4,828,1187,2015,0,0,0,100,248,346,443,573,1022,542,830,1371,10,10,19,227,46,277,22,3,26,4,0,3,4,0,5,6,4
LGA50210,0,0,0,139,97,237,7,5,13,4,0,3,0,0,0,28,14,40,175,121,298,65,25,87,5,0,5,3,0,5,77,24,99,10,0,10,49,6,58,207,60,261,119,57,174,52,79,127,7,0,7,11,31,39,57,12,72,0,0,0,3,6,15,0,0,0,14,10,27,18,5,22,44,3,48,77,24,97,41,16,53,70,11,88,62,14,82,121,27,148,702,297,1007,3,0,3,9,5,10,0,0,0,69,13,81,28,9,38,116,23,139,77,13,91,319,68,390,138,31,172,916,172,1096,1450,291,1746,7,3,6,94,37,129,236,36,279,24,3,29,11,19,20,13,10,24,0,4,4,385,114,497,14,17,38,58,30,86,56,54,112,446,669,1119,417,820,1238,3,11,19,1000,1603,2603,0,0,0,12,28,37,650,881,1533,665,905,1574,34,14,51,410,102,512,30,7,42,0,0,0,4,0,9,4,5
LGA50250,0,0,0,36,35,69,0,0,0,0,0,0,0,0,0,0,3,4,38,33,78,244,44,286,38,6,41,580,70,641,5939,1112,7049,76,13,95,221,34,254,7101,1273,8371,0,0,0,6,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,8,53,0,0,0,7,0,7,11,0,16,6,0,6,17,0,17,16,4,17,0,0,0,113,28,140,7,0,7,8,0,8,24,6,29,7,0,7,52,9,64,99,13,111,142,21,161,87,8,96,895,81,973,325,34,355,1447,140,1587,3,0,5,30,3,34,116,6,119,7,0,7,0,8,5,0,0,0,0,0,0,160,22,179,0,0,5,8,0,7,0,6,3,28,58,90,7,14,19,0,0,0,44,80,125,0,0,0,48,56,108,366,292,657,417,346,768,16,3,23,90,18,105,7,0,8,7,0,10,19,6,26,6,0
LGA50280,5,7,11,371,159,527,12,0,12,11,3,13,8,0,15,25,9,36,429,176,606,5,0,5,6,3,7,0,0,0,14,0,19,3,3,7,8,0,7,26,14,36,3,5,3,84,65,149,231,167,400,0,0,4,4,0,4,0,0,0,0,7,3,0,0,0,0,0,7,5,4,6,8,6,13,13,0,13,0,0,0,4,0,4,3,0,3,27,9,31,381,259,639,0,0,0,0,0,4,0,0,0,4,0,6,7,0,9,16,6,22,21,4,24,129,26,152,20,4,29,298,49,348,466,77,546,6,0,3,44,21,66,5,4,9,0,0,0,19,8,26,5,7,12,0,0,0,77,44,123,10,22,27,10,5,10,10,22,32,121,238,357,100,229,332,0,0,0,250,512,761,8,0,9,113,239,353,255,288,536,370,527,900,6,0,9,35,14,46,0,0,0,5,0,5,0,0,0,16,4
LGA50350,4,0,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,63,6,74,0,0,0,0,5,6,42,6,46,0,0,0,23,0,21,126,17,147,99,17,111,44,44,86,20,8,24,3,8,11,45,5,51,28,4,35,41,20,60,0,0,0,4,3,4,10,6,9,20,3,23,258,35,292,143,41,186,144,19,161,320,39,358,55,24,74,1234,270,1503,0,0,0,6,0,10,0,0,0,5,6,5,30,8,38,40,12,55,33,4,35,90,14,104,99,20,121,395,80,475,623,115,734,5,3,11,22,4,25,94,61,158,51,7,52,52,43,94,23,17,42,0,0,0,250,142,383,7,9,12,41,9,52,10,3,13,100,122,224,30,61,88,0,6,6,188,206,402,0,0,0,0,5,4,119,185,300,119,185,302,10,3,12,44,7,48,6,0,9,0,0,0,6,3,13,0,0
LGA50420,3,0,3,29,17,48,0,0,0,0,0,0,6,0,6,0,0,9,42,21,61,67,17,85,0,0,0,15,4,19,110,28,135,7,0,4,78,21,101,276,67,348,169,36,207,224,189,409,14,6,16,27,39,63,16,7,17,5,3,8,31,14,51,0,0,0,26,11,33,36,10,40,34,9,43,104,23,124,87,18,112,64,6,70,195,45,240,74,15,86,1091,420,1510,0,3,5,13,4,17,0,0,3,3,0,7,131,22,150,148,33,180,72,13,89,301,60,362,133,18,149,1093,163,1256,1591,258,1853,22,15,32,102,26,133,36,16,51,61,9,76,51,33,86,24,29,51,0,0,5,295,128,430,43,40,84,269,71,338,24,36,58,476,552,1028,511,1136,1644,3,9,11,1322,1846,3164,0,4,9,23,24,48,741,939,1684,765,967,1736,12,5,25,310,36,346,11,7,15,0,0,0,0,3,3,3,0
LGA50490,0,4,4,43,21,65,0,0,0,5,0,5,4,0,4,23,10,26,71,31,110,324,89,410,19,3,29,26,6,39,2194,718,2915,24,3,28,1152,318,1465,3742,1139,4876,142,47,193,97,82,174,184,77,265,18,17,38,13,10,22,10,4,18,54,32,85,16,0,18,50,23,73,125,17,143,55,22,73,167,38,200,76,13,95,195,25,223,472,117,584,93,28,119,1758,559,2321,8,0,15,171,24,197,11,4,15,35,14,50,67,46,116,292,101,396,181,33,213,575,146,719,650,133,777,1171,216,1382,2576,522,3097,73,38,115,200,76,278,1097,242,1346,356,101,457,109,88,194,87,105,186,23,11,30,1950,660,2605,84,57,140,221,58,283,51,47,103,1285,550,1837,928,1354,2279,37,15,51,2610,2082,4692,0,0,6,129,189,318,774,965,1741,905,1154,2061,191,70,261,1517,247,1765,470,130,597,15,3,16,1550,1055,2607,16,0
LGA50560,0,0,0,138,50,187,0,0,0,3,0,3,0,0,0,8,5,6,145,54,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,11,0,0,0,10,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,4,11,3,16,17,4,18,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,3,6,0,3,3,0,0,0,0,0,0,4,15,12,0,4,6,0,0,0,7,22,28,0,0,0,0,6,3,0,6,11,0,9,14,5,0,5,8,6,6,0,0,0,0,0,0,0,0,0,0,0
LGA50630,0,0,0,41,23,67,0,0,0,0,0,0,0,0,0,5,0,0,46,23,71,36,8,39,14,4,12,0,0,0,1125,227,1357,6,0,5,15,0,15,1189,241,1424,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,208,61,270,0,0,0,0,0,0,0,0,0,0,0,0,220,58,275,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,4,0,8,0,0,3,9,0,9,21,0,23,109,12,120,131,20,153,0,0,0,0,0,0,60,3,58,0,0,3,0,0,0,0,0,0,0,0,0,54,5,62,0,0,0,3,0,3,3,0,3,4,13,16,4,5,10,0,0,0,13,14,30,0,0,0,0,5,5,25,53,73,22,52,78,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
LGA50770,0,0,0,221,93,319,0,0,0,7,4,7,0,0,0,7,7,13,240,109,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,10,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,13,7,22,18,7,23,0,0,0,3,3,3,5,4,12,0,0,0,0,0,0,0,0,0,0,0,0,10,5,20,0,6,6,0,0,3,3,4,9,3,13,15,0,9,9,0,0,0,7,27,32,0,0,0,0,5,9,0,15,13,4,24,23,0,0,0,3,9,13,0,0,0,0,0,0,0,0,0,0,0
LGA50840,5,0,5,122,53,169,0,0,0,22,0,23,0,0,0,6,0,6,150,55,208,18,3,29,0,0,0,0,0,0,53,11,63,322,94,410,30,4,34,429,105,538,0,0,3,7,5,6,9,5,16,0,0,0,65,11,72,0,0,0,0,0,7,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,4,0,5,93,25,118,0,0,0,22,0,22,0,0,0,12,0,14,0,0,0,35,0,37,9,3,14,26,5,32,31,0,26,80,16,95,148,25,169,0,0,0,14,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,26,0,6,10,0,3,6,4,14,18,23,45,69,14,45,60,0,0,0,47,110,154,0,0,0,7,31,39,33,67,99,41,92,138,0,0,0,21,0,24,0,0,0,0,0,0,0,0,0,0,0
LGA50910,0,0,0,124,37,160,0,0,0,0,0,0,0,0,0,17,8,23,138,44,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,6,3,0,3,4,0,8,0,0,0,7,5,13,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,4,23,0,5,5,0,0,0,5,7,18,0,9,13,0,3,3,0,0,0,12,23,33,0,0,0,0,5,6,0,8,7,3,14,16,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,0,0
LGA50980,3,0,3,59,43,106,76,26,103,0,0,0,18,0,19,12,11,23,173,82,253,0,8,5,0,0,0,19,0,19,11,4,20,4,0,9,26,0,23,65,11,75,3,3,7,4,6,12,0,4,11,0,9,8,0,0,0,0,0,0,6,0,3,5,0,3,0,5,4,0,0,0,0,0,0,8,6,7,25,0,25,10,0,11,9,0,9,3,0,8,85,34,115,5,0,7,37,9,46,5,0,5,26,9,33,17,3,20,88,18,108,21,10,30,102,28,126,63,9,72,255,56,305,438,95,534,3,0,8,33,15,42,5,0,5,0,0,0,6,3,11,3,0,3,0,0,0,54,23,73,9,14,18,33,8,40,52,24,75,101,105,204,108,242,348,0,0,0,300,390,689,0,0,0,193,259,458,182,203,384,377,467,843,12,9,23,72,17,93,0,0,0,14,8,28,140,29,170,35,33
LGA51080,0,0,0,179,64,240,0,0,0,0,0,0,0,0,0,3,7,8,181,72,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,8,0,8,12,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,3,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0
LGA51120,0,0,0,97,47,147,0,0,0,0,0,0,0,0,0,4,0,4,109,44,150,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,5,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,18,0,0,0,0,0,0,19,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,5,0,5,49,3,56,57,3,59,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,5,3,0,8,0,0,0,6,3,10,0,0,0,0,0,0,0,17,17,0,17,14,0,0,0,6,4,15,0,0,0,0,0,0,0,0,0,0,0
LGA51190,3,6,4,56,39,97,0,0,0,49,17,67,8,0,9,19,10,32,131,78,212,94,10,107,7,3,14,3,0,5,203,48,249,13,0,13,25,5,33,347,71,416,79,24,101,470,253,725,12,6,13,0,11,11,54,10,65,0,0,0,6,13,20,5,0,8,21,9,34,19,3,23,50,8,61,125,35,160,76,18,90,52,10,62,165,34,203,42,7,50,1168,456,1628,0,0,0,110,18,132,8,0,8,97,60,157,95,21,111,310,94,408,91,24,115,374,141,510,306,63,369,1263,197,1465,2036,425,2462,12,5,14,121,70,192,156,51,209,71,18,96,53,20,71,9,10,21,10,4,17,435,174,614,38,42,79,210,93,309,16,19,32,310,472,784,479,1072,1553,5,7,9,1053,1710,2764,0,4,4,68,174,240,471,819,1290,536,997,1532,28,15,45,482,119,600,104,30,130,4,0,9,16,4,16,0,0
LGA51260,5,0,9,399,205,606,0,0,0,7,3,8,14,0,12,43,14,56,471,229,697,11,4,15,0,0,0,5,0,5,70,13,84,5,0,5,14,10,24,103,22,127,21,12,28,99,121,220,343,209,549,3,10,10,41,9,47,0,0,0,17,3,21,0,0,0,12,12,19,4,0,4,26,4,27,20,5,20,22,3,26,11,3,20,5,4,13,51,18,77,674,409,1087,4,0,4,50,8,59,0,0,0,54,18,70,30,5,38,131,32,163,44,14,52,308,88,397,66,14,77,743,152,902,1163,269,1432,5,3,3,50,36,80,43,18,62,8,3,5,8,18,24,6,19,26,6,0,4,119,94,215,17,36,53,102,41,141,17,37,52,319,445,763,290,730,1022,0,0,0,746,1282,2030,3,4,3,289,531,824,652,809,1462,949,1338,2288,15,10,25,155,52,212,4,0,4,0,0,0,8,0,17,13,6
LGA51310,0,0,0,9,18,22,0,0,0,0,0,0,14,7,18,0,0,0,25,22,48,15,4,19,3,0,3,3,0,3,44,8,44,0,0,0,42,18,60,109,23,130,3,3,3,38,55,95,4,9,14,6,12,11,0,0,0,0,0,0,13,10,20,0,0,0,75,45,117,5,0,5,3,0,3,0,0,0,4,3,5,26,8,32,22,8,30,0,3,5,204,148,351,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,8,3,6,18,6,20,187,69,252,9,10,14,244,32,270,454,108,561,0,4,3,13,30,44,11,8,22,0,0,0,10,15,26,0,12,11,0,0,4,45,67,114,3,18,20,0,0,0,7,4,12,279,293,566,109,238,344,0,5,7,405,554,957,0,3,4,11,14,27,489,561,1051,504,579,1081,6,0,6,5,3,11,0,0,0,0,0,0,5,0,5,0,0
LGA51330,13,0,11,130,76,201,0,4,4,8,3,10,25,4,32,30,10,41,199,103,298,498,96,593,77,48,120,76,20,93,726,195,919,21,10,29,838,198,1033,2228,557,2789,641,203,843,651,348,999,188,55,241,39,72,107,119,26,150,53,35,91,160,77,241,8,3,8,165,78,245,182,63,249,438,56,493,452,72,533,796,148,946,348,91,441,1087,215,1300,227,69,299,5574,1614,7184,16,0,17,78,12,89,33,12,49,177,45,225,244,87,332,549,155,704,243,48,292,691,177,865,838,212,1046,2265,418,2682,4034,856,4891,131,73,208,572,167,746,1445,449,1895,496,148,642,850,459,1314,209,151,361,22,16,41,3741,1462,5204,187,114,300,729,201,928,62,59,118,935,962,1892,1226,2313,3531,32,43,78,3163,3687,6857,5,7,12,38,35,71,1171,1500,2675,1220,1535,2754,205,60,265,1970,341,2309,83,41,127,36,10,49,323,124,450,13,6
