POW_LGA_CODE_2021,P_M1_Tram_or_LR_15_24,P_M1_Tram_or_LR_25_34,P_M1_Tram_or_LR_35_44,P_M1_Tram_or_LR_45_54,P_M1_Tram_or_LR_55_64,P_M1_Tram_or_LR_65_74,P_M1_Tram_or_LR_75ov,P_M1_Tram_or_LR_Tot,P_M1_Taxi_or_RSS_15_24,P_M1_Taxi_or_RSS_25_34,P_M1_Taxi_or_RSS_35_44,P_M1_Taxi_or_RSS_45_54,P_M1_Taxi_or_RSS_55_64,P_M1_Taxi_or_RSS_65_74,P_M1_Taxi_or_RSS_75ov,P_M1_Taxi_or_RSS_Tot,P_M1_CarAsDriv_15_24,P_M1_CarAsDriv_25_34,P_M1_CarAsDriv_35_44,P_M1_CarAsDriv_45_54,P_M1_CarAsDriv_55_64,P_M1_CarAsDriv_65_74,P_M1_CarAsDriv_75ov,P_M1_CarAsDriv_Tot,P_M1_CarAsPas_15_24,P_M1_CarAsPas_25_34,P_M1_CarAsPas_35_44,P_M1_CarAsPas_45_54,P_M1_CarAsPas_55_64,P_M1_CarAsPas_65_74,P_M1_CarAsPas_75ov,P_M1_CarAsPas_Tot,P_M1_Truck_15_24,P_M1_Truck_25_34,P_M1_Truck_35_44,P_M1_Truck_45_54,P_M1_Truck_55_64,P_M1_Truck_65_74,P_M1_Truck_75ov,P_M1_Truck_Tot,P_M1_MBikeScoot_15_24,P_M1_MBikeScoot_25_34,P_M1_MBikeScoot_35_44,P_M1_MBikeScoot_45_54,P_M1_MBikeScoot_55_64,P_M1_MBikeScoot_65_74,P_M1_MBikeScoot_75ov,P_M1_MBikeScoot_Tot,P_M1_Bicycle_15_24,P_M1_Bicycle_25_34,P_M1_Bicycle_35_44,P_M1_Bicycle_45_54,P_M1_Bicycle_55_64,P_M1_Bicycle_65_74,P_M1_Bicycle_75ov,P_M1_Bicycle_Tot,P_M1_Other_15_24,P_M1_Other_25_34,P_M1_Other_35_44,P_M1_Other_45_54,P_M1_Other_55_64,P_M1_Other_65_74,P_M1_Other_75ov,P_M1_Other_Tot,P_M1_WlkOnly_15_24,P_M1_WlkOnly_25_34,P_M1_WlkOnly_35_44,P_M1_WlkOnly_45_54,P_M1_WlkOnly_55_64,P_M1_WlkOnly_65_74,P_M1_WlkOnly_75ov,P_M1_WlkOnly_Tot,P_M1_Tot_M1_15_24,P_M1_Tot_M1_25_34,P_M1_Tot_M1_35_44,P_M1_Tot_M1_45_54,P_M1_Tot_M1_55_64,P_M1_Tot_M1_65_74,P_M1_Tot_M1_75ov,P_M1_Tot_M1_Tot,P_M2_TrnBus_15_24,P_M2_TrnBus_25_34,P_M2_TrnBus_35_44,P_M2_TrnBus_45_54,P_M2_TrnBus_55_64,P_M2_TrnBus_65_74,P_M2_TrnBus_75ov,P_M2_TrnBus_Tot,P_M2_TrnFer_15_24,P_M2_TrnFer_25_34,P_M2_TrnFer_35_44,P_M2_TrnFer_45_54,P_M2_TrnFer_55_64,P_M2_TrnFer_65_74,P_M2_TrnFer_75ov,P_M2_TrnFer_Tot,P_M2_TrnTrm_or_LR_15_24,P_M2_TrnTrm_or_LR_25_34,P_M2_TrnTrm_or_LR_35_44,P_M2_TrnTrm_or_LR_45_54,P_M2_TrnTrm_or_LR_55_64,P_M2_TrnTrm_or_LR_65_74,P_M2_TrnTrm_or_LR_75ov,P_M2_TrnTrm_or_LR_Tot,P_M2_TrnCarAsDriv_15_24,P_M2_TrnCarAsDriv_25_34,P_M2_TrnCarAsDriv_35_44,P_M2_TrnCarAsDriv_45_54,P_M2_TrnCarAsDriv_55_64,P_M2_TrnCarAsDriv_65_74,P_M2_TrnCarAsDriv_75ov,P_M2_TrnCarAsDriv_Tot,P_M2_TrnCarAsPas_15_24,P_M2_TrnCarAsPas_25_34,P_M2_TrnCarAsPas_35_44,P_M2_TrnCarAsPas_45_54,P_M2_TrnCarAsPas_55_64,P_M2_TrnCarAsPas_65_74,P_M2_TrnCarAsPas_75ov,P_M2_TrnCarAsPas_Tot,P_M2_TrnOth_15_24,P_M2_TrnOth_25_34,P_M2_TrnOth_35_44,P_M2_TrnOth_45_54,P_M2_TrnOth_55_64,P_M2_TrnOth_65_74,P_M2_TrnOth_75ov,P_M2_TrnOth_Tot,P_M2_Train_and_Tot_15_24,P_M2_Train_and_Tot_25_34,P_M2_Train_and_Tot_35_44,P_M2_Train_and_Tot_45_54,P_M2_Train_and_Tot_55_64,P_M2_Train_and_Tot_65_74,P_M2_Train_and_Tot_75ov,P_M2_Train_and_Tot_Tot,P_M2_BusFer_15_24,P_M2_BusFer_25_34,P_M2_BusFer_35_44,P_M2_BusFer_45_54,P_M2_BusFer_55_64,P_M2_BusFer_65_74,P_M2_BusFer_75ov,P_M2_BusFer_Tot,P_M2_BusTrm_or_LR_15_24,P_M2_BusTrm_or_LR_25_34,P_M2_BusTrm_or_LR_35_44,P_M2_BusTrm_or_LR_45_54,P_M2_BusTrm_or_LR_55_64,P_M2_BusTrm_or_LR_65_74,P_M2_BusTrm_or_LR_75ov,P_M2_BusTrm_or_LR_Tot,P_M2_BusCarAsDriv_15_24,P_M2_BusCarAsDriv_25_34,P_M2_BusCarAsDriv_35_44,P_M2_BusCarAsDriv_45_54,P_M2_BusCarAsDriv_55_64,P_M2_BusCarAsDriv_65_74,P_M2_BusCarAsDriv_75ov,P_M2_BusCarAsDriv_Tot,P_M2_BusCarAsPas_15_24,P_M2_BusCarAsPas_25_34,P_M2_BusCarAsPas_35_44,P_M2_BusCarAsPas_45_54,P_M2_BusCarAsPas_55_64,P_M2_BusCarAsPas_65_74,P_M2_BusCarAsPas_75ov,P_M2_BusCarAsPas_Tot,P_M2_BusOth_15_24,P_M2_BusOth_25_34,P_M2_BusOth_35_44,P_M2_BusOth_45_54,P_M2_BusOth_55_64,P_M2_BusOth_65_74,P_M2_BusOth_75ov,P_M2_BusOth_Tot,P_M2_BusTot_15_24,P_M2_BusTot_25_34,P_M2_BusTot_35_44,P_M2_BusTot_45_54,P_M2_BusTot_55_64,P_M2_BusTot_65_74,P_M2_BusTot_75ov,P_M2_BusTot_Tot,P_M2_Other_M2_15_24,P_M2_Other_M2_25_34,P_M2_Other_M2_35_44,P_M2_Other_M2_45_54,P_M2_Other_M2_55_64,P_M2_Other_M2_65_74,P_M2_Other_M2_75ov,P_M2_Other_M2_Tot,P_M2_Tot_M2_15_24,P_M2_Tot_M2_25_34,P_M2_Tot_M2_35_44,P_M2_Tot_M2_45_54,P_M2_Tot_M2_55_64,P_M2_Tot_M2_65_74,P_M2_Tot_M2_75ov,P_M2_Tot_M2_Tot
LGA50080,0,0,0,0,0,0,0,0,13,10,3,11,3,3,0,34,1438,2009,2312,2803,2391,610,57,11636,425,93,96,90,67,19,4,787,4,15,25,17,25,8,0,94,11,5,0,10,11,4,0,45,14,16,16,21,9,0,0,86,4,7,6,12,18,9,0,56,59,54,48,73,74,41,11,364,1987,2208,2512,3030,2614,694,77,13129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,4,0,3,0,4,0,0,15,23,18,19,13,10,3,0,89,25,21,25,12,12,8,0,107
LGA50210,0,0,0,0,0,0,0,4,29,17,13,4,3,0,0,64,2185,3460,3518,3021,2126,570,51,14935,560,165,111,83,94,37,3,1050,4,23,28,35,36,7,0,149,6,6,13,11,6,0,0,37,12,6,5,18,9,5,0,46,14,25,23,18,13,12,0,102,73,44,48,41,48,25,9,289,2953,3789,3799,3257,2363,657,65,16885,19,18,13,8,5,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,3,3,0,0,0,0,15,4,0,0,0,0,0,0,10,40,25,16,7,8,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,5,3,0,0,0,0,13,0,0,0,0,0,0,0,0,7,5,3,0,0,0,0,16,28,21,23,17,9,0,0,106,75,50,43,27,18,0,0,218
LGA50250,0,0,0,0,0,0,0,0,6,9,22,16,3,0,0,61,166,610,727,582,372,60,4,2521,86,218,177,178,90,7,3,749,10,28,29,14,25,0,0,110,4,3,5,5,4,0,0,16,10,28,19,12,3,3,0,78,139,490,481,452,276,50,0,1886,81,189,142,129,157,21,0,729,655,2179,2308,2119,1403,204,8,8877,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,3,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,13,5,0,0,35,4,3,7,4,0,0,0,17,15,37,51,40,17,0,0,169,25,53,71,53,20,0,0,222,30,94,79,61,41,0,0,302,53,153,154,116,67,7,0,539
LGA50280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,311,671,1027,949,723,201,16,3904,157,62,42,36,16,10,0,323,0,3,9,7,5,0,0,22,0,3,5,3,0,0,0,16,23,19,18,20,3,8,0,90,4,9,3,7,8,5,3,36,60,43,44,48,71,18,13,290,566,803,1145,1072,831,247,33,4697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,3,9,14,0,0,43,12,4,3,9,12,0,0,44
LGA50350,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,15,566,939,1154,1075,856,217,13,4824,131,54,25,38,27,4,4,279,0,0,14,15,8,3,0,39,4,0,0,8,6,3,0,22,3,3,9,6,3,0,0,31,0,11,5,6,11,0,0,32,19,0,11,20,9,10,0,65,746,1044,1250,1179,919,235,16,5388,15,14,9,7,12,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,20,13,13,6,9,3,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,12,4,6,0,0,29,23,20,20,17,17,3,0,98
LGA50420,0,0,0,0,0,0,0,0,30,27,19,8,8,0,0,95,2142,3254,3300,3191,2531,751,79,15245,484,200,120,105,84,35,8,1023,0,17,22,22,32,11,4,105,3,13,11,9,7,5,0,46,11,17,30,24,18,4,0,96,15,19,27,19,18,4,0,106,73,51,43,33,41,16,6,263,2956,3707,3632,3455,2777,838,98,17460,36,30,18,16,10,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,9,0,0,0,24,5,0,3,4,0,0,0,8,0,0,0,3,0,0,0,4,44,30,26,19,9,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,0,3,0,0,21,27,7,5,10,4,0,0,44,7,3,0,0,0,0,0,15,41,14,10,8,7,0,0,83,34,29,27,18,14,3,0,118,122,77,65,44,32,3,0,338
LGA50490,0,0,0,0,0,0,0,0,37,89,51,30,16,8,0,230,3556,8203,8569,7333,5126,1128,87,34000,558,365,267,210,139,31,5,1577,13,62,74,62,57,21,3,288,9,27,37,26,14,6,0,118,14,34,51,44,21,5,0,162,51,203,156,101,61,16,3,593,76,60,55,47,39,16,0,283,4491,9263,9422,7952,5535,1246,102,38009,51,34,30,21,13,7,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,8,0,0,30,3,0,0,0,0,0,0,7,0,4,0,0,0,0,0,9,57,46,37,30,20,8,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,8,0,0,0,29,22,16,3,5,0,0,0,47,4,14,3,3,0,0,0,27,25,37,18,15,0,0,0,104,47,87,66,53,39,5,0,300,131,174,121,93,63,15,0,599
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,41,54,54,58,31,6,259,6,3,6,0,3,0,0,13,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,5,7,0,8,5,5,6,10,6,3,0,34,23,47,59,70,75,43,6,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,249,320,356,230,41,4,1281,12,27,24,22,18,5,0,104,0,4,3,4,0,0,0,12,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,4,5,3,5,12,7,0,0,31,15,12,11,5,13,5,0,56,120,313,416,450,309,55,6,1666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,9,8,5,0,35,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,7,8,9,8,5,0,38,0,4,4,5,0,0,0,14,0,11,15,16,8,5,0,55
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,41,56,82,62,16,5,304,10,0,3,0,0,0,0,14,0,0,0,0,7,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,6,8,0,6,9,5,4,3,38,55,44,62,98,79,26,12,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,4
