POW_LGA_CODE_2021,Tot_800_999_H_0,Tot_800_999_H_1_19,Tot_800_999_H_20_29,Tot_800_999_H_30_34,Tot_800_999_H_35_39,Tot_800_999_H_40_44,Tot_800_999_H_45_49,Tot_800_999_H_50ov,Tot_800_999_H_NS,Tot_800_999_H_Tot,Tot_1000_1249_H_0,Tot_1000_1249_H_1_19,Tot_1000_1249_H_20_29,Tot_1000_1249_H_30_34,Tot_1000_1249_H_35_39,Tot_1000_1249_H_40_44,Tot_1000_1249_H_45_49,Tot_1000_1249_H_50ov,Tot_1000_1249_H_NS,Tot_1000_1249_H_Tot,Tot_1250_1499_H_0,Tot_1250_1499_H_1_19,Tot_1250_1499_H_20_29,Tot_1250_1499_H_30_34,Tot_1250_1499_H_35_39,Tot_1250_1499_H_40_44,Tot_1250_1499_H_45_49,Tot_1250_1499_H_50ov,Tot_1250_1499_H_NS,Tot_1250_1499_H_Tot,Tot_1500_1749_H_0,Tot_1500_1749_H_1_19,Tot_1500_1749_H_20_29,Tot_1500_1749_H_30_34,Tot_1500_1749_H_35_39,Tot_1500_1749_H_40_44,Tot_1500_1749_H_45_49,Tot_1500_1749_H_50ov,Tot_1500_1749_H_NS,Tot_1500_1749_H_Tot,Tot_1750_1999_H_0,Tot_1750_1999_H_1_19,Tot_1750_1999_H_20_29,Tot_1750_1999_H_30_34,Tot_1750_1999_H_35_39,Tot_1750_1999_H_40_44,Tot_1750_1999_H_45_49,Tot_1750_1999_H_50ov,Tot_1750_1999_H_NS,Tot_1750_1999_H_Tot,Tot_2000_2999_H_0,Tot_2000_2999_H_1_19,Tot_2000_2999_H_20_29,Tot_2000_2999_H_30_34,Tot_2000_2999_H_35_39,Tot_2000_2999_H_40_44,Tot_2000_2999_H_45_49,Tot_2000_2999_H_50ov,Tot_2000_2999_H_NS,Tot_2000_2999_H_Tot,Tot_3000_3499_H_0,Tot_3000_3499_H_1_19,Tot_3000_3499_H_20_29,Tot_3000_3499_H_30_34,Tot_3000_3499_H_35_39,Tot_3000_3499_H_40_44,Tot_3000_3499_H_45_49,Tot_3000_3499_H_50ov,Tot_3000_3499_H_NS,Tot_3000_3499_H_Tot,Tot_3500mo_H_0,Tot_3500mo_H_1_19,Tot_3500mo_H_20_29,Tot_3500mo_H_30_34,Tot_3500mo_H_35_39,Tot_3500mo_H_40_44,Tot_3500mo_H_45_49,Tot_3500mo_H_50ov,Tot_3500mo_H_NS,Tot_3500mo_H_Tot,Tot_PINS_H_0,Tot_PINS_H_1_19,Tot_PINS_H_20_29,Tot_PINS_H_30_34,Tot_PINS_H_35_39,Tot_PINS_H_40_44,Tot_PINS_H_45_49,Tot_PINS_H_50ov,Tot_PINS_H_NS,Tot_PINS_H_Tot,Tot_Tot_H_0,Tot_Tot_H_1_19,Tot_Tot_H_20_29,Tot_Tot_H_30_34,Tot_Tot_H_35_39,Tot_Tot_H_40_44,Tot_Tot_H_45_49,Tot_Tot_H_50ov,Tot_Tot_H_NS,Tot_Tot_H_Tot
LGA50080,81,182,329,321,538,326,81,129,33,2021,96,127,238,254,652,559,171,230,36,2360,89,66,127,154,422,422,130,225,14,1634,73,56,87,126,321,367,159,253,14,1466,68,35,32,52,201,291,101,197,14,979,76,51,50,70,221,400,186,357,10,1426,11,7,7,5,26,49,20,80,4,205,13,26,14,23,32,84,45,127,9,364,11,20,10,11,8,11,3,20,46,136,818,2773,2176,1562,2900,2866,1010,1859,270,16248
LGA50210,95,236,395,387,745,420,96,143,33,2551,79,132,274,330,852,657,154,243,40,2767,83,69,166,214,592,542,194,269,19,2145,83,47,105,155,405,523,184,356,24,1883,60,29,47,81,271,430,143,304,10,1373,91,44,51,70,314,531,246,524,23,1902,10,9,6,20,35,70,31,109,5,300,5,15,27,29,42,121,32,165,0,441,3,25,12,10,27,29,4,9,79,203,844,3885,2983,2045,3869,3736,1162,2303,365,21189
LGA50250,19,21,17,35,45,41,11,84,8,289,63,16,23,25,68,69,36,232,11,541,91,25,19,21,42,114,38,424,20,801,121,39,27,25,46,98,63,617,16,1044,150,21,23,17,44,83,61,735,35,1176,643,120,130,29,161,207,327,3155,85,4855,241,47,43,10,45,82,174,1369,20,2033,322,50,51,16,44,90,163,1430,28,2208,18,4,8,0,4,6,6,59,50,146,1726,556,449,224,539,826,895,8193,322,13727
LGA50280,44,96,154,143,177,138,35,70,9,857,48,59,113,106,215,255,56,98,12,963,35,39,54,55,129,147,46,88,4,600,33,26,44,42,89,133,39,79,3,492,12,12,22,24,41,91,32,67,3,309,19,30,24,20,46,93,54,129,0,420,3,6,7,6,9,14,5,22,0,74,10,7,6,13,11,28,7,49,8,129,0,7,4,6,8,10,0,13,11,56,367,1275,1017,662,901,1077,333,747,102,6483
LGA50350,15,53,101,80,308,207,39,49,11,864,25,49,72,86,302,265,80,115,12,1013,20,19,35,55,221,230,79,121,7,785,10,17,26,30,126,185,82,120,7,609,16,11,11,7,89,112,61,119,0,423,12,15,24,29,109,175,122,243,0,721,4,0,3,3,13,16,25,57,0,124,4,6,6,3,9,27,16,69,3,147,6,0,6,3,9,11,3,3,20,63,157,771,689,464,1399,1365,528,946,99,6420
LGA50420,65,230,393,396,815,485,83,158,50,2670,91,171,271,295,877,702,193,272,31,2903,68,100,155,161,640,597,198,298,32,2253,50,60,83,132,415,528,168,320,8,1771,42,38,65,69,241,369,139,273,7,1237,85,54,62,85,235,501,255,522,12,1817,11,13,19,20,32,86,51,129,4,363,12,29,36,37,40,88,64,200,5,519,9,24,14,17,16,31,5,19,90,214,703,4078,3088,1875,3978,3825,1266,2423,355,21593
LGA50490,161,330,658,610,1425,910,192,206,77,4569,222,255,457,500,2078,1783,448,507,87,6342,221,152,219,307,1522,1660,529,703,41,5363,188,102,144,176,1143,1466,560,874,40,4699,179,79,87,103,713,1063,441,842,28,3535,412,154,176,180,1111,2094,860,2197,69,7250,120,54,23,51,230,544,243,702,18,1983,167,102,92,79,233,682,315,1203,18,2887,15,29,13,16,37,57,17,52,190,419,2146,4594,4332,2791,9330,10823,3698,7493,780,45984
LGA50560,4,0,18,9,11,9,4,7,3,63,3,4,6,3,11,14,6,12,0,61,0,0,0,3,12,8,3,13,3,52,4,4,0,4,6,10,0,7,0,33,0,0,0,0,0,3,0,6,0,15,0,8,0,5,0,11,4,18,0,44,0,0,3,0,0,4,0,3,0,8,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,8,8,31,67,75,33,50,87,21,105,14,490
LGA50630,13,9,15,10,22,12,8,8,3,87,12,8,14,4,14,21,8,36,7,120,25,4,6,4,4,15,15,54,10,129,16,12,11,9,14,24,19,104,4,201,26,13,12,6,17,42,38,171,7,325,124,20,21,3,43,102,58,522,11,902,21,3,12,0,8,20,30,120,0,220,18,5,5,0,5,35,15,92,4,176,8,0,0,0,3,4,0,13,16,36,272,116,128,43,141,296,204,1144,66,2411
LGA50770,3,4,9,10,9,24,7,23,0,87,9,9,5,10,9,19,9,26,0,97,5,0,3,3,5,18,0,19,0,53,3,3,0,4,4,14,0,18,0,48,3,0,3,0,3,17,6,23,0,57,0,3,0,4,0,14,0,14,0,37,0,0,0,0,0,3,0,4,0,10,0,4,0,0,0,3,0,8,3,21,0,0,0,0,0,0,0,3,5,8,29,96,68,56,41,136,41,190,11,666
LGA50840,8,17,39,27,63,44,14,24,6,252,12,13,20,20,55,53,11,48,5,236,8,8,18,9,34,38,10,65,5,196,16,9,14,4,20,41,15,74,0,203,7,3,9,0,15,33,15,74,3,164,22,10,4,8,19,73,23,151,6,317,3,0,0,0,5,8,9,43,0,63,5,0,0,3,0,9,9,48,3,73,0,4,0,0,0,5,0,5,4,17,119,306,265,130,268,346,119,582,57,2199
LGA50910,3,0,4,4,15,9,3,5,0,43,3,4,3,6,4,13,3,23,4,59,0,7,3,3,9,8,3,4,0,30,0,4,7,0,3,11,8,12,0,46,0,0,0,0,0,9,4,8,0,24,4,0,0,0,0,6,0,21,0,43,0,0,0,0,0,0,0,3,0,12,0,5,0,0,0,5,0,4,0,11,0,0,0,0,0,0,0,3,0,5,18,56,54,33,39,69,29,111,11,421
