POW_LGA_CODE_2021,NS_ArtsR_Bf_91,NS_ArtsR_91_95,NS_ArtsR_96_00,NS_ArtsR_01_05,NS_ArtsR_06_10,NS_ArtsR_11_15,NS_ArtsR_16_20,NS_ArtsR_2021,NS_ArtsR_NS,NS_ArtsR_Tot,NS_OthSvs_Bf_91,NS_OthSvs_91_95,NS_OthSvs_96_00,NS_OthSvs_01_05,NS_OthSvs_06_10,NS_OthSvs_11_15,NS_OthSvs_16_20,NS_OthSvs_2021,NS_OthSvs_NS,NS_OthSvs_Tot,NS_IDNS_Bf_91,NS_IDNS_91_95,NS_IDNS_96_00,NS_IDNS_01_05,NS_IDNS_06_10,NS_IDNS_11_15,NS_IDNS_16_20,NS_IDNS_2021,NS_IDNS_NS,NS_IDNS_Tot,NS_Tot_Bf_91,NS_Tot_91_95,NS_Tot_96_00,NS_Tot_01_05,NS_Tot_06_10,NS_Tot_11_15,NS_Tot_16_20,NS_Tot_2021,NS_Tot_NS,NS_Tot_Tot,Tot_AGFF_Bf_91,Tot_AGFF_91_95,Tot_AGFF_96_00,Tot_AGFF_01_05,Tot_AGFF_06_10,Tot_AGFF_11_15,Tot_AGFF_16_20,Tot_AGFF_2021,Tot_AGFF_NS,Tot_AGFF_Tot,Tot_Min_Bf_91,Tot_Min_91_95,Tot_Min_96_00,Tot_Min_01_05,Tot_Min_06_10,Tot_Min_11_15,Tot_Min_16_20,Tot_Min_2021,Tot_Min_NS,Tot_Min_Tot,Tot_Mnf_Bf_91,Tot_Mnf_91_95,Tot_Mnf_96_00,Tot_Mnf_01_05,Tot_Mnf_06_10,Tot_Mnf_11_15,Tot_Mnf_16_20,Tot_Mnf_2021,Tot_Mnf_NS,Tot_Mnf_Tot,Tot_EGWWS_Bf_91,Tot_EGWWS_91_95,Tot_EGWWS_96_00,Tot_EGWWS_01_05,Tot_EGWWS_06_10,Tot_EGWWS_11_15,Tot_EGWWS_16_20,Tot_EGWWS_2021,Tot_EGWWS_NS,Tot_EGWWS_Tot,Tot_Const_Bf_91,Tot_Const_91_95,Tot_Const_96_00,Tot_Const_01_05,Tot_Const_06_10,Tot_Const_11_15,Tot_Const_16_20,Tot_Const_2021,Tot_Const_NS,Tot_Const_Tot,Tot_WST_Bf_91,Tot_WST_91_95,Tot_WST_96_00,Tot_WST_01_05,Tot_WST_06_10,Tot_WST_11_15,Tot_WST_16_20,Tot_WST_2021,Tot_WST_NS,Tot_WST_Tot,Tot_RetT_Bf_91,Tot_RetT_91_95,Tot_RetT_96_00,Tot_RetT_01_05,Tot_RetT_06_10,Tot_RetT_11_15,Tot_RetT_16_20,Tot_RetT_2021,Tot_RetT_NS,Tot_RetT_Tot,Tot_AcFd_Bf_91,Tot_AcFd_91_95,Tot_AcFd_96_00,Tot_AcFd_01_05,Tot_AcFd_06_10,Tot_AcFd_11_15,Tot_AcFd_16_20,Tot_AcFd_2021,Tot_AcFd_NS,Tot_AcFd_Tot,Tot_TPW_Bf_91,Tot_TPW_91_95,Tot_TPW_96_00,Tot_TPW_01_05,Tot_TPW_06_10,Tot_TPW_11_15,Tot_TPW_16_20,Tot_TPW_2021,Tot_TPW_NS,Tot_TPW_Tot,Tot_IMT_Bf_91,Tot_IMT_91_95,Tot_IMT_96_00,Tot_IMT_01_05,Tot_IMT_06_10,Tot_IMT_11_15,Tot_IMT_16_20,Tot_IMT_2021,Tot_IMT_NS,Tot_IMT_Tot,Tot_FinIns_Bf_91,Tot_FinIns_91_95,Tot_FinIns_96_00,Tot_FinIns_01_05,Tot_FinIns_06_10,Tot_FinIns_11_15,Tot_FinIns_16_20,Tot_FinIns_2021,Tot_FinIns_NS,Tot_FinIns_Tot,Tot_RHRE_Bf_91,Tot_RHRE_91_95,Tot_RHRE_96_00,Tot_RHRE_01_05,Tot_RHRE_06_10,Tot_RHRE_11_15,Tot_RHRE_16_20,Tot_RHRE_2021,Tot_RHRE_NS,Tot_RHRE_Tot,Tot_ProSTS_Bf_91,Tot_ProSTS_91_95,Tot_ProSTS_96_00,Tot_ProSTS_01_05,Tot_ProSTS_06_10,Tot_ProSTS_11_15,Tot_ProSTS_16_20,Tot_ProSTS_2021,Tot_ProSTS_NS,Tot_ProSTS_Tot,Tot_AdSup_Bf_91,Tot_AdSup_91_95,Tot_AdSup_96_00,Tot_AdSup_01_05,Tot_AdSup_06_10,Tot_AdSup_11_15,Tot_AdSup_16_20,Tot_AdSup_2021,Tot_AdSup_NS,Tot_AdSup_Tot,Tot_PubAS_Bf_91,Tot_PubAS_91_95,Tot_PubAS_96_00,Tot_PubAS_01_05,Tot_PubAS_06_10,Tot_PubAS_11_15,Tot_PubAS_16_20,Tot_PubAS_2021,Tot_PubAS_NS,Tot_PubAS_Tot,Tot_EdTrn_Bf_91,Tot_EdTrn_91_95,Tot_EdTrn_96_00,Tot_EdTrn_01_05,Tot_EdTrn_06_10,Tot_EdTrn_11_15,Tot_EdTrn_16_20,Tot_EdTrn_2021,Tot_EdTrn_NS,Tot_EdTrn_Tot
LGA50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,80,3,9,17,21,3,17,0,6,162,4,0,0,0,0,0,0,0,0,5,35,4,3,12,23,9,12,0,0,104,9,0,5,4,3,7,0,0,0,29,110,9,13,18,26,19,13,0,3,209,18,5,4,0,3,3,0,0,0,45,143,13,17,17,52,30,25,0,4,318,57,9,11,23,82,86,67,3,4,349,48,3,4,9,6,12,0,0,3,88,6,0,0,0,5,0,3,0,0,22,18,0,6,3,12,0,4,0,0,35,18,3,5,0,8,0,3,0,0,37,67,10,17,13,28,8,9,0,5,149,26,0,3,0,11,16,15,0,0,71,123,15,10,24,39,21,4,0,5,241,175,19,24,31,38,35,22,0,10,349
LGA50210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,13,36,5,4,6,14,15,25,0,0,112,19,8,3,9,21,17,11,0,7,91,102,22,19,29,69,56,34,0,0,333,29,0,3,8,5,8,0,0,0,51,153,24,43,56,141,132,46,0,5,595,48,12,13,24,52,40,9,0,0,194,222,38,47,111,205,126,94,0,7,845,53,16,24,58,202,134,94,4,10,598,99,16,21,33,126,86,54,0,6,444,13,0,3,8,17,11,4,0,0,56,27,6,8,8,19,14,9,0,0,76,38,4,9,5,13,6,0,0,0,71,70,11,19,29,47,56,18,0,4,250,64,15,16,17,68,46,47,0,5,269,133,27,23,42,70,70,15,0,0,383,356,62,96,139,214,166,67,0,8,1104
LGA50250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,3,0,0,4,21,0,3,0,5,0,3,8,0,0,20,636,118,187,252,557,431,159,5,50,2395,12,0,5,0,9,13,5,0,0,46,6,4,0,6,7,9,4,0,0,41,138,33,48,60,165,140,48,0,4,639,21,3,5,3,11,9,4,0,4,57,5,0,0,4,10,11,6,0,0,37,62,19,19,36,79,82,84,0,0,385,29,6,16,7,15,18,7,4,0,103,0,0,0,0,0,6,0,0,0,9,0,0,0,4,0,0,0,0,0,8,12,4,0,0,23,27,19,0,0,83,19,9,3,8,24,19,9,0,0,89,34,8,12,16,20,31,28,0,0,138,15,3,3,7,11,13,3,0,0,62,16,3,4,10,11,10,7,0,0,60
LGA50280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,9,52,10,11,10,12,18,50,0,49,211,0,0,0,0,3,3,0,0,0,8,37,14,11,25,46,38,54,0,3,224,3,0,0,0,0,0,0,0,0,8,29,5,15,18,15,11,5,0,4,101,4,0,5,0,4,0,5,0,0,23,57,11,9,20,24,32,14,0,5,178,66,10,20,26,49,81,64,0,4,323,17,0,3,0,4,0,3,0,0,36,6,0,0,0,0,3,0,0,0,10,8,0,4,4,0,0,0,0,0,18,12,7,0,3,3,0,5,0,0,33,30,4,12,10,19,6,6,0,0,88,22,5,6,4,12,16,7,0,8,75,24,0,3,10,7,6,0,0,0,53,60,9,15,15,22,9,5,0,0,141
LGA50350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,8,12,23,7,3,0,0,65,182,46,38,79,194,153,46,4,8,744,4,0,0,3,7,0,0,0,0,23,57,13,20,29,62,58,25,0,0,270,46,12,14,22,41,40,13,0,0,182,39,0,7,15,26,17,20,0,0,127,17,11,10,15,36,25,22,0,4,135,28,12,20,16,15,17,18,0,0,118,4,4,0,0,0,0,0,0,0,15,3,0,0,4,0,3,0,0,0,13,15,3,10,7,7,9,4,0,0,55,39,3,12,14,19,10,7,0,0,95,14,5,3,0,11,11,8,0,0,56,18,5,4,3,15,20,3,0,0,67,56,16,14,12,19,14,0,0,0,129
LGA50420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,4,4,11,8,0,0,34,25,11,11,16,34,30,17,0,4,152,186,53,49,81,127,134,93,0,9,723,24,3,0,8,12,9,3,0,0,67,164,40,47,60,147,155,60,0,5,676,53,12,14,7,37,44,16,0,3,184,278,66,83,111,218,189,162,0,11,1122,108,31,43,60,200,207,228,0,19,908,90,24,22,22,68,57,48,0,6,340,9,6,3,9,10,14,6,0,0,62,34,8,15,10,20,20,7,0,0,114,39,5,10,5,16,12,8,0,0,94,124,26,48,41,66,67,52,0,4,430,74,17,8,21,41,63,48,0,5,278,150,22,21,22,64,48,18,0,5,346,243,35,56,68,102,73,37,0,5,632
LGA50490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,4,4,0,0,4,22,11,0,0,10,12,8,8,0,0,49,364,102,144,253,459,351,168,5,20,1865,236,63,71,109,262,223,109,0,4,1085,44,3,6,17,64,38,11,0,0,181,288,59,79,130,321,317,124,3,18,1331,235,72,68,113,281,250,125,9,7,1158,358,88,121,231,514,406,313,0,20,2056,132,48,50,87,272,302,259,0,11,1162,948,222,313,415,1016,722,526,11,45,4219,33,3,19,13,29,37,29,0,0,165,51,7,7,18,29,35,15,0,3,152,66,16,17,24,69,52,29,0,0,279,197,60,71,127,263,234,148,0,17,1108,139,46,49,87,151,169,164,0,12,823,282,56,72,88,177,148,84,0,0,909,128,42,56,61,112,86,49,0,4,530
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,6,0,3,0,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,8,0,0,0,0,0,0,0,0,9
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,6,117,22,32,34,82,63,12,0,9,368,15,3,9,11,14,5,0,0,0,55,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,4,4,0,0,29,5,0,5,0,10,5,0,0,0,17,0,0,0,0,0,0,0,0,0,4,3,0,4,4,7,4,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,8,0,0,0,0,0,0,0,0,12,4,0,0,0,0,3,0,0,0,9,9,0,0,0,0,0,0,0,0,16
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,6,3,9,0,0,0,4,40,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,7
