POW_LGA_CODE_2021,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
LGA50080,40,103,23,12,170,8635,6516,818,270,16248
LGA50210,33,68,4,3,103,11076,8914,844,365,21189
LGA50250,9,8,0,0,20,10453,1233,1726,322,13727
LGA50280,24,44,5,8,77,3057,2954,367,102,6483
LGA50350,3,19,5,0,25,4241,1922,157,99,6420
LGA50420,29,107,4,4,144,11490,9048,703,355,21593
LGA50490,42,87,12,8,154,31339,11715,2146,780,45984
LGA50560,5,9,3,0,18,260,177,31,14,490
LGA50630,5,12,3,0,14,1782,292,272,66,2411
LGA50770,21,18,0,0,44,403,214,29,11,666
LGA50840,18,13,4,0,35,1323,705,119,57,2199
LGA50910,8,3,0,0,8,255,141,18,11,421
LGA50980,9,17,0,0,29,5351,2071,382,191,7995
LGA51080,3,6,0,0,8,246,83,23,3,361
LGA51120,5,0,0,0,6,304,103,19,8,432
LGA51190,19,71,7,7,100,14594,8743,1221,376,24932
LGA51260,34,76,13,6,128,7788,7124,797,242,15954
LGA51310,27,96,5,5,131,6871,6415,550,161,13993
LGA51330,61,177,17,16,273,39627,18607,1850,1005,61088
LGA51400,10,17,0,0,30,1718,1320,144,63,3240
LGA51470,6,0,0,0,5,201,67,17,5,287
LGA51540,6,10,0,3,18,1611,618,113,71,2420
LGA51610,8,6,0,0,12,213,93,13,0,323
LGA51680,16,17,5,0,38,920,515,73,39,1549
LGA51710,0,0,0,0,0,620,179,32,28,854
LGA51750,24,62,5,4,94,3030,3516,216,75,6847
LGA51820,57,121,6,6,192,32006,15639,1651,743,50040
LGA51860,0,0,0,0,0,153,75,5,0,230
LGA51890,16,8,0,3,29,3171,1204,289,115,4774
LGA51960,5,0,0,0,4,1836,319,165,69,2385
LGA52030,6,7,0,0,18,217,125,16,0,361
LGA52100,0,3,0,0,5,360,131,25,7,526
LGA52170,9,34,6,4,46,1357,1537,89,42,3021
LGA52240,9,3,0,3,18,361,145,24,17,548
LGA52310,6,3,0,0,11,169,60,6,7,237
LGA52380,0,0,0,0,0,341,45,42,13,444
LGA52450,7,3,0,0,9,372,161,25,3,564
LGA52520,4,10,0,0,19,501,193,18,13,726
LGA52590,8,26,3,0,34,1030,522,101,37,1686
LGA52660,12,25,4,9,46,1849,1627,167,53,3698
LGA52730,13,28,3,0,50,911,971,111,51,2037
LGA52800,4,6,0,0,13,1836,477,143,79,2529
LGA52870,19,25,4,0,46,978,757,79,39,1851
LGA52940,3,4,0,0,12,192,96,3,13,305
LGA53010,0,3,0,5,3,196,77,18,7,300
LGA53080,0,0,0,0,8,456,89,49,26,618
LGA53150,0,16,0,0,20,1033,1024,70,30,2159
LGA53220,11,4,5,6,21,13557,1416,2001,401,17368
LGA53290,35,32,7,5,75,3753,1904,354,134,6141
LGA53360,5,4,0,0,4,1064,527,93,48,1727
LGA53430,43,124,5,4,180,15508,10535,1163,365,27577
LGA53570,12,25,4,4,51,1307,711,100,56,2171
LGA53640,0,8,0,0,12,428,162,25,7,627
LGA53710,3,5,0,0,8,194,130,13,6,338
LGA53780,23,109,4,9,145,15700,10497,972,484,27649
LGA53800,23,74,4,8,116,9956,5987,783,255,16975
LGA53920,0,0,3,0,5,781,211,83,49,1124
LGA53990,16,37,3,0,67,4912,2648,329,132,8017
LGA54060,9,16,0,4,31,541,429,55,35,1062
LGA54130,0,4,0,0,9,372,159,28,8,566
LGA54170,30,175,13,4,223,22321,24772,1830,651,49576
LGA54200,32,77,0,7,118,9680,5902,531,274,16385
LGA54280,21,22,3,0,52,11520,3380,789,321,16013
LGA54310,0,10,0,0,11,10215,2492,1162,230,14098
LGA54340,10,11,4,0,25,1093,593,91,44,1820
LGA54410,0,5,0,0,10,243,138,17,9,411
LGA54480,4,3,0,0,5,188,52,14,8,267
LGA54550,11,9,3,0,19,572,293,52,29,945
LGA54620,13,10,0,4,21,525,143,45,22,727
LGA54690,0,0,0,4,4,132,52,4,4,190
LGA54760,6,8,0,0,15,262,99,24,9,394
LGA54830,12,26,3,6,43,12314,4172,757,293,17533
LGA54900,13,5,0,3,27,541,205,42,14,796
LGA54970,0,0,0,0,4,2519,231,378,77,3209
LGA55040,5,0,0,0,6,2452,278,314,78,3130
LGA55110,19,98,7,10,136,11019,12129,1033,432,24614
LGA55180,25,43,0,6,71,2375,1581,219,87,4260
LGA55250,3,5,0,0,7,1215,145,147,39,1547
LGA55320,41,204,13,10,274,23234,19229,1935,608,44999
LGA55390,3,0,0,0,3,847,93,105,25,1075
LGA55460,5,7,0,6,17,887,449,74,30,1439
LGA55530,0,0,0,0,0,168,47,7,3,227
LGA55600,7,18,5,3,31,688,336,38,19,1083
LGA55670,9,0,0,0,9,225,80,15,15,333
LGA55740,8,26,0,0,31,1277,1348,94,38,2755
LGA55810,0,0,0,0,0,517,47,69,28,661
LGA55880,5,0,0,0,8,175,50,9,6,237
LGA55950,4,7,0,0,13,163,58,10,10,242
LGA56090,23,71,8,0,96,5043,3788,347,137,9324
LGA56160,0,0,0,0,0,53,9,6,0,65
LGA56230,12,34,0,5,54,3923,1946,287,106,6257
LGA56300,9,10,0,6,15,256,212,27,10,500
LGA56370,4,0,0,3,14,286,89,12,10,399
LGA56460,7,16,0,0,27,1354,822,104,43,2322
LGA56580,28,95,6,0,134,7459,5312,532,180,13482
LGA56620,0,0,0,0,0,169,37,19,8,233
LGA56730,12,17,0,0,36,2974,1549,215,94,4828
LGA56790,15,17,0,0,32,613,424,69,23,1126
LGA56860,0,0,0,0,0,45,22,6,0,65
LGA56930,0,11,0,0,10,513,486,31,14,1045
LGA57000,9,0,0,0,12,634,85,94,11,826
LGA57080,131,276,26,46,477,120976,38926,8258,2110,170275
LGA57140,4,13,0,0,15,191,132,17,3,347
LGA57210,13,31,4,7,53,1300,685,103,52,2143
LGA57280,3,0,0,0,11,7581,1596,958,267,10399
LGA57350,5,4,0,0,13,175,102,13,3,302
LGA57420,11,9,0,0,18,1191,293,115,47,1650
LGA57490,19,84,5,8,118,18233,14505,1514,576,34820
LGA57630,0,3,0,0,3,39,14,3,0,63
LGA57700,13,38,0,0,55,3349,2639,264,140,6392
LGA57770,5,0,0,0,9,341,124,11,17,495
LGA57840,23,86,4,7,122,7276,6121,522,188,14107
LGA57910,102,384,25,23,535,47196,31742,2834,1264,83038
LGA57980,40,93,6,4,142,11675,6994,706,250,19630
LGA58050,108,223,14,8,353,38791,21752,2248,1059,63848
LGA58190,0,4,0,0,4,91,43,10,3,146
LGA58260,5,6,0,0,11,189,63,14,4,271
LGA58330,12,6,0,0,26,453,358,29,20,871
LGA58400,0,3,0,0,3,71,33,10,3,128
LGA58470,0,0,0,0,0,52,13,0,0,67
LGA58510,31,83,5,11,131,17487,11503,1113,454,30553
LGA58540,8,10,0,0,20,275,126,22,8,428
LGA58570,38,77,11,3,133,14547,8642,824,316,24327
LGA58610,4,6,0,0,11,343,219,50,12,626
LGA58680,8,0,0,0,9,110,49,7,3,171
