POW_LGA_CODE_2021,Tot_65_69_HW_0,Tot_65_69_HW_1_19,Tot_65_69_HW_20_29,Tot_65_69_HW_30_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40_44,Tot_65_69_HW_45_49,Tot_65_69_HW_50mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_19,Tot_70_74_HW_20_29,Tot_70_74_HW_30_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40_44,Tot_70_74_HW_45_49,Tot_70_74_HW_50mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_19,Tot_75ov_HW_20_29,Tot_75ov_HW_30_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40_44,Tot_75ov_HW_45_49,Tot_75ov_HW_50mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_19,Tot_Tot_HW_20_29,Tot_Tot_HW_30_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40_44,Tot_Tot_HW_45_49,Tot_Tot_HW_50mor,Tot_Tot_HW_NS,Tot_Tot_Tot
LGA53150,4,23,15,8,3,13,6,15,3,90,0,19,3,5,0,6,0,0,0,35,0,10,0,6,0,0,0,0,0,20,70,494,317,218,345,362,94,231,30,2159
LGA53220,56,10,10,5,15,15,13,200,9,334,3,10,0,4,3,0,0,36,7,66,5,0,0,0,0,6,3,8,6,21,2001,659,528,230,797,829,1249,10679,401,17368
LGA53290,22,51,42,9,25,31,15,49,4,258,3,21,13,12,3,10,0,20,0,89,7,17,8,3,0,9,3,20,5,75,354,825,645,435,855,1210,429,1253,134,6141
LGA53360,6,3,6,3,3,9,5,7,0,45,0,3,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,4,93,207,178,135,267,374,109,314,48,1727
LGA53430,54,263,188,75,141,130,42,91,10,994,24,160,83,39,44,36,11,26,5,412,5,78,39,14,11,10,3,14,4,180,1163,4463,3679,2393,5381,5377,1682,3081,365,27577
LGA53570,5,26,18,3,8,22,3,12,0,105,4,12,10,9,4,3,4,13,8,61,4,10,6,5,0,12,0,0,4,51,100,295,266,143,299,423,156,426,56,2171
LGA53640,0,10,0,3,3,10,3,16,0,47,0,3,0,0,5,3,0,8,0,17,0,8,0,0,0,0,0,4,0,12,25,86,45,31,50,113,52,213,7,627
LGA53710,0,5,10,4,0,10,6,4,0,34,0,0,3,3,0,0,0,5,0,13,0,0,6,0,0,0,0,3,0,8,13,51,54,23,29,61,23,83,6,338
LGA53780,52,208,159,78,145,152,49,104,12,952,19,117,59,24,36,38,17,23,5,343,4,71,28,9,0,8,0,8,9,145,972,4551,3747,2202,5379,5303,1661,3354,484,27649
LGA53800,50,119,114,63,69,96,35,108,3,658,8,84,39,16,24,31,4,18,5,228,4,43,22,5,3,9,0,9,8,116,783,2484,2010,1489,2986,3126,1142,2696,255,16975
LGA53920,3,4,4,0,3,3,0,11,0,36,0,0,3,0,3,7,0,5,3,18,3,0,0,0,0,0,0,0,0,5,83,73,77,61,170,164,67,374,49,1124
LGA53990,17,70,29,33,22,40,14,59,10,283,9,40,11,13,9,14,3,12,7,109,3,23,10,8,4,10,0,10,0,67,329,1188,881,579,1156,1487,508,1755,132,8017
LGA54060,9,21,7,4,4,4,5,11,0,65,3,4,6,4,0,4,0,5,5,24,0,9,4,0,0,4,0,4,4,31,55,210,140,78,131,173,58,178,35,1062
LGA54130,3,11,0,4,4,5,6,4,0,35,0,3,0,0,0,0,0,4,3,16,0,0,0,0,0,0,0,0,0,9,28,70,46,47,41,123,37,170,8,566
LGA54170,84,518,327,154,196,185,43,127,19,1650,31,297,126,60,39,63,17,26,4,664,13,130,39,11,6,7,3,9,4,223,1830,11594,8335,4841,8751,7586,2032,3949,651,49576
LGA54200,30,157,101,41,90,96,37,63,17,638,5,106,38,18,17,23,15,31,7,265,0,57,16,9,5,11,0,8,7,118,531,2707,1950,1249,2776,3181,1242,2475,274,16385
LGA54280,21,61,58,27,72,78,32,116,7,467,6,33,18,10,16,21,12,26,3,141,3,15,3,0,0,7,0,10,0,52,789,1376,1233,768,2085,2695,1435,5305,321,16013
LGA54310,27,22,6,10,28,43,26,96,6,260,7,10,0,5,4,11,6,23,0,68,0,4,5,0,0,0,0,0,0,11,1162,1085,788,615,1537,2236,1269,5169,230,14098
LGA54340,6,30,18,6,14,16,0,11,0,108,5,9,7,0,0,3,0,6,0,32,4,7,5,3,0,4,0,3,0,25,91,261,192,146,351,385,110,251,44,1820
LGA54410,0,0,0,0,5,0,0,9,0,19,0,4,4,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,10,17,56,53,32,49,78,26,93,9,411
LGA54480,4,3,0,0,0,4,0,10,0,20,3,3,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,14,24,23,8,20,52,27,97,8,267
LGA54550,9,17,10,5,3,14,0,18,3,80,4,5,3,3,0,5,0,15,0,36,3,5,6,0,0,8,0,0,0,19,52,111,122,59,101,164,57,246,29,945
LGA54620,0,3,3,0,0,4,0,9,4,31,0,0,5,0,0,0,0,5,0,22,0,9,4,0,0,6,0,3,4,21,45,57,54,26,53,85,62,333,22,727
LGA54690,0,0,0,0,4,7,0,5,0,18,0,5,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,4,4,4,24,15,10,18,36,17,54,4,190
LGA54760,3,3,0,5,0,3,4,11,0,23,0,0,0,0,0,0,0,7,0,13,0,0,3,4,0,0,0,0,0,15,24,44,28,24,24,65,35,132,9,394
LGA54830,32,73,48,24,83,100,54,71,9,495,9,31,27,9,18,16,4,20,4,133,3,20,3,3,3,0,0,0,6,43,757,1743,1443,980,3163,4049,1737,3361,293,17533
