POW_LGA_CODE_2021,CIII_IV_1250_1499_Mng,CIII_IV_1250_1499_Pro,CIII_IV_1250_1499_TecTW,CIII_IV_1250_1499_CoPSW,CIII_IV_1250_1499_ClAW,CIII_IV_1250_1499_SWks,CIII_IV_1250_1499_MaOpDv,CIII_IV_1250_1499_Lab,CIII_IV_1250_1499_IDNS,CIII_IV_1250_1499_Tot,CIII_IV_1500_1749_Mng,CIII_IV_1500_1749_Pro,CIII_IV_1500_1749_TecTW,CIII_IV_1500_1749_CoPSW,CIII_IV_1500_1749_ClAW,CIII_IV_1500_1749_SWks,CIII_IV_1500_1749_MaOpDv,CIII_IV_1500_1749_Lab,CIII_IV_1500_1749_IDNS,CIII_IV_1500_1749_Tot,CIII_IV_1750_1999_Mng,CIII_IV_1750_1999_Pro,CIII_IV_1750_1999_TecTW,CIII_IV_1750_1999_CoPSW,CIII_IV_1750_1999_ClAW,CIII_IV_1750_1999_SWks,CIII_IV_1750_1999_MaOpDv,CIII_IV_1750_1999_Lab,CIII_IV_1750_1999_IDNS,CIII_IV_1750_1999_Tot,CIII_IV_2000_2999_Mng,CIII_IV_2000_2999_Pro,CIII_IV_2000_2999_TecTW,CIII_IV_2000_2999_CoPSW,CIII_IV_2000_2999_ClAW,CIII_IV_2000_2999_SWks,CIII_IV_2000_2999_MaOpDv,CIII_IV_2000_2999_Lab,CIII_IV_2000_2999_IDNS,CIII_IV_2000_2999_Tot,CIII_IV_3000_3499_Mng,CIII_IV_3000_3499_Pro,CIII_IV_3000_3499_TecTW,CIII_IV_3000_3499_CoPSW,CIII_IV_3000_3499_ClAW,CIII_IV_3000_3499_SWks,CIII_IV_3000_3499_MaOpDv,CIII_IV_3000_3499_Lab,CIII_IV_3000_3499_IDNS,CIII_IV_3000_3499_Tot,CIII_IV_3500mo_Mng,CIII_IV_3500mo_Pro,CIII_IV_3500mo_TecTW,CIII_IV_3500mo_CoPSW,CIII_IV_3500mo_ClAW,CIII_IV_3500mo_SWks,CIII_IV_3500mo_MaOpDv,CIII_IV_3500mo_Lab,CIII_IV_3500mo_IDNS,CIII_IV_3500mo_Tot,CIII_IV_PINS_Mng,CIII_IV_PINS_Pro,CIII_IV_PINS_TecTW,CIII_IV_PINS_CoPSW,CIII_IV_PINS_ClAW,CIII_IV_PINS_SWks,CIII_IV_PINS_MaOpDv,CIII_IV_PINS_Lab,CIII_IV_PINS_IDNS,CIII_IV_PINS_Tot,CIII_IV_Tot_Mng,CIII_IV_Tot_Pro,CIII_IV_Tot_TecTW,CIII_IV_Tot_CoPSW,CIII_IV_Tot_ClAW,CIII_IV_Tot_SWks,CIII_IV_Tot_MaOpDv,CIII_IV_Tot_Lab,CIII_IV_Tot_IDNS,CIII_IV_Tot_Tot,CI_II_NNI_Mng,CI_II_NNI_Pro,CI_II_NNI_TecTW,CI_II_NNI_CoPSW,CI_II_NNI_ClAW,CI_II_NNI_SWks,CI_II_NNI_MaOpDv,CI_II_NNI_Lab,CI_II_NNI_IDNS,CI_II_NNI_Tot,CI_II_1_149_Mng,CI_II_1_149_Pro,CI_II_1_149_TecTW,CI_II_1_149_CoPSW,CI_II_1_149_ClAW,CI_II_1_149_SWks,CI_II_1_149_MaOpDv,CI_II_1_149_Lab,CI_II_1_149_IDNS,CI_II_1_149_Tot,CI_II_150_299_Mng,CI_II_150_299_Pro,CI_II_150_299_TecTW,CI_II_150_299_CoPSW,CI_II_150_299_ClAW,CI_II_150_299_SWks,CI_II_150_299_MaOpDv,CI_II_150_299_Lab,CI_II_150_299_IDNS,CI_II_150_299_Tot,CI_II_300_399_Mng,CI_II_300_399_Pro,CI_II_300_399_TecTW,CI_II_300_399_CoPSW,CI_II_300_399_ClAW,CI_II_300_399_SWks,CI_II_300_399_MaOpDv,CI_II_300_399_Lab,CI_II_300_399_IDNS,CI_II_300_399_Tot,CI_II_400_499_Mng,CI_II_400_499_Pro,CI_II_400_499_TecTW,CI_II_400_499_CoPSW,CI_II_400_499_ClAW,CI_II_400_499_SWks,CI_II_400_499_MaOpDv,CI_II_400_499_Lab,CI_II_400_499_IDNS,CI_II_400_499_Tot,CI_II_500_649_Mng,CI_II_500_649_Pro,CI_II_500_649_TecTW,CI_II_500_649_CoPSW,CI_II_500_649_ClAW,CI_II_500_649_SWks,CI_II_500_649_MaOpDv,CI_II_500_649_Lab,CI_II_500_649_IDNS,CI_II_500_649_Tot,CI_II_650_799_Mng,CI_II_650_799_Pro,CI_II_650_799_TecTW,CI_II_650_799_CoPSW,CI_II_650_799_ClAW,CI_II_650_799_SWks,CI_II_650_799_MaOpDv,CI_II_650_799_Lab,CI_II_650_799_IDNS,CI_II_650_799_Tot,CI_II_800_999_Mng,CI_II_800_999_Pro,CI_II_800_999_TecTW,CI_II_800_999_CoPSW,CI_II_800_999_ClAW,CI_II_800_999_SWks,CI_II_800_999_MaOpDv,CI_II_800_999_Lab,CI_II_800_999_IDNS,CI_II_800_999_Tot,CI_II_1000_1249_Mng,CI_II_1000_1249_Pro,CI_II_1000_1249_TecTW,CI_II_1000_1249_CoPSW,CI_II_1000_1249_ClAW,CI_II_1000_1249_SWks,CI_II_1000_1249_MaOpDv,CI_II_1000_1249_Lab,CI_II_1000_1249_IDNS,CI_II_1000_1249_Tot,CI_II_1250_1499_Mng,CI_II_1250_1499_Pro,CI_II_1250_1499_TecTW,CI_II_1250_1499_CoPSW,CI_II_1250_1499_ClAW,CI_II_1250_1499_SWks,CI_II_1250_1499_MaOpDv,CI_II_1250_1499_Lab,CI_II_1250_1499_IDNS,CI_II_1250_1499_Tot,CI_II_1500_1749_Mng,CI_II_1500_1749_Pro,CI_II_1500_1749_TecTW,CI_II_1500_1749_CoPSW,CI_II_1500_1749_ClAW,CI_II_1500_1749_SWks,CI_II_1500_1749_MaOpDv,CI_II_1500_1749_Lab,CI_II_1500_1749_IDNS,CI_II_1500_1749_Tot,CI_II_1750_1999_Mng,CI_II_1750_1999_Pro,CI_II_1750_1999_TecTW,CI_II_1750_1999_CoPSW,CI_II_1750_1999_ClAW,CI_II_1750_1999_SWks,CI_II_1750_1999_MaOpDv,CI_II_1750_1999_Lab,CI_II_1750_1999_IDNS,CI_II_1750_1999_Tot
LGA50080,59,29,206,71,59,19,47,24,10,526,55,23,163,69,33,13,38,24,5,430,34,20,84,41,16,7,19,18,0,233,78,18,123,34,14,8,22,9,4,307,11,0,25,3,0,0,0,0,0,45,16,0,14,0,0,8,0,0,0,39,3,0,7,6,0,0,4,0,4,27,452,204,1349,822,401,318,281,402,53,4286,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,15,0,6,0,31,0,0,0,6,0,7,0,7,0,30,0,5,3,8,5,4,0,3,0,26,0,0,0,0,5,8,0,7,0,24,0,0,11,9,6,13,0,8,0,55,0,3,11,12,11,15,3,15,0,79,6,5,14,18,13,3,4,12,0,71,3,5,0,8,18,8,8,0,0,52,8,3,0,0,9,0,4,4,0,28,5,0,0,6,0,0,7,0,0,14,0,0,0,0,3,3,0,0,0,8
LGA50210,56,15,247,70,69,8,41,38,3,552,59,11,232,47,43,9,24,19,5,438,53,11,143,24,21,7,15,13,0,285,57,16,170,28,17,5,40,12,13,352,20,0,38,0,0,0,4,0,0,69,18,9,20,0,0,0,4,4,0,55,3,0,15,8,0,3,0,0,7,42,413,166,1650,1014,524,307,275,383,55,4786,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,12,0,30,0,0,0,9,0,23,3,10,0,49,0,0,4,6,0,18,7,14,0,40,4,0,7,4,0,20,0,5,0,43,0,0,13,5,8,20,0,11,0,56,3,0,4,12,6,14,0,4,0,55,9,0,10,11,16,18,4,9,0,69,7,0,0,11,12,11,5,7,0,59,5,0,5,4,8,0,3,5,0,32,3,0,3,5,0,5,4,3,0,24,5,0,0,0,0,0,3,0,0,9
LGA50250,6,7,79,9,23,6,48,54,9,228,16,8,155,5,25,3,105,49,13,382,15,20,233,7,21,0,127,39,0,471,47,57,1222,22,40,4,631,102,44,2170,29,46,728,5,20,4,181,34,25,1064,91,40,848,0,16,0,89,26,30,1137,0,0,28,0,0,0,15,0,10,56,209,192,3382,113,189,28,1252,363,134,5860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,0,18,0,0,0,7,4,0,0,6,0,24,0,0,3,0,4,0,8,11,0,22,0,0,0,0,0,0,17,4,0,21
LGA50280,25,0,78,12,5,4,13,14,5,160,22,4,55,3,4,3,9,8,0,111,17,0,31,4,3,3,0,0,0,59,15,3,37,3,5,0,7,5,0,67,5,0,9,0,0,0,0,0,0,13,0,3,5,0,0,4,0,0,0,11,0,0,3,0,0,3,0,0,0,10,201,51,504,203,94,98,67,152,22,1397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,3,4,0,3,0,4,0,10,0,0,0,3,0,0,0,5,0,15,0,0,5,4,5,3,0,6,0,25,7,0,8,3,0,3,0,0,0,19,0,0,0,0,0,0,0,3,0,11,5,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,3
LGA50350,9,8,135,18,21,3,15,20,6,235,19,8,132,12,10,8,19,15,3,231,13,7,102,3,13,5,12,0,3,152,39,10,128,0,9,7,22,3,5,218,13,6,23,0,0,0,5,0,0,44,21,0,8,0,3,0,0,0,3,38,0,0,4,0,0,0,0,0,0,10,142,56,809,202,140,63,149,147,29,1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,8,0,17,0,0,4,0,4,0,0,6,0,16,0,0,6,0,3,0,6,7,0,23,0,0,7,0,4,0,3,4,0,26,0,0,0,6,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5
LGA50420,69,25,283,54,65,22,30,43,9,595,50,20,242,38,41,20,30,15,3,460,50,6,175,27,15,8,13,5,0,306,91,20,177,19,23,10,17,13,7,376,33,0,25,0,0,0,3,0,0,68,23,3,19,0,0,0,3,3,0,52,0,0,23,5,0,0,0,3,9,48,482,153,1765,753,396,346,263,329,53,4536,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,7,0,21,0,0,0,12,5,11,0,7,0,34,0,0,5,9,0,10,0,6,0,36,0,0,6,4,0,9,0,10,0,28,0,4,0,15,3,9,0,5,0,34,0,0,7,8,8,9,0,5,0,39,6,4,10,15,10,6,0,7,0,59,10,0,4,10,12,9,6,5,0,43,0,0,5,0,5,3,3,0,0,17,3,0,0,0,0,0,0,0,0,11,0,0,0,0,5,6,0,3,0,8
LGA50490,103,76,405,107,212,65,172,67,22,1233,92,80,488,74,162,34,150,62,17,1162,127,86,416,64,92,26,133,47,16,1000,292,201,959,38,121,37,259,60,31,2005,90,57,283,5,17,0,67,11,3,541,144,46,231,5,11,5,37,9,7,497,6,0,22,6,4,3,11,5,11,71,1009,686,3502,1150,1124,538,1405,630,175,10205,0,0,0,0,0,4,0,0,0,5,0,0,0,3,0,6,0,3,0,18,0,0,0,3,3,19,0,11,0,42,0,3,0,10,4,10,6,8,0,39,0,0,7,5,0,13,6,5,0,34,0,0,12,10,13,15,0,11,6,71,9,0,14,16,12,16,12,17,0,95,4,0,14,23,25,9,30,13,0,117,10,9,11,29,30,24,38,21,0,159,6,3,4,18,31,5,11,8,0,95,9,6,7,10,14,0,10,9,0,70,7,5,4,0,9,0,7,5,0,40
LGA50560,8,0,3,0,0,0,4,3,0,16,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,28,8,4,6,4,12,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,0,0,13,3,4,0,14,4,4,45,0,0,30,3,4,0,28,7,0,80,0,6,52,0,6,0,44,8,0,113,9,20,270,3,11,0,120,16,3,448,6,6,72,0,3,0,22,0,0,117,9,3,34,0,4,0,4,0,3,59,0,0,6,0,0,0,4,0,3,13,45,36,503,26,48,4,250,49,13,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,3
LGA50770,7,0,0,0,0,0,0,3,0,18,4,0,8,0,0,0,0,0,0,13,6,0,6,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,54,3,33,8,18,8,10,18,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
