POW_LGA_CODE_2021,F_SthAfrica_ES_NS,F_SthAfrica_Tot,F_SriLanka_E,F_SriLanka_OM_IE,F_SriLanka_OM_UIE,F_SriLanka_CFW,F_SriLanka_ES_NS,F_SriLanka_Tot,F_Taiwan_E,F_Taiwan_OM_IE,F_Taiwan_OM_UIE,F_Taiwan_CFW,F_Taiwan_ES_NS,F_Taiwan_Tot,F_Thailand_E,F_Thailand_OM_IE,F_Thailand_OM_UIE,F_Thailand_CFW,F_Thailand_ES_NS,F_Thailand_Tot,F_UK_E,F_UK_OM_IE,F_UK_OM_UIE,F_UK_CFW,F_UK_ES_NS,F_UK_Tot,F_USA_E,F_USA_OM_IE,F_USA_OM_UIE,F_USA_CFW,F_USA_ES_NS,F_USA_Tot,F_Vietnam_E,F_Vietnam_OM_IE,F_Vietnam_OM_UIE,F_Vietnam_CFW,F_Vietnam_ES_NS,F_Vietnam_Tot,F_Elsewhere_E,F_Elsewhere_OM_IE,F_Elsewhere_OM_UIE,F_Elsewhere_CFW,F_Elsewhere_ES_NS,F_Elsewhere_Tot,F_COB_NS_E,F_COB_NS_OM_IE,F_COB_NS_OM_UIE,F_COB_NS_CFW,F_COB_NS_ES_NS,F_COB_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_Australia_E,P_Australia_OM_IE,P_Australia_OM_UIE,P_Australia_CFW,P_Australia_ES_NS,P_Australia_Tot,P_Afghanistan_E,P_Afghanistan_OM_IE,P_Afghanistan_OM_UIE,P_Afghanistan_CFW,P_Afghanistan_ES_NS,P_Afghanistan_Tot,P_Bangladesh_E,P_Bangladesh_OM_IE,P_Bangladesh_OM_UIE,P_Bangladesh_CFW,P_Bangladesh_ES_NS,P_Bangladesh_Tot,P_Canada_E,P_Canada_OM_IE,P_Canada_OM_UIE,P_Canada_CFW,P_Canada_ES_NS,P_Canada_Tot,P_China_E,P_China_OM_IE,P_China_OM_UIE,P_China_CFW,P_China_ES_NS,P_China_Tot,P_Croatia_E,P_Croatia_OM_IE,P_Croatia_OM_UIE,P_Croatia_CFW,P_Croatia_ES_NS,P_Croatia_Tot,P_Egypt_E,P_Egypt_OM_IE,P_Egypt_OM_UIE,P_Egypt_CFW,P_Egypt_ES_NS,P_Egypt_Tot,P_Fiji_E,P_Fiji_OM_IE,P_Fiji_OM_UIE,P_Fiji_CFW,P_Fiji_ES_NS,P_Fiji_Tot,P_Germany_E,P_Germany_OM_IE,P_Germany_OM_UIE,P_Germany_CFW,P_Germany_ES_NS,P_Germany_Tot,P_Greece_E,P_Greece_OM_IE,P_Greece_OM_UIE,P_Greece_CFW,P_Greece_ES_NS,P_Greece_Tot,P_HongKong_E,P_HongKong_OM_IE,P_HongKong_OM_UIE,P_HongKong_CFW,P_HongKong_ES_NS,P_HongKong_Tot,P_India_E,P_India_OM_IE,P_India_OM_UIE,P_India_CFW,P_India_ES_NS,P_India_Tot,P_Indonesia_E,P_Indonesia_OM_IE,P_Indonesia_OM_UIE,P_Indonesia_CFW,P_Indonesia_ES_NS,P_Indonesia_Tot,P_Iran_E,P_Iran_OM_IE,P_Iran_OM_UIE,P_Iran_CFW,P_Iran_ES_NS,P_Iran_Tot,P_Iraq_E,P_Iraq_OM_IE,P_Iraq_OM_UIE,P_Iraq_CFW,P_Iraq_ES_NS,P_Iraq_Tot,P_Ireland_E,P_Ireland_OM_IE,P_Ireland_OM_UIE,P_Ireland_CFW,P_Ireland_ES_NS,P_Ireland_Tot,P_Italy_E,P_Italy_OM_IE,P_Italy_OM_UIE,P_Italy_CFW,P_Italy_ES_NS,P_Italy_Tot,P_Japan_E,P_Japan_OM_IE,P_Japan_OM_UIE,P_Japan_CFW,P_Japan_ES_NS,P_Japan_Tot,P_KoreaSouth_E,P_KoreaSouth_OM_IE,P_KoreaSouth_OM_UIE,P_KoreaSouth_CFW,P_KoreaSouth_ES_NS,P_KoreaSouth_Tot,P_Lebanon_E,P_Lebanon_OM_IE,P_Lebanon_OM_UIE,P_Lebanon_CFW,P_Lebanon_ES_NS,P_Lebanon_Tot,P_Malaysia_E,P_Malaysia_OM_IE,P_Malaysia_OM_UIE,P_Malaysia_CFW,P_Malaysia_ES_NS,P_Malaysia_Tot,P_Nepal_E,P_Nepal_OM_IE,P_Nepal_OM_UIE,P_Nepal_CFW,P_Nepal_ES_NS,P_Nepal_Tot,P_Netherlands_E,P_Netherlands_OM_IE,P_Netherlands_OM_UIE,P_Netherlands_CFW,P_Netherlands_ES_NS,P_Netherlands_Tot,P_NZ_E,P_NZ_OM_IE,P_NZ_OM_UIE,P_NZ_CFW,P_NZ_ES_NS,P_NZ_Tot
LGA53150,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,91,10,26,0,0,132,3,0,0,0,0,5,0,0,0,0,0,4,78,5,3,0,0,91,0,0,0,0,0,0,980,101,145,23,3,1250,1025,174,179,34,6,1409,0,0,0,0,0,0,3,0,0,0,0,3,6,0,5,0,0,4,14,4,0,0,0,14,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,5,31,0,0,0,0,34,21,0,0,0,0,17,3,3,0,0,0,4,0,0,0,0,0,0,13,6,0,0,0,19,12,0,0,0,0,21,10,3,0,0,0,7,10,3,0,0,0,15,0,0,0,0,0,3,19,0,5,0,0,26,12,0,0,0,0,12,4,0,0,0,0,4,39,8,13,0,0,65
LGA53220,0,55,10,0,0,0,0,10,6,0,0,0,0,6,51,0,3,0,0,52,210,3,0,0,0,216,10,0,0,0,0,10,4,0,4,0,0,7,217,0,0,0,0,222,22,0,0,0,3,25,3723,24,37,16,31,3826,11158,101,80,22,56,11419,6,0,0,0,0,7,9,0,0,0,0,9,46,0,0,0,0,46,67,0,3,0,0,69,21,0,0,0,0,21,7,0,0,0,0,5,37,0,0,0,0,37,55,0,0,0,0,58,9,0,0,0,0,9,11,4,0,0,0,11,205,3,0,0,0,207,60,0,0,0,0,60,28,0,0,0,0,31,5,0,0,0,0,6,222,13,0,0,0,234,34,0,4,0,0,44,6,0,0,0,0,9,24,0,0,0,0,24,6,0,0,0,0,6,88,0,0,0,0,94,11,0,0,0,0,11,32,0,0,0,0,32,1588,9,11,3,9,1615
LGA53290,0,52,11,0,0,0,0,11,3,0,0,0,0,3,14,0,0,0,0,13,113,6,16,0,0,142,11,0,0,0,0,11,3,0,0,0,0,8,51,4,3,3,0,61,44,5,6,0,6,56,2335,186,261,131,47,2957,3703,453,537,217,78,4989,0,0,0,0,0,0,4,0,0,0,0,4,14,0,0,0,0,14,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,9,6,0,34,0,0,0,0,0,0,3,4,0,0,0,10,19,0,0,0,0,20,4,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,0,0,23,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,11,0,4,0,0,11,199,9,15,4,7,231
LGA53360,0,6,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,6,46,0,3,0,0,57,14,0,0,0,0,18,0,0,0,0,0,0,44,0,4,0,0,55,15,0,0,0,0,21,701,59,57,13,13,841,1011,133,88,16,15,1263,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,4,43,4,6,0,3,62
LGA53430,0,235,56,3,6,0,0,62,33,0,0,0,0,36,102,3,12,0,0,119,1130,58,88,9,4,1289,99,12,11,4,0,123,43,6,16,0,0,70,909,34,59,10,4,1018,34,0,4,0,0,38,12202,601,920,133,45,13895,14284,1283,1191,160,70,16987,14,0,5,0,0,25,33,0,0,0,0,31,101,9,16,3,0,126,248,24,20,7,0,305,60,4,8,0,0,66,25,0,0,0,0,21,10,0,0,0,0,12,148,20,32,0,0,196,9,0,0,3,0,10,84,4,3,4,0,100,742,29,24,4,5,805,140,10,9,5,5,166,49,5,8,0,0,67,16,0,0,0,0,23,198,21,17,0,4,239,213,36,31,14,0,291,74,3,11,5,0,93,59,8,14,0,0,79,7,0,3,0,0,11,317,29,24,0,0,364,90,0,3,0,0,93,56,10,6,4,0,82,774,49,49,6,4,877
LGA53570,0,11,0,0,0,0,0,0,41,0,0,0,0,45,13,0,0,0,0,12,73,3,8,9,0,99,3,0,0,0,0,9,10,5,8,0,0,24,89,0,3,0,0,95,8,0,4,0,0,19,754,62,87,75,15,993,818,128,163,110,21,1247,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,9,16,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,11,0,0,0,0,0,0,7,0,0,0,0,7,7,0,0,3,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,12,0,0,0,0,11,9,0,0,0,0,9,12,0,0,0,0,12,0,0,0,0,0,0,34,0,0,0,0,37,0,0,0,0,0,0,9,0,0,0,0,12,53,6,4,3,3,74
LGA53640,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,169,24,34,25,0,257,291,74,81,36,18,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,3,0,22
LGA53710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,4,0,0,0,0,4,118,9,19,12,5,166,159,37,56,32,11,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,8
LGA53780,0,300,95,11,9,0,0,117,33,5,3,0,0,46,82,8,18,4,0,107,1041,58,79,15,9,1195,44,0,7,0,0,49,77,4,20,5,0,103,695,50,72,13,9,831,48,0,3,0,0,51,11656,535,926,189,60,13368,12831,856,1016,166,63,14939,170,67,70,10,8,321,65,5,19,0,0,91,48,0,4,0,0,47,368,72,68,18,6,548,22,3,8,0,0,24,30,5,4,3,0,42,14,0,0,0,0,17,54,11,7,3,0,73,3,0,0,0,0,3,65,9,11,0,0,86,1312,177,178,26,17,1712,231,30,50,5,6,311,66,15,16,3,5,95,58,9,13,0,0,79,157,9,13,3,0,188,73,21,8,6,0,100,23,0,5,0,0,37,64,31,35,9,0,138,27,4,9,0,0,35,511,63,84,7,7,663,83,0,5,0,0,88,45,4,9,0,0,62,872,48,69,0,6,999
LGA53800,0,175,10,0,0,0,0,12,15,0,0,0,0,18,52,3,4,0,0,61,418,24,28,7,0,482,32,0,0,4,0,35,23,8,8,7,0,42,156,11,23,0,0,196,41,0,0,0,0,44,7874,325,489,174,38,8894,11616,770,852,268,66,13566,0,0,0,0,0,0,12,0,0,0,0,8,32,0,4,5,0,36,28,4,7,0,0,38,3,0,0,0,0,4,5,0,0,0,0,4,12,4,0,0,0,17,57,4,16,6,0,75,4,0,0,0,0,8,9,0,0,0,0,9,163,3,7,0,0,174,39,0,7,0,0,47,8,0,0,0,0,6,4,0,0,0,0,4,52,4,0,0,0,61,17,3,3,8,0,28,3,0,0,0,0,8,5,0,0,0,0,8,0,0,0,0,0,0,45,3,3,0,0,56,20,0,0,0,0,20,20,0,5,0,0,25,358,25,20,8,0,411
