POW_LGA_CODE_2021,CoPSW_1250_1499_H_0,CoPSW_1250_1499_H_1_19,CoPSW_1250_1499_H_20_29,CoPSW_1250_1499_H_30_34,CoPSW_1250_1499_H_35_39,CoPSW_1250_1499_H_40_44,CoPSW_1250_1499_H_45_49,CoPSW_1250_1499_H_50ov,CoPSW_1250_1499_H_NS,CoPSW_1250_1499_H_Tot,CoPSW_1500_1749_H_0,CoPSW_1500_1749_H_1_19,CoPSW_1500_1749_H_20_29,CoPSW_1500_1749_H_30_34,CoPSW_1500_1749_H_35_39,CoPSW_1500_1749_H_40_44,CoPSW_1500_1749_H_45_49,CoPSW_1500_1749_H_50ov,CoPSW_1500_1749_H_NS,CoPSW_1500_1749_H_Tot,CoPSW_1750_1999_H_0,CoPSW_1750_1999_H_1_19,CoPSW_1750_1999_H_20_29,CoPSW_1750_1999_H_30_34,CoPSW_1750_1999_H_35_39,CoPSW_1750_1999_H_40_44,CoPSW_1750_1999_H_45_49,CoPSW_1750_1999_H_50ov,CoPSW_1750_1999_H_NS,CoPSW_1750_1999_H_Tot,CoPSW_2000_2999_H_0,CoPSW_2000_2999_H_1_19,CoPSW_2000_2999_H_20_29,CoPSW_2000_2999_H_30_34,CoPSW_2000_2999_H_35_39,CoPSW_2000_2999_H_40_44,CoPSW_2000_2999_H_45_49,CoPSW_2000_2999_H_50ov,CoPSW_2000_2999_H_NS,CoPSW_2000_2999_H_Tot,CoPSW_3000_3499_H_0,CoPSW_3000_3499_H_1_19,CoPSW_3000_3499_H_20_29,CoPSW_3000_3499_H_30_34,CoPSW_3000_3499_H_35_39,CoPSW_3000_3499_H_40_44,CoPSW_3000_3499_H_45_49,CoPSW_3000_3499_H_50ov,CoPSW_3000_3499_H_NS,CoPSW_3000_3499_H_Tot,CoPSW_3500mo_H_0,CoPSW_3500mo_H_1_19,CoPSW_3500mo_H_20_29,CoPSW_3500mo_H_30_34,CoPSW_3500mo_H_35_39,CoPSW_3500mo_H_40_44,CoPSW_3500mo_H_45_49,CoPSW_3500mo_H_50ov,CoPSW_3500mo_H_NS,CoPSW_3500mo_H_Tot,CoPSW_PINS_H_0,CoPSW_PINS_H_1_19,CoPSW_PINS_H_20_29,CoPSW_PINS_H_30_34,CoPSW_PINS_H_35_39,CoPSW_PINS_H_40_44,CoPSW_PINS_H_45_49,CoPSW_PINS_H_50ov,CoPSW_PINS_H_NS,CoPSW_PINS_H_Tot,CoPSW_Tot_H_0,CoPSW_Tot_H_1_19,CoPSW_Tot_H_20_29,CoPSW_Tot_H_30_34,CoPSW_Tot_H_35_39,CoPSW_Tot_H_40_44,CoPSW_Tot_H_45_49,CoPSW_Tot_H_50ov,CoPSW_Tot_H_NS,CoPSW_Tot_H_Tot,ClAW_NNI_H_0,ClAW_NNI_H_1_19,ClAW_NNI_H_20_29,ClAW_NNI_H_30_34,ClAW_NNI_H_35_39,ClAW_NNI_H_40_44,ClAW_NNI_H_45_49,ClAW_NNI_H_50ov,ClAW_NNI_H_NS,ClAW_NNI_H_Tot,ClAW_1_149_H_0,ClAW_1_149_H_1_19,ClAW_1_149_H_20_29,ClAW_1_149_H_30_34,ClAW_1_149_H_35_39,ClAW_1_149_H_40_44,ClAW_1_149_H_45_49,ClAW_1_149_H_50ov,ClAW_1_149_H_NS,ClAW_1_149_H_Tot,ClAW_150_299_H_0,ClAW_150_299_H_1_19,ClAW_150_299_H_20_29,ClAW_150_299_H_30_34,ClAW_150_299_H_35_39,ClAW_150_299_H_40_44,ClAW_150_299_H_45_49,ClAW_150_299_H_50ov,ClAW_150_299_H_NS,ClAW_150_299_H_Tot,ClAW_300_399_H_0,ClAW_300_399_H_1_19,ClAW_300_399_H_20_29,ClAW_300_399_H_30_34,ClAW_300_399_H_35_39,ClAW_300_399_H_40_44,ClAW_300_399_H_45_49,ClAW_300_399_H_50ov,ClAW_300_399_H_NS,ClAW_300_399_H_Tot,ClAW_400_499_H_0,ClAW_400_499_H_1_19,ClAW_400_499_H_20_29,ClAW_400_499_H_30_34,ClAW_400_499_H_35_39,ClAW_400_499_H_40_44,ClAW_400_499_H_45_49,ClAW_400_499_H_50ov,ClAW_400_499_H_NS,ClAW_400_499_H_Tot,ClAW_500_649_H_0,ClAW_500_649_H_1_19,ClAW_500_649_H_20_29,ClAW_500_649_H_30_34,ClAW_500_649_H_35_39,ClAW_500_649_H_40_44,ClAW_500_649_H_45_49,ClAW_500_649_H_50ov,ClAW_500_649_H_NS,ClAW_500_649_H_Tot,ClAW_650_799_H_0,ClAW_650_799_H_1_19,ClAW_650_799_H_20_29,ClAW_650_799_H_30_34,ClAW_650_799_H_35_39,ClAW_650_799_H_40_44,ClAW_650_799_H_45_49,ClAW_650_799_H_50ov,ClAW_650_799_H_NS,ClAW_650_799_H_Tot,ClAW_800_999_H_0,ClAW_800_999_H_1_19,ClAW_800_999_H_20_29,ClAW_800_999_H_30_34,ClAW_800_999_H_35_39,ClAW_800_999_H_40_44,ClAW_800_999_H_45_49,ClAW_800_999_H_50ov,ClAW_800_999_H_NS,ClAW_800_999_H_Tot,ClAW_1000_1249_H_0,ClAW_1000_1249_H_1_19,ClAW_1000_1249_H_20_29,ClAW_1000_1249_H_30_34,ClAW_1000_1249_H_35_39,ClAW_1000_1249_H_40_44,ClAW_1000_1249_H_45_49,ClAW_1000_1249_H_50ov,ClAW_1000_1249_H_NS,ClAW_1000_1249_H_Tot,ClAW_1250_1499_H_0,ClAW_1250_1499_H_1_19,ClAW_1250_1499_H_20_29,ClAW_1250_1499_H_30_34,ClAW_1250_1499_H_35_39,ClAW_1250_1499_H_40_44,ClAW_1250_1499_H_45_49,ClAW_1250_1499_H_50ov,ClAW_1250_1499_H_NS,ClAW_1250_1499_H_Tot,ClAW_1500_1749_H_0,ClAW_1500_1749_H_1_19,ClAW_1500_1749_H_20_29,ClAW_1500_1749_H_30_34,ClAW_1500_1749_H_35_39,ClAW_1500_1749_H_40_44,ClAW_1500_1749_H_45_49,ClAW_1500_1749_H_50ov,ClAW_1500_1749_H_NS,ClAW_1500_1749_H_Tot,ClAW_1750_1999_H_0,ClAW_1750_1999_H_1_19,ClAW_1750_1999_H_20_29,ClAW_1750_1999_H_30_34,ClAW_1750_1999_H_35_39,ClAW_1750_1999_H_40_44,ClAW_1750_1999_H_45_49,ClAW_1750_1999_H_50ov,ClAW_1750_1999_H_NS,ClAW_1750_1999_H_Tot
LGA50080,10,3,21,27,49,43,15,22,0,187,16,0,8,11,47,57,19,19,0,182,17,0,3,5,16,42,17,10,0,110,11,0,0,3,10,50,12,19,0,112,0,0,0,0,0,4,4,6,0,8,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,14,134,510,491,337,358,329,91,144,39,2438,4,8,0,0,0,0,0,0,0,7,0,20,5,0,0,0,0,0,0,29,0,39,4,0,0,0,0,0,0,50,4,44,11,4,0,5,0,0,0,69,10,45,31,3,0,0,0,0,0,93,9,41,65,20,15,9,0,4,0,166,18,35,57,44,34,10,0,4,3,206,14,37,54,57,62,42,4,6,5,278,21,21,41,41,156,84,11,7,0,385,16,13,15,24,93,60,9,19,0,237,8,11,10,11,41,26,9,13,5,135,0,5,7,0,21,17,3,10,3,67
LGA50210,8,7,27,26,79,46,8,22,0,219,7,0,7,3,34,41,15,26,3,135,10,0,5,4,19,47,9,18,4,114,19,5,5,4,10,70,15,27,0,147,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,3,0,8,5,0,4,4,0,0,0,0,10,23,161,742,671,471,539,379,86,170,47,3268,4,11,0,0,0,0,0,0,0,17,0,26,6,0,0,0,0,0,0,32,4,56,9,3,0,0,0,0,0,81,4,64,13,5,0,4,0,0,0,88,0,52,37,8,0,0,0,0,0,100,9,59,82,27,15,7,3,4,5,208,12,54,96,43,36,18,0,7,0,276,20,35,68,60,105,55,13,10,5,355,7,23,44,44,173,101,20,19,0,430,14,4,15,24,122,70,23,5,0,290,4,14,7,10,62,29,14,19,0,160,4,4,3,0,28,27,5,11,0,91
LGA50250,0,4,0,3,0,3,6,31,0,56,9,0,0,0,0,3,4,24,0,48,0,0,0,0,6,3,0,14,0,26,15,6,4,0,0,6,4,46,0,86,0,0,0,0,0,0,0,11,0,17,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,4,7,52,56,45,31,50,38,24,154,14,458,0,0,0,0,3,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,5,0,3,0,0,0,0,0,13,3,3,0,0,0,0,0,0,0,11,0,3,5,3,0,0,0,0,0,24,0,0,5,3,6,10,0,4,0,32,5,0,3,6,10,12,7,8,4,51,6,7,8,0,4,20,3,28,3,83,7,3,3,4,8,14,5,46,0,87,4,0,4,0,0,7,7,31,0,63
LGA50280,3,4,7,7,4,3,0,6,0,42,4,0,9,0,4,5,0,4,0,25,0,5,0,0,6,3,0,0,0,17,5,0,0,0,0,3,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,67,231,168,101,88,75,12,38,7,794,3,4,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,15,3,19,4,0,0,0,0,0,0,27,0,33,9,4,0,0,0,0,0,44,3,29,28,9,3,4,0,0,0,81,4,20,39,14,8,4,0,0,0,95,5,12,20,14,16,7,0,3,0,87,6,10,12,16,36,17,3,5,0,103,0,10,7,10,19,17,3,0,0,64,3,5,5,7,9,9,0,0,0,41,3,3,0,0,0,5,0,3,0,13
LGA50350,0,0,3,5,16,11,0,12,0,43,3,0,0,3,11,8,0,3,0,36,0,0,0,0,0,4,4,0,0,12,0,5,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,152,135,80,137,70,11,45,4,657,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,8,3,16,3,0,0,0,0,0,0,21,0,19,15,0,0,0,0,0,0,42,0,9,28,4,3,3,0,0,0,46,0,10,29,11,18,8,0,0,0,67,0,9,20,18,51,34,3,0,0,140,0,7,15,17,68,47,9,14,4,185,4,4,5,7,44,42,5,11,0,123,0,4,4,4,20,27,8,4,0,65,0,0,0,4,9,13,8,5,0,37
LGA50420,4,13,24,19,67,26,11,43,0,213,3,4,7,17,34,36,11,25,0,132,3,4,4,5,7,39,8,15,4,94,18,0,7,5,7,108,41,25,0,211,4,0,0,0,0,5,5,3,0,25,3,0,0,0,0,0,0,0,0,13,0,3,0,6,0,3,0,4,4,15,127,829,709,380,488,380,107,187,43,3246,0,6,0,0,0,0,0,0,0,6,3,28,3,0,0,0,0,0,0,37,0,56,6,0,0,0,0,0,0,66,8,61,21,5,0,0,0,0,0,90,0,61,33,3,0,3,0,0,0,114,7,76,86,12,16,10,0,0,0,204,4,49,83,49,40,14,6,13,0,257,10,26,70,60,112,48,5,7,3,345,15,24,38,52,153,85,25,20,0,404,10,15,20,23,111,78,28,22,0,298,6,14,13,12,53,56,14,19,0,183,4,0,11,3,21,30,13,12,0,96
LGA50490,35,19,46,52,112,103,54,63,3,496,30,12,28,15,63,68,58,78,7,350,26,11,15,10,32,53,58,61,3,264,48,10,13,8,33,92,88,98,6,400,3,3,0,0,6,6,5,19,0,34,0,0,0,4,0,10,0,6,0,17,0,6,0,0,0,3,0,3,15,32,358,864,843,508,817,619,337,442,83,4873,7,0,3,0,0,3,0,0,0,17,3,36,3,0,0,6,0,0,0,47,3,54,9,0,0,0,0,0,0,72,3,53,14,6,4,0,0,0,0,85,7,77,30,8,8,4,0,6,3,134,18,65,138,24,21,14,0,3,3,284,21,46,186,56,70,46,7,11,12,457,27,55,127,104,291,162,25,23,4,822,46,27,106,97,480,426,93,72,7,1365,41,24,45,66,408,409,108,117,0,1225,33,15,19,26,236,297,127,118,7,869,19,8,7,9,98,155,72,82,0,450
LGA50560,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,5,0,3,0,3,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,4,0,0,0,9,0,3,6,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,0,0,0,0,0,4,0,3,0,9,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,4,0,4,0,6,0,0,0,0,0,4,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,20,3,10,11,0,19,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,11,0,3,0,0,5,0,0,0,0,9,0,0,0,0,0,5,0,3,0,10,6,0,0,0,0,0,0,7,0,11,0,3,6,0,3,6,0,8,0,15,0,0,0,0,0,5,4,3,0,12
LGA50770,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,7,0,9,4,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,7,0,4,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
