POW_LGA_CODE_2021,M_EW_FT_ATSI,M_EW_FT_NI,M_EW_FT_Isns,M_EW_FT_Total,M_EW_PT_ATSI,M_EW_PT_NI,M_EW_PT_Isns,M_EW_PT_Total,M_EW_Em_afw_ATSI,M_EW_Em_afw_NI,M_EW_Em_afw_Isns,M_EW_Em_afw_Total,M_Tot_ATSI,M_Tot_NI,M_Tot_Isns,M_Tot_Total,F_EW_FT_ATSI,F_EW_FT_NI,F_EW_FT_Isns,F_EW_FT_Total,F_EW_PT_ATSI,F_EW_PT_NI,F_EW_PT_Isns,F_EW_PT_Total,F_EW_Em_afw_ATSI,F_EW_Em_afw_NI,F_EW_Em_afw_Isns,F_EW_Em_afw_Total,F_Tot_ATSI,F_Tot_NI,F_Tot_Isns,F_Tot_Total,P_EW_FT_ATSI,P_EW_FT_NI,P_EW_FT_Isns,P_EW_FT_Total,P_EW_PT_ATSI,P_EW_PT_NI,P_EW_PT_Isns,P_EW_PT_Total,P_EW_Em_afw_ATSI,P_EW_Em_afw_NI,P_EW_Em_afw_Isns,P_EW_Em_afw_Total,P_Tot_ATSI,P_Tot_NI,P_Tot_Isns,P_Tot_Total
LGA50080,96,5080,19,5192,54,1889,8,1949,26,480,0,506,170,7448,33,7649,77,3358,10,3435,95,4454,19,4571,10,577,6,583,180,8392,22,8591,171,8439,27,8635,149,6344,26,6516,35,1054,5,1094,351,15836,56,16248
LGA50210,80,6190,11,6278,45,2414,4,2468,14,425,9,442,134,9024,20,9185,80,4707,10,4793,107,6325,19,6444,15,745,8,771,199,11777,34,12008,153,10901,18,11076,152,8737,22,8914,29,1171,10,1206,336,20803,50,21189
LGA50250,423,8011,34,8471,47,623,4,677,89,1517,4,1615,567,10155,46,10760,138,1834,11,1985,53,503,0,556,51,374,3,428,241,2711,13,2967,559,9849,39,10453,104,1119,5,1233,141,1896,10,2043,804,12863,62,13727
LGA50280,24,1885,6,1918,13,936,4,952,0,182,3,183,33,3003,12,3057,11,1119,5,1139,22,1971,11,2004,0,277,0,279,35,3367,18,3428,37,3002,18,3057,32,2909,17,2954,7,460,3,467,75,6376,32,6483
LGA50350,37,3080,9,3118,10,713,0,725,0,127,0,132,43,3924,10,3978,12,1111,0,1123,12,1183,4,1199,8,118,0,124,29,2412,9,2444,44,4185,10,4241,18,1893,7,1922,7,246,6,257,70,6329,17,6420
LGA50420,94,7172,16,7289,27,2979,7,3009,9,455,9,471,134,10608,35,10771,43,4144,10,4199,71,5955,9,6037,9,569,4,584,124,10668,28,10823,137,11319,37,11490,99,8937,12,9048,21,1021,8,1054,264,21276,58,21593
LGA50490,258,22181,41,22476,76,4756,12,4846,32,1651,9,1691,365,28588,64,29015,118,8737,13,8865,102,6757,7,6864,25,1206,8,1231,243,16696,27,16965,376,30915,51,31339,177,11518,20,11715,56,2855,18,2928,607,45288,91,45984
LGA50560,0,172,3,178,0,60,0,60,0,23,6,23,3,260,7,262,0,85,0,83,0,111,0,117,0,25,0,25,7,223,0,225,0,259,5,260,0,174,0,177,0,51,6,51,6,478,3,490
LGA50630,57,1383,8,1449,6,132,0,132,15,240,0,251,75,1759,8,1840,16,316,3,332,4,151,0,159,5,77,3,87,28,537,9,574,77,1702,10,1782,11,280,0,292,19,313,3,338,104,2298,19,2411
LGA50770,0,255,3,261,0,60,0,64,0,28,0,31,4,345,5,355,0,140,0,145,3,150,0,154,0,15,0,15,5,307,0,313,0,399,3,403,5,213,0,214,0,46,0,50,7,653,5,666
