POW_LGA_CODE_2021,M1_Train_Mng,M1_Train_Pro,M1_Train_TecTW,M1_Train_CoPSW,M1_Train_ClAW,M1_Train_SWks,M1_Train_MaOpDv,M1_Train_Lab,M1_Train_IDNS,M1_Train_Tot,M1_Bus_Mng,M1_Bus_Pro,M1_Bus_TecTW,M1_Bus_CoPSW,M1_Bus_ClAW,M1_Bus_SWks,M1_Bus_MaOpDv,M1_Bus_Lab,M1_Bus_IDNS,M1_Bus_Tot,M1_Ferry_Mng,M1_Ferry_Pro,M1_Ferry_TecTW,M1_Ferry_CoPSW,M1_Ferry_ClAW,M1_Ferry_SWks,M1_Ferry_MaOpDv,M1_Ferry_Lab,M1_Ferry_IDNS,M1_Ferry_Tot,M1_Tram_or_LR_Mng,M1_Tram_or_LR_Pro,M1_Tram_or_LR_TecTW,M1_Tram_or_LR_CoPSW,M1_Tram_or_LR_ClAW,M1_Tram_or_LR_SWks,M1_Tram_or_LR_MaOpDv,M1_Tram_or_LR_Lab,M1_Tram_or_LR_IDNS,M1_Tram_or_LR_Tot,M1_Taxi_or_RSS_Mng,M1_Taxi_or_RSS_Pro,M1_Taxi_or_RSS_TecTW,M1_Taxi_or_RSS_CoPSW,M1_Taxi_or_RSS_ClAW,M1_Taxi_or_RSS_SWks,M1_Taxi_or_RSS_MaOpDv,M1_Taxi_or_RSS_Lab,M1_Taxi_or_RSS_IDNS,M1_Taxi_or_RSS_Tot,M1_CarAsDriv_Mng,M1_CarAsDriv_Pro,M1_CarAsDriv_TecTW,M1_CarAsDriv_CoPSW,M1_CarAsDriv_ClAW,M1_CarAsDriv_SWks,M1_CarAsDriv_MaOpDv,M1_CarAsDriv_Lab,M1_CarAsDriv_IDNS,M1_CarAsDriv_Tot,M1_CarAsPas_Mng,M1_CarAsPas_Pro,M1_CarAsPas_TecTW,M1_CarAsPas_CoPSW,M1_CarAsPas_ClAW,M1_CarAsPas_SWks,M1_CarAsPas_MaOpDv,M1_CarAsPas_Lab,M1_CarAsPas_IDNS,M1_CarAsPas_Tot,M1_Truck_Mng,M1_Truck_Pro,M1_Truck_TecTW,M1_Truck_CoPSW,M1_Truck_ClAW,M1_Truck_SWks,M1_Truck_MaOpDv,M1_Truck_Lab,M1_Truck_IDNS,M1_Truck_Tot,M1_MBikeScoot_Mng,M1_MBikeScoot_Pro,M1_MBikeScoot_TecTW,M1_MBikeScoot_CoPSW,M1_MBikeScoot_ClAW,M1_MBikeScoot_SWks,M1_MBikeScoot_MaOpDv,M1_MBikeScoot_Lab,M1_MBikeScoot_IDNS,M1_MBikeScoot_Tot,M1_Bicycle_Mng,M1_Bicycle_Pro,M1_Bicycle_TecTW,M1_Bicycle_CoPSW,M1_Bicycle_ClAW,M1_Bicycle_SWks,M1_Bicycle_MaOpDv,M1_Bicycle_Lab,M1_Bicycle_IDNS,M1_Bicycle_Tot,M1_Oth_Mng,M1_Oth_Pro,M1_Oth_TecTW,M1_Oth_CoPSW,M1_Oth_ClAW,M1_Oth_SWks,M1_Oth_MaOpDv,M1_Oth_Lab,M1_Oth_IDNS,M1_Oth_Tot,M1_WlkOnly_Mng,M1_WlkOnly_Pro,M1_WlkOnly_TecTW,M1_WlkOnly_CoPSW,M1_WlkOnly_ClAW,M1_WlkOnly_SWks,M1_WlkOnly_MaOpDv,M1_WlkOnly_Lab,M1_WlkOnly_IDNS,M1_WlkOnly_Tot,M1_Tot_M1_Mng,M1_Tot_M1_Pro,M1_Tot_M1_TecTW,M1_Tot_M1_CoPSW,M1_Tot_M1_ClAW,M1_Tot_M1_SWks,M1_Tot_M1_MaOpDv,M1_Tot_M1_Lab,M1_Tot_M1_IDNS,M1_Tot_M1_Tot,M2_TrnBus_Mng,M2_TrnBus_Pro,M2_TrnBus_TecTW,M2_TrnBus_CoPSW,M2_TrnBus_ClAW,M2_TrnBus_SWks,M2_TrnBus_MaOpDv,M2_TrnBus_Lab,M2_TrnBus_IDNS,M2_TrnBus_Tot,M2_TrnFer_Mng,M2_TrnFer_Pro,M2_TrnFer_TecTW,M2_TrnFer_CoPSW,M2_TrnFer_ClAW,M2_TrnFer_SWks,M2_TrnFer_MaOpDv,M2_TrnFer_Lab,M2_TrnFer_IDNS,M2_TrnFer_Tot,M2_TrnTrm_or_LR_Mng,M2_TrnTrm_or_LR_Pro,M2_TrnTrm_or_LR_TecTW,M2_TrnTrm_or_LR_CoPSW,M2_TrnTrm_or_LR_ClAW,M2_TrnTrm_or_LR_SWks,M2_TrnTrm_or_LR_MaOpDv,M2_TrnTrm_or_LR_Lab,M2_TrnTrm_or_LR_IDNS,M2_TrnTrm_or_LR_Tot,M2_TrnCarAsDriv_Mng,M2_TrnCarAsDriv_Pro,M2_TrnCarAsDriv_TecTW,M2_TrnCarAsDriv_CoPSW,M2_TrnCarAsDriv_ClAW,M2_TrnCarAsDriv_SWks,M2_TrnCarAsDriv_MaOpDv,M2_TrnCarAsDriv_Lab,M2_TrnCarAsDriv_IDNS,M2_TrnCarAsDriv_Tot,M2_TrnCarAsPa_Mng,M2_TrnCarAsPa_Pro,M2_TrnCarAsPa_TecTW,M2_TrnCarAsPa_CoPSW,M2_TrnCarAsPa_ClAW,M2_TrnCarAsPa_SWks,M2_TrnCarAsPa_MaOpDv,M2_TrnCarAsPa_Lab,M2_TrnCarAsPa_IDNS,M2_TrnCarAsPa_Tot,M2_TrnOth_Mng,M2_TrnOth_Pro,M2_TrnOth_TecTW,M2_TrnOth_CoPSW,M2_TrnOth_ClAW,M2_TrnOth_SWks,M2_TrnOth_MaOpDv,M2_TrnOth_Lab,M2_TrnOth_IDNS,M2_TrnOth_Tot,M2_Trn_and_Tot_Mng,M2_Trn_and_Tot_Pro,M2_Trn_and_Tot_TecTW,M2_Trn_and_Tot_CoPSW,M2_Trn_and_Tot_ClAW,M2_Trn_and_Tot_SWks,M2_Trn_and_Tot_MaOpDv,M2_Trn_and_Tot_Lab,M2_Trn_and_Tot_IDNS,M2_Trn_and_Tot_Tot
LGA50080,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,8,3,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,4,4,3,6,7,0,34,1302,2293,1813,1748,1343,1079,723,1201,130,11636,36,74,85,127,53,194,29,181,7,787,10,0,36,0,0,0,24,17,3,94,4,7,8,7,0,3,5,6,0,45,8,17,14,9,3,8,3,17,0,86,11,0,10,5,4,3,0,12,5,56,80,54,45,56,18,30,3,65,10,364,1467,2459,2023,1954,1431,1333,801,1505,160,13129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA50210,3,14,12,14,10,21,0,15,0,92,0,12,5,20,5,42,12,28,5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,12,4,19,9,12,3,64,1449,3444,2318,2293,1550,1337,966,1383,191,14935,44,90,91,143,61,273,51,274,18,1050,18,0,43,0,0,0,57,22,0,149,3,5,7,0,5,0,5,9,0,37,5,10,6,4,8,4,5,7,0,46,4,3,20,14,4,8,17,17,11,102,40,22,34,47,22,47,11,59,3,289,1569,3607,2544,2550,1666,1746,1139,1839,226,16885,0,11,9,17,5,16,3,4,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,0,11,0,4,0,0,0,3,3,0,0,15,0,0,0,0,0,0,0,0,0,10,3,16,14,20,0,24,9,13,0,98
LGA50250,0,7,3,0,0,0,0,0,3,18,50,143,943,12,57,3,1175,285,42,2707,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,9,28,4,0,0,14,6,0,61,306,397,782,150,192,66,342,220,74,2521,35,113,212,32,58,13,182,96,13,749,0,6,31,0,5,0,38,31,3,110,0,3,4,0,0,0,6,0,0,16,5,9,13,8,4,3,6,12,0,78,83,193,643,46,56,4,576,229,56,1886,69,69,168,80,53,30,82,158,18,729,554,948,2819,336,430,125,2415,1034,212,8877,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,3,0,0,0,3,0,0,12
LGA50280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,608,636,681,495,363,356,183,562,36,3904,25,13,46,44,18,55,6,119,5,323,0,0,13,0,0,0,10,0,0,22,0,0,0,0,0,0,0,4,0,16,12,17,9,11,0,11,3,16,0,90,13,3,3,3,0,0,0,9,0,36,79,26,28,38,17,32,3,58,3,290,742,691,779,597,395,466,210,764,47,4697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50350,3,0,4,3,4,6,5,15,0,47,0,0,5,12,0,0,0,13,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,15,572,569,1250,454,609,286,494,504,83,4824,14,12,39,28,29,27,31,86,5,279,0,0,9,0,4,0,16,7,0,39,0,0,8,0,3,0,0,5,0,22,3,9,9,0,0,0,0,5,0,31,3,0,15,0,6,0,7,3,0,32,3,9,5,11,5,12,7,12,0,65,598,612,1347,522,665,334,573,654,96,5388,0,3,5,9,3,3,7,24,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,5,9,15,9,7,3,10,25,0,69
LGA50420,10,16,24,20,9,11,3,10,3,101,15,30,37,71,18,99,14,85,7,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,7,20,8,8,11,16,0,95,1841,2746,2830,2222,1567,1511,977,1363,195,15245,60,81,113,175,72,238,40,235,13,1023,13,0,33,0,0,0,31,20,0,105,4,8,12,9,0,0,6,3,0,46,15,15,19,9,10,6,4,17,0,96,11,10,21,10,6,10,13,18,13,106,35,45,17,47,14,34,7,57,3,263,2015,2963,3114,2570,1706,1919,1107,1824,233,17460,15,10,12,20,4,14,3,20,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,3,0,0,0,24,0,4,0,3,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,4,15,15,19,28,9,22,3,26,0,133
LGA50490,10,18,14,14,11,6,8,20,3,90,33,89,108,70,50,90,94,115,12,658,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,20,28,32,26,18,21,56,30,0,230,4963,5657,4865,3466,5080,2377,4861,2193,542,34000,112,175,162,143,205,213,182,349,43,1577,28,5,40,0,60,3,116,35,7,288,9,24,20,11,10,4,26,4,4,118,29,53,23,6,16,3,20,11,0,162,35,50,174,12,63,6,168,65,17,593,27,35,34,42,27,33,23,56,3,283,5257,6135,5468,3796,5533,2757,5543,2876,635,38009,12,26,12,24,20,20,14,31,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,8,0,0,3,0,30,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,10,37,15,32,29,24,15,37,0,192
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,29,34,28,31,13,17,35,8,259,0,0,0,0,0,6,0,4,0,13,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,8,10,0,0,0,5,0,3,10,0,34,88,37,34,30,31,21,26,51,8,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,0,0,0,0,0,0,0,0,0,0,8,12,51,0,0,0,87,11,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,159,381,54,73,11,384,97,29,1281,4,7,34,4,4,0,35,9,0,104,0,0,3,0,3,0,3,4,0,12,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,13,0,3,0,15,0,5,31,13,4,8,6,6,4,5,17,0,56,130,180,482,63,89,12,528,140,35,1666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,36,35,29,36,25,24,48,5,304,0,0,0,4,0,0,0,8,0,14,0,0,0,0,0,0,5,0,0,9,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,6,18,0,0,0,3,4,3,8,0,38,92,42,45,36,40,33,31,67,3,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
