POW_LGA_CODE_2021,P_EWFT_35_39_ES_NS,P_EWFT_35_39_Tot,P_EWFT_40_44_E,P_EWFT_40_44_OM_IE,P_EWFT_40_44_OM_UIE,P_EWFT_40_44_CFW,P_EWFT_40_44_ES_NS,P_EWFT_40_44_Tot,P_EWFT_45_49_E,P_EWFT_45_49_OM_IE,P_EWFT_45_49_OM_UIE,P_EWFT_45_49_CFW,P_EWFT_45_49_ES_NS,P_EWFT_45_49_Tot,P_EWFT_50_54_E,P_EWFT_50_54_OM_IE,P_EWFT_50_54_OM_UIE,P_EWFT_50_54_CFW,P_EWFT_50_54_ES_NS,P_EWFT_50_54_Tot,P_EWFT_55_59_E,P_EWFT_55_59_OM_IE,P_EWFT_55_59_OM_UIE,P_EWFT_55_59_CFW,P_EWFT_55_59_ES_NS,P_EWFT_55_59_Tot,P_EWFT_60_64_E,P_EWFT_60_64_OM_IE,P_EWFT_60_64_OM_UIE,P_EWFT_60_64_CFW,P_EWFT_60_64_ES_NS,P_EWFT_60_64_Tot,P_EWFT_65_69_E,P_EWFT_65_69_OM_IE,P_EWFT_65_69_OM_UIE,P_EWFT_65_69_CFW,P_EWFT_65_69_ES_NS,P_EWFT_65_69_Tot,P_EWFT_70_74_E,P_EWFT_70_74_OM_IE,P_EWFT_70_74_OM_UIE,P_EWFT_70_74_CFW,P_EWFT_70_74_ES_NS,P_EWFT_70_74_Tot,P_EWFT_75ov_E,P_EWFT_75ov_OM_IE,P_EWFT_75ov_OM_UIE,P_EWFT_75ov_CFW,P_EWFT_75ov_ES_NS,P_EWFT_75ov_Tot,P_EWFT_Tot_E,P_EWFT_Tot_OM_IE,P_EWFT_Tot_OM_UIE,P_EWFT_Tot_CFW,P_EWFT_Tot_ES_NS,P_EWFT_Tot_Tot,P_EWPT_15_19_E,P_EWPT_15_19_OM_IE,P_EWPT_15_19_OM_UIE,P_EWPT_15_19_CFW,P_EWPT_15_19_ES_NS,P_EWPT_15_19_Tot,P_EWPT_20_24_E,P_EWPT_20_24_OM_IE,P_EWPT_20_24_OM_UIE,P_EWPT_20_24_CFW,P_EWPT_20_24_ES_NS,P_EWPT_20_24_Tot,P_EWPT_25_29_E,P_EWPT_25_29_OM_IE,P_EWPT_25_29_OM_UIE,P_EWPT_25_29_CFW,P_EWPT_25_29_ES_NS,P_EWPT_25_29_Tot,P_EWPT_30_34_E,P_EWPT_30_34_OM_IE,P_EWPT_30_34_OM_UIE,P_EWPT_30_34_CFW,P_EWPT_30_34_ES_NS,P_EWPT_30_34_Tot,P_EWPT_35_39_E,P_EWPT_35_39_OM_IE,P_EWPT_35_39_OM_UIE,P_EWPT_35_39_CFW,P_EWPT_35_39_ES_NS,P_EWPT_35_39_Tot,P_EWPT_40_44_E,P_EWPT_40_44_OM_IE,P_EWPT_40_44_OM_UIE,P_EWPT_40_44_CFW,P_EWPT_40_44_ES_NS,P_EWPT_40_44_Tot,P_EWPT_45_49_E,P_EWPT_45_49_OM_IE,P_EWPT_45_49_OM_UIE,P_EWPT_45_49_CFW,P_EWPT_45_49_ES_NS,P_EWPT_45_49_Tot,P_EWPT_50_54_E,P_EWPT_50_54_OM_IE,P_EWPT_50_54_OM_UIE,P_EWPT_50_54_CFW,P_EWPT_50_54_ES_NS,P_EWPT_50_54_Tot,P_EWPT_55_59_E,P_EWPT_55_59_OM_IE,P_EWPT_55_59_OM_UIE,P_EWPT_55_59_CFW,P_EWPT_55_59_ES_NS,P_EWPT_55_59_Tot,P_EWPT_60_64_E,P_EWPT_60_64_OM_IE,P_EWPT_60_64_OM_UIE,P_EWPT_60_64_CFW,P_EWPT_60_64_ES_NS,P_EWPT_60_64_Tot,P_EWPT_65_69_E,P_EWPT_65_69_OM_IE,P_EWPT_65_69_OM_UIE,P_EWPT_65_69_CFW,P_EWPT_65_69_ES_NS,P_EWPT_65_69_Tot,P_EWPT_70_74_E,P_EWPT_70_74_OM_IE,P_EWPT_70_74_OM_UIE,P_EWPT_70_74_CFW,P_EWPT_70_74_ES_NS,P_EWPT_70_74_Tot,P_EWPT_75ov_E,P_EWPT_75ov_OM_IE,P_EWPT_75ov_OM_UIE,P_EWPT_75ov_CFW,P_EWPT_75ov_ES_NS,P_EWPT_75ov_Tot,P_EWPT_Tot_E,P_EWPT_Tot_OM_IE,P_EWPT_Tot_OM_UIE,P_EWPT_Tot_CFW,P_EWPT_Tot_ES_NS,P_EWPT_Tot_Tot,P_EAFW_E,P_EAFW_OM_IE,P_EAFW_OM_UIE,P_EAFW_CFW,P_EAFW_ES_NS,P_EAFW_Tot,P_H_NS_E,P_H_NS_OM_IE,P_H_NS_OM_UIE,P_H_NS_CFW,P_H_NS_ES_NS,P_H_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA50080,3,813,730,76,84,11,8,902,865,82,114,15,8,1084,909,82,111,6,14,1123,738,105,113,22,7,985,556,63,99,25,5,752,166,40,54,15,0,287,40,12,32,18,3,106,11,6,16,3,0,40,7036,580,823,131,65,8635,856,0,0,11,3,872,383,4,10,0,3,405,372,7,17,10,4,406,419,12,44,11,4,480,486,12,74,21,0,592,498,21,54,14,5,588,484,28,60,9,4,582,487,23,75,15,8,593,488,20,66,25,7,612,542,31,94,27,12,700,235,30,78,24,4,372,106,18,50,24,3,204,39,9,27,19,4,103,5396,214,652,197,54,6516,688,31,56,28,18,818,203,10,35,11,20,270,13314,834,1566,372,154,16248
LGA50210,6,1381,1054,127,113,9,0,1306,943,139,106,5,0,1191,937,121,123,10,10,1201,725,94,113,6,3,939,522,65,60,10,3,664,204,38,36,4,5,279,43,18,12,4,0,75,11,12,6,0,3,33,9189,901,872,67,45,11076,1395,0,8,10,4,1416,974,8,35,0,0,1020,602,17,63,3,0,689,681,45,108,21,4,856,744,47,104,16,8,914,667,58,91,19,3,843,577,52,98,17,3,748,527,40,97,10,0,669,491,42,91,10,0,636,422,31,81,13,7,561,231,42,54,11,0,333,88,23,33,13,0,154,26,9,24,15,0,68,7409,409,895,164,35,8914,751,33,46,8,9,844,279,20,20,10,31,365,17628,1366,1832,247,122,21189
LGA50250,3,1462,1276,12,11,0,0,1304,1305,13,10,0,3,1337,1210,18,7,0,4,1241,988,19,17,0,0,1022,607,11,13,0,0,630,192,6,4,0,0,207,26,5,0,0,0,34,9,0,0,0,0,9,10195,144,83,13,21,10453,72,0,0,0,0,82,76,0,0,0,0,82,118,0,4,0,0,127,184,0,11,0,0,196,179,0,12,0,0,198,137,3,7,0,0,149,110,0,0,0,0,114,99,0,0,0,0,101,80,0,3,0,0,85,67,0,7,0,0,72,18,0,0,0,0,18,9,0,0,0,0,10,0,0,5,0,0,8,1155,9,55,6,6,1233,1693,6,13,5,11,1726,294,5,3,4,16,322,13330,165,153,30,51,13727
LGA50280,3,369,265,59,66,7,0,402,259,60,71,14,7,413,232,52,61,14,9,362,198,45,58,3,0,307,131,44,43,9,3,230,38,24,31,13,0,112,9,15,13,15,3,60,6,7,8,5,0,24,2117,369,448,85,31,3057,297,0,0,5,0,305,135,0,4,0,0,141,145,0,30,0,0,175,182,8,42,3,3,239,220,33,59,9,4,322,242,26,76,18,0,357,209,16,55,9,8,294,178,16,54,7,6,263,157,12,52,12,5,241,191,28,72,18,0,314,88,20,46,21,6,167,38,9,27,21,4,96,10,7,11,12,0,44,2089,170,537,131,26,2954,270,14,61,10,9,367,61,7,12,9,9,102,4539,560,1062,244,77,6483
LGA50350,5,524,444,33,15,4,0,499,395,45,36,3,3,476,447,38,31,3,0,525,378,39,29,0,0,442,229,26,25,0,0,287,99,16,9,0,0,126,23,5,3,0,0,36,0,0,0,0,0,3,3729,268,214,16,20,4241,199,0,0,0,0,203,202,0,6,0,0,212,121,4,13,0,0,133,137,9,17,0,0,163,159,8,40,4,0,214,142,6,33,0,0,180,133,16,25,4,0,173,107,15,25,0,0,154,143,13,20,4,0,182,101,14,20,0,0,138,71,14,10,3,3,98,28,10,4,0,3,48,4,4,3,8,0,19,1545,104,223,32,10,1922,133,11,12,0,4,157,79,9,8,0,12,99,5497,381,441,50,45,6420
LGA50420,3,1354,1034,169,89,14,5,1308,964,186,119,12,10,1285,1005,199,135,12,4,1352,828,148,137,14,3,1125,555,122,111,4,3,796,198,58,56,4,4,312,58,29,17,5,5,111,8,6,11,0,0,29,9177,1229,949,85,50,11490,1231,7,12,0,0,1248,1195,6,41,6,5,1253,727,15,59,8,3,806,585,33,95,11,0,725,655,51,109,17,5,841,580,56,86,12,0,736,534,50,86,10,0,678,556,43,100,11,0,716,492,43,112,21,11,676,455,45,113,18,3,633,240,54,94,21,8,411,118,33,55,17,0,221,39,16,26,15,11,107,7401,449,984,160,54,9048,624,25,35,5,6,703,277,20,25,12,30,355,17480,1725,1989,263,134,21593
LGA50490,15,4475,3616,168,72,9,9,3875,3529,149,90,6,3,3784,3161,163,91,6,12,3435,2623,168,77,9,6,2881,1632,109,73,6,3,1825,551,62,41,0,0,658,116,19,20,0,0,162,21,12,8,3,0,42,29258,1214,736,64,68,31339,1116,0,5,10,4,1136,1706,4,29,0,6,1743,1190,17,51,3,4,1259,1155,37,75,11,5,1281,1140,47,63,11,3,1269,954,32,54,7,9,1058,815,36,60,5,3,917,701,35,54,12,3,802,716,49,49,7,7,832,571,39,55,5,4,684,375,21,43,10,0,444,150,18,37,12,0,212,44,16,20,10,5,87,10625,342,596,97,52,11715,2050,34,30,16,19,2146,629,30,30,24,60,780,42566,1623,1396,202,198,45984
LGA50560,0,20,21,4,6,0,0,35,18,6,3,0,3,29,21,7,13,0,0,42,13,7,9,3,0,31,16,5,4,0,0,21,7,3,11,4,0,19,0,0,4,3,0,6,0,0,0,0,0,5,131,46,55,18,7,260,3,0,0,0,0,3,10,0,0,0,0,10,8,0,0,0,0,10,8,0,0,0,0,8,12,0,4,0,0,17,12,0,0,0,0,8,10,3,0,0,0,15,8,3,0,3,0,13,16,0,4,0,0,23,19,3,12,0,0,33,7,0,5,0,0,22,6,0,8,8,0,12,0,0,3,4,0,9,109,12,33,20,0,177,15,0,13,3,4,31,3,3,0,6,5,14,261,63,103,50,18,490
LGA50630,0,254,222,4,0,4,0,229,208,8,4,0,0,224,240,3,3,0,0,250,169,0,5,0,0,178,112,0,11,0,0,117,41,0,0,0,0,44,3,5,0,0,0,7,0,0,0,0,0,5,1699,30,39,9,4,1782,10,0,0,3,0,11,17,0,0,0,0,12,21,0,0,0,0,22,15,0,0,0,0,19,24,0,0,0,0,32,24,6,3,0,0,30,33,0,0,0,0,32,25,0,3,0,0,29,31,0,4,0,0,37,33,0,0,3,3,35,10,0,0,3,0,14,3,0,0,0,0,3,0,0,7,6,0,12,238,9,16,20,3,292,260,3,3,0,4,272,58,0,3,0,4,66,2257,43,65,32,16,2411
LGA50770,0,35,21,7,8,8,0,44,36,7,15,3,0,62,22,8,6,7,4,42,17,8,18,13,0,49,20,11,7,9,0,38,6,0,6,5,0,23,0,0,9,6,0,21,0,0,11,10,0,21,185,45,99,69,4,403,13,0,0,0,0,18,16,0,0,0,0,14,3,0,0,5,0,4,12,0,0,4,0,19,10,0,3,3,0,17,12,0,0,0,0,15,8,0,3,0,0,16,11,0,3,0,0,15,16,0,9,3,0,25,10,0,5,0,0,21,6,0,0,5,0,14,3,0,3,5,0,16,4,0,3,5,0,18,136,7,38,26,4,214,20,3,10,5,0,29,6,0,3,6,0,11,341,61,144,103,15,666
