POW_LGA_CODE_2021,Pro_300_399_H_0,Pro_300_399_H_1_19,Pro_300_399_H_20_29,Pro_300_399_H_30_34,Pro_300_399_H_35_39,Pro_300_399_H_40_44,Pro_300_399_H_45_49,Pro_300_399_H_50ov,Pro_300_399_H_NS,Pro_300_399_H_Tot,Pro_400_499_H_0,Pro_400_499_H_1_19,Pro_400_499_H_20_29,Pro_400_499_H_30_34,Pro_400_499_H_35_39,Pro_400_499_H_40_44,Pro_400_499_H_45_49,Pro_400_499_H_50ov,Pro_400_499_H_NS,Pro_400_499_H_Tot,Pro_500_649_H_0,Pro_500_649_H_1_19,Pro_500_649_H_20_29,Pro_500_649_H_30_34,Pro_500_649_H_35_39,Pro_500_649_H_40_44,Pro_500_649_H_45_49,Pro_500_649_H_50ov,Pro_500_649_H_NS,Pro_500_649_H_Tot,Pro_650_799_H_0,Pro_650_799_H_1_19,Pro_650_799_H_20_29,Pro_650_799_H_30_34,Pro_650_799_H_35_39,Pro_650_799_H_40_44,Pro_650_799_H_45_49,Pro_650_799_H_50ov,Pro_650_799_H_NS,Pro_650_799_H_Tot,Pro_800_999_H_0,Pro_800_999_H_1_19,Pro_800_999_H_20_29,Pro_800_999_H_30_34,Pro_800_999_H_35_39,Pro_800_999_H_40_44,Pro_800_999_H_45_49,Pro_800_999_H_50ov,Pro_800_999_H_NS,Pro_800_999_H_Tot,Pro_1000_1249_H_0,Pro_1000_1249_H_1_19,Pro_1000_1249_H_20_29,Pro_1000_1249_H_30_34,Pro_1000_1249_H_35_39,Pro_1000_1249_H_40_44,Pro_1000_1249_H_45_49,Pro_1000_1249_H_50ov,Pro_1000_1249_H_NS,Pro_1000_1249_H_Tot,Pro_1250_1499_H_0,Pro_1250_1499_H_1_19,Pro_1250_1499_H_20_29,Pro_1250_1499_H_30_34,Pro_1250_1499_H_35_39,Pro_1250_1499_H_40_44,Pro_1250_1499_H_45_49,Pro_1250_1499_H_50ov,Pro_1250_1499_H_NS,Pro_1250_1499_H_Tot,Pro_1500_1749_H_0,Pro_1500_1749_H_1_19,Pro_1500_1749_H_20_29,Pro_1500_1749_H_30_34,Pro_1500_1749_H_35_39,Pro_1500_1749_H_40_44,Pro_1500_1749_H_45_49,Pro_1500_1749_H_50ov,Pro_1500_1749_H_NS,Pro_1500_1749_H_Tot,Pro_1750_1999_H_0,Pro_1750_1999_H_1_19,Pro_1750_1999_H_20_29,Pro_1750_1999_H_30_34,Pro_1750_1999_H_35_39,Pro_1750_1999_H_40_44,Pro_1750_1999_H_45_49,Pro_1750_1999_H_50ov,Pro_1750_1999_H_NS,Pro_1750_1999_H_Tot,Pro_2000_2999_H_0,Pro_2000_2999_H_1_19,Pro_2000_2999_H_20_29,Pro_2000_2999_H_30_34,Pro_2000_2999_H_35_39,Pro_2000_2999_H_40_44,Pro_2000_2999_H_45_49,Pro_2000_2999_H_50ov,Pro_2000_2999_H_NS,Pro_2000_2999_H_Tot,Pro_3000_3499_H_0,Pro_3000_3499_H_1_19,Pro_3000_3499_H_20_29,Pro_3000_3499_H_30_34,Pro_3000_3499_H_35_39,Pro_3000_3499_H_40_44,Pro_3000_3499_H_45_49,Pro_3000_3499_H_50ov,Pro_3000_3499_H_NS,Pro_3000_3499_H_Tot,Pro_3500mo_H_0,Pro_3500mo_H_1_19,Pro_3500mo_H_20_29,Pro_3500mo_H_30_34,Pro_3500mo_H_35_39,Pro_3500mo_H_40_44,Pro_3500mo_H_45_49,Pro_3500mo_H_50ov,Pro_3500mo_H_NS,Pro_3500mo_H_Tot,Pro_PINS_H_0,Pro_PINS_H_1_19,Pro_PINS_H_20_29,Pro_PINS_H_30_34,Pro_PINS_H_35_39,Pro_PINS_H_40_44,Pro_PINS_H_45_49,Pro_PINS_H_50ov,Pro_PINS_H_NS,Pro_PINS_H_Tot,Pro_Tot_H_0,Pro_Tot_H_1_19,Pro_Tot_H_20_29,Pro_Tot_H_30_34,Pro_Tot_H_35_39,Pro_Tot_H_40_44,Pro_Tot_H_45_49,Pro_Tot_H_50ov,Pro_Tot_H_NS,Pro_Tot_H_Tot,TaTW_NNI_H_0,TaTW_NNI_H_1_19,TaTW_NNI_H_20_29,TaTW_NNI_H_30_34,TaTW_NNI_H_35_39,TaTW_NNI_H_40_44,TaTW_NNI_H_45_49,TaTW_NNI_H_50ov,TaTW_NNI_H_NS,TaTW_NNI_H_Tot,TaTW_1_149_H_0,TaTW_1_149_H_1_19,TaTW_1_149_H_20_29,TaTW_1_149_H_30_34,TaTW_1_149_H_35_39,TaTW_1_149_H_40_44,TaTW_1_149_H_45_49,TaTW_1_149_H_50ov,TaTW_1_149_H_NS,TaTW_1_149_H_Tot,TaTW_150_299_H_0,TaTW_150_299_H_1_19,TaTW_150_299_H_20_29,TaTW_150_299_H_30_34,TaTW_150_299_H_35_39,TaTW_150_299_H_40_44,TaTW_150_299_H_45_49,TaTW_150_299_H_50ov,TaTW_150_299_H_NS,TaTW_150_299_H_Tot,TaTW_300_399_H_0,TaTW_300_399_H_1_19,TaTW_300_399_H_20_29,TaTW_300_399_H_30_34,TaTW_300_399_H_35_39,TaTW_300_399_H_40_44,TaTW_300_399_H_45_49,TaTW_300_399_H_50ov,TaTW_300_399_H_NS,TaTW_300_399_H_Tot,TaTW_400_499_H_0,TaTW_400_499_H_1_19,TaTW_400_499_H_20_29,TaTW_400_499_H_30_34,TaTW_400_499_H_35_39,TaTW_400_499_H_40_44,TaTW_400_499_H_45_49,TaTW_400_499_H_50ov,TaTW_400_499_H_NS,TaTW_400_499_H_Tot,TaTW_500_649_H_0,TaTW_500_649_H_1_19,TaTW_500_649_H_20_29,TaTW_500_649_H_30_34,TaTW_500_649_H_35_39,TaTW_500_649_H_40_44,TaTW_500_649_H_45_49,TaTW_500_649_H_50ov,TaTW_500_649_H_NS,TaTW_500_649_H_Tot
LGA50080,3,28,4,3,0,4,0,0,0,42,0,31,9,4,3,0,0,9,0,51,12,58,27,9,0,0,0,0,0,105,14,57,43,16,18,17,0,8,0,169,11,46,54,34,20,23,7,8,4,210,16,41,84,70,86,46,8,27,0,379,13,23,58,64,99,65,10,25,0,363,21,24,41,76,132,107,34,45,0,483,21,13,17,30,100,139,26,57,0,422,34,20,29,40,107,157,63,109,4,564,0,0,4,3,12,16,3,17,0,64,0,5,3,14,18,50,25,46,0,167,0,4,4,0,0,0,0,0,3,10,157,388,390,370,622,617,187,351,13,3091,0,0,0,0,0,0,0,0,0,6,0,6,4,0,0,0,0,3,0,14,3,18,3,0,0,0,0,0,0,33,0,24,12,9,5,3,3,0,0,59,4,27,19,12,17,25,8,3,0,115,5,29,47,19,39,47,18,15,0,207
LGA50210,3,35,6,3,0,5,3,0,0,65,0,57,15,3,0,0,0,0,0,84,6,59,37,13,4,5,4,0,0,129,11,55,42,17,16,11,0,0,0,152,21,60,85,46,44,26,0,12,0,291,19,44,113,66,99,72,13,18,6,447,27,25,81,106,141,127,36,50,0,584,43,13,59,103,173,202,64,87,3,755,26,16,21,57,142,205,67,109,0,651,47,16,34,51,202,264,107,195,6,912,0,0,3,16,17,29,5,23,0,109,5,4,14,22,30,78,16,61,0,221,0,0,3,0,7,7,0,0,5,32,229,463,519,508,881,1044,330,556,29,4553,0,0,4,0,0,0,0,4,0,12,0,15,3,0,0,6,0,0,0,22,3,42,3,5,3,3,0,0,0,60,0,45,17,7,9,3,0,0,0,90,3,40,29,11,13,23,5,6,0,128,4,43,65,18,36,34,15,14,0,237
LGA50250,0,3,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,5,3,3,3,0,0,0,0,0,0,10,0,4,0,0,4,0,0,5,0,13,0,0,5,0,5,3,0,4,0,14,0,0,8,8,4,8,4,3,0,36,6,0,5,3,8,6,7,19,0,57,11,0,5,3,6,16,7,25,0,78,10,0,9,3,10,18,13,52,0,113,38,11,8,3,18,49,75,239,0,446,24,9,10,0,11,19,52,169,0,297,30,9,17,3,4,25,59,191,0,330,0,0,0,0,0,0,0,0,3,4,122,43,65,22,73,148,228,711,11,1428,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,3,0,12,0,8,0,0,0,3,4,9,0,22
LGA50280,0,18,0,4,0,4,0,0,0,30,3,24,8,4,0,0,0,0,0,37,3,25,15,5,4,4,0,4,0,61,5,23,14,5,6,6,3,4,0,69,4,13,18,15,12,5,7,11,0,85,10,10,30,19,13,18,3,9,0,126,8,5,18,21,23,29,9,11,0,114,12,7,12,20,29,36,7,10,0,135,4,0,10,16,19,31,20,20,0,124,3,14,8,16,19,41,23,33,0,154,5,0,3,0,4,3,4,3,0,26,5,0,0,4,7,12,0,19,0,55,0,0,0,0,0,0,0,0,0,5,61,159,146,119,138,188,86,127,8,1040,0,0,0,0,0,0,0,4,0,4,0,7,0,0,0,0,0,0,0,9,0,10,3,0,0,0,0,3,0,22,0,15,9,8,0,0,0,3,0,34,3,11,16,5,5,11,0,3,0,62,5,13,18,9,13,11,3,4,4,75
LGA50350,0,8,3,0,0,0,0,0,0,17,0,4,0,0,0,0,0,0,0,17,0,10,3,4,0,0,0,0,0,30,3,15,16,3,0,0,0,0,3,41,3,10,18,3,10,9,0,9,0,59,3,10,12,20,22,14,10,3,0,100,8,5,15,16,27,27,12,10,0,125,3,6,13,10,24,30,11,12,0,108,8,5,3,5,35,28,11,16,0,107,4,3,5,13,37,44,22,35,0,163,0,0,0,0,4,3,5,4,0,28,0,0,0,0,0,0,6,7,0,20,0,0,0,0,0,0,0,0,4,8,36,95,109,86,162,173,80,104,11,850,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,4,0,5,7,0,0,7,0,0,0,21,4,5,4,6,11,9,0,7,4,38,0,12,13,4,12,17,0,3,0,64
LGA50420,4,62,10,3,6,0,0,4,0,96,3,51,19,9,3,6,3,0,0,88,7,72,45,17,6,11,5,6,5,172,6,62,79,17,20,23,0,14,0,226,12,62,69,39,47,30,4,13,8,282,21,53,79,48,101,77,11,16,0,405,19,36,64,57,144,116,26,40,7,507,18,23,38,65,150,157,43,49,0,541,22,17,24,35,134,97,36,63,4,432,31,22,37,41,116,188,75,137,0,641,0,3,11,13,16,32,7,35,0,118,5,8,19,16,24,51,20,63,3,213,0,7,3,4,4,8,0,0,9,30,144,577,509,358,767,801,241,442,35,3876,0,6,0,0,0,5,0,4,3,21,0,11,4,0,0,0,0,0,0,21,3,21,10,4,4,9,0,0,0,46,4,47,18,0,9,15,0,10,0,111,0,46,37,13,24,28,5,8,0,156,3,36,59,27,46,44,21,12,8,252
LGA50490,0,33,10,0,0,5,0,3,0,59,0,40,17,4,0,4,0,0,0,74,3,43,29,14,6,6,0,5,4,119,9,40,60,18,17,7,0,8,0,164,4,46,73,33,60,60,11,10,0,304,25,36,71,57,166,191,31,40,7,629,25,29,46,58,227,285,57,64,4,795,31,25,40,64,257,346,79,103,8,949,29,24,27,40,218,320,86,95,6,851,73,55,87,92,426,742,207,340,13,2034,30,27,14,28,92,220,61,119,8,589,60,60,51,51,115,288,85,224,5,940,0,0,0,0,6,7,3,3,11,38,309,522,544,460,1598,2489,625,1009,77,7640,5,0,0,0,0,0,0,0,3,18,0,9,6,0,0,7,0,0,4,26,9,22,4,0,0,0,0,3,0,34,0,38,15,6,0,9,0,0,0,73,0,31,29,3,12,14,3,3,0,112,6,40,52,14,29,48,10,5,0,198
LGA50560,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,5,6,3,4,13,6,3,0,53,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,10,0,0,0,5,4,0,0,0,0,8,0,0,0,0,0,0,0,5,0,5,3,0,0,6,0,0,4,3,4,16,0,0,0,6,4,7,4,14,0,29,4,5,6,0,7,27,5,35,0,85,3,0,0,0,3,6,9,14,0,38,0,0,0,0,4,19,6,14,0,40,0,0,0,0,0,0,0,0,0,0,18,12,11,8,18,61,25,78,5,245,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,9
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,7,0,0,0,4,0,6,0,0,0,9,0,0,0,0,0,3,0,7,0,9,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,3,4,12,3,17,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3
