POW_LGA_CODE_2021,St_Em_NS_35_39_HW_0,St_Em_NS_35_39_HW_1_19,St_Em_NS_35_39_HW_20_29,St_Em_NS_35_39_HW_30_34,St_Em_NS_35_39_HW_35_39,St_Em_NS_35_39_HW_40_44,St_Em_NS_35_39_HW_45_49,St_Em_NS_35_39_HW_50mor,St_Em_NS_35_39_HW_NS,St_Em_NS_35_39_Tot,St_Em_NS_40_44_HW_0,St_Em_NS_40_44_HW_1_19,St_Em_NS_40_44_HW_20_29,St_Em_NS_40_44_HW_30_34,St_Em_NS_40_44_HW_35_39,St_Em_NS_40_44_HW_40_44,St_Em_NS_40_44_HW_45_49,St_Em_NS_40_44_HW_50mor,St_Em_NS_40_44_HW_NS,St_Em_NS_40_44_Tot,St_Em_NS_45_49_HW_0,St_Em_NS_45_49_HW_1_19,St_Em_NS_45_49_HW_20_29,St_Em_NS_45_49_HW_30_34,St_Em_NS_45_49_HW_35_39,St_Em_NS_45_49_HW_40_44,St_Em_NS_45_49_HW_45_49,St_Em_NS_45_49_HW_50mor,St_Em_NS_45_49_HW_NS,St_Em_NS_45_49_Tot,St_Em_NS_50_54_HW_0,St_Em_NS_50_54_HW_1_19,St_Em_NS_50_54_HW_20_29,St_Em_NS_50_54_HW_30_34,St_Em_NS_50_54_HW_35_39,St_Em_NS_50_54_HW_40_44,St_Em_NS_50_54_HW_45_49,St_Em_NS_50_54_HW_50mor,St_Em_NS_50_54_HW_NS,St_Em_NS_50_54_Tot,St_Em_NS_55_59_HW_0,St_Em_NS_55_59_HW_1_19,St_Em_NS_55_59_HW_20_29,St_Em_NS_55_59_HW_30_34,St_Em_NS_55_59_HW_35_39,St_Em_NS_55_59_HW_40_44,St_Em_NS_55_59_HW_45_49,St_Em_NS_55_59_HW_50mor,St_Em_NS_55_59_HW_NS,St_Em_NS_55_59_Tot,St_Em_NS_60_64_HW_0,St_Em_NS_60_64_HW_1_19,St_Em_NS_60_64_HW_20_29,St_Em_NS_60_64_HW_30_34,St_Em_NS_60_64_HW_35_39,St_Em_NS_60_64_HW_40_44,St_Em_NS_60_64_HW_45_49,St_Em_NS_60_64_HW_50mor,St_Em_NS_60_64_HW_NS,St_Em_NS_60_64_Tot,St_Em_NS_65_69_HW_0,St_Em_NS_65_69_HW_1_19,St_Em_NS_65_69_HW_20_29,St_Em_NS_65_69_HW_30_34,St_Em_NS_65_69_HW_35_39,St_Em_NS_65_69_HW_40_44,St_Em_NS_65_69_HW_45_49,St_Em_NS_65_69_HW_50mor,St_Em_NS_65_69_HW_NS,St_Em_NS_65_69_Tot,St_Em_NS_70_74_HW_0,St_Em_NS_70_74_HW_1_19,St_Em_NS_70_74_HW_20_29,St_Em_NS_70_74_HW_30_34,St_Em_NS_70_74_HW_35_39,St_Em_NS_70_74_HW_40_44,St_Em_NS_70_74_HW_45_49,St_Em_NS_70_74_HW_50mor,St_Em_NS_70_74_HW_NS,St_Em_NS_70_74_Tot,St_Em_NS_75ov_HW_0,St_Em_NS_75ov_HW_1_19,St_Em_NS_75ov_HW_20_29,St_Em_NS_75ov_HW_30_34,St_Em_NS_75ov_HW_35_39,St_Em_NS_75ov_HW_40_44,St_Em_NS_75ov_HW_45_49,St_Em_NS_75ov_HW_50mor,St_Em_NS_75ov_HW_NS,St_Em_NS_75ov_Tot,St_Em_NS_Tot_HW_0,St_Em_NS_Tot_HW_1_19,St_Em_NS_Tot_HW_20_29,St_Em_NS_Tot_HW_30_34,St_Em_NS_Tot_HW_35_39,St_Em_NS_Tot_HW_40_44,St_Em_NS_Tot_HW_45_49,St_Em_NS_Tot_HW_50mor,St_Em_NS_Tot_HW_NS,St_Em_NS_Tot_Tot,Tot_15_19_HW_0,Tot_15_19_HW_1_19,Tot_15_19_HW_20_29,Tot_15_19_HW_30_34,Tot_15_19_HW_35_39,Tot_15_19_HW_40_44,Tot_15_19_HW_45_49,Tot_15_19_HW_50mor,Tot_15_19_HW_NS,Tot_15_19_Tot,Tot_20_24_HW_0,Tot_20_24_HW_1_19,Tot_20_24_HW_20_29,Tot_20_24_HW_30_34,Tot_20_24_HW_35_39,Tot_20_24_HW_40_44,Tot_20_24_HW_45_49,Tot_20_24_HW_50mor,Tot_20_24_HW_NS,Tot_20_24_Tot,Tot_25_29_HW_0,Tot_25_29_HW_1_19,Tot_25_29_HW_20_29,Tot_25_29_HW_30_34,Tot_25_29_HW_35_39,Tot_25_29_HW_40_44,Tot_25_29_HW_45_49,Tot_25_29_HW_50mor,Tot_25_29_HW_NS,Tot_25_29_Tot,Tot_30_34_HW_0,Tot_30_34_HW_1_19,Tot_30_34_HW_20_29,Tot_30_34_HW_30_34,Tot_30_34_HW_35_39,Tot_30_34_HW_40_44,Tot_30_34_HW_45_49,Tot_30_34_HW_50mor,Tot_30_34_HW_NS,Tot_30_34_Tot,Tot_35_39_HW_0,Tot_35_39_HW_1_19,Tot_35_39_HW_20_29,Tot_35_39_HW_30_34,Tot_35_39_HW_35_39,Tot_35_39_HW_40_44,Tot_35_39_HW_45_49,Tot_35_39_HW_50mor,Tot_35_39_HW_NS,Tot_35_39_Tot,Tot_40_44_HW_0,Tot_40_44_HW_1_19,Tot_40_44_HW_20_29,Tot_40_44_HW_30_34,Tot_40_44_HW_35_39,Tot_40_44_HW_40_44,Tot_40_44_HW_45_49,Tot_40_44_HW_50mor,Tot_40_44_HW_NS,Tot_40_44_Tot,Tot_45_49_HW_0,Tot_45_49_HW_1_19,Tot_45_49_HW_20_29,Tot_45_49_HW_30_34,Tot_45_49_HW_35_39,Tot_45_49_HW_40_44,Tot_45_49_HW_45_49,Tot_45_49_HW_50mor,Tot_45_49_HW_NS,Tot_45_49_Tot,Tot_50_54_HW_0,Tot_50_54_HW_1_19,Tot_50_54_HW_20_29,Tot_50_54_HW_30_34,Tot_50_54_HW_35_39,Tot_50_54_HW_40_44,Tot_50_54_HW_45_49,Tot_50_54_HW_50mor,Tot_50_54_HW_NS,Tot_50_54_Tot,Tot_55_59_HW_0,Tot_55_59_HW_1_19,Tot_55_59_HW_20_29,Tot_55_59_HW_30_34,Tot_55_59_HW_35_39,Tot_55_59_HW_40_44,Tot_55_59_HW_45_49,Tot_55_59_HW_50mor,Tot_55_59_HW_NS,Tot_55_59_Tot,Tot_60_64_HW_0,Tot_60_64_HW_1_19,Tot_60_64_HW_20_29,Tot_60_64_HW_30_34,Tot_60_64_HW_35_39,Tot_60_64_HW_40_44,Tot_60_64_HW_45_49,Tot_60_64_HW_50mor,Tot_60_64_HW_NS,Tot_60_64_Tot
LGA50080,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,5,8,0,0,0,0,0,0,0,0,0,10,4,5,0,0,7,3,0,6,4,28,0,4,5,4,0,3,0,4,0,18,4,6,0,4,0,3,0,0,6,25,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,18,22,24,11,23,17,5,15,20,154,45,648,142,80,142,110,45,30,24,1266,32,139,147,118,304,220,67,88,37,1149,86,144,147,109,286,234,76,142,25,1255,91,173,167,141,262,276,101,165,23,1400,51,234,235,120,269,262,95,185,29,1485,55,183,220,183,277,314,121,193,15,1556,53,190,205,181,331,361,147,242,25,1742,92,190,223,183,351,386,138,248,34,1851,112,198,237,174,316,328,83,258,16,1725,109,281,254,173,253,238,78,182,20,1589
LGA50210,0,3,0,3,4,0,0,0,0,11,0,0,0,4,0,4,0,0,5,9,0,3,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,6,4,13,0,0,0,0,0,3,0,0,0,8,0,6,5,0,0,4,0,0,0,16,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,3,0,0,0,10,9,12,13,9,12,24,0,11,31,122,53,1089,233,98,125,86,34,37,24,1780,62,472,343,201,400,308,102,116,48,2055,115,260,240,186,502,472,163,235,56,2224,127,327,330,203,452,486,171,318,43,2452,92,339,346,233,481,480,119,295,42,2432,56,267,328,248,424,463,119,303,36,2246,51,233,274,239,414,408,120,254,33,2027,71,208,262,203,415,374,124,285,30,1972,76,195,242,199,293,308,109,230,27,1685,71,204,213,142,240,206,67,144,11,1299
LGA50250,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,7,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,0,0,0,0,0,0,15,16,51,16,58,14,9,12,17,8,55,9,197,66,24,26,34,30,51,52,421,28,734,151,57,46,24,57,93,97,848,42,1416,229,96,73,32,81,109,162,1109,48,1934,230,80,85,35,74,126,137,1124,50,1943,198,59,64,24,74,110,119,992,25,1675,206,46,47,23,71,94,97,1071,29,1682,226,44,42,21,49,90,90,1018,37,1601,204,41,31,18,28,71,70,851,27,1344,132,32,24,18,30,50,52,502,14,850
LGA50280,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,5,0,0,3,0,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,11,0,5,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,6,9,6,8,5,9,4,4,12,9,77,31,246,42,20,27,36,12,3,11,419,15,51,48,42,58,68,19,24,4,331,21,52,61,60,81,103,30,52,9,459,29,103,68,69,99,108,18,59,10,572,39,132,118,72,116,130,39,84,11,733,40,132,145,72,106,136,57,100,10,804,28,93,142,61,107,146,37,112,6,746,40,75,99,86,93,123,50,97,7,670,43,91,87,61,90,106,35,82,10,593,51,133,121,63,70,72,17,63,4,599
LGA50350,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,0,6,7,0,6,12,45,5,159,30,15,40,44,7,17,5,310,10,89,86,33,130,110,47,64,22,590,12,50,48,37,128,146,59,85,14,582,26,63,60,39,160,154,46,92,12,645,17,76,84,52,163,176,72,112,11,766,10,56,68,55,161,144,72,123,10,703,11,49,69,53,140,156,53,125,10,676,13,48,59,48,166,159,62,131,6,699,20,56,66,59,154,147,52,94,9,653,17,44,60,38,111,75,34,66,0,443
LGA50420,0,0,7,0,0,6,0,0,4,19,0,0,3,0,0,0,4,8,3,13,0,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,3,11,0,0,3,3,0,4,0,0,0,20,0,0,0,0,0,0,0,0,0,11,0,5,0,0,0,3,0,0,0,9,0,0,0,0,5,0,0,0,0,7,0,5,3,0,0,0,0,0,0,9,6,28,11,12,19,19,9,11,30,134,52,993,194,60,102,89,23,19,29,1567,63,625,447,186,388,318,96,116,58,2294,70,280,349,184,513,425,140,208,56,2212,95,278,271,173,475,495,151,263,53,2252,68,306,323,204,481,447,124,297,46,2305,57,269,286,184,406,471,154,283,27,2134,49,219,272,187,369,436,157,330,20,2027,57,241,248,223,432,411,179,336,22,2150,69,215,252,202,369,355,123,279,20,1880,59,254,229,149,295,234,75,189,12,1495
LGA50490,5,7,0,0,0,4,0,3,5,26,0,5,3,0,3,0,0,0,7,19,0,5,0,3,4,3,0,0,11,15,3,0,5,0,3,0,0,10,3,25,3,0,4,0,4,0,0,3,5,24,0,0,0,4,0,4,0,0,0,9,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,3,19,25,15,12,20,20,0,28,60,198,64,836,219,81,130,145,29,59,38,1590,133,759,677,305,733,743,190,356,117,4019,260,423,494,348,1141,1203,379,747,125,5114,339,406,531,348,1292,1503,519,1044,120,6093,339,429,501,335,1333,1526,536,1076,82,6160,208,324,430,309,1074,1346,448,1006,71,5208,165,288,337,294,1018,1323,491,953,67,4937,189,259,285,255,940,1146,438,912,57,4482,213,263,320,243,843,958,335,749,56,3978,146,243,271,167,565,630,223,402,32,2683
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,5,18,0,6,0,0,0,0,0,9,0,15,3,3,0,0,0,3,0,0,0,17,0,4,3,0,3,3,5,0,0,23,0,0,3,0,5,9,3,4,0,31,0,5,3,3,3,9,0,5,0,39,0,7,4,3,5,14,4,11,4,50,6,3,10,0,7,12,4,14,3,52,5,5,6,3,5,13,8,18,0,60,0,7,13,6,4,15,0,14,0,47,10,10,16,8,7,4,0,9,0,65
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,16,3,11,6,0,0,6,6,16,9,54,16,6,9,3,3,16,9,47,3,110,25,9,6,5,14,13,32,105,9,208,33,6,15,0,13,30,26,132,7,261,36,14,9,8,13,39,27,172,9,334,27,6,16,6,12,36,27,152,6,293,38,10,15,5,16,34,23,145,4,296,35,8,20,3,22,46,25,161,7,320,34,14,21,6,19,32,16,118,6,252,20,18,12,4,8,23,10,78,0,179
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,15,0,8,0,4,3,6,0,0,0,26,3,10,3,0,6,5,3,7,4,44,0,4,0,4,0,5,6,11,0,26,0,8,4,7,6,10,0,5,0,39,0,7,8,5,3,13,0,11,0,52,0,13,0,6,0,13,4,23,4,63,3,9,5,0,8,24,3,29,0,84,0,5,3,3,9,8,7,18,4,60,3,7,12,5,5,17,7,26,0,82,10,7,11,8,0,15,4,26,0,64
