POW_LGA_CODE_2021,IE_AgFF_OMOE_Nil_em,IE_AgFF_OMOE_1_19_em,IE_AgFF_OMOE_20mo_em,IE_AgFF_OMOE_NE_NS,IE_AgFF_Tot,IE_Min_OMOE_Nil_em,IE_Min_OMOE_1_19_em,IE_Min_OMOE_20mo_em,IE_Min_OMOE_NE_NS,IE_Min_Tot,IE_Mnf_OMOE_Nil_em,IE_Mnf_OMOE_1_19_em,IE_Mnf_OMOE_20mo_em,IE_Mnf_OMOE_NE_NS,IE_Mnf_Tot,IE_EGWWS_OMOE_Nil_em,IE_EGWWS_OMOE_1_19_em,IE_EGWWS_OMOE_20mo_em,IE_EGWWS_OMOE_NE_NS,IE_EGWWS_Tot,IE_Const_OMOE_Nil_em,IE_Const_OMOE_1_19_em,IE_Const_OMOE_20mo_em,IE_Const_OMOE_NE_NS,IE_Const_Tot,IE_WST_OMOE_Nil_em,IE_WST_OMOE_1_19_em,IE_WST_OMOE_20mo_em,IE_WST_OMOE_NE_NS,IE_WST_Tot,IE_RetT_OMOE_Nil_em,IE_RetT_OMOE_1_19_em,IE_RetT_OMOE_20mo_em,IE_RetT_OMOE_NE_NS,IE_RetT_Tot,IE_AcFd_OMOE_Nil_em,IE_AcFd_OMOE_1_19_em,IE_AcFd_OMOE_20mo_em,IE_AcFd_OMOE_NE_NS,IE_AcFd_Tot,IE_TPW_OMOE_Nil_em,IE_TPW_OMOE_1_19_em,IE_TPW_OMOE_20mo_em,IE_TPW_OMOE_NE_NS,IE_TPW_Tot,IE_IMT_OMOE_Nil_em,IE_IMT_OMOE_1_19_em,IE_IMT_OMOE_20mo_em,IE_IMT_OMOE_NE_NS,IE_IMT_Tot,IE_FinIns_OMOE_Nil_em,IE_FinIns_OMOE_1_19_em,IE_FinIns_OMOE_20mo_em,IE_FinIns_OMOE_NE_NS,IE_FinIns_Tot,IE_RHRE_OMOE_Nil_em,IE_RHRE_OMOE_1_19_em,IE_RHRE_OMOE_20mo_em,IE_RHRE_OMOE_NE_NS,IE_RHRE_Tot,IE_ProSTS_OMOE_Nil_em,IE_ProSTS_OMOE_1_19_em,IE_ProSTS_OMOE_20mo_em,IE_ProSTS_OMOE_NE_NS,IE_ProSTS_Tot,IE_AdSup_OMOE_Nil_em,IE_AdSup_OMOE_1_19_em,IE_AdSup_OMOE_20mo_em,IE_AdSup_OMOE_NE_NS,IE_AdSup_Tot,IE_PubAS_OMOE_Nil_em,IE_PubAS_OMOE_1_19_em,IE_PubAS_OMOE_20mo_em,IE_PubAS_OMOE_NE_NS,IE_PubAS_Tot,IE_EdTrn_OMOE_Nil_em,IE_EdTrn_OMOE_1_19_em,IE_EdTrn_OMOE_20mo_em,IE_EdTrn_OMOE_NE_NS,IE_EdTrn_Tot,IE_HC_SA_OMOE_Nil_em,IE_HC_SA_OMOE_1_19_em,IE_HC_SA_OMOE_20mo_em,IE_HC_SA_OMOE_NE_NS,IE_HC_SA_Tot,IE_ArtsR_OMOE_Nil_em,IE_ArtsR_OMOE_1_19_em,IE_ArtsR_OMOE_20mo_em,IE_ArtsR_OMOE_NE_NS,IE_ArtsR_Tot,IE_OthSvs_OMOE_Nil_em,IE_OthSvs_OMOE_1_19_em,IE_OthSvs_OMOE_20mo_em,IE_OthSvs_OMOE_NE_NS,IE_OthSvs_Tot,IE_IDNS_OMOE_Nil_em,IE_IDNS_OMOE_1_19_em,IE_IDNS_OMOE_20mo_em,IE_IDNS_OMOE_NE_NS,IE_IDNS_Tot,IE_Tot_OMOE_Nil_em,IE_Tot_OMOE_1_19_em,IE_Tot_OMOE_20mo_em,IE_Tot_OMOE_NE_NS,IE_Tot_Tot,UIE_AgFF_OMOE_Nil_em,UIE_AgFF_OMOE_1_19_em,UIE_AgFF_OMOE_20mo_em,UIE_AgFF_OMOE_NE_NS,UIE_AgFF_Tot,UIE_Min_OMOE_Nil_em,UIE_Min_OMOE_1_19_em,UIE_Min_OMOE_20mo_em,UIE_Min_OMOE_NE_NS,UIE_Min_Tot,UIE_Mnf_OMOE_Nil_em,UIE_Mnf_OMOE_1_19_em,UIE_Mnf_OMOE_20mo_em,UIE_Mnf_OMOE_NE_NS,UIE_Mnf_Tot,UIE_EGWWS_OMOE_Nil_em,UIE_EGWWS_OMOE_1_19_em,UIE_EGWWS_OMOE_20mo_em,UIE_EGWWS_OMOE_NE_NS,UIE_EGWWS_Tot,UIE_Const_OMOE_Nil_em,UIE_Const_OMOE_1_19_em,UIE_Const_OMOE_20mo_em,UIE_Const_OMOE_NE_NS,UIE_Const_Tot,UIE_WST_OMOE_Nil_em,UIE_WST_OMOE_1_19_em,UIE_WST_OMOE_20mo_em,UIE_WST_OMOE_NE_NS,UIE_WST_Tot,UIE_RetT_OMOE_Nil_em,UIE_RetT_OMOE_1_19_em,UIE_RetT_OMOE_20mo_em,UIE_RetT_OMOE_NE_NS,UIE_RetT_Tot,UIE_AcFd_OMOE_Nil_em,UIE_AcFd_OMOE_1_19_em,UIE_AcFd_OMOE_20mo_em,UIE_AcFd_OMOE_NE_NS,UIE_AcFd_Tot,UIE_TPW_OMOE_Nil_em,UIE_TPW_OMOE_1_19_em,UIE_TPW_OMOE_20mo_em,UIE_TPW_OMOE_NE_NS,UIE_TPW_Tot,UIE_IMT_OMOE_Nil_em,UIE_IMT_OMOE_1_19_em,UIE_IMT_OMOE_20mo_em,UIE_IMT_OMOE_NE_NS,UIE_IMT_Tot,UIE_FinIns_OMOE_Nil_em,UIE_FinIns_OMOE_1_19_em,UIE_FinIns_OMOE_20mo_em,UIE_FinIns_OMOE_NE_NS,UIE_FinIns_Tot,UIE_RHRE_OMOE_Nil_em,UIE_RHRE_OMOE_1_19_em,UIE_RHRE_OMOE_20mo_em,UIE_RHRE_OMOE_NE_NS,UIE_RHRE_Tot,UIE_ProSTS_OMOE_Nil_em,UIE_ProSTS_OMOE_1_19_em,UIE_ProSTS_OMOE_20mo_em,UIE_ProSTS_OMOE_NE_NS,UIE_ProSTS_Tot,UIE_AdSup_OMOE_Nil_em,UIE_AdSup_OMOE_1_19_em,UIE_AdSup_OMOE_20mo_em,UIE_AdSup_OMOE_NE_NS,UIE_AdSup_Tot,UIE_PubAS_OMOE_Nil_em,UIE_PubAS_OMOE_1_19_em,UIE_PubAS_OMOE_20mo_em,UIE_PubAS_OMOE_NE_NS,UIE_PubAS_Tot,UIE_EdTrn_OMOE_Nil_em,UIE_EdTrn_OMOE_1_19_em,UIE_EdTrn_OMOE_20mo_em,UIE_EdTrn_OMOE_NE_NS,UIE_EdTrn_Tot,UIE_HC_SA_OMOE_Nil_em,UIE_HC_SA_OMOE_1_19_em,UIE_HC_SA_OMOE_20mo_em,UIE_HC_SA_OMOE_NE_NS,UIE_HC_SA_Tot,UIE_ArtsR_OMOE_Nil_em,UIE_ArtsR_OMOE_1_19_em,UIE_ArtsR_OMOE_20mo_em,UIE_ArtsR_OMOE_NE_NS,UIE_ArtsR_Tot,UIE_OthSvs_OMOE_Nil_em,UIE_OthSvs_OMOE_1_19_em,UIE_OthSvs_OMOE_20mo_em,UIE_OthSvs_OMOE_NE_NS,UIE_OthSvs_Tot
LGA50080,20,57,5,3,83,0,0,0,0,6,6,41,7,0,49,0,6,0,0,0,37,105,4,0,152,3,13,5,0,19,4,82,9,0,95,3,37,22,0,66,14,15,0,0,26,3,6,0,0,10,7,22,0,0,25,6,18,3,0,29,28,59,4,0,91,9,8,0,0,17,3,0,0,0,6,4,4,0,0,6,20,45,9,0,62,6,4,0,0,14,19,31,0,0,54,12,18,0,0,29,190,558,80,0,834,159,82,6,4,245,0,0,0,0,0,46,24,0,0,68,0,5,0,0,4,195,87,0,0,285,6,12,0,0,22,41,63,4,0,105,36,44,4,0,76,33,23,0,0,56,8,0,0,0,8,17,5,0,0,20,10,8,0,0,16,115,38,3,0,158,65,16,0,0,80,5,0,0,0,5,47,3,0,0,44,142,21,10,0,169,28,0,0,0,31,91,49,0,0,139
LGA50210,0,30,6,0,35,9,10,9,0,34,36,69,18,6,122,6,8,0,0,8,118,157,9,0,285,4,25,4,0,31,30,66,11,0,102,6,41,15,0,68,55,44,12,0,107,15,10,0,0,27,19,11,0,0,31,10,21,3,0,33,51,58,3,0,117,17,20,0,0,44,6,5,7,0,16,5,10,0,0,17,35,52,12,0,96,4,4,0,0,11,36,56,0,0,98,34,42,0,0,78,505,742,112,7,1366,24,20,0,0,44,3,0,0,0,9,79,21,5,0,101,9,0,0,0,9,200,87,0,0,286,11,5,0,0,17,61,41,5,0,108,24,22,0,0,54,119,10,9,0,133,8,0,0,0,9,18,0,0,0,21,20,4,0,0,25,134,22,0,0,154,126,15,7,0,147,3,0,0,0,3,78,11,0,0,88,162,21,0,0,188,49,0,0,0,50,234,44,0,0,279
LGA50250,5,8,0,0,10,20,14,0,0,41,0,3,0,0,5,0,4,0,0,4,9,15,4,0,32,0,3,0,0,3,0,8,0,0,8,0,6,3,0,12,4,10,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,7,0,5,3,0,5,0,0,0,0,0,0,4,0,0,6,0,0,0,0,5,0,0,0,0,0,0,5,0,0,6,4,7,0,0,11,59,88,14,0,165,5,9,0,0,14,18,3,0,0,19,0,0,0,0,0,0,0,0,0,0,17,5,0,0,20,0,0,0,0,0,9,0,0,0,9,4,0,0,0,11,4,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,15,0,0,0,10,0,0,0,0,0,6,0,0,0,6,7,0,0,0,11,4,0,0,0,4,19,0,0,0,21
LGA50280,28,30,7,0,67,3,4,0,0,6,21,29,4,0,49,0,4,0,0,4,27,68,3,0,98,3,10,0,0,12,11,45,3,0,58,20,50,10,0,75,0,9,0,0,6,7,0,0,0,4,5,0,0,0,8,0,0,5,0,7,33,34,0,0,66,5,7,3,0,19,0,0,0,0,0,6,4,0,0,10,11,8,3,0,26,7,0,0,0,11,7,17,0,0,23,5,12,0,0,22,187,331,39,4,560,97,29,0,0,124,3,0,0,0,4,53,8,0,0,66,0,0,0,0,0,138,29,0,3,174,9,0,0,0,9,24,24,0,0,44,58,34,0,0,92,14,9,0,0,24,8,0,0,0,8,4,0,0,0,4,16,0,0,0,15,98,6,0,0,107,59,13,0,0,73,0,0,0,0,0,47,8,0,0,52,90,4,0,0,98,36,3,0,0,37,61,12,0,0,70
LGA50350,0,0,0,0,0,4,4,0,0,9,6,15,23,0,53,0,5,0,0,4,26,32,13,0,69,4,11,0,0,12,4,11,0,0,21,0,5,11,0,19,13,12,0,0,20,4,0,0,0,4,5,0,0,0,10,3,12,0,0,15,27,26,0,0,54,4,4,3,0,9,0,4,0,0,4,5,4,0,0,7,4,9,0,0,20,5,5,0,0,6,12,12,0,0,21,0,33,3,0,39,122,199,60,0,381,0,0,0,0,0,3,0,0,0,3,24,0,0,0,29,0,0,0,0,0,48,15,0,0,67,6,0,0,0,8,13,10,0,0,26,7,14,0,0,19,31,0,0,0,33,9,0,0,0,9,8,0,0,0,8,4,3,0,0,6,50,7,0,0,55,28,0,0,0,28,5,0,0,0,5,26,0,0,0,21,38,0,0,0,40,18,0,0,0,16,32,6,0,0,44
LGA50420,0,7,0,0,11,17,12,5,0,38,28,106,25,0,155,0,9,0,0,7,117,184,12,0,317,17,39,0,0,56,30,103,11,0,147,8,90,9,0,104,43,30,3,0,78,7,6,0,0,13,19,14,0,0,37,17,36,0,0,50,85,97,13,0,201,12,32,4,6,50,0,0,5,0,6,13,15,0,0,31,43,79,10,0,132,6,19,8,0,32,46,107,10,0,156,31,51,14,4,94,561,1040,121,7,1725,3,0,0,0,3,7,0,0,0,11,66,43,0,0,108,5,0,0,0,8,221,39,0,0,265,25,5,0,0,32,78,59,12,0,145,33,39,0,0,71,127,10,0,0,139,22,0,0,0,20,15,7,0,0,19,16,10,0,0,21,211,35,0,0,247,87,23,4,0,109,13,0,0,0,15,114,6,0,0,123,129,44,0,0,176,83,12,0,0,97,225,63,0,0,289
LGA50490,3,0,0,0,3,36,19,17,0,72,10,57,22,0,84,0,10,0,0,12,83,106,22,0,213,11,31,9,0,56,14,72,15,0,102,7,54,10,0,68,188,84,33,0,307,3,7,7,0,16,16,20,4,0,38,7,30,9,0,44,46,105,27,0,179,21,20,20,0,64,0,11,6,0,12,6,17,6,0,35,18,44,8,0,69,3,10,3,0,20,25,70,16,0,109,42,72,9,0,122,539,840,244,0,1623,12,0,0,0,12,10,8,0,0,20,34,11,0,0,45,0,0,0,0,0,94,24,0,0,118,13,5,3,0,23,35,16,5,0,57,31,25,0,0,59,380,29,0,0,416,13,0,0,0,10,20,6,0,0,21,8,4,0,0,13,113,18,5,0,131,68,11,0,0,78,8,0,3,0,11,38,4,0,0,45,93,14,0,0,107,39,8,0,0,47,80,16,4,0,101
LGA50560,12,27,0,0,39,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,18,42,0,0,63,32,21,0,0,57,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,13,0,0,0,11,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,0,0,6,0,0,0,0,0,0,4,0,0,4
LGA50630,0,9,0,0,7,4,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,4,0,0,4,15,29,0,0,43,12,7,0,0,25,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,6,4,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,6
LGA50770,15,29,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,39,0,0,61,66,40,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,12
