POW_LGA_CODE_2021,Tot_16_Other_FT,Tot_16_Other_PT,Tot_16_Other_NS,Tot_16_Other_Tot,Tot_16_Not_Stated,Tot_16_Tot,Tot_17_TertVE_TPTP_FT,Tot_17_TertVE_TPTP_PT,Tot_17_TertVE_TPTP_NS,Tot_17_TertVE_TPTP_Tot,Tot_17_TertUni_or_OHE_FT,Tot_17_TertUni_or_OHE_PT,Tot_17_TertUni_or_OHE_NS,Tot_17_TertUni_or_OHE_Tot,Tot_17_Other_FT,Tot_17_Other_PT,Tot_17_Other_NS,Tot_17_Other_Tot,Tot_17_Not_Stated,Tot_17_Tot,Tot_18_TertVE_TPTP_FT,Tot_18_TertVE_TPTP_PT,Tot_18_TertVE_TPTP_NS,Tot_18_TertVE_TPTP_Tot,Tot_18_TertUni_or_OHE_FT,Tot_18_TertUni_or_OHE_PT,Tot_18_TertUni_or_OHE_NS,Tot_18_TertUni_or_OHE_Tot,Tot_18_Other_FT,Tot_18_Other_PT,Tot_18_Other_NS,Tot_18_Other_Tot,Tot_18_Not_Stated,Tot_18_Tot,Tot_19_TertVE_TPTP_FT,Tot_19_TertVE_TPTP_PT,Tot_19_TertVE_TPTP_NS,Tot_19_TertVE_TPTP_Tot,Tot_19_TertUni_or_OHE_FT,Tot_19_TertUni_or_OHE_PT,Tot_19_TertUni_or_OHE_NS,Tot_19_TertUni_or_OHE_Tot,Tot_19_Other_FT,Tot_19_Other_PT,Tot_19_Other_NS,Tot_19_Other_Tot,Tot_19_Not_Stated,Tot_19_Tot,Tot_20_24_TertVE_TPTP_FT,Tot_20_24_TertVE_TPTP_PT,Tot_20_24_TertVE_TPTP_NS,Tot_20_24_TertVE_TPTP_Tot,Tot_20_24_TertUni_or_OHE_FT,Tot_20_24_TertUni_or_OHE_PT,Tot_20_24_TertUni_or_OHE_NS,Tot_20_24_TertUni_or_OHE_Tot,Tot_20_24_Other_FT,Tot_20_24_Other_PT,Tot_20_24_Other_NS,Tot_20_24_Other_Tot,Tot_20_24_Not_Stated,Tot_20_24_Tot,Tot_25_29_TertVE_TPTP_FT,Tot_25_29_TertVE_TPTP_PT,Tot_25_29_TertVE_TPTP_NS,Tot_25_29_TertVE_TPTP_Tot,Tot_25_29_TertUni_or_OHE_FT,Tot_25_29_TertUni_or_OHE_PT,Tot_25_29_TertUni_or_OHE_NS,Tot_25_29_TertUni_or_OHE_Tot,Tot_25_29_Other_FT,Tot_25_29_Other_PT,Tot_25_29_Other_NS,Tot_25_29_Other_Tot,Tot_25_29_Not_Stated,Tot_25_29_Tot,Tot_30ov_TertVE_TPTP_FT,Tot_30ov_TertVE_TPTP_PT,Tot_30ov_TertVE_TPTP_NS,Tot_30ov_TertVE_TPTP_Tot,Tot_30ov_TertUni_or_OHE_FT,Tot_30ov_TertUni_or_OHE_PT,Tot_30ov_TertUni_or_OHE_NS,Tot_30ov_TertUni_or_OHE_Tot,Tot_30ov_Other_FT,Tot_30ov_Other_PT,Tot_30ov_Other_NS,Tot_30ov_Other_Tot,Tot_30ov_Not_Stated,Tot_30ov_Tot,Tot_Tot_TertVE_TPTP_FT,Tot_Tot_TertVE_TPTP_PT,Tot_Tot_TertVE_TPTP_NS,Tot_Tot_TertVE_TPTP_Tot,Tot_Tot_TertUni_or_OHE_FT,Tot_Tot_TertUni_or_OHE_PT,Tot_Tot_TertUni_or_OHE_NS,Tot_Tot_TertUni_or_OHE_Tot,Tot_Tot_Other_FT,Tot_Tot_Other_PT,Tot_Tot_Other_NS,Tot_Tot_Other_Tot,Tot_Tot_Not_Stated,Tot_Tot_Tot
LGA50080,173,0,0,173,0,204,17,24,0,45,0,0,0,0,219,0,0,222,0,264,13,43,0,56,12,6,0,27,36,3,0,40,0,119,20,35,0,54,13,5,0,26,0,3,0,9,0,85,26,81,0,109,46,34,0,79,0,3,0,6,4,194,18,57,0,73,29,36,0,62,4,16,0,21,13,165,42,230,0,274,42,259,0,294,7,69,0,72,47,697,151,501,0,647,146,344,0,489,605,94,0,700,68,1900
LGA50210,262,0,0,261,0,279,17,19,0,39,0,4,0,4,309,4,0,311,0,357,27,41,0,66,105,19,0,120,38,3,0,44,0,225,16,36,0,57,117,18,0,138,3,4,0,8,0,201,73,123,0,196,432,116,3,549,14,8,0,21,0,771,35,54,0,86,110,88,0,201,11,17,0,26,5,321,69,257,4,323,118,287,0,406,27,95,0,124,35,892,250,540,9,794,887,525,4,1413,891,130,0,1023,49,3274
LGA50250,14,0,0,14,0,17,0,0,0,0,0,0,0,0,24,0,0,24,0,26,5,0,0,4,0,0,0,0,5,0,0,5,4,11,3,5,0,12,5,0,0,5,0,0,0,0,0,13,9,34,0,46,15,14,0,26,6,0,0,4,9,81,3,35,0,42,17,31,0,45,4,8,0,7,3,100,26,184,0,205,19,153,0,179,12,32,0,48,56,488,50,261,0,309,55,200,0,254,75,38,0,121,74,758
LGA50280,91,0,0,91,0,98,0,11,0,9,0,0,0,0,75,0,0,76,0,93,0,9,0,5,3,0,0,3,14,0,0,14,0,18,0,13,0,16,3,0,0,3,0,0,0,0,0,18,5,21,0,28,17,4,0,23,0,5,0,5,0,57,3,21,0,28,10,10,0,13,0,5,0,4,0,50,18,124,0,141,20,72,0,92,4,32,0,37,20,301,31,202,0,234,56,86,0,134,250,41,0,289,26,693
LGA50350,31,0,0,31,0,35,0,4,0,8,0,0,0,0,45,0,0,45,0,54,4,13,0,16,22,0,0,26,3,0,0,7,0,41,3,15,0,19,24,0,0,32,4,0,0,3,0,54,28,57,0,85,71,40,0,110,4,0,0,3,0,201,13,19,0,32,20,25,0,47,0,5,0,0,0,81,24,88,0,114,22,51,0,80,16,28,0,44,11,249,75,202,0,275,170,123,4,286,122,38,0,158,12,737
LGA50420,215,0,0,215,0,228,3,3,0,10,4,0,0,4,239,0,0,239,0,257,20,30,0,45,159,11,0,171,36,3,0,40,3,265,38,40,0,78,189,15,0,206,14,6,0,11,0,297,109,145,0,252,648,117,0,769,19,20,0,42,11,1075,81,68,0,153,163,87,0,258,24,26,0,52,4,460,101,264,0,366,142,229,4,372,46,88,0,134,41,916,354,554,3,917,1305,468,6,1781,747,137,3,888,61,3645
LGA50490,190,0,0,190,0,195,8,11,0,13,4,0,0,4,206,0,0,206,0,225,23,30,0,58,130,17,0,150,38,3,0,44,0,248,31,52,0,86,175,18,0,193,0,3,0,8,0,289,140,217,0,362,802,265,0,1067,40,30,0,67,7,1506,100,162,0,268,262,180,0,451,35,40,0,74,8,795,155,529,5,678,284,575,6,865,60,184,5,247,82,1870,463,1006,3,1472,1659,1055,3,2725,684,262,5,952,102,5251
LGA50560,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,4,0,8,0,5,0,5,5,22,5,9,0,7,7,3,0,11,6,5,0,5,5,31
LGA50630,5,0,0,5,0,5,0,3,0,3,0,0,0,0,3,0,0,3,0,3,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,17,0,0,0,0,0,0,0,0,0,24,0,5,0,9,0,0,0,0,0,0,0,0,3,11,0,19,0,15,4,22,0,30,0,6,0,8,5,59,0,42,0,48,5,25,0,34,14,6,0,21,5,109
LGA50770,5,0,0,5,0,5,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,6,0,6,0,7,0,9,0,0,0,0,4,19,0,17,0,14,3,7,0,9,12,0,0,11,4,39
