POW_LGA_CODE_2021,P_OthSvs_H_0,P_OthSvs_H_1_19,P_OthSvs_H_20_29,P_OthSvs_H_30_34,P_OthSvs_H_35_39,P_OthSvs_H_40_44,P_OthSvs_H_45_49,P_OthSvs_H_50ov,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_19,P_IDNS_H_20_29,P_IDNS_H_30_34,P_IDNS_H_35_39,P_IDNS_H_40_44,P_IDNS_H_45_49,P_IDNS_H_50ov,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_19,P_Tot_H_20_29,P_Tot_H_30_34,P_Tot_H_35_39,P_Tot_H_40_44,P_Tot_H_45_49,P_Tot_H_50ov,P_Tot_H_NS,P_Tot_H_Tot
LGA50080,32,97,79,60,152,157,44,81,4,713,29,92,66,34,57,82,24,69,103,566,818,2773,2176,1562,2900,2866,1010,1859,270,16248
LGA50210,30,191,148,95,152,157,48,104,8,939,22,138,85,61,197,195,48,108,190,1039,844,3885,2983,2045,3869,3736,1162,2303,365,21189
LGA50250,6,21,9,7,13,12,15,55,3,148,38,34,15,10,29,32,20,190,102,461,1726,556,449,224,539,826,895,8193,322,13727
LGA50280,11,51,30,23,37,37,20,20,3,226,12,54,38,20,27,41,8,34,37,277,367,1275,1017,662,901,1077,333,747,102,6483
LGA50350,10,37,23,15,61,83,25,37,0,287,14,54,33,36,102,109,22,59,52,471,157,771,689,464,1399,1365,528,946,99,6420
LGA50420,44,229,196,115,250,282,105,173,17,1413,24,190,135,74,211,239,52,144,168,1241,703,4078,3088,1875,3978,3825,1266,2423,355,21593
LGA50490,53,150,148,83,279,324,111,233,14,1391,63,190,167,120,446,600,133,281,355,2351,2146,4594,4332,2791,9330,10823,3698,7493,780,45984
LGA50560,0,4,0,0,0,0,0,5,0,11,0,0,7,0,4,4,0,6,12,23,31,67,75,33,50,87,21,105,14,490
LGA50630,3,3,5,6,8,10,3,14,0,42,5,5,0,4,3,3,7,11,18,56,272,116,128,43,141,296,204,1144,66,2411
LGA50770,0,0,0,0,0,0,6,4,0,19,0,3,0,0,0,5,0,0,6,14,29,96,68,56,41,136,41,190,11,666
LGA50840,4,15,14,5,6,10,5,16,3,70,7,18,5,0,3,12,0,16,23,82,119,306,265,130,268,346,119,582,57,2199
LGA50910,0,5,0,0,0,4,0,4,0,14,0,3,0,0,0,5,0,0,4,12,18,56,54,33,39,69,29,111,11,421
LGA50980,9,27,29,29,57,60,20,70,4,303,8,28,22,18,64,49,18,68,105,381,382,757,667,647,1731,1572,532,1520,191,7995
LGA51080,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,4,23,35,32,11,22,69,39,122,3,361
LGA51120,0,0,6,0,3,0,0,0,0,8,0,0,4,0,5,0,0,3,0,11,19,42,35,23,37,71,42,155,8,432
LGA51190,37,161,116,79,240,219,90,151,14,1099,29,124,60,42,139,147,64,127,169,905,1221,3529,3022,2190,4864,4726,1682,3316,376,24932
LGA51260,19,131,93,53,116,139,41,56,3,648,26,96,71,56,78,96,24,59,95,595,797,3067,2410,1657,2561,2670,876,1680,242,15954
LGA51310,14,94,67,38,81,67,20,29,11,425,22,57,59,31,54,91,21,49,72,467,550,2668,2378,1370,2485,2402,641,1342,161,13993
LGA51330,70,341,322,161,669,737,263,420,30,3020,78,458,370,252,957,1179,305,506,496,4591,1850,8112,6602,3889,12859,13519,4497,8757,1005,61088
LGA51400,9,47,31,21,30,26,18,47,0,230,4,19,8,12,14,24,4,15,23,123,144,617,428,272,461,546,216,495,63,3240
LGA51470,0,0,4,0,0,7,0,9,0,17,0,0,0,3,3,0,0,0,0,12,17,23,27,15,31,53,21,100,5,287
LGA51540,0,12,9,0,12,22,4,12,0,77,0,10,10,0,18,16,7,15,25,98,113,230,227,165,463,460,154,525,71,2420
LGA51610,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,11,13,45,31,14,26,57,26,99,0,323
LGA51680,3,17,6,0,0,3,8,6,0,46,3,7,15,3,7,3,10,9,15,84,73,228,190,99,225,248,133,321,39,1549
LGA51710,3,0,0,3,0,5,0,9,0,19,0,11,0,0,12,6,4,0,6,35,32,102,41,31,224,180,64,159,28,854
LGA51750,8,78,51,33,59,49,16,26,0,312,5,40,29,11,24,36,11,24,46,217,216,1713,1181,622,1046,980,332,679,75,6847
LGA51820,59,344,251,177,335,361,123,285,17,1952,93,329,242,180,690,801,226,503,355,3423,1651,6910,5391,3342,9276,11492,3625,7615,743,50040
LGA51860,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,7,0,20,5,43,15,16,42,37,10,59,0,230
LGA51890,9,30,16,11,21,14,12,29,0,143,15,13,10,9,18,30,7,28,44,181,289,527,433,245,612,1328,436,800,115,4774
LGA51960,0,0,0,0,0,0,0,11,0,16,8,0,6,6,3,4,3,9,27,72,165,143,113,60,149,232,163,1285,69,2385
LGA52030,0,5,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,12,16,45,45,36,27,47,13,133,0,361
LGA52100,0,0,3,0,0,6,0,8,0,20,0,0,0,0,0,0,0,3,5,17,25,49,47,38,48,124,30,152,7,526
LGA52170,0,34,35,20,21,19,9,13,0,152,0,21,20,15,16,24,7,18,14,145,89,722,532,278,416,473,161,309,42,3021
LGA52240,0,3,0,0,0,0,0,0,0,5,0,4,6,3,0,0,0,4,6,28,24,64,39,41,45,124,44,145,17,548
LGA52310,0,0,0,0,4,0,0,0,0,6,0,0,0,0,5,0,0,0,3,12,6,19,27,17,18,47,23,76,7,237
LGA52380,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,11,42,22,22,4,15,23,26,278,13,444
LGA52450,0,0,0,0,4,5,0,0,0,14,0,8,0,0,6,6,6,4,3,30,25,75,60,30,66,98,43,165,3,564
LGA52520,0,6,0,0,4,4,4,8,0,29,0,3,0,4,3,3,0,11,0,35,18,96,51,46,63,124,63,250,13,726
LGA52590,0,3,6,0,12,6,5,3,0,44,9,13,5,4,0,8,5,9,11,61,101,229,191,98,187,242,122,484,37,1686
