POW_LGA_CODE_2021,BDLA_NNI_Mng,BDLA_NNI_Pro,BDLA_NNI_TecTW,BDLA_NNI_CoPSW,BDLA_NNI_ClAW,BDLA_NNI_SWks,BDLA_NNI_MaOpDv,BDLA_NNI_Lab,BDLA_NNI_IDNS,BDLA_NNI_Tot,BDLA_1_149_Mng,BDLA_1_149_Pro,BDLA_1_149_TecTW,BDLA_1_149_CoPSW,BDLA_1_149_ClAW,BDLA_1_149_SWks,BDLA_1_149_MaOpDv,BDLA_1_149_Lab,BDLA_1_149_IDNS,BDLA_1_149_Tot,BDLA_150_299_Mng,BDLA_150_299_Pro,BDLA_150_299_TecTW,BDLA_150_299_CoPSW,BDLA_150_299_ClAW,BDLA_150_299_SWks,BDLA_150_299_MaOpDv,BDLA_150_299_Lab,BDLA_150_299_IDNS,BDLA_150_299_Tot,BDLA_300_399_Mng,BDLA_300_399_Pro,BDLA_300_399_TecTW,BDLA_300_399_CoPSW,BDLA_300_399_ClAW,BDLA_300_399_SWks,BDLA_300_399_MaOpDv,BDLA_300_399_Lab,BDLA_300_399_IDNS,BDLA_300_399_Tot,BDLA_400_499_Mng,BDLA_400_499_Pro,BDLA_400_499_TecTW,BDLA_400_499_CoPSW,BDLA_400_499_ClAW,BDLA_400_499_SWks,BDLA_400_499_MaOpDv,BDLA_400_499_Lab,BDLA_400_499_IDNS,BDLA_400_499_Tot,BDLA_500_649_Mng,BDLA_500_649_Pro,BDLA_500_649_TecTW,BDLA_500_649_CoPSW,BDLA_500_649_ClAW,BDLA_500_649_SWks,BDLA_500_649_MaOpDv,BDLA_500_649_Lab,BDLA_500_649_IDNS,BDLA_500_649_Tot,BDLA_650_799_Mng,BDLA_650_799_Pro,BDLA_650_799_TecTW,BDLA_650_799_CoPSW,BDLA_650_799_ClAW,BDLA_650_799_SWks,BDLA_650_799_MaOpDv,BDLA_650_799_Lab,BDLA_650_799_IDNS,BDLA_650_799_Tot,BDLA_800_999_Mng,BDLA_800_999_Pro,BDLA_800_999_TecTW,BDLA_800_999_CoPSW,BDLA_800_999_ClAW,BDLA_800_999_SWks,BDLA_800_999_MaOpDv,BDLA_800_999_Lab,BDLA_800_999_IDNS,BDLA_800_999_Tot,BDLA_1000_1249_Mng,BDLA_1000_1249_Pro,BDLA_1000_1249_TecTW,BDLA_1000_1249_CoPSW,BDLA_1000_1249_ClAW,BDLA_1000_1249_SWks,BDLA_1000_1249_MaOpDv,BDLA_1000_1249_Lab,BDLA_1000_1249_IDNS,BDLA_1000_1249_Tot,BDLA_1250_1499_Mng,BDLA_1250_1499_Pro,BDLA_1250_1499_TecTW,BDLA_1250_1499_CoPSW,BDLA_1250_1499_ClAW,BDLA_1250_1499_SWks,BDLA_1250_1499_MaOpDv,BDLA_1250_1499_Lab,BDLA_1250_1499_IDNS,BDLA_1250_1499_Tot,BDLA_1500_1749_Mng,BDLA_1500_1749_Pro,BDLA_1500_1749_TecTW,BDLA_1500_1749_CoPSW,BDLA_1500_1749_ClAW,BDLA_1500_1749_SWks,BDLA_1500_1749_MaOpDv,BDLA_1500_1749_Lab,BDLA_1500_1749_IDNS,BDLA_1500_1749_Tot,BDLA_1750_1999_Mng,BDLA_1750_1999_Pro,BDLA_1750_1999_TecTW,BDLA_1750_1999_CoPSW,BDLA_1750_1999_ClAW,BDLA_1750_1999_SWks,BDLA_1750_1999_MaOpDv,BDLA_1750_1999_Lab,BDLA_1750_1999_IDNS,BDLA_1750_1999_Tot,BDLA_2000_2999_Mng,BDLA_2000_2999_Pro,BDLA_2000_2999_TecTW,BDLA_2000_2999_CoPSW,BDLA_2000_2999_ClAW,BDLA_2000_2999_SWks,BDLA_2000_2999_MaOpDv,BDLA_2000_2999_Lab,BDLA_2000_2999_IDNS,BDLA_2000_2999_Tot,BDLA_3000_3499_Mng,BDLA_3000_3499_Pro,BDLA_3000_3499_TecTW,BDLA_3000_3499_CoPSW,BDLA_3000_3499_ClAW,BDLA_3000_3499_SWks,BDLA_3000_3499_MaOpDv,BDLA_3000_3499_Lab,BDLA_3000_3499_IDNS,BDLA_3000_3499_Tot,BDLA_3500mo_Mng,BDLA_3500mo_Pro,BDLA_3500mo_TecTW,BDLA_3500mo_CoPSW,BDLA_3500mo_ClAW,BDLA_3500mo_SWks,BDLA_3500mo_MaOpDv,BDLA_3500mo_Lab,BDLA_3500mo_IDNS,BDLA_3500mo_Tot,BDLA_PINS_Mng,BDLA_PINS_Pro,BDLA_PINS_TecTW,BDLA_PINS_CoPSW,BDLA_PINS_ClAW,BDLA_PINS_SWks,BDLA_PINS_MaOpDv,BDLA_PINS_Lab,BDLA_PINS_IDNS,BDLA_PINS_Tot,BDLA_Tot_Mng,BDLA_Tot_Pro,BDLA_Tot_TecTW,BDLA_Tot_CoPSW,BDLA_Tot_ClAW,BDLA_Tot_SWks,BDLA_Tot_MaOpDv,BDLA_Tot_Lab,BDLA_Tot_IDNS,BDLA_Tot_Tot,Ad_Dip_NNI_Mng,Ad_Dip_NNI_Pro,Ad_Dip_NNI_TecTW,Ad_Dip_NNI_CoPSW,Ad_Dip_NNI_ClAW,Ad_Dip_NNI_SWks,Ad_Dip_NNI_MaOpDv,Ad_Dip_NNI_Lab,Ad_Dip_NNI_IDNS,Ad_Dip_NNI_Tot,Ad_Dip_1_149_Mng,Ad_Dip_1_149_Pro,Ad_Dip_1_149_TecTW,Ad_Dip_1_149_CoPSW,Ad_Dip_1_149_ClAW,Ad_Dip_1_149_SWks,Ad_Dip_1_149_MaOpDv,Ad_Dip_1_149_Lab,Ad_Dip_1_149_IDNS,Ad_Dip_1_149_Tot,Ad_Dip_150_299_Mng,Ad_Dip_150_299_Pro,Ad_Dip_150_299_TecTW,Ad_Dip_150_299_CoPSW,Ad_Dip_150_299_ClAW,Ad_Dip_150_299_SWks,Ad_Dip_150_299_MaOpDv,Ad_Dip_150_299_Lab,Ad_Dip_150_299_IDNS,Ad_Dip_150_299_Tot
LGA50080,10,0,0,0,4,0,0,0,0,13,3,11,0,0,0,0,0,0,0,19,7,17,3,5,5,4,0,0,0,44,4,22,0,10,13,0,0,8,0,66,13,29,5,22,7,8,3,8,0,92,11,61,8,22,19,10,5,24,0,163,23,104,5,35,15,5,0,17,0,206,23,117,19,45,21,12,4,22,0,263,35,241,23,49,38,13,8,10,4,415,44,260,14,28,38,5,0,11,5,399,40,364,13,30,23,5,4,4,0,471,32,330,5,12,12,0,4,0,0,399,156,484,0,28,24,8,0,0,3,696,36,50,0,0,8,0,0,0,0,99,35,152,3,0,3,3,0,0,0,200,0,6,0,0,0,0,0,0,4,14,467,2257,101,288,222,79,31,95,20,3559,6,0,0,0,0,0,0,4,0,13,0,0,0,10,4,5,0,0,0,18,7,3,3,19,8,3,0,9,0,53
LGA50210,4,14,0,0,3,3,0,0,0,32,3,25,4,10,3,0,0,0,3,47,12,28,8,36,9,17,4,3,3,113,10,41,10,28,15,16,9,17,5,145,10,48,12,36,7,37,12,13,3,175,20,87,13,52,27,32,12,25,0,265,13,102,19,63,41,20,3,29,0,304,31,213,30,93,44,21,19,37,8,493,55,335,39,94,62,11,13,15,5,634,66,495,20,66,48,23,17,3,11,754,52,658,25,31,21,7,8,4,10,807,32,571,20,27,17,4,3,0,0,679,176,815,10,36,21,10,0,3,4,1067,44,96,0,0,0,4,0,0,0,149,39,203,0,0,8,4,0,0,3,261,3,23,0,3,0,0,0,0,3,34,568,3746,203,578,325,210,113,153,53,5955,3,5,0,7,4,0,0,0,0,11,0,10,3,9,3,0,0,4,0,36,5,8,5,23,9,9,8,10,0,76
LGA50250,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,13,0,5,0,5,0,0,0,0,0,16,0,5,3,0,3,0,7,4,0,24,0,7,5,13,10,0,0,10,0,52,3,25,4,13,9,6,3,20,3,99,8,37,5,5,12,3,12,29,5,131,9,58,21,7,7,0,7,15,3,124,12,76,13,6,7,0,23,14,0,148,40,293,68,16,26,0,68,21,4,541,27,188,38,4,6,0,17,0,4,280,110,204,76,4,11,0,7,3,10,429,0,3,0,0,0,0,0,0,3,5,209,917,243,80,99,14,151,127,32,1876,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7
LGA50280,3,5,0,0,5,0,0,3,0,14,0,5,3,0,0,4,0,0,0,17,5,15,6,6,0,0,0,5,0,34,8,16,7,8,3,7,0,15,0,61,6,26,4,19,10,9,4,8,0,84,11,37,6,22,14,9,0,16,0,113,22,45,16,22,19,19,6,15,0,170,45,63,18,32,20,19,3,22,0,219,53,87,17,27,22,16,4,19,0,237,33,94,7,10,10,7,0,7,0,169,38,106,10,5,10,4,0,3,3,168,24,111,0,3,3,5,0,0,3,150,64,130,5,6,4,3,0,3,0,221,19,19,0,0,0,0,0,0,0,41,19,46,0,0,0,0,0,0,0,71,6,0,3,0,0,0,0,0,0,11,350,806,100,159,120,88,16,121,13,1781,0,0,0,0,0,0,0,0,0,4,3,0,0,5,0,0,0,3,0,15,0,3,0,3,0,0,0,3,0,19
LGA50350,7,11,0,0,0,0,0,0,0,18,0,3,0,0,0,0,0,4,0,6,0,9,0,0,0,9,0,0,0,25,6,13,0,4,4,5,0,4,0,31,0,11,0,5,14,4,0,5,0,44,0,23,0,16,4,4,3,0,0,59,5,28,9,17,8,10,3,9,0,92,7,37,20,34,22,3,13,7,0,143,13,73,31,27,25,12,9,6,0,190,20,89,15,8,27,11,6,8,0,185,17,89,10,12,13,9,5,3,4,159,17,88,6,0,9,0,6,4,0,119,80,127,19,0,18,6,0,0,0,251,22,16,6,0,0,0,0,0,0,44,46,21,0,0,3,0,0,0,0,68,0,0,0,0,0,0,0,0,0,5,240,628,111,133,137,65,53,57,11,1435,0,0,0,6,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,0,5,0,4,4,0,0,4,0,13
LGA50420,3,0,0,0,0,0,0,0,0,14,0,22,0,8,4,7,3,6,4,47,5,26,0,22,16,29,3,13,0,116,20,50,4,31,18,23,9,27,0,184,10,66,13,41,23,34,3,30,0,220,23,111,12,73,34,55,10,33,0,354,41,163,36,94,59,49,19,31,0,477,70,195,43,118,63,44,24,55,4,606,83,302,49,101,87,37,22,28,8,710,74,386,33,55,53,21,16,18,9,673,74,438,22,38,45,14,9,14,4,655,58,366,11,28,19,9,5,7,3,502,174,537,20,69,34,17,7,0,6,865,64,101,3,15,6,0,0,3,0,191,95,189,5,0,12,0,0,0,0,316,5,15,0,3,0,0,0,5,3,38,799,2956,255,698,463,343,132,260,61,5967,4,0,0,0,5,0,0,0,0,15,0,10,5,3,11,10,0,4,0,39,4,9,11,29,7,15,0,11,0,81
LGA50490,12,8,0,4,0,8,0,0,6,35,6,15,0,12,11,12,7,9,3,75,3,22,9,21,16,28,13,13,0,129,12,25,16,37,17,31,17,27,3,188,7,42,11,62,31,54,19,31,0,261,25,71,18,97,51,73,36,50,8,429,34,90,38,107,90,88,54,64,6,571,93,183,54,164,174,86,120,72,13,962,142,391,109,202,297,80,192,67,29,1516,159,528,104,136,272,64,137,34,12,1439,153,635,96,118,208,34,97,16,25,1391,138,582,70,119,101,17,40,4,11,1089,623,1355,136,226,162,39,73,13,14,2642,281,402,30,21,45,6,6,0,6,797,750,618,42,10,51,10,7,4,10,1495,9,19,7,4,3,6,0,0,13,57,2431,4983,738,1340,1544,637,829,406,150,13065,5,4,0,5,3,0,0,5,3,22,0,3,0,3,3,0,0,0,0,22,9,3,0,13,0,17,0,10,3,59
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,4,0,8,5,4,0,0,0,0,0,0,0,6,5,5,0,0,0,0,0,0,0,8,8,6,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,4,15,3,0,4,0,0,0,0,0,24,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,31,3,10,6,6,0,9,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,5,3,3,0,3,0,0,0,0,15,0,3,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,4,0,13,0,10,7,0,4,0,0,0,0,18,3,20,0,5,0,0,6,0,0,34,4,51,7,3,4,0,7,0,0,74,8,22,0,0,3,0,0,0,0,32,19,33,7,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,45,150,21,7,12,0,19,12,4,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50770,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,11,12,0,0,0,5,0,0,0,0,14,0,3,0,0,0,0,0,0,0,7,4,5,0,0,0,0,0,0,0,13,5,10,0,0,0,0,0,0,0,18,7,5,0,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,47,45,0,7,11,0,0,3,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
