POW_LGA_CODE_2021,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Taiwan_E,P_Taiwan_OM_IE,P_Taiwan_OM_UIE,P_Taiwan_CFW,P_Taiwan_ES_NS,P_Taiwan_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA50080,0,0,0,0,0,3,296,7,9,0,0,302,15,0,0,0,0,15,20,0,4,0,0,23,244,19,33,4,0,299,11,0,0,0,0,21,13,0,0,0,0,13,47,0,7,0,0,60,1001,54,156,25,14,1250,53,4,9,4,0,63,14,0,0,0,3,20,306,19,34,6,4,368,106,10,10,5,9,138,13314,834,1566,372,154,16248
LGA50210,42,12,12,0,0,68,388,7,24,0,3,421,24,0,3,0,0,30,148,16,19,0,0,186,357,41,33,6,0,434,124,15,25,0,0,159,34,0,5,0,0,39,99,0,11,0,0,108,1699,146,253,29,11,2142,75,4,11,0,0,89,76,7,20,0,4,105,965,73,99,20,9,1163,71,4,0,0,10,82,17628,1366,1832,247,122,21189
LGA50250,19,0,5,0,0,19,226,0,0,0,0,227,21,0,0,0,0,21,39,0,0,0,0,39,216,0,6,0,0,221,37,0,0,0,0,37,12,0,0,0,0,12,59,0,3,0,0,65,1075,17,14,0,0,1106,39,0,0,0,0,43,20,0,0,0,0,25,638,9,3,0,7,651,80,3,3,0,4,85,13330,165,153,30,51,13727
LGA50280,5,0,0,0,0,5,66,0,0,0,0,73,0,0,4,0,0,7,4,0,0,0,0,10,60,8,22,3,0,94,5,0,0,0,0,5,13,0,0,0,0,15,13,4,4,0,0,24,417,52,134,36,10,651,23,6,11,6,0,49,10,0,3,0,0,19,273,16,42,0,0,338,39,8,10,3,0,69,4539,560,1062,244,77,6483
LGA50350,11,5,0,0,0,15,161,0,5,0,0,164,15,0,3,0,0,22,24,0,0,0,0,28,114,7,0,0,0,127,37,0,0,0,0,43,17,0,0,0,0,19,32,0,4,0,0,36,465,37,57,8,0,571,21,4,0,0,0,22,105,10,16,3,3,134,417,20,37,3,5,479,8,0,0,0,4,15,5497,381,441,50,45,6420
LGA50420,59,7,23,3,0,89,472,3,7,6,3,491,66,10,20,3,0,96,126,12,17,0,0,158,299,44,44,4,0,391,87,9,14,0,0,102,53,9,3,0,0,65,99,4,12,0,0,117,1302,136,180,13,6,1645,74,9,12,0,0,99,392,47,89,14,11,551,1403,131,169,24,14,1747,55,0,7,4,6,75,17480,1725,1989,263,134,21593
LGA50490,273,11,47,0,4,333,1024,10,26,0,9,1063,138,3,6,0,0,154,369,18,24,3,0,408,1054,43,11,6,4,1119,272,13,14,0,0,296,111,4,11,0,0,125,192,5,6,0,0,202,3850,158,133,18,11,4168,171,3,6,0,0,185,350,29,35,6,6,427,3309,109,133,18,22,3589,104,6,9,4,10,133,42566,1623,1396,202,198,45984
LGA50560,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,8,0,0,37,0,0,0,0,0,3,0,0,0,0,0,0,8,3,0,3,0,17,7,0,5,0,4,15,261,63,103,50,18,490
LGA50630,0,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,34,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,172,4,7,0,0,177,9,0,0,0,0,9,0,0,0,0,0,0,70,0,0,0,0,73,21,0,0,0,0,23,2257,43,65,32,16,2411
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,11,5,0,41,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,5,0,10,14,0,0,0,0,13,341,61,144,103,15,666
LGA50840,0,0,0,0,0,0,17,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,154,9,21,12,0,200,10,0,4,0,0,15,4,0,0,3,0,5,29,3,10,8,0,52,20,0,4,6,0,31,1702,103,276,95,27,2199
LGA50910,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,11,3,0,0,6,0,8,266,46,60,43,5,421
LGA50980,3,0,0,0,0,3,153,0,4,0,3,161,0,0,0,0,0,0,11,0,0,0,0,10,74,9,5,0,4,89,17,0,0,0,0,23,15,0,3,0,0,17,39,0,0,0,0,43,410,33,39,5,5,487,51,3,0,0,0,55,17,3,0,0,0,20,372,18,20,0,5,411,61,4,0,0,10,77,6945,464,432,79,71,7995
LGA51080,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,140,63,102,31,18,361
LGA51120,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,262,59,63,44,0,432
