POW_LGA_CODE_2021,LG_650_799_Mng,LG_650_799_Pro,LG_650_799_TecTW,LG_650_799_CoPSW,LG_650_799_ClAW,LG_650_799_SWks,LG_650_799_MaOpDv,LG_650_799_Lab,LG_650_799_IDNS,LG_650_799_Tot,LG_800_999_Mng,LG_800_999_Pro,LG_800_999_TecTW,LG_800_999_CoPSW,LG_800_999_ClAW,LG_800_999_SWks,LG_800_999_MaOpDv,LG_800_999_Lab,LG_800_999_IDNS,LG_800_999_Tot,LG_1000_1249_Mng,LG_1000_1249_Pro,LG_1000_1249_TecTW,LG_1000_1249_CoPSW,LG_1000_1249_ClAW,LG_1000_1249_SWks,LG_1000_1249_MaOpDv,LG_1000_1249_Lab,LG_1000_1249_IDNS,LG_1000_1249_Tot,LG_1250_1499_Mng,LG_1250_1499_Pro,LG_1250_1499_TecTW,LG_1250_1499_CoPSW,LG_1250_1499_ClAW,LG_1250_1499_SWks,LG_1250_1499_MaOpDv,LG_1250_1499_Lab,LG_1250_1499_IDNS,LG_1250_1499_Tot,LG_1500_1749_Mng,LG_1500_1749_Pro,LG_1500_1749_TecTW,LG_1500_1749_CoPSW,LG_1500_1749_ClAW,LG_1500_1749_SWks,LG_1500_1749_MaOpDv,LG_1500_1749_Lab,LG_1500_1749_IDNS,LG_1500_1749_Tot,LG_1750_1999_Mng,LG_1750_1999_Pro,LG_1750_1999_TecTW,LG_1750_1999_CoPSW,LG_1750_1999_ClAW,LG_1750_1999_SWks,LG_1750_1999_MaOpDv,LG_1750_1999_Lab,LG_1750_1999_IDNS,LG_1750_1999_Tot,LG_2000_2999_Mng,LG_2000_2999_Pro,LG_2000_2999_TecTW,LG_2000_2999_CoPSW,LG_2000_2999_ClAW,LG_2000_2999_SWks,LG_2000_2999_MaOpDv,LG_2000_2999_Lab,LG_2000_2999_IDNS,LG_2000_2999_Tot,LG_3000_3499_Mng,LG_3000_3499_Pro,LG_3000_3499_TecTW,LG_3000_3499_CoPSW,LG_3000_3499_ClAW,LG_3000_3499_SWks,LG_3000_3499_MaOpDv,LG_3000_3499_Lab,LG_3000_3499_IDNS,LG_3000_3499_Tot,LG_3500mo_Mng,LG_3500mo_Pro,LG_3500mo_TecTW,LG_3500mo_CoPSW,LG_3500mo_ClAW,LG_3500mo_SWks,LG_3500mo_MaOpDv,LG_3500mo_Lab,LG_3500mo_IDNS,LG_3500mo_Tot,LG_PINS_Mng,LG_PINS_Pro,LG_PINS_TecTW,LG_PINS_CoPSW,LG_PINS_ClAW,LG_PINS_SWks,LG_PINS_MaOpDv,LG_PINS_Lab,LG_PINS_IDNS,LG_PINS_Tot,LG_Tot_Mng,LG_Tot_Pro,LG_Tot_TecTW,LG_Tot_CoPSW,LG_Tot_ClAW,LG_Tot_SWks,LG_Tot_MaOpDv,LG_Tot_Lab,LG_Tot_IDNS,LG_Tot_Tot,Pvte_NNI_Mng,Pvte_NNI_Pro,Pvte_NNI_TecTW,Pvte_NNI_CoPSW,Pvte_NNI_ClAW,Pvte_NNI_SWks,Pvte_NNI_MaOpDv,Pvte_NNI_Lab,Pvte_NNI_IDNS,Pvte_NNI_Tot,Pvte_1_149_Mng,Pvte_1_149_Pro,Pvte_1_149_TecTW,Pvte_1_149_CoPSW,Pvte_1_149_ClAW,Pvte_1_149_SWks,Pvte_1_149_MaOpDv,Pvte_1_149_Lab,Pvte_1_149_IDNS,Pvte_1_149_Tot,Pvte_150_299_Mng,Pvte_150_299_Pro,Pvte_150_299_TecTW,Pvte_150_299_CoPSW,Pvte_150_299_ClAW,Pvte_150_299_SWks,Pvte_150_299_MaOpDv,Pvte_150_299_Lab,Pvte_150_299_IDNS,Pvte_150_299_Tot,Pvte_300_399_Mng,Pvte_300_399_Pro,Pvte_300_399_TecTW,Pvte_300_399_CoPSW,Pvte_300_399_ClAW,Pvte_300_399_SWks,Pvte_300_399_MaOpDv,Pvte_300_399_Lab,Pvte_300_399_IDNS,Pvte_300_399_Tot,Pvte_400_499_Mng,Pvte_400_499_Pro,Pvte_400_499_TecTW,Pvte_400_499_CoPSW,Pvte_400_499_ClAW,Pvte_400_499_SWks,Pvte_400_499_MaOpDv,Pvte_400_499_Lab,Pvte_400_499_IDNS,Pvte_400_499_Tot,Pvte_500_649_Mng,Pvte_500_649_Pro,Pvte_500_649_TecTW,Pvte_500_649_CoPSW,Pvte_500_649_ClAW,Pvte_500_649_SWks,Pvte_500_649_MaOpDv,Pvte_500_649_Lab,Pvte_500_649_IDNS,Pvte_500_649_Tot,Pvte_650_799_Mng,Pvte_650_799_Pro,Pvte_650_799_TecTW,Pvte_650_799_CoPSW,Pvte_650_799_ClAW,Pvte_650_799_SWks,Pvte_650_799_MaOpDv,Pvte_650_799_Lab,Pvte_650_799_IDNS,Pvte_650_799_Tot,Pvte_800_999_Mng,Pvte_800_999_Pro,Pvte_800_999_TecTW,Pvte_800_999_CoPSW,Pvte_800_999_ClAW,Pvte_800_999_SWks,Pvte_800_999_MaOpDv,Pvte_800_999_Lab,Pvte_800_999_IDNS,Pvte_800_999_Tot,Pvte_1000_1249_Mng,Pvte_1000_1249_Pro,Pvte_1000_1249_TecTW,Pvte_1000_1249_CoPSW,Pvte_1000_1249_ClAW,Pvte_1000_1249_SWks,Pvte_1000_1249_MaOpDv,Pvte_1000_1249_Lab,Pvte_1000_1249_IDNS,Pvte_1000_1249_Tot
LGA50080,0,0,5,5,3,0,0,0,0,18,0,8,0,7,10,0,4,12,0,41,0,12,13,4,16,0,12,15,3,77,9,4,9,3,9,0,3,3,4,49,0,12,7,3,9,0,0,0,0,36,4,14,0,0,7,0,0,0,0,22,14,4,0,0,3,0,0,0,0,25,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,37,55,41,34,81,5,20,34,8,314,27,4,7,15,8,8,3,13,0,87,27,23,14,88,22,206,3,167,0,551,43,34,34,96,42,141,14,123,0,537,45,36,58,82,56,102,19,132,6,536,52,45,104,135,88,112,37,141,5,725,112,90,198,242,128,199,59,223,7,1260,139,121,214,285,170,192,68,233,10,1442,181,150,330,305,235,215,101,250,17,1775,231,273,372,261,295,181,184,172,20,1982
LGA50210,0,0,0,3,17,0,0,0,0,24,0,0,3,4,7,0,0,6,0,26,4,5,9,5,12,0,3,9,0,62,9,7,13,5,37,0,6,8,0,87,7,28,13,6,22,0,3,9,4,88,7,31,7,3,10,0,4,0,0,66,17,22,4,0,0,0,0,4,6,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,52,99,64,57,120,0,19,40,11,461,16,20,7,21,17,18,6,23,9,129,11,40,22,126,27,359,27,236,4,853,37,46,57,152,70,315,49,203,6,946,38,49,87,146,83,209,36,168,11,825,55,58,128,204,87,215,47,163,6,966,63,99,222,300,177,292,63,251,9,1473,117,94,272,357,209,252,97,224,18,1650,154,199,384,416,263,240,180,281,26,2137,237,257,456,322,284,143,241,202,12,2160
LGA50250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,5,0,13,6,0,0,3,11,0,4,10,0,34,4,5,7,0,7,0,0,6,0,24,0,3,0,0,6,0,0,0,0,14,13,3,0,0,4,0,0,0,0,28,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,31,16,7,8,28,6,6,31,0,136,0,6,3,0,0,0,14,4,3,39,0,5,4,11,0,20,6,14,0,70,3,3,0,13,8,12,4,16,3,65,3,5,6,5,6,11,0,14,0,50,7,4,12,16,10,7,6,18,5,80,0,10,15,15,11,15,8,23,0,100,13,11,10,11,14,12,15,31,3,125,7,19,31,38,31,22,43,61,5,255,26,21,87,33,43,16,121,138,12,489
LGA50280,0,4,0,0,4,0,0,0,0,16,5,3,0,5,7,0,0,0,0,18,0,6,9,0,10,0,4,4,0,37,3,8,4,0,8,0,5,0,0,36,3,10,5,0,5,0,0,0,0,30,3,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,44,21,8,47,0,11,14,4,174,15,4,4,10,9,7,0,11,4,55,15,11,8,84,0,84,7,61,0,274,26,15,13,33,14,45,5,48,3,199,34,19,35,46,25,30,6,66,3,261,44,34,59,53,40,56,19,73,0,382,70,49,73,82,68,70,18,106,7,537,66,55,104,104,80,103,31,127,3,664,148,65,143,101,76,89,28,125,10,776,194,87,165,79,88,54,46,147,3,853
LGA50350,0,0,0,3,0,0,0,0,0,10,0,0,6,8,4,0,0,9,0,25,0,9,7,5,3,0,0,0,5,29,0,3,3,3,5,0,0,0,0,11,0,3,4,0,4,0,0,0,0,18,0,7,0,0,0,0,0,0,0,5,6,6,0,4,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,14,34,29,0,0,14,0,129,3,7,7,6,0,6,0,5,3,39,0,11,6,27,0,25,3,43,0,121,3,14,4,16,8,39,6,53,0,156,6,9,21,33,22,33,5,32,0,161,7,11,36,32,34,29,14,37,0,205,11,24,58,69,42,34,30,75,3,357,17,35,113,70,63,39,56,89,5,483,39,46,172,99,113,34,148,119,16,779,61,78,254,87,157,39,109,113,8,909
LGA50420,3,4,4,0,10,0,0,0,0,21,0,3,4,3,17,0,0,7,0,34,0,3,12,9,11,0,5,12,0,51,3,15,19,6,22,0,3,11,0,80,3,29,11,4,16,0,3,3,0,69,7,18,0,0,4,0,0,0,0,32,11,11,5,4,0,0,0,0,0,27,3,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,5,40,80,63,40,87,7,8,34,7,363,19,9,21,13,6,15,0,16,8,114,15,47,19,153,32,321,26,188,5,796,25,58,44,192,66,293,37,173,6,892,40,85,108,175,84,240,40,144,5,926,53,79,148,202,111,218,56,174,8,1050,73,151,242,319,196,327,74,235,13,1629,154,193,351,354,233,288,109,247,3,1931,228,226,428,404,312,273,216,320,17,2427,315,332,578,367,353,180,240,209,24,2594
LGA50490,0,4,0,0,7,0,0,0,0,13,0,4,0,4,6,0,0,3,0,22,0,4,3,3,9,0,0,5,0,22,6,16,5,6,15,0,0,0,0,55,3,16,5,0,15,0,0,0,0,42,4,14,0,5,6,0,0,0,0,29,8,3,4,0,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,43,71,19,16,74,9,3,9,0,234,20,16,18,14,13,20,23,16,8,149,14,42,26,92,45,262,40,178,7,701,22,39,30,145,65,273,66,187,10,836,26,56,70,179,77,224,93,176,14,912,40,72,107,236,123,266,121,212,10,1196,77,111,191,406,248,354,235,334,31,1978,128,136,302,515,393,377,380,372,27,2631,275,266,420,724,715,365,914,532,48,4265,434,563,713,716,1179,407,1313,488,86,5894
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,7,0,0,3,0,23,9,0,0,0,0,0,0,0,0,10,3,0,3,0,0,0,0,0,0,15,5,4,0,0,0,4,0,5,0,14,11,0,0,0,6,0,0,5,0,19,9,3,0,0,0,5,0,4,0,27,12,0,3,3,8,3,6,7,0,50,9,0,6,4,4,0,0,5,0,32,15,0,11,3,5,0,6,10,0,53,19,0,4,0,8,0,3,11,0,52
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,11,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,9,9,0,8,0,0,35,8,0,3,0,0,0,0,5,0,12,0,0,0,3,0,0,0,0,3,14,0,0,0,5,0,0,3,4,0,15,5,0,4,0,0,0,0,7,0,17,0,0,3,0,3,0,4,7,0,22,8,0,4,4,7,0,4,5,0,37,9,4,8,0,11,7,0,8,0,51,8,4,13,5,8,3,15,9,0,62,9,3,18,12,8,4,32,20,0,104
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,5,0,0,7,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,5,0,6,4,0,27,13,0,0,0,0,0,0,0,0,13,3,0,0,5,0,3,0,3,0,16,16,0,0,0,5,6,0,6,0,30,6,0,6,0,8,0,0,5,0,18,14,0,6,3,0,5,0,13,0,40,9,0,3,7,5,0,6,5,0,45,24,0,3,5,3,4,5,5,0,51,29,0,7,5,4,7,6,17,0,84,45,0,4,4,8,6,0,12,0,80
