POW_LGA_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
LGA50080,146,22,8,1556,1408,116,182,33,10,1742,1498,109,200,18,28,1851,1334,130,190,48,18,1725,1196,101,209,50,25,1589,439,78,143,44,8,715,158,31,91,49,3,337,59,14,54,41,9,170,13314,834,1566,372,154,16248
LGA50210,214,33,9,2246,1590,198,204,26,9,2027,1547,170,226,18,13,1972,1299,138,215,27,8,1685,1005,106,152,25,16,1299,467,81,100,15,3,665,138,40,55,12,6,244,32,20,30,19,10,103,17628,1366,1832,247,122,21189
LGA50250,16,4,4,1675,1642,13,20,0,4,1682,1557,23,9,4,7,1601,1295,19,17,5,7,1344,818,14,15,0,0,850,264,10,4,0,4,282,42,4,5,0,0,51,10,0,5,5,4,20,13330,165,153,30,51,13727
LGA50280,154,23,3,804,501,74,138,19,13,746,430,72,128,22,11,670,387,63,123,21,4,593,363,70,129,33,5,599,142,49,76,31,0,304,53,23,48,34,11,172,13,16,28,21,6,77,4539,560,1062,244,77,6483
LGA50350,51,5,0,703,539,55,64,7,3,676,577,53,58,3,3,699,535,48,52,5,4,653,349,44,43,0,3,443,175,33,19,3,3,238,57,14,12,5,0,89,10,4,7,8,0,25,5497,381,441,50,45,6420
LGA50420,174,31,13,2134,1546,235,212,24,12,2027,1623,249,236,22,11,2150,1394,201,247,25,20,1880,1067,174,227,20,11,1495,469,112,149,25,9,770,185,59,74,25,7,350,47,31,36,17,9,144,17480,1725,1989,263,134,21593
LGA50490,134,26,19,5208,4562,184,158,12,15,4937,4086,204,150,12,25,4482,3569,232,136,22,24,3978,2363,161,132,16,9,2683,992,85,87,15,5,1181,288,39,53,13,3,395,78,27,30,18,3,154,42566,1623,1396,202,198,45984
LGA50560,6,5,0,50,25,9,5,0,11,52,33,7,10,7,0,60,25,7,12,9,0,47,37,6,13,6,0,65,15,8,20,3,0,51,4,0,13,8,0,29,0,0,3,11,0,18,261,63,103,50,18,490
LGA50630,7,3,0,293,281,8,3,0,0,296,301,6,5,3,4,320,234,0,14,3,0,252,162,0,8,0,5,179,61,0,0,5,5,70,5,5,9,0,0,20,0,0,9,9,0,14,2257,43,65,32,16,2411
LGA50770,10,9,0,63,48,8,20,3,0,84,31,8,10,14,6,60,37,9,25,12,0,82,34,15,16,6,0,64,12,0,11,12,0,35,3,5,14,9,0,31,12,0,13,18,0,44,341,61,144,103,15,666
