POW_LGA_CODE_2021,Mng_NNI_H_0,Mng_NNI_H_1_19,Mng_NNI_H_20_29,Mng_NNI_H_30_34,Mng_NNI_H_35_39,Mng_NNI_H_40_44,Mng_NNI_H_45_49,Mng_NNI_H_50ov,Mng_NNI_H_NS,Mng_NNI_H_Tot,Mng_1_149_H_0,Mng_1_149_H_1_19,Mng_1_149_H_20_29,Mng_1_149_H_30_34,Mng_1_149_H_35_39,Mng_1_149_H_40_44,Mng_1_149_H_45_49,Mng_1_149_H_50ov,Mng_1_149_H_NS,Mng_1_149_H_Tot,Mng_150_299_H_0,Mng_150_299_H_1_19,Mng_150_299_H_20_29,Mng_150_299_H_30_34,Mng_150_299_H_35_39,Mng_150_299_H_40_44,Mng_150_299_H_45_49,Mng_150_299_H_50ov,Mng_150_299_H_NS,Mng_150_299_H_Tot,Mng_300_399_H_0,Mng_300_399_H_1_19,Mng_300_399_H_20_29,Mng_300_399_H_30_34,Mng_300_399_H_35_39,Mng_300_399_H_40_44,Mng_300_399_H_45_49,Mng_300_399_H_50ov,Mng_300_399_H_NS,Mng_300_399_H_Tot,Mng_400_499_H_0,Mng_400_499_H_1_19,Mng_400_499_H_20_29,Mng_400_499_H_30_34,Mng_400_499_H_35_39,Mng_400_499_H_40_44,Mng_400_499_H_45_49,Mng_400_499_H_50ov,Mng_400_499_H_NS,Mng_400_499_H_Tot,Mng_500_649_H_0,Mng_500_649_H_1_19,Mng_500_649_H_20_29,Mng_500_649_H_30_34,Mng_500_649_H_35_39,Mng_500_649_H_40_44,Mng_500_649_H_45_49,Mng_500_649_H_50ov,Mng_500_649_H_NS,Mng_500_649_H_Tot,Mng_650_799_H_0,Mng_650_799_H_1_19,Mng_650_799_H_20_29,Mng_650_799_H_30_34,Mng_650_799_H_35_39,Mng_650_799_H_40_44,Mng_650_799_H_45_49,Mng_650_799_H_50ov,Mng_650_799_H_NS,Mng_650_799_H_Tot,Mng_800_999_H_0,Mng_800_999_H_1_19,Mng_800_999_H_20_29,Mng_800_999_H_30_34,Mng_800_999_H_35_39,Mng_800_999_H_40_44,Mng_800_999_H_45_49,Mng_800_999_H_50ov,Mng_800_999_H_NS,Mng_800_999_H_Tot,Mng_1000_1249_H_0,Mng_1000_1249_H_1_19,Mng_1000_1249_H_20_29,Mng_1000_1249_H_30_34,Mng_1000_1249_H_35_39,Mng_1000_1249_H_40_44,Mng_1000_1249_H_45_49,Mng_1000_1249_H_50ov,Mng_1000_1249_H_NS,Mng_1000_1249_H_Tot,Mng_1250_1499_H_0,Mng_1250_1499_H_1_19,Mng_1250_1499_H_20_29,Mng_1250_1499_H_30_34,Mng_1250_1499_H_35_39,Mng_1250_1499_H_40_44,Mng_1250_1499_H_45_49,Mng_1250_1499_H_50ov,Mng_1250_1499_H_NS,Mng_1250_1499_H_Tot,Mng_1500_1749_H_0,Mng_1500_1749_H_1_19,Mng_1500_1749_H_20_29,Mng_1500_1749_H_30_34,Mng_1500_1749_H_35_39,Mng_1500_1749_H_40_44,Mng_1500_1749_H_45_49,Mng_1500_1749_H_50ov,Mng_1500_1749_H_NS,Mng_1500_1749_H_Tot,Mng_1750_1999_H_0,Mng_1750_1999_H_1_19,Mng_1750_1999_H_20_29,Mng_1750_1999_H_30_34,Mng_1750_1999_H_35_39,Mng_1750_1999_H_40_44,Mng_1750_1999_H_45_49,Mng_1750_1999_H_50ov,Mng_1750_1999_H_NS,Mng_1750_1999_H_Tot,Mng_2000_2999_H_0,Mng_2000_2999_H_1_19,Mng_2000_2999_H_20_29,Mng_2000_2999_H_30_34,Mng_2000_2999_H_35_39,Mng_2000_2999_H_40_44,Mng_2000_2999_H_45_49,Mng_2000_2999_H_50ov,Mng_2000_2999_H_NS,Mng_2000_2999_H_Tot,Mng_3000_3499_H_0,Mng_3000_3499_H_1_19,Mng_3000_3499_H_20_29,Mng_3000_3499_H_30_34,Mng_3000_3499_H_35_39,Mng_3000_3499_H_40_44,Mng_3000_3499_H_45_49,Mng_3000_3499_H_50ov,Mng_3000_3499_H_NS,Mng_3000_3499_H_Tot,Mng_3500mo_H_0,Mng_3500mo_H_1_19,Mng_3500mo_H_20_29,Mng_3500mo_H_30_34,Mng_3500mo_H_35_39,Mng_3500mo_H_40_44,Mng_3500mo_H_45_49,Mng_3500mo_H_50ov,Mng_3500mo_H_NS,Mng_3500mo_H_Tot,Mng_PINS_H_0,Mng_PINS_H_1_19,Mng_PINS_H_20_29,Mng_PINS_H_30_34,Mng_PINS_H_35_39,Mng_PINS_H_40_44,Mng_PINS_H_45_49,Mng_PINS_H_50ov,Mng_PINS_H_NS,Mng_PINS_H_Tot,Mng_Tot_H_0,Mng_Tot_H_1_19,Mng_Tot_H_20_29,Mng_Tot_H_30_34,Mng_Tot_H_35_39,Mng_Tot_H_40_44,Mng_Tot_H_45_49,Mng_Tot_H_50ov,Mng_Tot_H_NS,Mng_Tot_H_Tot,Pro_NNI_H_0,Pro_NNI_H_1_19,Pro_NNI_H_20_29,Pro_NNI_H_30_34,Pro_NNI_H_35_39,Pro_NNI_H_40_44,Pro_NNI_H_45_49,Pro_NNI_H_50ov,Pro_NNI_H_NS,Pro_NNI_H_Tot,Pro_1_149_H_0,Pro_1_149_H_1_19,Pro_1_149_H_20_29,Pro_1_149_H_30_34,Pro_1_149_H_35_39,Pro_1_149_H_40_44,Pro_1_149_H_45_49,Pro_1_149_H_50ov,Pro_1_149_H_NS,Pro_1_149_H_Tot,Pro_150_299_H_0,Pro_150_299_H_1_19,Pro_150_299_H_20_29,Pro_150_299_H_30_34,Pro_150_299_H_35_39,Pro_150_299_H_40_44,Pro_150_299_H_45_49,Pro_150_299_H_50ov,Pro_150_299_H_NS,Pro_150_299_H_Tot
LGA50080,0,5,8,3,0,0,0,9,0,26,0,6,3,0,0,6,0,10,0,27,6,12,6,4,0,3,0,14,0,43,4,12,10,5,4,0,6,11,0,47,0,16,3,3,4,8,0,23,4,53,11,24,25,15,12,11,7,15,0,112,8,18,20,18,13,23,14,26,4,142,11,17,23,15,32,31,8,45,3,188,13,12,12,18,49,62,23,46,0,237,5,13,7,20,42,60,11,45,8,217,5,6,5,9,33,53,29,50,0,195,10,10,3,0,25,39,12,40,5,149,14,15,11,12,44,102,53,119,3,375,6,0,0,0,6,20,10,28,0,78,4,7,5,9,3,23,8,53,0,115,0,4,0,0,0,0,0,10,7,24,108,169,152,127,272,443,183,547,30,2026,0,5,0,0,0,0,0,0,0,6,0,16,0,0,3,0,0,4,0,29,3,23,3,0,0,0,0,6,0,35
LGA50210,0,5,0,0,0,3,0,3,5,16,0,3,3,0,0,3,0,0,0,11,0,21,7,4,0,4,0,3,0,39,0,14,11,4,0,5,0,8,0,38,0,10,17,11,0,4,0,7,0,55,4,6,17,15,6,4,3,14,0,70,3,12,25,28,11,21,5,12,0,122,8,10,11,8,43,41,0,29,0,161,0,11,22,16,60,75,14,43,0,243,3,4,12,10,65,75,24,35,0,240,9,10,14,14,37,68,27,65,0,240,11,3,0,5,18,45,16,46,0,159,12,10,0,6,47,96,58,123,0,357,10,3,0,5,9,20,7,46,0,101,0,5,10,0,3,15,5,62,0,108,0,0,0,0,3,3,0,0,5,11,58,127,154,132,322,485,163,501,18,1962,5,3,0,0,3,0,0,0,6,20,3,33,5,0,0,0,0,0,0,47,3,40,9,0,0,7,0,0,0,56
LGA50250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,13,0,0,0,0,4,3,0,0,0,15,0,0,3,6,6,3,4,8,0,22,0,0,7,4,9,9,3,10,0,31,3,0,0,0,3,8,0,24,0,38,7,0,0,0,0,7,9,26,0,47,14,5,0,3,9,17,12,90,0,144,11,0,0,0,0,10,5,75,0,100,9,4,3,0,8,16,34,222,0,310,0,0,0,0,0,0,0,0,0,0,43,12,14,16,35,77,65,472,10,748,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3
LGA50280,0,6,4,0,0,3,4,6,0,15,0,7,0,0,0,0,0,0,0,15,0,8,4,3,0,0,0,0,5,26,0,8,4,0,4,0,3,11,0,34,0,8,3,6,0,6,3,19,0,47,12,9,6,6,3,9,4,21,0,70,7,7,10,7,9,14,3,9,0,72,6,18,25,21,22,30,5,21,0,160,7,9,13,21,42,46,18,38,3,194,9,6,7,4,24,34,7,30,0,131,4,9,3,11,15,36,11,26,0,120,4,4,4,3,3,19,12,29,0,77,3,9,3,9,18,26,19,50,0,126,0,0,6,4,3,7,0,13,0,31,3,3,7,4,3,7,9,21,4,46,0,4,0,0,0,3,0,0,4,18,62,112,100,99,153,246,89,299,20,1174,0,0,0,0,0,3,0,0,0,4,0,5,0,0,0,0,0,0,0,11,5,10,3,0,0,0,0,0,0,22
LGA50350,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,5,0,6,3,0,3,0,0,4,0,11,0,0,4,9,3,0,0,5,0,21,0,4,8,0,11,10,0,0,0,34,4,3,4,4,13,22,3,9,0,66,0,0,4,5,12,20,11,18,0,70,0,4,4,5,17,17,13,27,0,84,0,3,0,0,8,20,6,22,0,62,0,0,3,6,39,49,45,54,0,196,0,0,0,0,4,6,11,24,0,51,3,6,4,0,7,16,8,39,0,88,0,0,3,0,0,0,0,0,0,7,14,32,39,26,116,169,102,206,3,711,0,0,0,4,0,0,0,0,0,10,0,5,3,0,0,0,0,0,0,11,0,13,0,0,0,0,0,0,0,13
LGA50420,0,6,0,7,0,5,0,0,0,19,0,10,0,0,0,0,0,0,0,15,4,14,12,0,0,0,0,0,0,30,0,14,9,4,3,6,0,0,5,47,0,10,17,9,4,8,0,10,0,56,0,10,28,3,5,9,0,9,0,75,3,26,36,19,33,19,0,18,0,158,3,12,29,31,67,64,4,26,0,235,6,12,22,24,100,75,21,54,0,322,12,8,9,17,63,89,19,60,0,280,13,6,7,15,64,66,27,50,0,249,0,5,12,6,27,66,24,58,0,198,14,11,13,16,52,98,67,158,3,429,0,5,3,7,15,28,26,60,0,140,5,9,4,8,14,24,28,91,0,189,0,0,0,0,4,6,3,0,3,14,62,161,196,162,452,553,227,592,24,2435,0,3,0,0,0,0,0,0,0,9,0,40,9,0,0,3,3,0,0,46,3,54,3,0,0,0,0,6,0,63
LGA50490,4,0,0,0,0,6,0,4,3,23,5,12,5,0,0,0,0,0,0,17,3,7,0,0,4,0,0,3,0,22,0,10,7,4,3,3,0,4,0,26,0,12,13,3,4,4,0,6,0,40,0,21,30,8,0,6,0,4,0,77,5,9,34,23,25,18,0,16,0,128,11,14,39,31,92,64,12,28,7,280,11,17,23,19,155,137,33,44,3,444,17,16,9,24,161,168,61,56,0,513,14,8,12,13,143,182,62,100,5,538,21,6,10,13,120,178,66,121,0,531,41,17,10,29,237,553,230,414,8,1551,23,6,5,5,68,180,89,228,0,606,35,17,22,13,72,290,161,640,0,1262,0,4,0,0,4,5,4,10,5,33,186,182,220,187,1085,1784,727,1682,33,6088,3,0,4,0,0,3,0,0,3,18,6,25,6,4,0,0,0,0,0,46,0,34,0,4,4,0,0,0,0,40
LGA50560,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,3,0,7,0,0,0,0,0,0,0,4,0,9,0,0,3,0,0,3,0,5,0,12,0,0,0,0,0,0,0,0,0,9,0,0,0,3,4,0,0,8,0,18,4,0,0,0,5,5,0,3,0,19,0,0,0,0,0,3,0,7,5,19,4,0,0,0,0,7,0,10,0,19,0,0,0,0,0,4,0,6,0,13,0,0,0,0,0,5,0,14,0,28,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,11,15,18,4,14,29,0,68,6,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA50630,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,0,0,0,0,0,3,0,3,0,9,0,0,0,4,0,5,4,4,0,10,0,0,3,0,0,5,0,8,0,10,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,4,0,5,0,9,0,0,0,0,0,0,0,19,0,28,0,0,0,0,0,3,0,6,0,15,0,0,0,0,0,9,0,27,4,48,0,0,0,0,0,0,0,0,0,0,4,16,7,11,11,36,11,79,11,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50770,0,0,0,0,0,9,0,4,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,3,0,17,0,0,0,0,0,3,0,5,0,3,0,3,0,0,0,0,0,10,0,14,0,0,0,0,0,0,0,6,0,17,0,4,3,0,0,4,0,3,0,24,0,0,6,0,4,0,0,13,0,29,0,0,0,5,0,4,8,23,0,47,0,0,4,0,0,4,0,6,0,21,3,0,0,0,0,5,0,7,0,20,0,0,3,0,0,4,4,10,0,27,0,0,0,0,0,6,3,7,0,16,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,5,3,11,0,0,0,0,0,0,0,3,0,5,8,15,22,17,11,55,15,121,9,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50840,0,0,0,0,0,0,0,4,0,17,0,0,0,0,0,0,0,3,0,11,0,0,3,0,0,3,0,5,0,21,0,4,4,0,0,5,0,6,0,19,0,4,0,5,0,3,0,3,0,15,0,0,3,3,0,7,0,3,0,16,0,6,6,6,5,0,4,9,0,31,0,0,3,4,5,8,0,6,0,35,0,0,5,4,3,6,3,13,3,39,0,0,0,0,4,0,0,8,0,16,0,0,0,0,8,9,0,5,0,25,0,0,0,0,5,5,0,3,0,12,3,0,4,0,8,9,0,13,0,37,0,0,0,0,0,0,0,8,0,15,4,0,0,0,0,0,0,23,0,33,0,0,0,0,0,0,0,4,0,4,16,23,32,20,36,61,18,129,11,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4
LGA50910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,3,0,9,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,15,0,21,0,0,3,0,0,0,0,4,0,4,0,0,5,0,0,4,0,7,0,20,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,4,0,15,0,18,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,3,0,5,4,5,9,4,7,15,4,83,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50980,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,10,0,14,0,6,0,0,0,5,0,4,0,13,0,0,5,0,5,0,0,9,0,17,0,5,8,8,4,0,0,3,0,33,5,0,10,6,19,14,3,10,0,71,0,5,3,7,34,26,5,13,0,101,4,0,5,5,35,36,11,38,0,127,6,0,10,3,27,34,20,52,0,151,4,5,0,4,22,40,16,28,0,115,16,6,4,4,51,69,36,93,0,289,0,0,0,0,10,14,5,37,0,68,0,4,3,0,9,9,9,46,0,89,0,0,3,0,0,0,0,0,3,8,35,32,50,43,210,251,105,350,13,1104,3,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3,0,14
LGA51080,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,12,0,17,0,0,0,0,3,5,3,14,0,27,4,0,4,5,0,3,0,12,0,32,0,0,0,3,0,4,3,10,0,18,0,0,0,0,0,3,3,5,0,8,3,0,0,0,0,0,5,11,0,18,0,0,4,0,0,0,4,8,0,22,3,3,0,0,0,4,3,6,0,12,0,0,0,0,0,0,0,14,0,18,0,0,0,0,0,0,0,0,0,4,16,9,10,7,6,29,27,94,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51120,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,3,0,3,0,8,0,0,0,0,0,0,0,12,0,14,0,0,0,0,0,0,0,4,0,8,3,0,0,0,4,0,0,12,0,18,0,0,0,0,0,0,4,4,0,13,0,0,0,0,0,3,3,14,0,21,0,0,0,0,0,0,0,8,0,15,0,0,0,0,0,5,0,4,0,20,0,0,0,0,0,0,0,0,0,0,7,6,9,9,3,19,13,79,0,150,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
LGA51190,0,3,3,4,0,0,0,7,0,13,0,4,0,0,0,0,0,0,0,9,0,8,3,0,0,0,0,0,0,16,0,11,5,4,0,0,0,0,3,20,0,0,14,3,0,6,0,4,0,30,0,12,20,8,4,0,5,8,0,59,4,8,13,6,20,20,0,10,7,97,6,4,14,22,59,30,12,13,0,168,3,3,9,16,75,74,37,33,3,260,13,0,8,8,63,58,29,61,0,249,6,6,7,10,54,75,17,80,0,255,3,3,3,7,41,58,37,68,0,232,20,7,3,12,81,139,86,160,0,507,6,0,0,0,13,35,28,60,0,151,0,5,8,0,15,31,20,112,0,195,0,0,0,0,0,0,0,7,4,9,63,91,113,113,433,530,274,626,20,2261,5,4,0,0,0,4,0,0,0,15,3,14,4,0,0,0,0,0,0,24,3,30,4,0,0,0,0,0,0,42
LGA51260,4,4,5,0,0,4,0,13,0,33,4,10,4,0,3,0,0,0,0,21,0,12,5,0,8,0,5,4,0,37,0,11,9,0,0,8,5,12,0,42,0,7,16,0,3,9,3,15,0,53,10,24,32,16,11,15,6,17,0,127,5,13,21,25,20,10,5,27,0,135,16,16,16,23,43,51,10,35,4,208,14,21,13,23,86,79,33,60,5,335,10,10,14,14,53,87,31,59,0,286,6,3,3,13,27,56,27,62,5,210,5,10,8,11,21,53,27,57,0,187,0,10,14,8,24,56,42,108,3,269,6,5,4,5,4,17,6,33,0,86,11,8,10,10,4,14,6,62,0,121,3,0,3,0,0,0,4,4,0,24,95,170,179,151,305,469,211,549,24,2165,0,0,0,0,0,0,0,0,5,5,4,17,0,0,0,0,0,0,0,25,3,20,8,0,0,0,0,0,0,30
LGA51310,0,0,0,0,0,0,0,5,0,8,0,6,0,0,0,0,0,0,0,6,0,9,3,0,0,0,0,0,0,15,0,8,0,0,3,0,0,0,0,12,0,11,3,8,0,3,0,5,0,29,0,21,12,7,0,0,0,7,0,51,0,9,14,9,8,3,0,7,0,48,5,12,16,15,19,18,6,12,0,97,3,7,14,19,45,35,9,19,0,159,3,7,14,11,46,36,11,22,0,145,5,8,8,15,49,43,13,32,0,169,0,10,13,11,26,47,13,27,0,152,9,16,15,10,48,108,50,88,0,335,5,5,4,10,14,48,21,49,0,140,8,10,12,9,16,65,42,135,0,291,0,0,0,0,0,0,3,0,3,10,46,128,135,114,272,409,165,399,7,1676,6,0,3,0,5,0,0,5,4,24,3,22,5,0,0,0,0,0,0,35,14,44,6,0,0,0,0,0,0,59
LGA51330,0,6,0,3,0,8,3,13,0,37,0,15,5,5,0,0,0,0,3,25,4,22,5,0,3,4,0,6,0,48,5,29,21,0,3,10,4,10,0,79,0,23,20,8,3,3,4,10,0,79,4,31,48,13,18,12,5,21,3,152,6,19,48,49,49,34,6,21,5,232,5,19,46,28,154,119,25,38,9,435,18,16,37,38,245,212,59,92,5,727,23,16,21,21,200,234,84,124,3,720,23,23,25,25,179,318,125,189,9,907,11,16,8,13,147,266,87,201,0,749,37,24,24,34,271,552,274,612,3,1831,14,3,16,8,46,150,78,222,0,540,23,27,16,14,70,224,132,509,7,1021,3,4,0,0,3,7,3,13,7,51,181,296,342,262,1391,2140,885,2086,53,7641,3,10,0,3,5,0,0,0,0,27,5,74,4,0,0,0,0,0,0,89,9,84,10,5,0,3,0,0,0,116
LGA51400,0,0,0,0,0,0,0,6,0,10,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,7,0,5,6,0,0,0,0,3,0,13,4,4,0,0,0,0,0,0,0,15,0,3,5,3,0,3,5,8,0,21,0,6,8,4,3,4,0,7,0,31,0,0,3,4,12,8,3,18,0,53,0,3,0,0,9,15,0,13,0,39,0,0,3,0,8,8,3,17,0,48,3,0,0,5,4,3,8,11,0,32,0,0,0,0,6,5,0,14,0,30,3,0,6,0,5,16,9,28,0,68,0,0,0,0,0,3,3,9,0,22,4,0,0,0,0,3,5,9,0,20,0,0,0,0,0,4,0,4,0,8,12,31,37,25,50,74,43,139,0,414,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,0,0,8
LGA51470,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,3,0,7,0,0,0,0,6,0,0,3,0,6,0,0,0,0,3,0,0,4,0,13,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,5,0,12,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,12,3,4,9,11,0,43,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51540,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,8,0,5,4,0,0,3,0,10,0,17,0,3,4,3,0,0,3,3,0,18,0,0,6,3,0,5,0,10,0,28,0,0,0,0,7,4,0,9,0,24,0,3,5,0,4,14,0,19,0,52,0,4,0,3,12,22,11,18,0,70,4,0,5,0,6,14,8,18,0,44,0,0,0,0,7,10,3,18,0,42,0,0,0,0,3,4,7,18,0,34,6,0,0,0,9,10,7,33,0,68,0,0,0,0,0,5,10,9,0,23,0,0,0,0,0,0,3,14,0,19,0,0,3,0,0,0,0,5,0,10,8,24,23,11,50,103,41,183,6,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6
