POW_LGA_CODE_2021,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
LGA50080,4,43,33,78,97,20,116,45,12,55,458,125,587,0,0,0,17,18,33,9,12,21,16,15,29,0,0,0,12,7,16,3,0,6,0,5,6,52,56,111,3,0,3,40,63,103,20,15,39,24,54,80,91,135,224,0,0,0,32,15,47,65,121,182,95,134,232,0,0,0,252,351,603,29,13,38,278,362,642,0,0,0,58,82,138,111,120,233,170,202,370,0,0,0,262,310,574,0,0,0,358,129,492,624,441,1072,6,27,33,339,1009,1353,75,144,220,22,47,72,448,1225,1673,13,45,55,204,725,933,152,585,734,83,523,601,150,540,693,607,2412,3016,0,0,4,16,18,33,18,24,45,52,64,110,3,4,9,88,114,200,0,0,0,281,68,354,92,266,357,0,4,4,374,338,713,247,148,395,88,81,166,7649,8591,16248
LGA50210,5,113,64,179,3,4,10,28,16,37,630,207,836,3,6,3,9,16,27,17,17,35,0,0,0,0,0,0,25,7,35,14,0,14,0,7,6,71,54,125,0,4,7,22,49,70,3,15,23,30,21,48,51,91,148,0,0,0,49,15,65,66,92,156,116,111,224,0,0,4,216,316,531,60,23,81,278,344,618,0,3,3,55,124,181,226,184,403,280,307,589,0,0,4,303,411,713,9,0,8,264,113,377,577,525,1101,5,20,30,559,2377,2932,21,49,67,41,117,153,625,2561,3188,9,64,72,317,1365,1687,182,713,896,63,393,455,109,821,927,683,3351,4035,0,3,4,12,13,27,21,25,48,42,91,132,4,10,12,82,142,232,0,0,0,353,88,435,97,400,496,0,0,0,445,487,939,480,287,766,154,126,277,9185,12008,21189
LGA50250,6,9,18,31,75,21,94,5,0,5,234,69,305,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,7,0,7,0,0,0,0,0,0,10,0,18,0,0,0,0,4,4,0,0,0,0,0,0,3,4,3,0,0,0,35,10,44,45,61,111,78,78,153,0,0,0,160,34,196,15,0,16,167,40,204,0,0,0,194,101,298,35,50,85,230,156,389,0,0,0,58,87,148,4,0,4,44,14,60,107,103,206,0,8,8,29,224,250,0,8,7,4,9,13,37,250,279,0,8,8,10,55,64,12,41,55,0,4,4,4,49,57,26,155,187,0,0,0,7,0,10,6,0,6,0,4,4,0,0,3,9,6,16,0,0,0,96,17,111,10,31,36,0,0,0,102,47,148,266,63,330,78,58,141,10760,2967,13727
LGA50280,17,23,25,48,8,5,12,4,0,4,92,42,137,0,0,0,0,0,0,6,0,4,0,4,0,0,0,0,4,0,4,5,0,5,0,0,0,18,9,21,0,0,0,13,29,42,0,0,4,9,3,9,23,34,55,0,0,0,13,3,18,27,54,85,36,58,96,0,0,0,120,132,248,17,15,26,132,142,280,0,0,0,47,67,119,63,72,134,111,142,249,0,0,0,76,120,200,0,0,0,16,7,25,90,132,227,0,8,8,97,387,485,8,31,38,24,55,79,132,481,609,0,8,15,16,98,111,54,209,258,9,55,66,13,95,104,90,457,551,10,0,10,13,16,29,21,31,47,19,12,29,0,0,0,51,56,114,0,0,0,85,14,93,24,107,136,0,0,0,112,120,226,100,99,201,32,42,75,3057,3428,6483
LGA50350,0,83,26,108,5,8,12,58,7,68,220,54,271,0,0,0,3,0,10,3,0,4,0,0,0,0,0,3,0,0,3,5,0,5,0,5,5,16,10,27,0,0,0,8,17,24,0,3,3,4,10,13,12,25,37,0,0,0,66,21,87,18,39,60,77,63,145,4,0,4,108,80,184,19,10,28,127,87,222,0,0,0,23,24,41,47,27,73,72,46,119,0,0,0,54,96,153,0,0,0,29,11,39,86,102,191,3,12,11,74,339,410,4,8,9,14,22,28,91,370,461,4,8,15,0,3,3,38,120,157,35,131,167,67,172,235,147,431,579,0,0,0,0,0,0,11,16,30,24,7,33,0,6,7,37,32,69,0,0,0,154,21,176,30,84,111,0,0,0,180,106,287,281,112,392,43,31,81,3978,2444,6420
LGA50420,6,77,34,115,18,0,15,41,19,61,478,103,582,3,0,3,3,0,5,17,22,48,18,6,25,0,0,0,48,13,56,10,8,16,0,10,10,107,56,161,3,6,10,31,85,118,21,34,54,40,36,75,99,160,260,4,0,4,73,27,95,88,106,199,160,138,299,0,0,3,387,452,834,135,36,173,523,487,1010,0,3,3,117,151,270,179,132,311,298,284,587,3,0,3,209,262,472,0,0,0,386,128,517,594,392,990,26,44,67,382,1300,1686,28,29,59,106,184,290,543,1555,2096,15,43,52,126,494,619,229,810,1046,134,708,849,112,527,637,613,2582,3196,11,11,23,11,0,11,78,103,177,116,136,244,9,16,20,219,269,484,3,0,4,593,114,706,218,472,687,0,13,13,812,603,1413,643,347,989,146,108,255,10771,10823,21593
LGA50490,17,1031,387,1414,1346,611,1964,384,83,470,6503,2599,9104,7,6,8,0,3,7,36,32,71,8,0,8,0,3,3,168,37,205,51,24,78,3,3,4,278,106,381,8,0,8,45,70,114,25,46,71,71,70,147,149,186,335,0,0,3,248,134,381,128,171,300,376,307,676,7,5,9,1050,607,1657,502,106,613,1564,716,2277,0,0,0,582,423,1004,350,329,675,931,753,1684,4,0,4,349,451,800,16,7,19,819,370,1194,1193,825,2017,30,36,67,169,781,948,53,51,103,64,67,130,315,926,1245,24,65,86,19,52,76,705,1151,1857,196,859,1055,152,676,834,1101,2802,3906,9,6,14,0,0,3,15,16,28,182,178,356,22,36,53,218,235,458,0,0,0,733,155,883,157,347,496,0,3,3,893,497,1391,1300,545,1838,294,217,510,29015,16965,45984
LGA50560,0,4,0,10,0,0,0,0,0,0,13,6,17,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,17,9,30,0,0,0,4,0,4,17,9,27,0,0,0,3,30,36,0,0,0,0,5,5,3,37,43,0,4,4,3,18,16,4,11,17,0,4,4,0,5,5,10,37,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,4,9,0,4,6,0,0,0,8,5,11,9,6,11,4,4,12,262,225,490
LGA50630,0,4,4,8,0,0,0,0,0,0,3,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,3,7,0,0,0,14,0,15,0,0,0,10,0,17,0,0,0,29,5,32,8,3,7,29,8,40,0,0,0,16,23,37,0,0,0,10,0,5,22,19,48,0,0,0,11,42,53,0,0,0,0,0,0,14,43,55,0,0,0,0,21,22,0,7,5,0,0,0,0,8,8,0,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,35,0,6,6,0,0,0,28,12,42,19,12,30,19,12,33,1840,574,2411
LGA50770,0,0,3,3,0,0,0,0,0,0,7,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,3,7,10,0,0,0,3,9,15,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,13,15,27,0,0,0,0,4,3,18,14,33,0,0,0,6,42,52,0,0,0,0,0,0,13,42,52,0,3,3,0,23,22,0,6,6,0,4,4,0,3,3,0,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,21,0,0,0,0,0,0,16,6,19,6,5,11,6,3,5,355,313,666
