POW_LGA_CODE_2021,Lab_1_149_H_0,Lab_1_149_H_1_19,Lab_1_149_H_20_29,Lab_1_149_H_30_34,Lab_1_149_H_35_39,Lab_1_149_H_40_44,Lab_1_149_H_45_49,Lab_1_149_H_50ov,Lab_1_149_H_NS,Lab_1_149_H_Tot,Lab_150_299_H_0,Lab_150_299_H_1_19,Lab_150_299_H_20_29,Lab_150_299_H_30_34,Lab_150_299_H_35_39,Lab_150_299_H_40_44,Lab_150_299_H_45_49,Lab_150_299_H_50ov,Lab_150_299_H_NS,Lab_150_299_H_Tot,Lab_300_399_H_0,Lab_300_399_H_1_19,Lab_300_399_H_20_29,Lab_300_399_H_30_34,Lab_300_399_H_35_39,Lab_300_399_H_40_44,Lab_300_399_H_45_49,Lab_300_399_H_50ov,Lab_300_399_H_NS,Lab_300_399_H_Tot,Lab_400_499_H_0,Lab_400_499_H_1_19,Lab_400_499_H_20_29,Lab_400_499_H_30_34,Lab_400_499_H_35_39,Lab_400_499_H_40_44,Lab_400_499_H_45_49,Lab_400_499_H_50ov,Lab_400_499_H_NS,Lab_400_499_H_Tot,Lab_500_649_H_0,Lab_500_649_H_1_19,Lab_500_649_H_20_29,Lab_500_649_H_30_34,Lab_500_649_H_35_39,Lab_500_649_H_40_44,Lab_500_649_H_45_49,Lab_500_649_H_50ov,Lab_500_649_H_NS,Lab_500_649_H_Tot,Lab_650_799_H_0,Lab_650_799_H_1_19,Lab_650_799_H_20_29,Lab_650_799_H_30_34,Lab_650_799_H_35_39,Lab_650_799_H_40_44,Lab_650_799_H_45_49,Lab_650_799_H_50ov,Lab_650_799_H_NS,Lab_650_799_H_Tot,Lab_800_999_H_0,Lab_800_999_H_1_19,Lab_800_999_H_20_29,Lab_800_999_H_30_34,Lab_800_999_H_35_39,Lab_800_999_H_40_44,Lab_800_999_H_45_49,Lab_800_999_H_50ov,Lab_800_999_H_NS,Lab_800_999_H_Tot,Lab_1000_1249_H_0,Lab_1000_1249_H_1_19,Lab_1000_1249_H_20_29,Lab_1000_1249_H_30_34,Lab_1000_1249_H_35_39,Lab_1000_1249_H_40_44,Lab_1000_1249_H_45_49,Lab_1000_1249_H_50ov,Lab_1000_1249_H_NS,Lab_1000_1249_H_Tot,Lab_1250_1499_H_0,Lab_1250_1499_H_1_19,Lab_1250_1499_H_20_29,Lab_1250_1499_H_30_34,Lab_1250_1499_H_35_39,Lab_1250_1499_H_40_44,Lab_1250_1499_H_45_49,Lab_1250_1499_H_50ov,Lab_1250_1499_H_NS,Lab_1250_1499_H_Tot,Lab_1500_1749_H_0,Lab_1500_1749_H_1_19,Lab_1500_1749_H_20_29,Lab_1500_1749_H_30_34,Lab_1500_1749_H_35_39,Lab_1500_1749_H_40_44,Lab_1500_1749_H_45_49,Lab_1500_1749_H_50ov,Lab_1500_1749_H_NS,Lab_1500_1749_H_Tot,Lab_1750_1999_H_0,Lab_1750_1999_H_1_19,Lab_1750_1999_H_20_29,Lab_1750_1999_H_30_34,Lab_1750_1999_H_35_39,Lab_1750_1999_H_40_44,Lab_1750_1999_H_45_49,Lab_1750_1999_H_50ov,Lab_1750_1999_H_NS,Lab_1750_1999_H_Tot,Lab_2000_2999_H_0,Lab_2000_2999_H_1_19,Lab_2000_2999_H_20_29,Lab_2000_2999_H_30_34,Lab_2000_2999_H_35_39,Lab_2000_2999_H_40_44,Lab_2000_2999_H_45_49,Lab_2000_2999_H_50ov,Lab_2000_2999_H_NS,Lab_2000_2999_H_Tot,Lab_3000_3499_H_0,Lab_3000_3499_H_1_19,Lab_3000_3499_H_20_29,Lab_3000_3499_H_30_34,Lab_3000_3499_H_35_39,Lab_3000_3499_H_40_44,Lab_3000_3499_H_45_49,Lab_3000_3499_H_50ov,Lab_3000_3499_H_NS,Lab_3000_3499_H_Tot,Lab_3500mo_H_0,Lab_3500mo_H_1_19,Lab_3500mo_H_20_29,Lab_3500mo_H_30_34,Lab_3500mo_H_35_39,Lab_3500mo_H_40_44,Lab_3500mo_H_45_49,Lab_3500mo_H_50ov,Lab_3500mo_H_NS,Lab_3500mo_H_Tot,Lab_PINS_H_0,Lab_PINS_H_1_19,Lab_PINS_H_20_29,Lab_PINS_H_30_34,Lab_PINS_H_35_39,Lab_PINS_H_40_44,Lab_PINS_H_45_49,Lab_PINS_H_50ov,Lab_PINS_H_NS,Lab_PINS_H_Tot,Lab_Tot_H_0,Lab_Tot_H_1_19,Lab_Tot_H_20_29,Lab_Tot_H_30_34,Lab_Tot_H_35_39,Lab_Tot_H_40_44,Lab_Tot_H_45_49,Lab_Tot_H_50ov,Lab_Tot_H_NS,Lab_Tot_H_Tot,OIDNS_NNI_H_0,OIDNS_NNI_H_1_19,OIDNS_NNI_H_20_29,OIDNS_NNI_H_30_34,OIDNS_NNI_H_35_39,OIDNS_NNI_H_40_44,OIDNS_NNI_H_45_49,OIDNS_NNI_H_50ov,OIDNS_NNI_H_NS,OIDNS_NNI_H_Tot,OIDNS_1_149_H_0,OIDNS_1_149_H_1_19,OIDNS_1_149_H_20_29,OIDNS_1_149_H_30_34,OIDNS_1_149_H_35_39,OIDNS_1_149_H_40_44,OIDNS_1_149_H_45_49,OIDNS_1_149_H_50ov,OIDNS_1_149_H_NS,OIDNS_1_149_H_Tot,OIDNS_150_299_H_0,OIDNS_150_299_H_1_19,OIDNS_150_299_H_20_29,OIDNS_150_299_H_30_34,OIDNS_150_299_H_35_39,OIDNS_150_299_H_40_44,OIDNS_150_299_H_45_49,OIDNS_150_299_H_50ov,OIDNS_150_299_H_NS,OIDNS_150_299_H_Tot,OIDNS_300_399_H_0,OIDNS_300_399_H_1_19,OIDNS_300_399_H_20_29,OIDNS_300_399_H_30_34,OIDNS_300_399_H_35_39,OIDNS_300_399_H_40_44,OIDNS_300_399_H_45_49,OIDNS_300_399_H_50ov,OIDNS_300_399_H_NS,OIDNS_300_399_H_Tot
LGA50080,7,144,4,0,0,0,0,0,8,168,7,102,16,0,0,0,0,0,5,136,8,84,29,6,3,0,0,0,4,141,3,83,34,8,14,3,0,0,7,155,11,92,71,21,23,18,3,4,6,240,7,43,62,47,42,27,6,12,3,255,9,23,31,36,82,56,11,27,6,276,9,9,10,20,47,49,21,22,5,199,3,0,4,7,12,36,9,16,0,91,5,0,0,4,11,17,10,8,3,66,0,0,0,0,5,9,0,11,0,35,0,0,6,0,4,4,5,7,0,28,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,0,0,5,3,0,0,0,0,6,8,76,605,280,160,244,210,66,117,50,1810,0,0,0,0,0,0,0,0,7,12,0,5,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,9,10,4,0,0,0,0,0,0,0,6,12
LGA50210,18,211,0,0,0,3,0,0,0,241,8,163,31,0,0,0,0,0,0,213,10,128,35,13,3,4,0,0,0,188,3,64,69,15,5,6,0,4,6,173,9,84,106,39,19,15,0,7,4,282,9,37,60,54,51,28,3,13,3,257,4,36,37,53,95,70,19,14,5,326,5,9,18,24,63,71,17,33,5,245,8,5,8,13,23,39,13,26,4,126,4,0,0,4,8,20,3,21,0,70,0,0,0,0,0,9,0,16,0,33,0,0,5,0,3,3,3,19,0,33,0,0,0,0,6,0,0,4,0,9,0,0,4,0,0,0,0,3,0,8,0,0,0,0,0,3,0,0,4,12,87,754,376,219,284,273,62,146,38,2235,3,0,0,0,4,0,0,0,4,9,0,8,0,0,0,0,0,0,5,13,0,9,0,0,0,0,0,0,4,9,0,4,3,0,0,0,0,0,9,16
LGA50250,0,7,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,19,0,10,6,0,0,0,0,4,3,18,5,3,3,6,0,0,0,0,0,22,3,6,4,0,0,3,0,7,0,32,5,6,4,3,6,4,4,7,0,35,5,5,4,9,8,3,6,37,0,72,10,5,3,5,6,14,4,88,3,142,26,5,0,10,4,33,6,133,5,224,20,8,6,8,9,19,11,132,3,203,17,0,0,0,0,8,3,100,3,130,47,11,6,3,11,12,13,292,14,409,6,3,0,0,4,0,3,54,0,80,4,0,0,0,5,0,6,49,0,61,0,0,0,0,0,5,0,14,4,22,141,84,39,42,52,109,52,921,43,1481,0,0,0,0,0,0,0,0,5,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
LGA50280,10,53,0,0,0,0,0,0,0,64,3,39,12,4,4,0,0,0,0,53,0,39,20,4,7,0,0,4,0,70,7,34,19,11,0,3,0,0,3,81,4,32,44,16,8,0,0,0,6,116,6,17,30,23,36,21,3,3,0,136,4,5,16,18,43,29,3,7,0,131,3,8,11,13,28,69,8,9,4,160,0,3,10,4,15,15,0,12,0,59,4,0,4,4,7,9,3,0,0,28,3,0,0,0,0,0,0,4,0,13,0,3,3,0,0,0,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,5,44,244,166,95,150,158,22,53,14,940,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
LGA50350,0,35,6,0,0,0,0,0,0,43,0,44,5,0,0,0,0,0,0,55,0,29,3,4,0,0,0,0,0,38,0,18,17,4,0,0,0,0,3,42,0,21,25,12,7,4,0,0,0,79,0,13,19,12,24,10,3,4,3,101,0,6,4,10,58,31,7,12,0,133,4,9,5,4,45,27,10,16,0,118,0,7,7,3,18,19,9,11,0,74,0,0,4,0,6,12,9,10,0,38,0,0,4,0,0,0,5,13,0,20,0,0,0,0,0,5,3,9,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,185,97,60,170,111,54,69,15,775,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
LGA50420,9,166,14,0,0,0,0,0,0,186,8,146,12,8,0,0,0,4,4,181,4,105,30,5,4,0,0,0,7,158,4,86,65,13,4,3,4,4,8,189,6,68,108,28,18,16,5,9,4,250,9,43,64,36,64,27,4,13,3,266,4,25,34,45,123,77,11,18,3,342,3,13,15,20,78,62,21,19,4,233,7,3,7,8,38,46,15,16,0,141,0,6,4,0,12,16,13,23,0,73,6,0,0,0,12,5,0,20,0,48,0,0,0,0,0,0,0,21,5,24,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,6,0,11,0,6,0,0,0,0,0,0,13,21,70,682,348,167,350,254,74,157,43,2156,4,0,0,0,0,0,0,0,10,11,0,3,0,0,0,0,0,0,3,7,0,0,5,0,0,0,0,0,4,10,0,5,0,0,0,0,0,0,0,13
LGA50490,14,156,5,0,0,0,0,0,4,179,15,144,26,4,0,0,0,0,0,188,8,112,50,11,0,0,0,0,4,186,8,95,87,19,4,0,0,0,5,219,10,84,147,41,31,8,0,3,10,345,11,47,91,66,109,40,11,6,7,386,14,45,77,66,192,110,21,23,15,555,18,14,27,34,185,126,35,60,8,505,16,9,10,9,71,72,25,49,6,267,11,3,5,4,39,37,34,65,3,208,12,0,4,0,20,29,14,57,0,142,22,9,0,6,14,22,20,80,4,176,0,0,4,0,4,3,0,9,3,27,3,4,0,0,4,5,0,9,0,22,0,5,3,4,0,0,0,0,11,23,158,730,543,271,677,469,162,376,69,3449,0,3,0,0,0,3,0,0,10,16,0,9,0,0,0,0,0,0,3,15,0,13,3,0,0,0,0,0,7,23,0,7,4,0,0,0,0,0,9,28
LGA50560,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,3,0,0,13,0,0,0,0,4,4,0,5,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,10,4,10,10,4,6,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,0,3,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,3,0,11,0,0,0,0,0,7,0,3,0,12,4,0,0,0,3,0,3,4,0,27,0,0,0,0,3,0,0,12,0,20,4,0,0,0,3,5,7,8,0,30,0,0,0,0,0,4,9,9,0,27,0,0,0,0,4,0,5,22,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,15,4,14,16,25,66,4,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50770,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,4,0,0,6,4,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,5,3,0,0,3,0,3,0,0,0,3,0,0,0,3,5,6,0,0,0,17,0,0,0,3,0,4,0,0,0,11,0,0,0,0,0,4,0,5,0,9,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,17,9,12,7,17,9,20,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
