POW_LGA_CODE_2021,UIE_IDNS_OMOE_Nil_em,UIE_IDNS_OMOE_1_19_em,UIE_IDNS_OMOE_20mo_em,UIE_IDNS_OMOE_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMOE_Nil_em,UIE_Tot_OMOE_1_19_em,UIE_Tot_OMOE_20mo_em,UIE_Tot_OMOE_NE_NS,UIE_Tot_Tot
LGA50080,28,5,0,0,40,1060,475,26,3,1566
LGA50210,90,18,0,0,106,1458,351,23,3,1832
LGA50250,12,4,0,0,13,123,31,0,0,153
LGA50280,48,9,0,0,59,860,192,4,5,1062
LGA50350,25,4,0,0,29,373,69,4,0,441
LGA50420,82,14,0,0,94,1562,404,18,0,1989
LGA50490,69,7,0,3,78,1157,206,23,8,1396
LGA50560,0,0,0,0,4,70,29,0,7,103
LGA50630,5,0,0,0,5,44,21,0,0,65
LGA50770,0,0,0,0,0,91,55,0,6,144
LGA50840,6,0,0,0,11,197,72,0,4,276
LGA50910,0,0,0,0,0,30,32,0,0,60
LGA50980,12,0,0,0,16,315,113,4,0,432
LGA51080,0,0,0,0,0,43,53,0,0,102
LGA51120,0,0,0,0,0,40,21,0,0,63
LGA51190,36,14,0,0,53,740,378,21,3,1144
LGA51260,47,19,0,8,73,1332,508,27,9,1872
LGA51310,37,0,0,0,35,817,238,13,3,1069
LGA51330,148,27,3,0,179,2185,524,44,4,2756
LGA51400,23,0,0,0,20,311,98,0,3,420
LGA51470,0,0,0,0,0,20,17,0,0,38
LGA51540,9,0,0,0,9,147,83,3,3,238
LGA51610,0,0,0,0,0,51,18,0,0,71
LGA51680,3,0,0,0,3,163,52,0,3,209
LGA51710,7,0,0,0,7,34,14,0,0,47
LGA51750,25,0,0,0,24,356,88,10,0,455
LGA51820,136,30,0,0,168,2535,614,24,3,3179
LGA51860,0,0,0,0,0,6,0,0,0,5
LGA51890,4,5,0,0,9,92,60,0,0,151
LGA51960,0,0,0,0,0,30,8,0,0,32
LGA52030,0,0,0,0,0,54,25,0,0,77
LGA52100,0,0,0,0,0,51,30,0,0,80
LGA52170,9,0,0,0,12,255,56,3,0,314
LGA52240,4,0,0,0,4,57,66,0,0,121
LGA52310,0,0,0,0,0,19,20,0,0,40
LGA52380,0,0,0,0,0,0,0,0,0,0
LGA52450,0,0,0,0,0,26,16,0,0,45
LGA52520,3,0,0,0,0,31,44,0,0,84
LGA52590,6,0,0,0,8,127,64,0,0,191
LGA52660,15,0,0,0,16,243,83,3,5,329
LGA52730,9,6,0,0,14,305,103,0,6,411
LGA52800,5,5,0,0,9,49,18,0,0,65
LGA52870,7,0,0,0,12,189,69,0,0,267
LGA52940,3,0,0,0,0,38,18,0,0,62
LGA53010,0,0,0,0,0,33,36,0,0,67
LGA53080,0,0,0,0,0,10,4,0,0,11
LGA53150,4,0,0,0,3,217,43,0,0,261
LGA53220,13,0,0,0,13,114,11,3,0,129
LGA53290,14,4,0,4,23,359,284,6,7,650
LGA53360,12,0,0,0,12,82,40,6,0,127
LGA53430,80,14,0,0,99,1524,393,28,3,1947
LGA53570,4,3,0,0,9,168,68,3,3,244
LGA53640,0,0,0,0,0,45,48,0,0,95
LGA53710,0,0,0,0,0,36,17,0,0,58
LGA53780,86,17,0,0,100,1877,432,15,3,2327
LGA53800,32,0,0,0,36,728,344,11,7,1088
LGA53920,0,0,0,0,0,8,6,0,0,18
LGA53990,19,10,0,0,22,464,121,3,3,592
LGA54060,5,0,0,0,9,84,43,0,0,129
LGA54130,0,0,0,0,0,49,49,0,3,95
LGA54170,165,19,0,0,184,3720,714,31,12,4476
LGA54200,43,8,0,0,50,1179,308,5,3,1493
LGA54280,20,7,0,0,24,341,155,8,0,504
LGA54310,7,3,0,0,16,232,63,0,6,298
LGA54340,4,0,0,0,6,92,62,0,0,156
LGA54410,5,0,0,0,5,33,18,0,0,53
LGA54480,0,0,0,0,0,17,32,0,0,49
LGA54550,3,3,0,0,4,71,96,0,5,167
LGA54620,0,0,0,0,0,41,50,0,0,91
LGA54690,0,0,0,0,0,19,15,0,0,27
LGA54760,6,0,0,0,6,38,43,0,0,82
LGA54830,34,7,0,0,44,654,157,6,3,822
LGA54900,4,0,0,0,3,64,87,0,5,155
LGA54970,0,0,0,0,4,21,0,0,0,21
LGA55040,7,0,0,0,3,30,12,0,4,41
LGA55110,79,26,0,0,104,1591,481,23,8,2098
LGA55180,20,11,0,0,32,325,171,9,0,501
LGA55250,4,0,0,0,3,24,7,0,0,33
LGA55320,106,12,0,0,116,2358,545,26,10,2935
LGA55390,0,0,0,0,0,8,0,0,0,8
LGA55460,0,0,0,0,0,54,44,0,0,108
LGA55530,0,0,0,0,0,6,29,0,0,35
LGA55600,0,0,0,0,0,76,47,0,0,120
LGA55670,0,0,0,0,0,16,12,0,4,33
LGA55740,10,6,0,0,20,212,34,4,0,255
LGA55810,0,0,0,0,0,16,6,0,0,19
LGA55880,0,0,0,0,3,34,25,0,0,54
LGA55950,0,0,0,0,0,32,22,0,0,57
LGA56090,46,10,0,0,56,948,213,7,0,1175
LGA56160,0,0,0,0,0,4,9,0,0,10
LGA56230,18,5,0,0,21,318,103,8,8,434
LGA56300,0,0,0,0,0,66,18,0,0,86
LGA56370,0,0,0,0,0,26,21,0,0,52
LGA56460,0,0,0,0,4,110,71,0,0,187
LGA56580,29,4,0,0,28,637,170,11,0,820
LGA56620,0,0,0,0,0,0,0,0,0,0
LGA56730,8,3,0,0,11,210,82,3,5,295
LGA56790,4,3,0,0,11,114,74,0,0,185
LGA56860,0,0,0,0,0,12,8,0,0,18
LGA56930,0,0,0,0,0,68,9,3,0,80
LGA57000,0,0,0,0,0,23,24,0,0,46
LGA57080,161,27,4,8,201,1845,640,374,15,2871
LGA57140,0,0,0,0,0,22,21,0,0,46
LGA57210,5,0,0,0,8,188,130,0,3,317
LGA57280,12,5,0,0,12,179,46,0,0,229
LGA57350,0,0,0,0,3,27,23,0,0,50
LGA57420,4,0,0,0,8,64,57,4,4,127
LGA57490,97,13,0,0,115,2137,482,18,9,2638
LGA57630,0,0,0,0,0,6,3,0,0,11
LGA57700,41,5,0,0,45,680,161,0,4,845
LGA57770,0,0,0,0,0,32,13,0,0,49
LGA57840,41,8,0,0,47,894,209,7,3,1110
LGA57910,212,36,3,0,251,4957,1004,69,13,6039
LGA57980,32,13,0,0,49,758,263,36,0,1056
LGA58050,164,39,0,0,208,3233,819,54,12,4112
LGA58190,0,0,0,0,0,10,6,0,4,20
LGA58260,0,0,0,0,0,15,12,0,0,25
LGA58330,3,3,0,0,8,130,38,0,0,166
LGA58400,0,0,0,0,0,9,8,0,0,18
LGA58470,0,0,0,0,0,5,4,0,0,6
LGA58510,62,11,0,0,76,1026,254,14,6,1301
LGA58540,0,0,0,0,0,39,24,0,5,61
LGA58570,41,10,0,0,55,1295,299,30,0,1620
LGA58610,0,0,0,0,0,45,49,0,0,97
LGA58680,0,0,0,0,0,12,13,0,0,26
LGA58760,217,39,0,0,258,4305,921,49,13,5290
LGA58820,3,0,0,0,7,84,32,0,3,114
LGA58890,0,0,0,0,0,46,26,0,0,77
LGA59030,0,0,0,0,0,12,5,0,0,20
LGA59100,0,0,0,0,0,26,25,0,0,53
LGA59170,5,4,0,0,6,56,55,0,0,110
LGA59250,0,0,0,0,0,19,5,0,0,21
LGA59310,0,0,0,0,3,38,55,0,0,93
LGA59320,0,0,0,0,0,21,22,0,0,41
LGA59330,0,0,0,0,0,10,3,0,0,22
LGA59340,3,0,0,0,3,86,53,3,0,141
LGA59350,0,0,0,0,0,10,4,0,0,8
LGA59360,0,0,0,0,0,45,25,0,0,70
LGA59370,0,0,0,0,0,91,51,3,0,142
LGA59499,486,35,4,7,535,15566,1650,50,78,17340
LGA59799,7,0,0,0,7,18,4,0,0,17
